https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SFUND,Volume USDT
1659823200,2022-08-06 22:00:00,SFUND/USDT,2.8897,2.8997,2.8733,2.8997,34539.77951522,99868.077629845487
1659819600,2022-08-06 21:00:00,SFUND/USDT,2.8827,2.9007,2.8822,2.892,6497.49973416,18801.337228781467
1659816000,2022-08-06 20:00:00,SFUND/USDT,2.9164,2.9591,2.8669,2.8932,8996.64162163,26213.179688919665
1659812400,2022-08-06 19:00:00,SFUND/USDT,2.9136,2.9574,2.9045,2.9158,2084.72039396,6103.283348363519
1659808800,2022-08-06 18:00:00,SFUND/USDT,2.91,2.9354,2.9091,2.9295,12850.1084,37546.86984599
1659805200,2022-08-06 17:00:00,SFUND/USDT,2.8785,2.9354,2.869,2.91,43894.62614741,126962.937510173184
1659801600,2022-08-06 16:00:00,SFUND/USDT,2.88,2.9008,2.8561,2.8941,33616.04990371,96998.359302852692
1659798000,2022-08-06 15:00:00,SFUND/USDT,2.9021,2.9062,2.8512,2.8561,38712.69601923,111364.882846757578
1659794400,2022-08-06 14:00:00,SFUND/USDT,2.9176,2.9181,2.9005,2.9062,39469.90957,114832.863505053
1659790800,2022-08-06 13:00:00,SFUND/USDT,2.9053,2.9314,2.9047,2.917,16772.83552056,48910.440519823454
1659787200,2022-08-06 12:00:00,SFUND/USDT,2.9045,2.9251,2.8916,2.9053,10059.97713828,29264.778871809128
1659783600,2022-08-06 11:00:00,SFUND/USDT,2.9275,2.9275,2.9042,2.9083,10377.27765151,30211.71068392379
1659780000,2022-08-06 10:00:00,SFUND/USDT,2.9125,2.9498,2.9022,2.9275,25340.92242318,73873.526184477461
1659776400,2022-08-06 09:00:00,SFUND/USDT,2.9605,2.9605,2.9,2.9115,54457.21793016,159310.472460449666
1659772800,2022-08-06 08:00:00,SFUND/USDT,2.9921,3.005,2.9529,2.959,17190.6341775,51462.890147820951
1659769200,2022-08-06 07:00:00,SFUND/USDT,3.0048,3.0184,2.9918,2.9918,15588.64715339,46800.982994803437
1659765600,2022-08-06 06:00:00,SFUND/USDT,2.9999,3.0128,2.998,3.0038,48475.49653452,145577.37587637948
1659762000,2022-08-06 05:00:00,SFUND/USDT,3.02,3.0287,2.9918,2.9919,2390.53364803,7171.738299881681
1659758400,2022-08-06 04:00:00,SFUND/USDT,3.0304,3.0305,2.9918,3.0287,21431.18019979,64548.450551790159
1659754800,2022-08-06 03:00:00,SFUND/USDT,3.0287,3.0315,3.0031,3.024,63329.18740121,191217.495750658111
1659751200,2022-08-06 02:00:00,SFUND/USDT,3.0355,3.0477,3.0113,3.0351,31771.48155781,96034.612432045322
1659747600,2022-08-06 01:00:00,SFUND/USDT,3.0017,3.0999,3.0017,3.0261,4257.18272808,13024.665885534422
1659744000,2022-08-06 00:00:00,SFUND/USDT,2.9844,3.0197,2.9718,3.0024,52493.89682115,157251.643152325342
1659740400,2022-08-05 23:00:00,SFUND/USDT,2.9904,3.0023,2.96,2.9766,32257.97103546,96185.5949158573
1659736800,2022-08-05 22:00:00,SFUND/USDT,3.0188,3.0249,2.9835,2.9868,27998.95696058,84139.113177334138
1659733200,2022-08-05 21:00:00,SFUND/USDT,2.9914,3.0359,2.9909,3.0188,11526.9585356,34861.71249148448
1659729600,2022-08-05 20:00:00,SFUND/USDT,3.0008,3.0057,2.9913,2.9927,5489.53849531,16431.910667313676
1659726000,2022-08-05 19:00:00,SFUND/USDT,2.983,2.9974,2.983,2.9974,435.62520398,1301.713583673997
1659722400,2022-08-05 18:00:00,SFUND/USDT,2.995,3.0008,2.96,2.99,14053.90950532,41835.386296790748
1659718800,2022-08-05 17:00:00,SFUND/USDT,3.0193,3.0224,2.9901,2.9997,43009.94733164,129201.031415091216
1659715200,2022-08-05 16:00:00,SFUND/USDT,3.0189,3.0865,2.9879,3.0193,44178.58257545,133159.361992973622
1659711600,2022-08-05 15:00:00,SFUND/USDT,3.0387,3.07,2.9992,3.0189,27626.56948155,83963.275674993063
1659708000,2022-08-05 14:00:00,SFUND/USDT,2.9826,3.0542,2.9795,3.0387,29897.15062617,90206.958424080004
1659704400,2022-08-05 13:00:00,SFUND/USDT,3.003,3.0219,2.97,2.984,23669.10323925,70830.675019131584
