https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UAH,Volume ETH
1657497600000,2022-07-11 00:00:00,ETH/UAH,43151.3194,43599.5421,39586.0499,39600.0,29537652.219768,745.90030858
1657411200000,2022-07-10 00:00:00,ETH/UAH,45185.5072,45383.8004,42771.5829,43129.4824,32115091.084802985,744.62036866
1657324800000,2022-07-09 00:00:00,ETH/UAH,44676.7741,45626.7454,43800.0004,45260.73,33944361.69240958,749.97380052
1657238400000,2022-07-08 00:00:00,ETH/UAH,43908.1276,45667.5,42377.2854,44936.5087,34248759.72967179,762.15889308
1657152000000,2022-07-07 00:00:00,ETH/UAH,40985.1758,44242.142,40546.8213,43915.4788,32147457.40316236,732.03021535
1657065600000,2022-07-06 00:00:00,ETH/UAH,39004.1075,41999.8035,38053.9573,41060.2339,29537704.089839775,719.37495928
1656979200000,2022-07-05 00:00:00,ETH/UAH,38452.1267,39500,36290.4501,38914.4538,29033936.383730244,746.09646413
1656892800000,2022-07-04 00:00:00,ETH/UAH,36225.0683,38712.2028,35151.0001,38675.0673,28041576.270774364,725.05565545
1656806400000,2022-07-03 00:00:00,ETH/UAH,36224.1736,36845.7,34908.6499,36229.8005,26762246.863836315,738.68049215
1656720000000,2022-07-02 00:00:00,ETH/UAH,36643.9533,37210.7016,35100.0,36153.9363,27149896.91563048,750.95272311
1656633600000,2022-07-01 00:00:00,ETH/UAH,36813.2511,39699.6,35550.0004,36704.3469,26954245.266786788,734.36111914
1656547200000,2022-06-30 00:00:00,ETH/UAH,38286.5924,38990.4872,35050.0,37295.8183,28395774.767972484,761.36618158
1656460800000,2022-06-29 00:00:00,ETH/UAH,40233.1608,40972.2856,37900.0001,38415.115,29224779.80835099,760.76252299
1656374400000,2022-06-28 00:00:00,ETH/UAH,41424.1092,41781.5801,40514.9615,41356.3786,1036432.343052032,25.06100336
1656288000000,2022-06-27 00:00:00,ETH/UAH,41692.2754,42989.4274,40704.3,41370.7204,31196754.862870775,754.07811518
1656201600000,2022-06-26 00:00:00,ETH/UAH,43193.547,44177.4402,41578.7283,41707.0934,30397132.41771792,728.82404262
1656115200000,2022-06-25 00:00:00,ETH/UAH,43094.9924,43666.0,41207.0059,43223.4562,31752043.122745484,734.60213306
1656028800000,2022-06-24 00:00:00,ETH/UAH,39986.3271,43674.6734,38954.3032,43206.7836,33154139.276429486,767.33643456
1655942400000,2022-06-23 00:00:00,ETH/UAH,37026.9777,40301.5553,36811.1628,39811.3693,27984758.469587967,702.93383427
1655856000000,2022-06-22 00:00:00,ETH/UAH,39847.0736,39974.6345,36500.0,36923.483,27796327.682579603,752.80892874
