https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BMON,Volume USDT
1660953600,2022-08-20 00:00:00,BMON/USDT,0.01676,0.0185,0.01676,0.01755,3885143.5265,69510.594712803
1660867200,2022-08-19 00:00:00,BMON/USDT,0.01778,0.01778,0.0164,0.01675,447000.9781,7621.638928352
1660780800,2022-08-18 00:00:00,BMON/USDT,0.01787,0.019,0.0176,0.01778,2601927.0991,47023.519511066
1660694400,2022-08-17 00:00:00,BMON/USDT,0.01728,0.01869,0.0164,0.01771,3012728.6044,53456.860436574
1660608000,2022-08-16 00:00:00,BMON/USDT,0.01755,0.01804,0.01711,0.01714,528270.4761,9094.536350089
1660521600,2022-08-15 00:00:00,BMON/USDT,0.01782,0.01859,0.0172,0.01755,748212.2076,13347.123079459
1660435200,2022-08-14 00:00:00,BMON/USDT,0.01776,0.02,0.0176,0.01782,1720905.0759,31498.481039773
1660348800,2022-08-13 00:00:00,BMON/USDT,0.01793,0.01855,0.01745,0.01775,585336.4452,10548.440413454
1660262400,2022-08-12 00:00:00,BMON/USDT,0.018,0.01929,0.0174,0.0181,1182651.3402,21343.237854723
1660176000,2022-08-11 00:00:00,BMON/USDT,0.0186,0.0225,0.018,0.018,2677194.4701,53688.815635013
1660089600,2022-08-10 00:00:00,BMON/USDT,0.01739,0.01939,0.01671,0.01862,1560404.5302,28537.00683315
1660003200,2022-08-09 00:00:00,BMON/USDT,0.01784,0.01797,0.0161,0.01722,1073707.1662,18539.824165979
1659916800,2022-08-08 00:00:00,BMON/USDT,0.0201,0.02083,0.01761,0.018,2010520.4777,38101.867232042
1659830400,2022-08-07 00:00:00,BMON/USDT,0.0154,0.024,0.01525,0.02017,11965662.8582,229716.878711809
1659744000,2022-08-06 00:00:00,BMON/USDT,0.01575,0.01596,0.0153,0.01547,231279.6882,3600.678802544
1659657600,2022-08-05 00:00:00,BMON/USDT,0.01504,0.01609,0.01481,0.01575,371645.3816,5773.981613741
1659571200,2022-08-04 00:00:00,BMON/USDT,0.01482,0.0154,0.0147,0.01504,277450.6412,4169.164479715
1659484800,2022-08-03 00:00:00,BMON/USDT,0.01419,0.01559,0.01393,0.01481,960541.7555,14322.414736705
1659398400,2022-08-02 00:00:00,BMON/USDT,0.01407,0.0144,0.01361,0.0144,100255.9399,1401.53902633
1659312000,2022-08-01 00:00:00,BMON/USDT,0.01432,0.01488,0.01381,0.01408,344317.6617,4940.461378231
1659225600,2022-07-31 00:00:00,BMON/USDT,0.01485,0.0152,0.01421,0.01444,623217.635,9214.107468311
1659139200,2022-07-30 00:00:00,BMON/USDT,0.01488,0.0157,0.01432,0.01481,757206.6138,11280.572426202
1659052800,2022-07-29 00:00:00,BMON/USDT,0.01419,0.0166,0.0141,0.01491,1305392.24222877,19469.4122724779746
1658966400,2022-07-28 00:00:00,BMON/USDT,0.014,0.01478,0.01372,0.0142,563455.8281,8094.313449957
1658880000,2022-07-27 00:00:00,BMON/USDT,0.01359,0.01415,0.0133,0.01415,222483.611,3022.552133493
1658793600,2022-07-26 00:00:00,BMON/USDT,0.01314,0.01358,0.0125,0.01358,689796.191,8956.542013765
1658707200,2022-07-25 00:00:00,BMON/USDT,0.01392,0.01392,0.01314,0.01314,211188.0437,2858.664560165
1658620800,2022-07-24 00:00:00,BMON/USDT,0.01404,0.0144,0.0137,0.01393,421219.2234,5834.767823433
1658534400,2022-07-23 00:00:00,BMON/USDT,0.0144,0.01461,0.0136,0.01403,354319.7404,4913.422846338
1658448000,2022-07-22 00:00:00,BMON/USDT,0.01459,0.01489,0.01416,0.01439,110292.8253,1609.034707065
1658361600,2022-07-21 00:00:00,BMON/USDT,0.01403,0.0149,0.01381,0.01459,995246.8325,14073.824873367
1658275200,2022-07-20 00:00:00,BMON/USDT,0.01457,0.01457,0.014,0.01414,419147.33811197,5911.417495789974
1658188800,2022-07-19 00:00:00,BMON/USDT,0.01458,0.01504,0.01393,0.01457,1041686.53599945,15145.8149837369533
1658102400,2022-07-18 00:00:00,BMON/USDT,0.01378,0.01461,0.0136,0.01445,763479.95232639,10745.1514552998145
1658016000,2022-07-17 00:00:00,BMON/USDT,0.0137,0.01428,0.01355,0.0136,493586.16092566,6826.2780353550798
1657929600,2022-07-16 00:00:00,BMON/USDT,0.01359,0.01415,0.0132,0.01357,1760463.2542625,24106.1215936303521
1657843200,2022-07-15 00:00:00,BMON/USDT,0.01359,0.03258,0.01331,0.01345,15231189.6788106,272408.9148677767317
1657756800,2022-07-14 00:00:00,BMON/USDT,0.0136,0.01415,0.01321,0.01377,279599.38974156,3811.8046078234607
1657670400,2022-07-13 00:00:00,BMON/USDT,0.01319,0.0138,0.01308,0.0136,786073.90796455,10467.8107563737003
1657584000,2022-07-12 00:00:00,BMON/USDT,0.01296,0.01383,0.01251,0.0132,1656450.9273806,21817.6288343088103
1657497600,2022-07-11 00:00:00,BMON/USDT,0.01379,0.0138,0.01299,0.01299,126051.98624558,1677.9265525838742
1657411200,2022-07-10 00:00:00,BMON/USDT,0.0138,0.0138,0.013,0.01379,305407.89583891,4092.2366424850686
1657324800,2022-07-09 00:00:00,BMON/USDT,0.01389,0.01416,0.01371,0.01376,135555.88365113,1900.180944223569
1657238400,2022-07-08 00:00:00,BMON/USDT,0.01431,0.0148,0.01371,0.01389,1609499.97763879,22743.4079723032949
1657152000,2022-07-07 00:00:00,BMON/USDT,0.01419,0.01463,0.0138,0.01431,5288602.01937667,75310.291087713005
1657065600,2022-07-06 00:00:00,BMON/USDT,0.01408,0.01439,0.01382,0.01407,6828824.62953677,95963.8210689847247
1656979200,2022-07-05 00:00:00,BMON/USDT,0.01411,0.01464,0.01336,0.01406,11295516.43747184,159190.4430189137098
1656892800,2022-07-04 00:00:00,BMON/USDT,0.0134,0.01442,0.0131,0.01408,5869623.6718633,80976.7986049936656
1656806400,2022-07-03 00:00:00,BMON/USDT,0.0136,0.01428,0.0125,0.01352,3113270.42087576,41655.696153375405
1656720000,2022-07-02 00:00:00,BMON/USDT,0.01335,0.01428,0.0131,0.0136,1632581.40978281,22408.7947038170509
1656633600,2022-07-01 00:00:00,BMON/USDT,0.0133,0.01403,0.01327,0.01336,7382263.35130367,99759.703906026609
1656547200,2022-06-30 00:00:00,BMON/USDT,0.0136,0.01382,0.01284,0.01338,11642395.74030001,153899.8606572242793
1656460800,2022-06-29 00:00:00,BMON/USDT,0.01407,0.01438,0.0129,0.01357,6295528.35488592,85480.7294126266557
