https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SDAO,Volume USDT
1660176000,2022-08-11 00:00:00,SDAO/USDT,0.4246,0.5238,0.4225,0.4644,309171.8794,142162.98361742
1660089600,2022-08-10 00:00:00,SDAO/USDT,0.4084,0.4405,0.3961,0.4251,127079.0627,53062.43696327
1660003200,2022-08-09 00:00:00,SDAO/USDT,0.4083,0.4177,0.396,0.4085,120939.1257,49148.94113121
1659916800,2022-08-08 00:00:00,SDAO/USDT,0.4008,0.4229,0.3987,0.4098,98928.5625,40309.56040789
1659830400,2022-08-07 00:00:00,SDAO/USDT,0.4101,0.4141,0.3985,0.4015,67138.6328,27074.62269429
1659744000,2022-08-06 00:00:00,SDAO/USDT,0.3928,0.4208,0.3928,0.4099,103201.6136,42032.13101349
1659657600,2022-08-05 00:00:00,SDAO/USDT,0.3876,0.403,0.3866,0.3929,113155.0327,44734.4622685
1659571200,2022-08-04 00:00:00,SDAO/USDT,0.3863,0.4073,0.3792,0.388,183365.976,70869.06321005
1659484800,2022-08-03 00:00:00,SDAO/USDT,0.3573,0.4269,0.3567,0.3856,194957.3443,74338.73942669
1659398400,2022-08-02 00:00:00,SDAO/USDT,0.386,0.4059,0.3571,0.3573,242807.6983,90252.50696232
1659312000,2022-08-01 00:00:00,SDAO/USDT,0.39,0.3947,0.3704,0.386,255013.3338,98006.46672426
1659225600,2022-07-31 00:00:00,SDAO/USDT,0.4095,0.47,0.3845,0.39,307401.9262,124224.4506917
1659139200,2022-07-30 00:00:00,SDAO/USDT,0.3954,0.4621,0.3918,0.4136,215511.3264,88436.40904817
1659052800,2022-07-29 00:00:00,SDAO/USDT,0.4032,0.4032,0.38,0.396,148492.3019,58056.18611814
1658966400,2022-07-28 00:00:00,SDAO/USDT,0.3659,0.44,0.3538,0.4032,303486.233,117316.58984204
1658880000,2022-07-27 00:00:00,SDAO/USDT,0.3549,0.3811,0.3485,0.3663,199144.0032,72746.93072537
1658793600,2022-07-26 00:00:00,SDAO/USDT,0.342,0.3584,0.3311,0.354,144536.6005,49529.84449817
1658707200,2022-07-25 00:00:00,SDAO/USDT,0.371,0.3721,0.3423,0.3423,132498.9579,47794.37883624
1658620800,2022-07-24 00:00:00,SDAO/USDT,0.35,0.3931,0.3451,0.3716,153472.1598,56708.63561082
1658534400,2022-07-23 00:00:00,SDAO/USDT,0.3553,0.3989,0.343,0.349,356655.7341,130810.45963476
1658448000,2022-07-22 00:00:00,SDAO/USDT,0.326,0.4782,0.318,0.3566,674831.56489188,244008.03743798696
1658361600,2022-07-21 00:00:00,SDAO/USDT,0.348,0.3499,0.3148,0.3252,185470.613,61357.51235189
1658275200,2022-07-20 00:00:00,SDAO/USDT,0.376,0.3844,0.3384,0.348,181484.68437676,64234.179579371508
1658188800,2022-07-19 00:00:00,SDAO/USDT,0.3651,0.3837,0.3286,0.3743,174414.37573944,60978.812152133634
1658102400,2022-07-18 00:00:00,SDAO/USDT,0.3273,0.392,0.326,0.3664,238594.36621484,85608.63109012867
1658016000,2022-07-17 00:00:00,SDAO/USDT,0.3535,0.3728,0.3267,0.3269,209416.98389207,71357.684836544382
1657929600,2022-07-16 00:00:00,SDAO/USDT,0.3557,0.39,0.34,0.354,278916.85429243,97408.538805721135
1657843200,2022-07-15 00:00:00,SDAO/USDT,0.38,0.3849,0.3546,0.3562,304812.06455752,112715.471698263331
1657756800,2022-07-14 00:00:00,SDAO/USDT,0.4105,0.4149,0.38,0.3801,305487.3852819,118640.745405545615
1657670400,2022-07-13 00:00:00,SDAO/USDT,0.4179,0.418,0.391,0.4066,253803.71442222,101903.191277353159
1657584000,2022-07-12 00:00:00,SDAO/USDT,0.4218,0.4641,0.3937,0.4183,304632.91790498,125590.967259979473
1657497600,2022-07-11 00:00:00,SDAO/USDT,0.452,0.452,0.4207,0.421,93963.47271153,41536.746187001567
1657411200,2022-07-10 00:00:00,SDAO/USDT,0.4577,0.4582,0.4449,0.452,62050.92008277,28073.578558564724
1657324800,2022-07-09 00:00:00,SDAO/USDT,0.4492,0.4737,0.4486,0.459,55145.00932739,25419.304179632496
1657238400,2022-07-08 00:00:00,SDAO/USDT,0.4676,0.5049,0.4485,0.4485,118945.77027957,56334.243124612161
1657152000,2022-07-07 00:00:00,SDAO/USDT,0.499,0.514,0.461,0.4659,64120.10560651,31540.065166519678
1657065600,2022-07-06 00:00:00,SDAO/USDT,0.5148,0.5351,0.4878,0.4999,114685.42575034,58420.128918533828
1656979200,2022-07-05 00:00:00,SDAO/USDT,0.5298,0.5452,0.4993,0.5157,129947.0650317,67721.592360731558
1656892800,2022-07-04 00:00:00,SDAO/USDT,0.4674,0.53,0.4598,0.53,181864.53165337,91104.364077002529
1656806400,2022-07-03 00:00:00,SDAO/USDT,0.4534,0.5148,0.448,0.4675,78215.73601564,36455.316189489948
1656720000,2022-07-02 00:00:00,SDAO/USDT,0.4426,0.4629,0.4281,0.455,78610.29619201,35072.616728147038
1656633600,2022-07-01 00:00:00,SDAO/USDT,0.4182,0.4511,0.416,0.4441,252760.40201613,110890.550008598531
1656547200,2022-06-30 00:00:00,SDAO/USDT,0.4545,0.4596,0.394,0.4201,520403.7389863,219231.892119117643
1656460800,2022-06-29 00:00:00,SDAO/USDT,0.4841,0.492,0.4448,0.455,383536.97301959,181277.651541563587
1656374400,2022-06-28 00:00:00,SDAO/USDT,0.5018,0.5129,0.4816,0.4864,205787.08269359,103488.879073945322
1656288000,2022-06-27 00:00:00,SDAO/USDT,0.512,0.5914,0.495,0.4999,176357.35232259,91824.184988583854
1656201600,2022-06-26 00:00:00,SDAO/USDT,0.5229,0.525,0.512,0.512,83248.01079197,43065.014717713472
1656115200,2022-06-25 00:00:00,SDAO/USDT,0.5001,0.57,0.4989,0.5238,141298.0942839,72669.987333254369
1656028800,2022-06-24 00:00:00,SDAO/USDT,0.5062,0.5292,0.49,0.5023,250762.60016511,128986.594709634084
1655942400,2022-06-23 00:00:00,SDAO/USDT,0.5003,0.5327,0.5,0.5063,162955.40254515,83680.709190005494
1655856000,2022-06-22 00:00:00,SDAO/USDT,0.4961,0.64,0.4836,0.5003,664221.33274682,366893.15698219446
1655769600,2022-06-21 00:00:00,SDAO/USDT,0.497,0.5686,0.4934,0.4997,191487.58884107,97152.95089987676
1655683200,2022-06-20 00:00:00,SDAO/USDT,0.538,0.538,0.4956,0.4997,144214.85302612,74739.423975328081
1655596800,2022-06-19 00:00:00,SDAO/USDT,0.5067,0.5465,0.4928,0.5357,181282.47671964,93482.516547359976
1655510400,2022-06-18 00:00:00,SDAO/USDT,0.5209,0.5236,0.481,0.5082,202676.7158286,103375.484456960053
1655424000,2022-06-17 00:00:00,SDAO/USDT,0.5003,0.537,0.5,0.5193,230808.49790491,120071.774591529088
1655337600,2022-06-16 00:00:00,SDAO/USDT,0.5574,0.566,0.501,0.501,100573.98359978,53521.617365065935
1655251200,2022-06-15 00:00:00,SDAO/USDT,0.55,0.5715,0.505,0.5574,251445.38650793,135682.16798162021
