https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EPS,Volume USDT
1647302400,2022-03-15 00:00:00,EPS/USDT,0.1552,0.1686,0.1494,0.1619,448496.67908265,70803.197711606446
1647216000,2022-03-14 00:00:00,EPS/USDT,0.1499,0.1572,0.1488,0.1543,201706.12676866,31025.042596883753
1647129600,2022-03-13 00:00:00,EPS/USDT,0.1587,0.1605,0.1486,0.1504,239228.56552207,37341.491102453522
1647043200,2022-03-12 00:00:00,EPS/USDT,0.16,0.1635,0.1586,0.1588,282700.46476398,45588.88987744393
1646956800,2022-03-11 00:00:00,EPS/USDT,0.1644,0.1694,0.1585,0.16,360769.81007868,58978.7928109557
1646870400,2022-03-10 00:00:00,EPS/USDT,0.1706,0.1722,0.1559,0.1645,501146.58404897,81853.281486623229
1646784000,2022-03-09 00:00:00,EPS/USDT,0.1581,0.1716,0.1576,0.1709,406581.66817189,67993.7792958083
1646697600,2022-03-08 00:00:00,EPS/USDT,0.1577,0.1614,0.1552,0.158,328176.48413361,51949.49270231896
1646611200,2022-03-07 00:00:00,EPS/USDT,0.1607,0.1654,0.15,0.1575,444369.17732702,70434.367887444854
1646524800,2022-03-06 00:00:00,EPS/USDT,0.1676,0.1686,0.1592,0.1605,342911.61580844,56086.315743195768
1646438400,2022-03-05 00:00:00,EPS/USDT,0.1586,0.1702,0.155,0.1682,338994.89802916,55242.664027645915
1646352000,2022-03-04 00:00:00,EPS/USDT,0.1743,0.1743,0.158,0.1591,290178.83146869,48352.872668970688
1646265600,2022-03-03 00:00:00,EPS/USDT,0.1771,0.1777,0.1687,0.1746,276635.9184831,47970.0016955992
1646179200,2022-03-02 00:00:00,EPS/USDT,0.1784,0.1818,0.174,0.1763,454175.77668084,80589.879352785737
1646092800,2022-03-01 00:00:00,EPS/USDT,0.1762,0.1858,0.1727,0.1785,379524.04212879,67931.027439555572
1646006400,2022-02-28 00:00:00,EPS/USDT,0.1588,0.177,0.1574,0.1757,496275.78619971,83758.035089269791
1645920000,2022-02-27 00:00:00,EPS/USDT,0.1698,0.1756,0.1568,0.1596,453508.36470477,75330.873224321188
1645833600,2022-02-26 00:00:00,EPS/USDT,0.1675,0.175,0.1675,0.1702,439420.37475976,75211.527158683803
1645747200,2022-02-25 00:00:00,EPS/USDT,0.1595,0.172,0.1574,0.168,306461.90384256,50531.472194789545
1645660800,2022-02-24 00:00:00,EPS/USDT,0.1658,0.1672,0.1421,0.1597,903940.5480015,135978.205841017108
1645574400,2022-02-23 00:00:00,EPS/USDT,0.1715,0.1817,0.166,0.166,470479.76215601,81653.078029914727
1645488000,2022-02-22 00:00:00,EPS/USDT,0.1682,0.1739,0.1627,0.1717,488487.71857015,82271.203995313969
1645401600,2022-02-21 00:00:00,EPS/USDT,0.1801,0.1954,0.1683,0.1683,437596.09708636,79464.767269195955
1645315200,2022-02-20 00:00:00,EPS/USDT,0.1955,0.1962,0.176,0.1803,533765.35944874,96580.928361115506
1645228800,2022-02-19 00:00:00,EPS/USDT,0.1981,0.203,0.191,0.1953,451059.72758321,88890.752885642549
1645142400,2022-02-18 00:00:00,EPS/USDT,0.2042,0.2151,0.1978,0.1995,587735.79811872,120969.774699875075
1645056000,2022-02-17 00:00:00,EPS/USDT,0.2298,0.231,0.202,0.205,675481.43596784,145875.010656441913
1644969600,2022-02-16 00:00:00,EPS/USDT,0.2395,0.2399,0.2221,0.2289,985756.84248707,226982.389797631055
1644883200,2022-02-15 00:00:00,EPS/USDT,0.2427,0.2699,0.2346,0.2396,2866444.6298437,713677.481124900573
1644796800,2022-02-14 00:00:00,EPS/USDT,0.2057,0.2702,0.2003,0.2426,4738318.04011285,1147747.782534764022
1644710400,2022-02-13 00:00:00,EPS/USDT,0.2034,0.2331,0.2017,0.2054,1347346.04678554,290498.733067131452
1644624000,2022-02-12 00:00:00,EPS/USDT,0.2162,0.2207,0.1982,0.2037,1084299.16647326,226551.026516799079
1644537600,2022-02-11 00:00:00,EPS/USDT,0.2576,0.2744,0.2078,0.2163,2424136.3038265,574160.484692068784
1644451200,2022-02-10 00:00:00,EPS/USDT,0.2192,0.3,0.2093,0.2589,9985345.61888205,2579591.390500634614
1644364800,2022-02-09 00:00:00,EPS/USDT,0.1857,0.2262,0.1811,0.2187,897045.98506756,183970.644744557008
1644278400,2022-02-08 00:00:00,EPS/USDT,0.1942,0.2042,0.1784,0.1857,632168.59206356,119776.054091906865
1644192000,2022-02-07 00:00:00,EPS/USDT,0.1874,0.1969,0.186,0.1946,658364.52425724,126544.108670081663
1644105600,2022-02-06 00:00:00,EPS/USDT,0.1853,0.19,0.1813,0.1875,281088.87315303,52073.209485988507
1644019200,2022-02-05 00:00:00,EPS/USDT,0.1878,0.1986,0.1806,0.1845,468297.089342,88093.382213128606
1643932800,2022-02-04 00:00:00,EPS/USDT,0.1703,0.1966,0.1664,0.1888,885013.032847,160955.654644065332
1643846400,2022-02-03 00:00:00,EPS/USDT,0.1604,0.175,0.156,0.1703,640699.06009211,106800.916295898355
1643760000,2022-02-02 00:00:00,EPS/USDT,0.1688,0.1731,0.1568,0.1613,632254.36118888,104965.503244974917
1643673600,2022-02-01 00:00:00,EPS/USDT,0.1618,0.172,0.1596,0.1688,330853.19062134,55270.390968073265
1643587200,2022-01-31 00:00:00,EPS/USDT,0.1592,0.1659,0.1541,0.1618,113114.86621609,17911.125959438329
1643500800,2022-01-30 00:00:00,EPS/USDT,0.1617,0.1619,0.1532,0.1596,129876.5855687,20508.287295671528
1643414400,2022-01-29 00:00:00,EPS/USDT,0.1622,0.1672,0.1584,0.161,146860.3832624,23723.49552580713
1643328000,2022-01-28 00:00:00,EPS/USDT,0.1577,0.162,0.1519,0.1613,149422.81168868,23441.00061247794
1643241600,2022-01-27 00:00:00,EPS/USDT,0.1611,0.1623,0.148,0.1572,291388.74418281,45145.512625672661
1643155200,2022-01-26 00:00:00,EPS/USDT,0.163,0.175,0.1566,0.1607,319208.78921332,53084.913062346101
1643068800,2022-01-25 00:00:00,EPS/USDT,0.1621,0.1673,0.1577,0.1637,151868.67889552,24729.494138322892
1642982400,2022-01-24 00:00:00,EPS/USDT,0.1674,0.1674,0.1488,0.1621,290173.42089196,45759.933337540354
1642896000,2022-01-23 00:00:00,EPS/USDT,0.1604,0.1731,0.1573,0.1685,381881.25903548,62561.697380172929
1642809600,2022-01-22 00:00:00,EPS/USDT,0.1727,0.1883,0.142,0.1606,1242110.43537413,201199.865893886092
1642723200,2022-01-21 00:00:00,EPS/USDT,0.2047,0.2071,0.1702,0.1724,545176.38917105,103708.788074667213
1642636800,2022-01-20 00:00:00,EPS/USDT,0.2096,0.2188,0.2046,0.2055,631678.34603746,134547.823380053743
1642550400,2022-01-19 00:00:00,EPS/USDT,0.213,0.2166,0.2071,0.2088,184193.64860458,38938.796363509056
1642464000,2022-01-18 00:00:00,EPS/USDT,0.2197,0.2255,0.2092,0.213,295188.29075991,63566.539555814431
1642377600,2022-01-17 00:00:00,EPS/USDT,0.239,0.2393,0.2166,0.2199,508533.3772441,114527.23626000889
1642291200,2022-01-16 00:00:00,EPS/USDT,0.2333,0.25,0.2279,0.2387,1237637.32352763,292693.8470656906
1642204800,2022-01-15 00:00:00,EPS/USDT,0.2316,0.243,0.2286,0.2333,295777.29963117,69472.093927042309
1642118400,2022-01-14 00:00:00,EPS/USDT,0.2305,0.2377,0.2198,0.2319,293616.7249586,66914.442537673264
1642032000,2022-01-13 00:00:00,EPS/USDT,0.2425,0.2663,0.2274,0.231,375315.98794366,89437.806185780929
1641945600,2022-01-12 00:00:00,EPS/USDT,0.2309,0.2697,0.2213,0.2419,638390.81813507,153623.760536134992
1641859200,2022-01-11 00:00:00,EPS/USDT,0.2106,0.2371,0.2093,0.2307,592615.93789294,132732.798556143408
1641772800,2022-01-10 00:00:00,EPS/USDT,0.218,0.2225,0.1955,0.2115,369330.54075977,78223.946160647215
1641686400,2022-01-09 00:00:00,EPS/USDT,0.2168,0.2255,0.2145,0.2179,176272.54208673,38698.336347577163
1641600000,2022-01-08 00:00:00,EPS/USDT,0.2256,0.2404,0.2106,0.2168,325704.77294412,73301.327250771507
1641513600,2022-01-07 00:00:00,EPS/USDT,0.2515,0.2515,0.2218,0.2255,570545.9299042,132202.393731440512
1641427200,2022-01-06 00:00:00,EPS/USDT,0.26,0.2626,0.2403,0.2514,591801.47252876,148017.376006497293
1641340800,2022-01-05 00:00:00,EPS/USDT,0.2849,0.3008,0.2358,0.2604,1031896.13073036,290670.232750437122
1641254400,2022-01-04 00:00:00,EPS/USDT,0.2829,0.3237,0.2791,0.2843,1782098.79463926,531689.753888312637
1641168000,2022-01-03 00:00:00,EPS/USDT,0.2738,0.2899,0.2675,0.2837,486712.27068985,135998.642441040249
1641081600,2022-01-02 00:00:00,EPS/USDT,0.2717,0.29,0.2649,0.2742,535048.76733941,147838.119185181032
1640995200,2022-01-01 00:00:00,EPS/USDT,0.2614,0.272,0.2609,0.2709,394890.13090177,105127.544097312085
1640908800,2021-12-31 00:00:00,EPS/USDT,0.266,0.2743,0.2533,0.2611,767650.57912077,204259.419475975667
1640822400,2021-12-30 00:00:00,EPS/USDT,0.2664,0.2784,0.2629,0.266,413455.54516716,111430.049616747412
1640736000,2021-12-29 00:00:00,EPS/USDT,0.3077,0.3211,0.266,0.2667,936665.65370756,272807.063492354448
1640649600,2021-12-28 00:00:00,EPS/USDT,0.2925,0.35,0.2803,0.3058,2982117.20018337,934754.118712425956
