https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LOKA,Volume USDT
1661472000,2022-08-26 00:00:00,LOKA/USDT,0.5957,0.5998,0.52,0.5258,58408.53390402,33224.7559506112
1661385600,2022-08-25 00:00:00,LOKA/USDT,0.5981,0.609,0.5948,0.5962,20229.0997,12128.78156319
1661299200,2022-08-24 00:00:00,LOKA/USDT,0.6006,0.6258,0.5906,0.596,48866.8041,29542.77297933
1661212800,2022-08-23 00:00:00,LOKA/USDT,0.6015,0.6052,0.5886,0.6009,9069.2333,5439.1056824
1661126400,2022-08-22 00:00:00,LOKA/USDT,0.6151,0.6151,0.5838,0.6006,14227.4035,8551.3790859
1661040000,2022-08-21 00:00:00,LOKA/USDT,0.5999,0.6287,0.5998,0.6198,12406.4969,7633.4668042
1660953600,2022-08-20 00:00:00,LOKA/USDT,0.603,0.6264,0.588,0.5994,62194.3608,38226.82627241
1660867200,2022-08-19 00:00:00,LOKA/USDT,0.6482,0.65,0.5859,0.6027,65064.1992,39590.21044285
1660780800,2022-08-18 00:00:00,LOKA/USDT,0.6872,0.7022,0.6486,0.6516,47187.7724,32142.11643737
1660694400,2022-08-17 00:00:00,LOKA/USDT,0.7617,0.7713,0.682,0.6868,58516.5774,41900.47527827
1660608000,2022-08-16 00:00:00,LOKA/USDT,0.784,0.7986,0.7563,0.7588,66164.5297,51366.17884643
1660521600,2022-08-15 00:00:00,LOKA/USDT,0.7569,0.7976,0.7536,0.7842,86570.9481,67125.02834702
1660435200,2022-08-14 00:00:00,LOKA/USDT,0.7719,0.8172,0.7508,0.7585,139175.6721,108596.61718593
1660348800,2022-08-13 00:00:00,LOKA/USDT,0.7788,0.7915,0.7611,0.77,16650.4213,12897.73344666
1660262400,2022-08-12 00:00:00,LOKA/USDT,0.776,0.7864,0.7591,0.779,16658.9088,12812.46126829
1660176000,2022-08-11 00:00:00,LOKA/USDT,0.7945,0.821,0.7765,0.7765,19143.3033,15209.95267642
1660089600,2022-08-10 00:00:00,LOKA/USDT,0.7633,0.8112,0.7473,0.794,55471.9293,43678.77769118
1660003200,2022-08-09 00:00:00,LOKA/USDT,0.8057,0.8225,0.7505,0.7636,29917.0426,23655.73294267
1659916800,2022-08-08 00:00:00,LOKA/USDT,0.7907,0.836,0.7902,0.8098,38666.2927,31637.02432461
1659830400,2022-08-07 00:00:00,LOKA/USDT,0.7874,0.8052,0.7769,0.7913,34492.8283,27394.1521547
1659744000,2022-08-06 00:00:00,LOKA/USDT,0.8227,0.8236,0.7876,0.7876,61301.9149,49070.50809344
1659657600,2022-08-05 00:00:00,LOKA/USDT,0.8335,0.845,0.7907,0.8225,119824.3885,98230.40966676
1659571200,2022-08-04 00:00:00,LOKA/USDT,0.8031,0.905,0.8,0.833,267773.4829,221745.73159681
1659484800,2022-08-03 00:00:00,LOKA/USDT,0.9184,0.95,0.7816,0.8025,276997.4113,239893.70593422
1659398400,2022-08-02 00:00:00,LOKA/USDT,0.7819,0.9892,0.764,0.9167,354638.983,312403.00063911
1659312000,2022-08-01 00:00:00,LOKA/USDT,0.8,0.8254,0.7469,0.7817,100371.8732,78622.9845215
1659225600,2022-07-31 00:00:00,LOKA/USDT,0.7679,0.8914,0.764,0.7986,164316.7509,134893.53992907
1659139200,2022-07-30 00:00:00,LOKA/USDT,0.7759,0.86,0.7591,0.7683,135231.1566,109247.49531953
1659052800,2022-07-29 00:00:00,LOKA/USDT,0.842,0.8862,0.754,0.7759,192448.6045,157149.63822956
1658966400,2022-07-28 00:00:00,LOKA/USDT,0.6722,1.0009,0.6622,0.8458,312552.68912369,254682.936129305932
1658880000,2022-07-27 00:00:00,LOKA/USDT,0.6152,0.6722,0.6087,0.6722,19139.629,12240.74672483
1658793600,2022-07-26 00:00:00,LOKA/USDT,0.6197,0.625,0.59,0.6144,49920.7114,30387.58069731
1658707200,2022-07-25 00:00:00,LOKA/USDT,0.7022,0.72,0.6196,0.624,102679.9629,67411.18390648
1658620800,2022-07-24 00:00:00,LOKA/USDT,0.6197,0.7969,0.6197,0.7021,260778.8451,187174.13661328
1658534400,2022-07-23 00:00:00,LOKA/USDT,0.6097,0.636,0.5909,0.6158,29329.1886,18122.80032604
1658448000,2022-07-22 00:00:00,LOKA/USDT,0.6632,0.6772,0.6071,0.61,48692.9782,31403.18676912
1658361600,2022-07-21 00:00:00,LOKA/USDT,0.6766,0.6814,0.6346,0.6613,59180.4164,38942.93457566
1658275200,2022-07-20 00:00:00,LOKA/USDT,0.7035,0.7626,0.67,0.6765,122299.55117809,88329.971170261397
1658188800,2022-07-19 00:00:00,LOKA/USDT,0.6932,0.7893,0.6883,0.7002,266428.64582564,193156.225924405719
1658102400,2022-07-18 00:00:00,LOKA/USDT,0.6051,0.7376,0.6051,0.6985,218250.3782623,149641.480254578296
1658016000,2022-07-17 00:00:00,LOKA/USDT,0.6407,0.6775,0.6027,0.6027,63897.79315035,41588.519230624362
1657929600,2022-07-16 00:00:00,LOKA/USDT,0.6172,0.647,0.5921,0.64,99919.40686759,61518.214746762713
1657843200,2022-07-15 00:00:00,LOKA/USDT,0.5973,0.63,0.5819,0.6147,54716.28371553,33172.096828957923
1657756800,2022-07-14 00:00:00,LOKA/USDT,0.5619,0.6732,0.5582,0.5972,276593.76622556,167701.865709545818
1657670400,2022-07-13 00:00:00,LOKA/USDT,0.514,0.5694,0.5118,0.5614,42186.8658306,22912.176585875255
1657584000,2022-07-12 00:00:00,LOKA/USDT,0.5327,0.5522,0.5129,0.5129,16232.52826535,8652.196742182611
1657497600,2022-07-11 00:00:00,LOKA/USDT,0.5697,0.57,0.5315,0.5337,28802.21455757,15859.178748055701
1657411200,2022-07-10 00:00:00,LOKA/USDT,0.6272,0.6272,0.5612,0.571,54986.64121783,32022.529734278699
1657324800,2022-07-09 00:00:00,LOKA/USDT,0.5946,0.664,0.5946,0.6273,38363.04894952,23934.47775317412
1657238400,2022-07-08 00:00:00,LOKA/USDT,0.5997,0.6973,0.5937,0.5937,200260.06983772,129588.610109641724
1657152000,2022-07-07 00:00:00,LOKA/USDT,0.5608,0.6716,0.5473,0.5963,157516.1177598,94535.335047548393
1657065600,2022-07-06 00:00:00,LOKA/USDT,0.5195,0.5912,0.5137,0.5621,85222.77482706,46348.171850321206
1656979200,2022-07-05 00:00:00,LOKA/USDT,0.5549,0.5596,0.5109,0.5188,27671.47271327,14840.251218317842
1656892800,2022-07-04 00:00:00,LOKA/USDT,0.5374,0.5554,0.491,0.5554,81939.4560269,43971.157858140515
1656806400,2022-07-03 00:00:00,LOKA/USDT,0.5598,0.5748,0.5186,0.5352,38119.10562792,20732.713017493102
1656720000,2022-07-02 00:00:00,LOKA/USDT,0.5496,0.5636,0.537,0.5616,6646.79609336,3671.248753397748
1656633600,2022-07-01 00:00:00,LOKA/USDT,0.5573,0.5802,0.5416,0.5503,40887.45204218,22871.39457158036
1656547200,2022-06-30 00:00:00,LOKA/USDT,0.5768,0.588,0.522,0.5575,75383.16253694,41238.424208797673
1656460800,2022-06-29 00:00:00,LOKA/USDT,0.5636,0.5786,0.5514,0.5766,44545.02124358,25159.157223708244
1656374400,2022-06-28 00:00:00,LOKA/USDT,0.6142,0.6211,0.5637,0.5658,39565.56518816,23700.269031559661
1656288000,2022-06-27 00:00:00,LOKA/USDT,0.6126,0.6608,0.6021,0.6116,54064.71010535,34270.96888912455
1656201600,2022-06-26 00:00:00,LOKA/USDT,0.655,0.7375,0.6127,0.6127,188047.78440262,128183.494247094571
1656115200,2022-06-25 00:00:00,LOKA/USDT,0.6249,0.6543,0.599,0.653,69228.98783035,43590.002465541069
1656028800,2022-06-24 00:00:00,LOKA/USDT,0.5959,0.6773,0.591,0.624,166374.80319675,106779.277542860643
1655942400,2022-06-23 00:00:00,LOKA/USDT,0.556,0.5959,0.556,0.5949,59829.22984352,34549.496073384943
1655856000,2022-06-22 00:00:00,LOKA/USDT,0.5826,0.59,0.5416,0.5513,71251.76093048,40362.861950629395
1655769600,2022-06-21 00:00:00,LOKA/USDT,0.5689,0.6213,0.5609,0.5839,123250.95618545,73704.605150046093
1655683200,2022-06-20 00:00:00,LOKA/USDT,0.5707,0.596,0.5057,0.5696,160003.9792615,89919.278659203899
1655596800,2022-06-19 00:00:00,LOKA/USDT,0.552,0.5786,0.491,0.5705,167382.81395609,91430.612438194455
1655510400,2022-06-18 00:00:00,LOKA/USDT,0.573,0.5774,0.5014,0.5495,115960.08865144,62060.154653219943
1655424000,2022-06-17 00:00:00,LOKA/USDT,0.5643,0.6027,0.5625,0.5715,76044.94295179,44550.138010403797
1655337600,2022-06-16 00:00:00,LOKA/USDT,0.6798,0.6902,0.5533,0.5667,193574.25652254,115449.432116036519
1655251200,2022-06-15 00:00:00,LOKA/USDT,0.6005,0.772,0.5527,0.6793,219572.07685755,140818.400379871727
1655164800,2022-06-14 00:00:00,LOKA/USDT,0.5683,0.6414,0.5211,0.6018,92021.64320437,53481.705419525988
1655078400,2022-06-13 00:00:00,LOKA/USDT,0.6154,0.6222,0.5337,0.5685,196024.36540655,113541.258684377196
1654992000,2022-06-12 00:00:00,LOKA/USDT,0.7331,0.7744,0.6101,0.6101,292361.99619596,198006.951962337776
1654905600,2022-06-11 00:00:00,LOKA/USDT,0.8892,0.9478,0.7259,0.7353,358083.23200615,295905.627001583484
1654819200,2022-06-10 00:00:00,LOKA/USDT,0.8217,0.9765,0.7902,0.8891,619358.01490864,549739.951444542482
1654732800,2022-06-09 00:00:00,LOKA/USDT,0.9102,0.9102,0.8163,0.822,134554.98571297,114866.434788708874
1654646400,2022-06-08 00:00:00,LOKA/USDT,0.8965,0.9678,0.8736,0.9134,203846.63121398,187065.29002942828
1654560000,2022-06-07 00:00:00,LOKA/USDT,1.0011,1.0066,0.8911,0.8956,199068.42522544,184434.798427040233
