https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WNCG,Volume BTC
1657411200,2022-07-10 00:00:00,WNCG/BTC,0.00000823,0.00000826,0.00000744,0.00000744,10071.3876,0.0800388952946
1657324800,2022-07-09 00:00:00,WNCG/BTC,0.00000776,0.000008219,0.00000772,0.000008219,20208.8908,0.1625498251896
1657238400,2022-07-08 00:00:00,WNCG/BTC,0.00000842,0.00000846,0.000007512,0.00000774,15606.9769,0.1278777993163
1657152000,2022-07-07 00:00:00,WNCG/BTC,0.00000748,0.00000922,0.00000748,0.000008477,56573.8661,0.4835190554867
1657065600,2022-07-06 00:00:00,WNCG/BTC,0.000007574,0.000008088,0.00000741,0.000007558,17437.9665,0.1329551363282
1656979200,2022-07-05 00:00:00,WNCG/BTC,0.000007939,0.00000796,0.0000073,0.00000755,18696.6053,0.1427896782505
1656892800,2022-07-04 00:00:00,WNCG/BTC,0.00000727,0.000008999,0.00000724,0.000008,67224.00384064,0.54451961467706711
1656806400,2022-07-03 00:00:00,WNCG/BTC,0.00000769,0.00000769,0.00000701,0.000007349,31495.89213688,0.2313103732313616
1656720000,2022-07-02 00:00:00,WNCG/BTC,0.00000707,0.000008999,0.00000667,0.00000767,197081.28828643,1.50981360054922723
1656633600,2022-07-01 00:00:00,WNCG/BTC,0.00000577,0.000007422,0.00000563,0.00000702,361822.88616811,2.43656113001195057
1656547200,2022-06-30 00:00:00,WNCG/BTC,0.00000601,0.00000616,0.000005696,0.00000576,45472.94807107,0.2691094525977986
1656460800,2022-06-29 00:00:00,WNCG/BTC,0.000006901,0.000006901,0.000005799,0.00000602,192282.49668744,1.2286607090592561
1656374400,2022-06-28 00:00:00,WNCG/BTC,0.000007278,0.000007532,0.000006631,0.000006763,277641.8814683,1.95373621691683152
1656288000,2022-06-27 00:00:00,WNCG/BTC,0.000006221,0.00001,0.000006221,0.00000712,725985.80320949,5.82579653463797337
1656201600,2022-06-26 00:00:00,WNCG/BTC,0.00000533,0.000007479,0.000005102,0.0000062,137837.27594544,0.836341563769092
1656115200,2022-06-25 00:00:00,WNCG/BTC,0.00000525,0.000005425,0.000005113,0.00000532,13960.8451,0.073414874346
1656028800,2022-06-24 00:00:00,WNCG/BTC,0.000005133,0.00000533,0.000004925,0.00000524,19574.8671,0.102375871272
1655942400,2022-06-23 00:00:00,WNCG/BTC,0.000005133,0.000005322,0.000004977,0.000005115,1232.7749,0.0063747953253
