https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SUSD,Volume BTC
1653004800,2022-05-20 00:00:00,SUSD/BTC,0.0000326,0.00003533,0.00003217,0.00003389,69.0405,0.002305932273
1652918400,2022-05-19 00:00:00,SUSD/BTC,0.00003424,0.00003493,0.00003244,0.00003253,4123.5042,0.139581028746
1652832000,2022-05-18 00:00:00,SUSD/BTC,0.00003282,0.00003496,0.00003011,0.00003496,245.392,0.008332325967
1652745600,2022-05-17 00:00:00,SUSD/BTC,0.00003268,0.00003426,0.0000307,0.00003269,160.7965,0.005278802216
1652659200,2022-05-16 00:00:00,SUSD/BTC,0.00003184,0.00003377,0.00003085,0.00003252,1050.08219732,0.0338290899509252
1652572800,2022-05-15 00:00:00,SUSD/BTC,0.00003278,0.00003377,0.00003163,0.00003221,51.3852,0.001696488624
1652486400,2022-05-14 00:00:00,SUSD/BTC,0.00003364,0.00003459,0.00003273,0.0000336,669.1619,0.022382894807
1652400000,2022-05-13 00:00:00,SUSD/BTC,0.00003168,0.00003431,0.00003071,0.00003368,804.87780833,0.026290870294721
1652313600,2022-05-12 00:00:00,SUSD/BTC,0.00003338,0.00003956,0.00003054,0.00003393,12782.29473354,0.4430875598206934
1652227200,2022-05-11 00:00:00,SUSD/BTC,0.00003172,0.00003395,0.00002959,0.00003346,1217.5234,0.040763471528
1652140800,2022-05-10 00:00:00,SUSD/BTC,0.00003249,0.000033,0.00003006,0.00003248,334.8451,0.010757200887
1652054400,2022-05-09 00:00:00,SUSD/BTC,0.00002912,0.00003299,0.0000289,0.00003253,2949.23425927,0.0899456302027246
1651968000,2022-05-08 00:00:00,SUSD/BTC,0.00002801,0.00002949,0.00002586,0.00002898,1391.9802,0.03964315317
1651881600,2022-05-07 00:00:00,SUSD/BTC,0.00002792,0.00002869,0.0000253,0.00002758,237.3873,0.006436331881
1651795200,2022-05-06 00:00:00,SUSD/BTC,0.00002739,0.00002836,0.00002552,0.00002727,253.4897,0.006888966045
1651708800,2022-05-05 00:00:00,SUSD/BTC,0.00002539,0.00002818,0.00002333,0.00002686,484.3113,0.012073495384
1651622400,2022-05-04 00:00:00,SUSD/BTC,0.00002607,0.00002658,0.00002379,0.00002539,189.8785,0.004812036796
1651536000,2022-05-03 00:00:00,SUSD/BTC,0.00002654,0.00002662,0.00002479,0.00002607,245.1873088,0.006367216549936
1651449600,2022-05-02 00:00:00,SUSD/BTC,0.00002605,0.00002674,0.00002413,0.00002558,1246.7546,0.031155998624
1651363200,2022-05-01 00:00:00,SUSD/BTC,0.00002632,0.00002704,0.00002409,0.00002583,141.0885,0.003663568656
1651276800,2022-04-30 00:00:00,SUSD/BTC,0.00002563,0.00002721,0.00002378,0.00002721,2815.026,0.073035741245
1651190400,2022-04-29 00:00:00,SUSD/BTC,0.00002511,0.00002633,0.00002439,0.00002633,3305.5826,0.083004861697
1651104000,2022-04-28 00:00:00,SUSD/BTC,0.00002549,0.00002654,0.00002485,0.00002516,337.7983,0.008525562192
1651017600,2022-04-27 00:00:00,SUSD/BTC,0.0000261,0.00002693,0.0000253,0.00002557,872.98557753,0.0226869396598709
1650931200,2022-04-26 00:00:00,SUSD/BTC,0.00002527,0.00002679,0.00002439,0.00002608,5210.8964,0.133334872014
1650844800,2022-04-25 00:00:00,SUSD/BTC,0.00002541,0.00002662,0.00002455,0.00002463,4807.1065,0.12365212075
1650758400,2022-04-24 00:00:00,SUSD/BTC,0.00002514,0.00002586,0.00002405,0.0000252,7786.8754,0.195347493111
1650672000,2022-04-23 00:00:00,SUSD/BTC,0.00002557,0.00002585,0.0000243,0.00002506,5886.1671,0.147927298514
1650585600,2022-04-22 00:00:00,SUSD/BTC,0.00002443,0.00002599,0.00002429,0.00002502,44.19028839,0.0011102661898026
1650499200,2022-04-21 00:00:00,SUSD/BTC,0.00002412,0.0000252,0.000022,0.0000248,2542.15027941,0.0592233677125818
1650412800,2022-04-20 00:00:00,SUSD/BTC,0.0000238,0.00002464,0.00002279,0.00002415,204.0842,0.004904751348
1650326400,2022-04-19 00:00:00,SUSD/BTC,0.00002482,0.00002499,0.00002289,0.00002372,28.5578,0.000688869967
1650240000,2022-04-18 00:00:00,SUSD/BTC,0.0000248,0.00002595,0.00002438,0.00002438,223.2469,0.005577683629
1650153600,2022-04-17 00:00:00,SUSD/BTC,0.00002441,0.00002523,0.00002429,0.00002475,691.7825,0.016997516593
1650067200,2022-04-16 00:00:00,SUSD/BTC,0.00002402,0.00002525,0.00002361,0.00002504,89.62109221,0.0021847820807682
1649980800,2022-04-15 00:00:00,SUSD/BTC,0.00002417,0.00002507,0.00002313,0.00002423,2328.3141,0.057166914708
1649894400,2022-04-14 00:00:00,SUSD/BTC,0.00002432,0.00002517,0.00002272,0.0000246,332.8347,0.008101828648
1649808000,2022-04-13 00:00:00,SUSD/BTC,0.0000246,0.00002523,0.0000236,0.00002385,174.9067,0.004199443972
1649721600,2022-04-12 00:00:00,SUSD/BTC,0.00002465,0.00002568,0.00002412,0.00002484,122.879,0.003035017309
1649635200,2022-04-11 00:00:00,SUSD/BTC,0.0000235,0.0000253,0.00002282,0.00002485,8630.12526557,0.2069815164217917
1649548800,2022-04-10 00:00:00,SUSD/BTC,0.00002352,0.00002397,0.00002286,0.00002363,4746.8293,0.110423699832
1649462400,2022-04-09 00:00:00,SUSD/BTC,0.00002351,0.00002412,0.0000231,0.00002376,4379.2671,0.102355152427
1649376000,2022-04-08 00:00:00,SUSD/BTC,0.000023,0.00002341,0.00002262,0.00002341,2564.4364,0.059331049732
1649289600,2022-04-07 00:00:00,SUSD/BTC,0.00002297,0.00002348,0.00002263,0.00002303,852.7586,0.019597996264
1649203200,2022-04-06 00:00:00,SUSD/BTC,0.00002193,0.00002325,0.00002176,0.00002269,4513.4692,0.100388002304
1649116800,2022-04-05 00:00:00,SUSD/BTC,0.00002149,0.00002239,0.00002112,0.00002176,2414.6224,0.0514830937
1649030400,2022-04-04 00:00:00,SUSD/BTC,0.00002142,0.00002236,0.00002051,0.00002125,719.5326,0.015617119289
1648944000,2022-04-03 00:00:00,SUSD/BTC,0.00002159,0.00002213,0.00002104,0.0000213,126.6068,0.002708853594
1648857600,2022-04-02 00:00:00,SUSD/BTC,0.00002217,0.00002218,0.00002102,0.00002154,60.471,0.001318505948
1648771200,2022-04-01 00:00:00,SUSD/BTC,0.0000217,0.00002262,0.00002035,0.00002138,17039.2545,0.362534316489
1648684800,2022-03-31 00:00:00,SUSD/BTC,0.00002122,0.00002244,0.00002071,0.00002172,395.0443,0.008437745154
1648598400,2022-03-30 00:00:00,SUSD/BTC,0.0000209,0.00002168,0.00002046,0.00002113,657.6546,0.01380403038
1648512000,2022-03-29 00:00:00,SUSD/BTC,0.00002125,0.00002212,0.00002047,0.00002115,3778.72871473,0.0801279947198276
1648425600,2022-03-28 00:00:00,SUSD/BTC,0.00002121,0.00002211,0.00002051,0.00002118,445.17587172,0.0094704563679684
1648339200,2022-03-27 00:00:00,SUSD/BTC,0.00002286,0.00002337,0.00002136,0.00002205,1172.8132997,0.026982338226989
1648252800,2022-03-26 00:00:00,SUSD/BTC,0.0000228,0.00002328,0.00002222,0.00002259,960.9992,0.021752696582
1648166400,2022-03-25 00:00:00,SUSD/BTC,0.00002296,0.00002304,0.00002226,0.0000227,30.1152,0.000684156709
1648080000,2022-03-24 00:00:00,SUSD/BTC,0.00002325,0.00002325,0.00002268,0.00002268,1015.9042,0.02329792067
1647993600,2022-03-23 00:00:00,SUSD/BTC,0.00002342,0.00002418,0.0000224,0.00002378,152.27754659,0.0035941006219102
1647907200,2022-03-22 00:00:00,SUSD/BTC,0.0000243,0.00002434,0.00002261,0.00002342,164.0645,0.003843485465
1647820800,2022-03-21 00:00:00,SUSD/BTC,0.00002432,0.00002488,0.0000239,0.0000244,112.1347,0.002722793528
1647734400,2022-03-20 00:00:00,SUSD/BTC,0.0000236,0.00002462,0.0000236,0.00002403,62.4806,0.00150502489
1647648000,2022-03-19 00:00:00,SUSD/BTC,0.00002385,0.00002421,0.00002348,0.0000239,1399.0683,0.033343408169
1647561600,2022-03-18 00:00:00,SUSD/BTC,0.00002447,0.0000248,0.00002366,0.00002379,533.4083,0.013064314246
1647475200,2022-03-17 00:00:00,SUSD/BTC,0.00002433,0.00002464,0.00002418,0.00002421,177.9661,0.004327774048
1647388800,2022-03-16 00:00:00,SUSD/BTC,0.00002541,0.00002667,0.00002404,0.00002425,6222.96488102,0.1562609959078034
1647302400,2022-03-15 00:00:00,SUSD/BTC,0.00002508,0.00002619,0.00002373,0.00002542,2057.1857,0.05203258999
1647216000,2022-03-14 00:00:00,SUSD/BTC,0.00002635,0.00002648,0.00002507,0.0000254,284.4768,0.007279456376
1647129600,2022-03-13 00:00:00,SUSD/BTC,0.000026,0.00002652,0.00002542,0.00002635,135.3996,0.003505357278
1647043200,2022-03-12 00:00:00,SUSD/BTC,0.00002562,0.00002616,0.0000254,0.00002588,901.04326085,0.023205077080836
1646956800,2022-03-11 00:00:00,SUSD/BTC,0.00002534,0.00002618,0.00002492,0.00002557,1041.1551,0.026628223599
1646870400,2022-03-10 00:00:00,SUSD/BTC,0.00002366,0.00002588,0.00002366,0.00002523,1168.3339,0.029381464775
1646784000,2022-03-09 00:00:00,SUSD/BTC,0.00002581,0.00002581,0.00002323,0.00002422,630.53697687,0.0153914320949548
1646697600,2022-03-08 00:00:00,SUSD/BTC,0.00002619,0.00002623,0.00002544,0.00002589,2456.55251193,0.0632815173728046
1646611200,2022-03-07 00:00:00,SUSD/BTC,0.00002588,0.00002728,0.00002523,0.00002623,1410.96071114,0.0373735163778992
1646524800,2022-03-06 00:00:00,SUSD/BTC,0.00002516,0.00002608,0.00002515,0.00002608,312.07316089,0.0080158738598683
1646438400,2022-03-05 00:00:00,SUSD/BTC,0.00002547,0.00002579,0.00002516,0.00002521,95.4073564,0.002419723798992
1646352000,2022-03-04 00:00:00,SUSD/BTC,0.00002342,0.00002694,0.00002342,0.00002574,1241.1534,0.031490090633
1646265600,2022-03-03 00:00:00,SUSD/BTC,0.00002277,0.00002408,0.0000226,0.00002386,224.7418,0.005217778225
1646179200,2022-03-02 00:00:00,SUSD/BTC,0.00002303,0.00002351,0.00002198,0.00002266,161.7189,0.003653034723
1646092800,2022-03-01 00:00:00,SUSD/BTC,0.00002381,0.00002392,0.00002231,0.00002311,8708.5994,0.195553055721
1646006400,2022-02-28 00:00:00,SUSD/BTC,0.00002631,0.00002712,0.00002257,0.00002353,486.7085,0.011658237684
