https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume ETH
1654509600,2022-06-06 10:00:00,LINK/ETH,0.00423179,0.00423179,0.00423179,0.00423179,0.81451500,0.00344685643185
1654506000,2022-06-06 09:00:00,LINK/ETH,0.00422928,0.00422928,0.00422928,0.00422928,0.00000000,0.0
1654502400,2022-06-06 08:00:00,LINK/ETH,0.00422928,0.00422928,0.00422928,0.00422928,0.00000000,0.0
1654498800,2022-06-06 07:00:00,LINK/ETH,0.00422928,0.00422928,0.00422928,0.00422928,15.60914300,0.06601543630704
1654495200,2022-06-06 06:00:00,LINK/ETH,0.00426927,0.00426927,0.00426927,0.00426927,0.00000000,0.0
1654491600,2022-06-06 05:00:00,LINK/ETH,0.00426927,0.00426927,0.00426927,0.00426927,0.00000000,0.0
1654488000,2022-06-06 04:00:00,LINK/ETH,0.00426927,0.00426927,0.00426927,0.00426927,0.00000000,0.0
1654484400,2022-06-06 03:00:00,LINK/ETH,0.00426927,0.00426927,0.00426927,0.00426927,0.00000000,0.0
1654480800,2022-06-06 02:00:00,LINK/ETH,0.00426927,0.00426927,0.00426927,0.00426927,0.00000000,0.0
1654477200,2022-06-06 01:00:00,LINK/ETH,0.00426927,0.00426927,0.00426927,0.00426927,0.00000000,0.0
1654473600,2022-06-06 00:00:00,LINK/ETH,0.00426927,0.00426927,0.00426927,0.00426927,0.00000000,0.0
1654470000,2022-06-05 23:00:00,LINK/ETH,0.00426927,0.00426927,0.00426927,0.00426927,0.00000000,0.0
1654466400,2022-06-05 22:00:00,LINK/ETH,0.00426927,0.00426927,0.00426927,0.00426927,0.00000000,0.0
1654462800,2022-06-05 21:00:00,LINK/ETH,0.00426927,0.00426927,0.00426927,0.00426927,3.04051043,0.012980759963486101
1654459200,2022-06-05 20:00:00,LINK/ETH,0.00420000,0.00420000,0.00420000,0.00420000,0.00000000,0.0
1654455600,2022-06-05 19:00:00,LINK/ETH,0.00420000,0.00420000,0.00420000,0.00420000,0.00000000,0.0
1654452000,2022-06-05 18:00:00,LINK/ETH,0.00420000,0.00420000,0.00420000,0.00420000,0.00000000,0.0
1654448400,2022-06-05 17:00:00,LINK/ETH,0.00420000,0.00420000,0.00420000,0.00420000,0.00000000,0.0
1654444800,2022-06-05 16:00:00,LINK/ETH,0.00420000,0.00420000,0.00420000,0.00420000,12.00000000,0.0504
1654441200,2022-06-05 15:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654437600,2022-06-05 14:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654434000,2022-06-05 13:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654430400,2022-06-05 12:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654426800,2022-06-05 11:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654423200,2022-06-05 10:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654419600,2022-06-05 09:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654416000,2022-06-05 08:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654412400,2022-06-05 07:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654408800,2022-06-05 06:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654405200,2022-06-05 05:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654401600,2022-06-05 04:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654398000,2022-06-05 03:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654394400,2022-06-05 02:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654390800,2022-06-05 01:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654387200,2022-06-05 00:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654383600,2022-06-04 23:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654380000,2022-06-04 22:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654376400,2022-06-04 21:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654372800,2022-06-04 20:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654369200,2022-06-04 19:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654365600,2022-06-04 18:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
1654362000,2022-06-04 17:00:00,LINK/ETH,0.00387188,0.00387188,0.00387188,0.00387188,0.00000000,0.0
