https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BICO,Volume USDT
1661817600,2022-08-30 00:00:00,BICO/USDT,0.5237,0.5355,0.4989,0.509,144867.49640089,74294.220710918309
1661731200,2022-08-29 00:00:00,BICO/USDT,0.501,0.5239,0.4991,0.5237,94853.81515246,48409.282942918722
1661644800,2022-08-28 00:00:00,BICO/USDT,0.5734,0.5734,0.5,0.5001,377362.80791756,202709.246548551848
1661558400,2022-08-27 00:00:00,BICO/USDT,0.478,0.6249,0.4757,0.574,879675.02592707,486303.154200586429
1661472000,2022-08-26 00:00:00,BICO/USDT,0.5115,0.5116,0.475,0.4762,80509.89765889,39469.898950521738
1661385600,2022-08-25 00:00:00,BICO/USDT,0.5111,0.5269,0.5037,0.5115,42196.52529263,21727.524755965246
1661299200,2022-08-24 00:00:00,BICO/USDT,0.5155,0.5289,0.4991,0.5106,102320.13270537,52732.088236391271
1661212800,2022-08-23 00:00:00,BICO/USDT,0.5041,0.5238,0.4839,0.514,96845.0969958,49041.283760832423
1661126400,2022-08-22 00:00:00,BICO/USDT,0.5099,0.5099,0.4842,0.503,76342.28913419,37961.123916698596
1661040000,2022-08-21 00:00:00,BICO/USDT,0.5194,0.5261,0.5003,0.5112,72610.79873404,37204.950024792075
1660953600,2022-08-20 00:00:00,BICO/USDT,0.4986,0.5457,0.4973,0.5186,181601.749686,94977.129341922614
1660867200,2022-08-19 00:00:00,BICO/USDT,0.5368,0.5381,0.4702,0.4961,175748.12374735,88241.564923166298
1660780800,2022-08-18 00:00:00,BICO/USDT,0.5645,0.5759,0.5361,0.5395,93647.77132263,52744.816174804014
1660694400,2022-08-17 00:00:00,BICO/USDT,0.588,0.638,0.5608,0.5636,158769.59640543,94722.802950247814
1660608000,2022-08-16 00:00:00,BICO/USDT,0.598,0.615,0.5774,0.5904,60071.89270997,35665.046039219376
1660521600,2022-08-15 00:00:00,BICO/USDT,0.6076,0.628,0.5808,0.5954,111655.58067161,66671.155491949843
1660435200,2022-08-14 00:00:00,BICO/USDT,0.6278,0.6467,0.6041,0.6081,86993.47565634,54536.011182432119
1660348800,2022-08-13 00:00:00,BICO/USDT,0.6409,0.6473,0.625,0.6264,67907.15950496,43173.963994753299
1660262400,2022-08-12 00:00:00,BICO/USDT,0.6489,0.6632,0.6172,0.6419,151220.74977101,96296.603147945179
1660176000,2022-08-11 00:00:00,BICO/USDT,0.655,0.6703,0.6401,0.6474,125340.24849508,81973.998304225246
1660089600,2022-08-10 00:00:00,BICO/USDT,0.6254,0.6689,0.6096,0.6572,186076.12125488,120412.024624631643
1660003200,2022-08-09 00:00:00,BICO/USDT,0.6659,0.678,0.6069,0.626,214023.24785818,136926.506336519054
1659916800,2022-08-08 00:00:00,BICO/USDT,0.663,0.6906,0.657,0.6658,257206.17313349,172714.481979690246
1659830400,2022-08-07 00:00:00,BICO/USDT,0.6504,0.699,0.637,0.664,374449.09678908,245937.47011322645
1659744000,2022-08-06 00:00:00,BICO/USDT,0.6689,0.7654,0.6464,0.6513,1137271.85412395,808164.328144391407
1659657600,2022-08-05 00:00:00,BICO/USDT,0.5972,0.671,0.5972,0.6704,287467.5066905,184483.586196454628
1659571200,2022-08-04 00:00:00,BICO/USDT,0.6049,0.6272,0.5899,0.5964,185732.7630304,113091.300170151164
1659484800,2022-08-03 00:00:00,BICO/USDT,0.6115,0.6557,0.5921,0.6046,550868.80389445,343587.526167145189
1659398400,2022-08-02 00:00:00,BICO/USDT,0.619,0.6255,0.5656,0.6124,217227.95122668,128153.647368867729
