https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GALAX3S,Volume USDT
1658275200,2022-07-20 00:00:00,GALAX3S/USDT,1.8335,2.339,1.5273,2.2852,141506.68218933,266106.53147033645
1658188800,2022-07-19 00:00:00,GALAX3S/USDT,2.1379,2.2427,1.4702,1.8281,172355.21460082,309739.090161315553
1658102400,2022-07-18 00:00:00,GALAX3S/USDT,2.9952,2.9999,1.739,2.1353,106481.2530691,245080.306686659423
1658016000,2022-07-17 00:00:00,GALAX3S/USDT,2.9488,3.1069,2.5275,2.9936,70394.51923454,199878.863539627279
1657929600,2022-07-16 00:00:00,GALAX3S/USDT,3.1996,3.4926,2.8309,2.9775,43718.73387902,139735.163498426861
1657843200,2022-07-15 00:00:00,GALAX3S/USDT,3.2215,3.4924,2.9718,3.1996,41129.21784846,132707.22495482123
1657756800,2022-07-14 00:00:00,GALAX3S/USDT,3.3902,3.8695,3.0343,3.2283,60706.6575668,209773.564193114807
1657670400,2022-07-13 00:00:00,GALAX3S/USDT,3.7288,4.4122,3.2081,3.3923,92397.55042404,340597.729524346477
1657584000,2022-07-12 00:00:00,GALAX3S/USDT,3.5723,3.8,3.2915,3.7676,58820.62434777,208680.657169498578
1657497600,2022-07-11 00:00:00,GALAX3S/USDT,2.8098,3.7265,2.8098,3.5723,63817.41290065,205452.651399288153
1657411200,2022-07-10 00:00:00,GALAX3S/USDT,2.48,2.8805,2.48,2.7879,32330.77749448,88422.29947103261
1657324800,2022-07-09 00:00:00,GALAX3S/USDT,2.6529,2.6977,2.3927,2.4692,29143.5277213,74056.480838663415
1657238400,2022-07-08 00:00:00,GALAX3S/USDT,2.2976,2.6952,2.1097,2.6528,53117.06064499,129437.866004778599
1657152000,2022-07-07 00:00:00,GALAX3S/USDT,2.6967,2.7448,2.195,2.2722,43510.77461739,106982.749255167028
1657065600,2022-07-06 00:00:00,GALAX3S/USDT,2.8832,3.0402,2.5781,2.73,49469.71207908,139740.795736740229
1656979200,2022-07-05 00:00:00,GALAX3S/USDT,2.6044,3.0994,2.4643,2.89,69332.41024944,194491.091010748453
1656892800,2022-07-04 00:00:00,GALAX3S/USDT,2.9642,3.2056,2.5274,2.6079,53142.48022183,150158.502775262988
1656806400,2022-07-03 00:00:00,GALAX3S/USDT,2.9288,3.2,2.8525,2.9694,30720.57297239,93325.523994875052
1656720000,2022-07-02 00:00:00,GALAX3S/USDT,3.1851,3.3333,2.7655,2.9164,45173.39822848,138867.178132278475
1656633600,2022-07-01 00:00:00,GALAX3S/USDT,2.75,3.3511,2.5512,3.1904,66039.83948818,200964.562609009541
1656547200,2022-06-30 00:00:00,GALAX3S/USDT,2.5336,3.2591,2.5161,2.761,80179.63443873,238537.169157586076
1656460800,2022-06-29 00:00:00,GALAX3S/USDT,2.5003,2.6998,2.2931,2.5336,41354.17568414,102316.367577509664
1656374400,2022-06-28 00:00:00,GALAX3S/USDT,2.1348,2.5468,1.879,2.5003,58614.36896942,129359.8473345226
1656288000,2022-06-27 00:00:00,GALAX3S/USDT,2.0689,2.2834,1.722,2.1354,86088.52893201,173154.986603239794
1656201600,2022-06-26 00:00:00,GALAX3S/USDT,1.5723,2.1289,1.4769,2.0778,102356.4438967,182054.130457139876
1656115200,2022-06-25 00:00:00,GALAX3S/USDT,2.2614,2.6468,1.4724,1.54,74527.47045287,147916.868416007376
