https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume EUR
1650308400,2022-04-18 19:00:00,ADA/EUR,0.86409,0.86409,0.85674,0.85882,1347.41513103,1157.1870628311847
1650304800,2022-04-18 18:00:00,ADA/EUR,0.85540,0.86800,0.85540,0.86256,16371.25991325,14121.19395077292
1650301200,2022-04-18 17:00:00,ADA/EUR,0.84019,0.85438,0.84019,0.85438,5562.59894439,4752.573286107929
1650297600,2022-04-18 16:00:00,ADA/EUR,0.83215,0.83688,0.82784,0.83688,9797.71414954,8199.511017467034
1650294000,2022-04-18 15:00:00,ADA/EUR,0.83533,0.83720,0.83092,0.83463,1015.52856073,847.5906026420798
1650290400,2022-04-18 14:00:00,ADA/EUR,0.84084,0.84205,0.83809,0.83949,4338.76757902,3642.3519949115
1650286800,2022-04-18 13:00:00,ADA/EUR,0.83527,0.83834,0.83161,0.83696,2298.83753107,1924.035060004347
1650283200,2022-04-18 12:00:00,ADA/EUR,0.82595,0.83727,0.82595,0.83432,7336.40185377,6120.906794637386
1650279600,2022-04-18 11:00:00,ADA/EUR,0.82541,0.82886,0.82176,0.82310,11883.19099930,9781.054511523831
1650276000,2022-04-18 10:00:00,ADA/EUR,0.82390,0.82566,0.82219,0.82307,7305.58786176,6013.010201378803
1650272400,2022-04-18 09:00:00,ADA/EUR,0.81400,0.82140,0.81400,0.81950,5646.77783803,4627.534438265585
1650268800,2022-04-18 08:00:00,ADA/EUR,0.81997,0.82057,0.81653,0.81653,6798.79016052,5551.416129769395
1650265200,2022-04-18 07:00:00,ADA/EUR,0.81717,0.81879,0.81113,0.81854,17354.86223016,14205.648929875168
1650261600,2022-04-18 06:00:00,ADA/EUR,0.82501,0.82501,0.81492,0.81658,4788.51198800,3910.20311916104
1650258000,2022-04-18 05:00:00,ADA/EUR,0.82125,0.82572,0.81600,0.82398,28947.32854978,23852.019778447724
1650254400,2022-04-18 04:00:00,ADA/EUR,0.84120,0.84120,0.82000,0.82782,16446.69381255,13614.902071905139
1650250800,2022-04-18 03:00:00,ADA/EUR,0.85783,0.85783,0.85783,0.85783,349.13967802,299.5024899958966
1650247200,2022-04-18 02:00:00,ADA/EUR,0.85769,0.85769,0.85769,0.85769,15.50000000,13.294194999999998
1650243600,2022-04-18 01:00:00,ADA/EUR,0.85320,0.85320,0.85320,0.85320,15.36000000,13.105151999999999
1650240000,2022-04-18 00:00:00,ADA/EUR,0.84388,0.84995,0.84388,0.84758,2002.73120173,1697.4749119623134
1650236400,2022-04-17 23:00:00,ADA/EUR,0.85757,0.86142,0.84909,0.85056,3057.72500569,2600.7785808396866
1650232800,2022-04-17 22:00:00,ADA/EUR,0.86907,0.87316,0.86288,0.86640,2464.60739511,2135.335847123304
1650229200,2022-04-17 21:00:00,ADA/EUR,0.87177,0.87307,0.87100,0.87307,3379.48321924,2950.525414221867
1650225600,2022-04-17 20:00:00,ADA/EUR,0.87701,0.87701,0.87124,0.87124,4775.32827501,4160.4570063197125
1650222000,2022-04-17 19:00:00,ADA/EUR,0.87187,0.87187,0.87070,0.87070,815.32971220,709.90758041254
1650218400,2022-04-17 18:00:00,ADA/EUR,0.87398,0.87398,0.87000,0.87151,419.67210969,365.74844031593193
