https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KAR,Volume USDT
1660780800,2022-08-18 00:00:00,KAR/USDT,0.5023,0.513,0.48,0.48,72022.9352,35817.83121383
1660694400,2022-08-17 00:00:00,KAR/USDT,0.5121,0.5348,0.4944,0.4996,82669.4066,42425.75513839
1660608000,2022-08-16 00:00:00,KAR/USDT,0.5385,0.577,0.5043,0.5105,145048.994,75778.60199609
1660521600,2022-08-15 00:00:00,KAR/USDT,0.5474,0.5671,0.5213,0.5388,133077.606,72766.75492925
1660435200,2022-08-14 00:00:00,KAR/USDT,0.6013,0.6035,0.5337,0.5462,342752.9628,191328.69977926
1660348800,2022-08-13 00:00:00,KAR/USDT,0.6085,0.6216,0.601,0.6013,39442.5398,24130.01859367
1660262400,2022-08-12 00:00:00,KAR/USDT,0.6047,0.6246,0.6,0.606,61504.718,37646.57780741
1660176000,2022-08-11 00:00:00,KAR/USDT,0.6431,0.662,0.6,0.6044,54557.5061,34343.40121436
1660089600,2022-08-10 00:00:00,KAR/USDT,0.616,0.6579,0.5932,0.6438,54715.2508,34139.70884627
1660003200,2022-08-09 00:00:00,KAR/USDT,0.6634,0.6795,0.612,0.616,110881.9673,71783.59133608
1659916800,2022-08-08 00:00:00,KAR/USDT,0.667,0.6835,0.6525,0.6646,48465.8731,32624.59374279
1659830400,2022-08-07 00:00:00,KAR/USDT,0.6714,0.6852,0.6524,0.6674,47113.7761,31482.25886344
1659744000,2022-08-06 00:00:00,KAR/USDT,0.6188,0.6922,0.6173,0.6748,239648.7099,159930.9880655
1659657600,2022-08-05 00:00:00,KAR/USDT,0.5977,0.6298,0.595,0.6148,20214.9739,12428.44584129
1659571200,2022-08-04 00:00:00,KAR/USDT,0.6064,0.6202,0.582,0.5965,24569.7498,14768.51038239
1659484800,2022-08-03 00:00:00,KAR/USDT,0.5974,0.6429,0.582,0.6049,39943.5925,24316.68276162
1659398400,2022-08-02 00:00:00,KAR/USDT,0.625,0.6277,0.5872,0.5948,40004.2761,24142.81207443
1659312000,2022-08-01 00:00:00,KAR/USDT,0.6014,0.6502,0.5959,0.6284,120081.1907,75479.94049778
1659225600,2022-07-31 00:00:00,KAR/USDT,0.5925,0.6327,0.583,0.6022,24399.6759,14840.49242723
1659139200,2022-07-30 00:00:00,KAR/USDT,0.5958,0.6237,0.5832,0.5925,63922.1462,38928.70682044
1659052800,2022-07-29 00:00:00,KAR/USDT,0.6358,0.6385,0.5816,0.6003,69505.811,42178.73556048
