https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume ETC
1655856000000,2022-06-22 00:00:00,ETC/USDT,15.717313,15.717313,15.15586,15.378684,574.602557364464,37.36357138
1655769600000,2022-06-21 00:00:00,ETC/USDT,16.5,16.826316,15.500003,15.995633,1398.5585755848806,87.43377493
1655683200000,2022-06-20 00:00:00,ETC/USDT,14.629423,16.4,14.629407,16.036522,1298.249809626249,80.95582132
1655596800000,2022-06-19 00:00:00,ETC/USDT,13.624859,15.329067,13.477489,15.329067,989.0104498448991,64.51863312
1655510400000,2022-06-18 00:00:00,ETC/USDT,14.484156,14.484156,12.516337,13.899188,2784.994328705408,200.37100935
1655424000000,2022-06-17 00:00:00,ETC/USDT,13.919456,14.686635,13.919456,14.357973,3393.6881611097156,236.36262313
1655337600000,2022-06-16 00:00:00,ETC/USDT,15.829391,16.010991,13.638043,13.638043,1588.407665610707,116.46888528
1655251200000,2022-06-15 00:00:00,ETC/USDT,14.448842,16.0,12.886615,15.829391,3727.3479890236604,235.47008151
1655164800000,2022-06-14 00:00:00,ETC/USDT,14.314864,15.227375,12.800001,14.605302,2553.896232628589,174.86089864
1655078400000,2022-06-13 00:00:00,ETC/USDT,16.5,16.7,14.0,14.612403,5238.4402968115855,358.49273366
1654992000000,2022-06-12 00:00:00,ETC/USDT,18.275404,18.303956,16.77,16.77,1305.6883274019,77.85857647
1654905600000,2022-06-11 00:00:00,ETC/USDT,19.999589,20.336692,18.0,18.275405,5572.696959610848,304.92878049
1654819200000,2022-06-10 00:00:00,ETC/USDT,21.088238,21.316926,19.898808,19.898808,4925.412804809881,247.52300765
1654732800000,2022-06-09 00:00:00,ETC/USDT,21.274566,21.600074,20.8118,21.088238,2037.968297127184,96.64004632
1654646400000,2022-06-08 00:00:00,ETC/USDT,21.695289,21.695289,21.043463,21.425321,2074.063262956718,96.80430286
1654560000000,2022-06-07 00:00:00,ETC/USDT,22.329197,22.329197,20.995686,21.462542,2887.8258991503594,134.55190439
1654473600000,2022-06-06 00:00:00,ETC/USDT,22.080368,23.334007,21.0,22.500749,6950.910657440156,308.91907898
1654387200000,2022-06-05 00:00:00,ETC/USDT,21.904289,22.571344,21.747623,21.843489,3779.434064702793,173.02336933
1654300800000,2022-06-04 00:00:00,ETC/USDT,21.843515,21.983462,21.557151,21.983462,1150.9395512118995,52.35479067
1654214400000,2022-06-03 00:00:00,ETC/USDT,22.404278,22.571344,21.181197,21.843489,2315.6818182032835,106.0124515
1654128000000,2022-06-02 00:00:00,ETC/USDT,21.939778,22.472283,21.557151,22.472283,4547.343982965486,202.35344949
1654041600000,2022-06-01 00:00:00,ETC/USDT,23.747403,24.110746,21.652178,22.081224,6721.240460749674,304.38713274
1653955200000,2022-05-31 00:00:00,ETC/USDT,24.974245,25.089093,23.128892,23.747403,3177.972944231443,133.82402043
1653868800000,2022-05-30 00:00:00,ETC/USDT,23.794687,27.672066,23.539417,24.92,9585.917516033602,384.66763708
1653782400000,2022-05-29 00:00:00,ETC/USDT,22.696706,23.794687,22.401427,23.789593,1940.4880417842546,81.56877849
1653696000000,2022-05-28 00:00:00,ETC/USDT,22.571344,22.988421,22.401427,22.871152,2256.1058393757216,98.64417146
1653609600000,2022-05-27 00:00:00,ETC/USDT,23.003946,24.005633,21.617172,22.427627,2157.512207095669,96.19886255
1653523200000,2022-05-26 00:00:00,ETC/USDT,23.496496,23.496496,20.9,22.239657,1738.2938953955454,78.1619022
1653436800000,2022-05-25 00:00:00,ETC/USDT,24.143459,25.427955,23.100011,23.642196,4780.687223056542,202.20994797
1653350400000,2022-05-24 00:00:00,ETC/USDT,21.897566,26.777254,17.869246,24.232795,13777.478974848505,568.54683807
1653264000000,2022-05-23 00:00:00,ETC/USDT,21.046577,24.889985,21.046577,22.239031,4807.3633501158365,216.16784248
1653177600000,2022-05-22 00:00:00,ETC/USDT,20.314896,21.1,20.061261,21.1,748.803337624,35.48830984
1653091200000,2022-05-21 00:00:00,ETC/USDT,20,23,20,20.098224,724.6656374490937,36.05620265
1653004800000,2022-05-20 00:00:00,ETC/USDT,20.889369,21.122779,19.600027,20.24,2349.7623448024,116.09497751
1652918400000,2022-05-19 00:00:00,ETC/USDT,19.729738,20.9,19.589891,20.692138,276.0272764256219,13.33971755
1652832000000,2022-05-18 00:00:00,ETC/USDT,21.266326,21.366632,18.000001,20,3427.8898163999997,171.39449082
1652745600000,2022-05-17 00:00:00,ETC/USDT,21.220679,21.600711,20.587452,21.600711,627.3692572089799,29.04391699
1652659200000,2022-05-16 00:00:00,ETC/USDT,21.879216,23.0,19.100008,20.936124,1800.1931570579682,85.98502555
1652572800000,2022-05-15 00:00:00,ETC/USDT,20.582381,22,20.230436,22,2147.71561554,97.62343707
1652486400000,2022-05-14 00:00:00,ETC/USDT,20.731946,21.3,19.100088,21.3,1557.751097016,73.13385432
1652400000000,2022-05-13 00:00:00,ETC/USDT,18.960859,23.126019,18.960859,20.454438,5441.959964579225,266.05277371
