https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KNC,Volume USDT
1660780800,2022-08-18 00:00:00,KNC/USDT,1.707,1.799,1.628,1.755,62136.6529,108543.7594037
1660694400,2022-08-17 00:00:00,KNC/USDT,1.635,1.72,1.547,1.7,24780.8515,40801.6157322
1660608000,2022-08-16 00:00:00,KNC/USDT,1.67,1.675,1.6,1.638,5276.4582,8634.8480562
1660521600,2022-08-15 00:00:00,KNC/USDT,1.638,1.774,1.634,1.674,22708.469,38434.1089371
1660435200,2022-08-14 00:00:00,KNC/USDT,1.694,1.73,1.638,1.646,7228.9695,12243.5432911
1660348800,2022-08-13 00:00:00,KNC/USDT,1.687,1.738,1.669,1.703,30581.246,52068.8329617
1660262400,2022-08-12 00:00:00,KNC/USDT,1.646,1.703,1.523,1.687,47966.5889,80428.1060046
1660176000,2022-08-11 00:00:00,KNC/USDT,1.62,1.756,1.62,1.664,22824.0787,38547.8183562
1660089600,2022-08-10 00:00:00,KNC/USDT,1.521,1.62,1.47,1.617,22213.4194,34070.715359
1660003200,2022-08-09 00:00:00,KNC/USDT,1.608,1.641,1.49,1.523,29502.8765,45686.2653342
1659916800,2022-08-08 00:00:00,KNC/USDT,1.578,1.631,1.57,1.612,42351.477,67944.5272154
1659830400,2022-08-07 00:00:00,KNC/USDT,1.559,1.584,1.533,1.574,5340.2965,8349.5045251
1659744000,2022-08-06 00:00:00,KNC/USDT,1.606,1.614,1.555,1.557,29880.2653,47222.6958167
1659657600,2022-08-05 00:00:00,KNC/USDT,1.509,1.624,1.499,1.604,68301.3006,107521.818243
1659571200,2022-08-04 00:00:00,KNC/USDT,1.457,1.521,1.455,1.508,21577.3307,32222.2937144
1659484800,2022-08-03 00:00:00,KNC/USDT,1.494,1.526,1.445,1.46,46589.5168,69582.8625781
1659398400,2022-08-02 00:00:00,KNC/USDT,1.583,1.63,1.467,1.49,36727.4626,56044.5392426
1659312000,2022-08-01 00:00:00,KNC/USDT,1.539,1.626,1.514,1.57,22510.7579,35448.4598745
1659225600,2022-07-31 00:00:00,KNC/USDT,1.586,1.63,1.516,1.542,23220.7539,36817.7808542
1659139200,2022-07-30 00:00:00,KNC/USDT,1.619,1.722,1.568,1.589,36476.4936,60307.6766357
1659052800,2022-07-29 00:00:00,KNC/USDT,1.503,1.667,1.489,1.619,39825.9933,63014.042
1658966400,2022-07-28 00:00:00,KNC/USDT,1.442,1.521,1.406,1.492,28755.4051,42192.70278
1658880000,2022-07-27 00:00:00,KNC/USDT,1.347,1.441,1.314,1.44,36522.6621,49634.4907264
1658793600,2022-07-26 00:00:00,KNC/USDT,1.308,1.351,1.285,1.351,23277.2721,30526.9777578
1658707200,2022-07-25 00:00:00,KNC/USDT,1.432,1.493,1.307,1.31,51737.5937,73908.0523905
1658620800,2022-07-24 00:00:00,KNC/USDT,1.424,1.472,1.413,1.425,15151.5242,21892.0936099
1658534400,2022-07-23 00:00:00,KNC/USDT,1.403,1.47,1.383,1.425,15428.7014,21864.9524708
1658448000,2022-07-22 00:00:00,KNC/USDT,1.464,1.491,1.39,1.408,16527.9071,23908.7575498
1658361600,2022-07-21 00:00:00,KNC/USDT,1.44,1.481,1.366,1.469,28540.6534,40411.9575747
1658275200,2022-07-20 00:00:00,KNC/USDT,1.523,1.58,1.42,1.433,60287.92230264,91660.03299518688
