https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DPET,Volume USDT
1661472000,2022-08-26 00:00:00,DPET/USDT,0.1165,0.1201,0.1077,0.1107,534922.4213,60278.53675528
1661385600,2022-08-25 00:00:00,DPET/USDT,0.1025,0.14,0.1018,0.1165,1789206.3132,211199.80105206
1661299200,2022-08-24 00:00:00,DPET/USDT,0.0963,0.1042,0.095,0.1032,354716.8151,35131.79604186
1661212800,2022-08-23 00:00:00,DPET/USDT,0.0906,0.1,0.086,0.0963,517449.051,47380.70804304
1661126400,2022-08-22 00:00:00,DPET/USDT,0.0912,0.0925,0.087,0.09,336664.5147,30241.30698337
1661040000,2022-08-21 00:00:00,DPET/USDT,0.0855,0.0939,0.0855,0.0914,360156.9622,32113.49778296
1660953600,2022-08-20 00:00:00,DPET/USDT,0.0871,0.0907,0.084,0.0853,679298.3424,59641.1026869
1660867200,2022-08-19 00:00:00,DPET/USDT,0.1061,0.1064,0.0856,0.0871,568662.7776,54134.294897
1660780800,2022-08-18 00:00:00,DPET/USDT,0.1108,0.1111,0.1036,0.1064,450559.6199,48686.79493762
1660694400,2022-08-17 00:00:00,DPET/USDT,0.1114,0.1163,0.11,0.1111,533848.8469,59972.45275253
1660608000,2022-08-16 00:00:00,DPET/USDT,0.1133,0.1151,0.11,0.1112,291962.5891,32535.51148475
1660521600,2022-08-15 00:00:00,DPET/USDT,0.1138,0.1188,0.112,0.1131,443375.6364,50603.41640186
1660435200,2022-08-14 00:00:00,DPET/USDT,0.1272,0.1274,0.1098,0.1136,1276260.56132079,147568.536594582742
1660348800,2022-08-13 00:00:00,DPET/USDT,0.135,0.1361,0.1225,0.1276,648427.2772,81966.36172145
1660262400,2022-08-12 00:00:00,DPET/USDT,0.1163,0.1524,0.1151,0.1346,1606918.3478,211042.6881571
1660176000,2022-08-11 00:00:00,DPET/USDT,0.1163,0.1209,0.115,0.1164,477702.93,56515.06763566
1660089600,2022-08-10 00:00:00,DPET/USDT,0.1203,0.1232,0.1137,0.1164,2492368.3036,292049.09646957
1660003200,2022-08-09 00:00:00,DPET/USDT,0.1185,0.1216,0.1142,0.1203,1299712.9322,153357.6076089
1659916800,2022-08-08 00:00:00,DPET/USDT,0.1246,0.129,0.1173,0.1194,793391.5995,98730.92167862
1659830400,2022-08-07 00:00:00,DPET/USDT,0.1241,0.129,0.1195,0.1249,193297.2105,23748.04728866
1659744000,2022-08-06 00:00:00,DPET/USDT,0.1255,0.1325,0.121,0.1241,150078.6678,18983.43180909
1659657600,2022-08-05 00:00:00,DPET/USDT,0.1184,0.1337,0.1181,0.1252,754650.0532,93936.39824951
1659571200,2022-08-04 00:00:00,DPET/USDT,0.1159,0.1203,0.115,0.119,332596.5787,38936.65004306
1659484800,2022-08-03 00:00:00,DPET/USDT,0.1128,0.1268,0.1116,0.1163,387606.1345,45660.61823613
1659398400,2022-08-02 00:00:00,DPET/USDT,0.1179,0.165,0.1111,0.1126,820801.3198,103844.33080024
1659312000,2022-08-01 00:00:00,DPET/USDT,0.1161,0.1204,0.1124,0.118,300092.7266,34859.68768521
1659225600,2022-07-31 00:00:00,DPET/USDT,0.12,0.1234,0.1134,0.116,131972.5599,15632.14862014
1659139200,2022-07-30 00:00:00,DPET/USDT,0.1234,0.1392,0.1177,0.1197,332977.57146262,42860.263708930058
1659052800,2022-07-29 00:00:00,DPET/USDT,0.118,0.128,0.111,0.1227,212938.524,25168.97346693
1658966400,2022-07-28 00:00:00,DPET/USDT,0.1234,0.1246,0.1128,0.1179,137257.1636,16388.05226105
1658880000,2022-07-27 00:00:00,DPET/USDT,0.1141,0.1249,0.114,0.1232,134341.6693,15819.02699801
1658793600,2022-07-26 00:00:00,DPET/USDT,0.1178,0.1199,0.113,0.1141,121857.3721,14262.71376497
1658707200,2022-07-25 00:00:00,DPET/USDT,0.1235,0.124,0.1146,0.1174,78892.5697,9287.50143664
1658620800,2022-07-24 00:00:00,DPET/USDT,0.1214,0.1267,0.1193,0.1238,62644.9805,7664.89546597
1658534400,2022-07-23 00:00:00,DPET/USDT,0.1217,0.1248,0.1175,0.1216,66303.1386,8001.91964424
1658448000,2022-07-22 00:00:00,DPET/USDT,0.1265,0.1277,0.1211,0.1215,167710.9649,20955.85055812
1658361600,2022-07-21 00:00:00,DPET/USDT,0.1245,0.1303,0.1213,0.1261,145612.0325,18089.11786034
1658275200,2022-07-20 00:00:00,DPET/USDT,0.1273,0.1359,0.1245,0.1245,102228.30466208,13353.812754725581
1658188800,2022-07-19 00:00:00,DPET/USDT,0.127,0.1332,0.1246,0.1271,59000.75776652,7568.943618267159
1658102400,2022-07-18 00:00:00,DPET/USDT,0.1319,0.1359,0.1204,0.1271,245870.03830112,31451.578379849924
1658016000,2022-07-17 00:00:00,DPET/USDT,0.1361,0.1369,0.13,0.132,115621.21840062,15302.357574616196
1657929600,2022-07-16 00:00:00,DPET/USDT,0.1355,0.1377,0.13,0.1366,105018.4114752,13963.491641054826
1657843200,2022-07-15 00:00:00,DPET/USDT,0.1337,0.1364,0.1291,0.1346,142196.06948734,18907.767152299388
1657756800,2022-07-14 00:00:00,DPET/USDT,0.1329,0.1359,0.1275,0.1342,246663.43552982,32399.308798114211
1657670400,2022-07-13 00:00:00,DPET/USDT,0.1405,0.168,0.127,0.1326,847065.65586612,126264.992197090355
1657584000,2022-07-12 00:00:00,DPET/USDT,0.1358,0.1497,0.1229,0.1407,391539.79366943,53983.582944775159
1657497600,2022-07-11 00:00:00,DPET/USDT,0.1357,0.1417,0.1317,0.1356,79898.38774079,10886.189899827152
1657411200,2022-07-10 00:00:00,DPET/USDT,0.1404,0.1412,0.1328,0.1358,51761.28501404,7073.060413882748
1657324800,2022-07-09 00:00:00,DPET/USDT,0.1403,0.1425,0.1357,0.1401,40392.42210884,5636.623261813866
1657238400,2022-07-08 00:00:00,DPET/USDT,0.1509,0.1513,0.1366,0.1399,306346.23564605,43348.418748048404
1657152000,2022-07-07 00:00:00,DPET/USDT,0.1365,0.176,0.1361,0.1504,527632.97939706,80201.529163652469
1657065600,2022-07-06 00:00:00,DPET/USDT,0.1396,0.1421,0.1349,0.1369,89775.37874891,12382.929412205337
1656979200,2022-07-05 00:00:00,DPET/USDT,0.1564,0.1596,0.1354,0.1391,149172.4607454,21516.571165364383
1656892800,2022-07-04 00:00:00,DPET/USDT,0.1458,0.165,0.1393,0.1561,211117.92213628,32342.989681492526
1656806400,2022-07-03 00:00:00,DPET/USDT,0.1443,0.1504,0.1361,0.1461,61916.66888019,8785.026617837275
1656720000,2022-07-02 00:00:00,DPET/USDT,0.1457,0.1457,0.1402,0.1436,29687.89676719,4276.262564456083
1656633600,2022-07-01 00:00:00,DPET/USDT,0.1479,0.1588,0.1439,0.1455,51337.12331869,7697.353981622142
1656547200,2022-06-30 00:00:00,DPET/USDT,0.1514,0.1528,0.1411,0.1479,95151.54824117,13895.41349377103
1656460800,2022-06-29 00:00:00,DPET/USDT,0.1534,0.1573,0.1491,0.1519,179111.09881165,27474.267686479696
1656374400,2022-06-28 00:00:00,DPET/USDT,0.1543,0.162,0.1502,0.1532,342312.90481904,52915.150634469075
1656288000,2022-06-27 00:00:00,DPET/USDT,0.1555,0.1632,0.15,0.1547,181929.08825269,28464.682353211785
1656201600,2022-06-26 00:00:00,DPET/USDT,0.16,0.1645,0.1533,0.1555,153092.82093937,24313.949408898728
1656115200,2022-06-25 00:00:00,DPET/USDT,0.1619,0.1675,0.1538,0.1596,187118.89021199,29854.543073885761
1656028800,2022-06-24 00:00:00,DPET/USDT,0.1589,0.1676,0.1541,0.1626,243656.78641124,39031.062007244577
