https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WXT,Volume USDT
1660435200,2022-08-14 00:00:00,WXT/USDT,0.00636,0.0064,0.006284,0.006324,1078170.9071,6851.5140811297
1660348800,2022-08-13 00:00:00,WXT/USDT,0.00633,0.006441,0.006217,0.006382,1697689.4975,10824.5393869129
1660262400,2022-08-12 00:00:00,WXT/USDT,0.006371,0.006429,0.006299,0.006312,936424.9886,5954.4057822463
1660176000,2022-08-11 00:00:00,WXT/USDT,0.006883,0.006887,0.006275,0.006397,3540424.5669,23124.1142593325
1660089600,2022-08-10 00:00:00,WXT/USDT,0.006588,0.00689,0.006584,0.006862,1785518.599,12011.6459209245
1660003200,2022-08-09 00:00:00,WXT/USDT,0.006703,0.00676,0.006505,0.006583,951555.4593,6328.3673194706
1659916800,2022-08-08 00:00:00,WXT/USDT,0.006955,0.00696,0.006678,0.006703,1264737.3825,8538.1026344437
1659830400,2022-08-07 00:00:00,WXT/USDT,0.006984,0.007024,0.00689,0.006923,1062733.1081,7407.1159732482
1659744000,2022-08-06 00:00:00,WXT/USDT,0.00706,0.00709,0.006967,0.006993,356987.2801,2507.324732203
1659657600,2022-08-05 00:00:00,WXT/USDT,0.007075,0.007127,0.00701,0.00706,1229602.6048,8687.8907220097
1659571200,2022-08-04 00:00:00,WXT/USDT,0.007212,0.007212,0.007053,0.007093,603681.7408,4287.1140432557
1659484800,2022-08-03 00:00:00,WXT/USDT,0.00723,0.007248,0.00716,0.007216,425636.5349,3073.3615483063
1659398400,2022-08-02 00:00:00,WXT/USDT,0.007422,0.00744,0.007152,0.007228,1175834.0186,8500.9458230493
1659312000,2022-08-01 00:00:00,WXT/USDT,0.007336,0.007449,0.007301,0.007436,1444270.1791,10609.6566195372
1659225600,2022-07-31 00:00:00,WXT/USDT,0.007082,0.007402,0.007082,0.007336,1299861.9598,9479.4307286817
1659139200,2022-07-30 00:00:00,WXT/USDT,0.006774,0.007128,0.006745,0.007081,3696000.1403,25535.7224721893
1659052800,2022-07-29 00:00:00,WXT/USDT,0.006661,0.006772,0.006603,0.006753,947884.4706,6330.9932772598
1658966400,2022-07-28 00:00:00,WXT/USDT,0.006467,0.006724,0.00632,0.006661,3159044.7751,20451.1425050899
1658880000,2022-07-27 00:00:00,WXT/USDT,0.006317,0.006506,0.006297,0.006487,1694687.2589,10837.4187220736
1658793600,2022-07-26 00:00:00,WXT/USDT,0.00678,0.006803,0.006302,0.006328,883500.4532,5802.0096838297
1658707200,2022-07-25 00:00:00,WXT/USDT,0.007128,0.007162,0.006648,0.006808,2118750.581,14624.0183920981
1658620800,2022-07-24 00:00:00,WXT/USDT,0.007186,0.007207,0.0071,0.007129,911033.2764,6526.5264773585
1658534400,2022-07-23 00:00:00,WXT/USDT,0.007228,0.007285,0.007133,0.007186,1882170.5177,13560.1892477562
1658448000,2022-07-22 00:00:00,WXT/USDT,0.007152,0.007257,0.007152,0.007257,361737.3003,2616.1295290072
1658361600,2022-07-21 00:00:00,WXT/USDT,0.007466,0.007466,0.007034,0.007172,2106191.2651,15092.7891100529
