https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MLN,Volume USDT
1650956400,2022-04-26 07:00:00,MLN/USDT,54.551,54.551,54.551,54.551,0,0
1650952800,2022-04-26 06:00:00,MLN/USDT,54.724,54.724,54.551,54.551,0.3323,18.1704363168
1650949200,2022-04-26 05:00:00,MLN/USDT,54.697,54.724,54.697,54.724,3.0962,169.3529216
1650945600,2022-04-26 04:00:00,MLN/USDT,54.574,54.574,54.574,54.574,0.0456,2.4885744
1650942000,2022-04-26 03:00:00,MLN/USDT,54.625,54.652,54.625,54.652,0.0745,4.0707478
1650938400,2022-04-26 02:00:00,MLN/USDT,54.664,54.669,54.402,54.402,6.04,329.1613542
1650934800,2022-04-26 01:00:00,MLN/USDT,54.697,54.697,54.697,54.697,7.038,384.957486
1650931200,2022-04-26 00:00:00,MLN/USDT,54.609,54.724,54.609,54.643,3.893,212.7197023
1650927600,2022-04-25 23:00:00,MLN/USDT,54.5,54.551,54.5,54.551,2.516,137.1277951
1650924000,2022-04-25 22:00:00,MLN/USDT,54.375,54.5,54.313,54.313,9.9058,538.9352048
1650920400,2022-04-25 21:00:00,MLN/USDT,54.153,54.367,54.153,54.367,10.53278919,571.86863024395
1650916800,2022-04-25 20:00:00,MLN/USDT,54.002,54.153,53.998,54.153,28.5769,1543.3027697
1650913200,2022-04-25 19:00:00,MLN/USDT,53.66,54.002,53.388,53.984,13.6877,736.9058414
1650909600,2022-04-25 18:00:00,MLN/USDT,53.25,53.75,53.235,53.698,1.0261,54.8229835
1650906000,2022-04-25 17:00:00,MLN/USDT,53.667,53.667,53.34,53.34,0.3991,21.3760762
1650902400,2022-04-25 16:00:00,MLN/USDT,53.235,53.783,53.235,53.783,6.4642,347.4555585
1650898800,2022-04-25 15:00:00,MLN/USDT,53.125,53.235,53.061,53.235,22.5803,1199.6634053
1650895200,2022-04-25 14:00:00,MLN/USDT,52.543,53.09,52.475,52.956,1.4755,77.9881405
1650891600,2022-04-25 13:00:00,MLN/USDT,52.648,52.929,52.361,52.648,4.0095,210.1982566
1650888000,2022-04-25 12:00:00,MLN/USDT,52.437,52.832,52.436,52.711,16.05230476,843.12625648032
1650884400,2022-04-25 11:00:00,MLN/USDT,51.912,52.317,51.912,52.317,2.5133,130.8860545
1650880800,2022-04-25 10:00:00,MLN/USDT,52.1,52.1,52,52,1.1377,59.27414
1650877200,2022-04-25 09:00:00,MLN/USDT,51.79,52,51.705,52,3.0248,157.1121652
1650873600,2022-04-25 08:00:00,MLN/USDT,51.816,51.999,51.796,51.963,26.3953,1369.9857274
1650870000,2022-04-25 07:00:00,MLN/USDT,52.625,52.625,51.783,51.783,31.1661,1626.3367307
1650866400,2022-04-25 06:00:00,MLN/USDT,52.821,52.821,52.623,52.623,17.7239,934.9532825
1650862800,2022-04-25 05:00:00,MLN/USDT,52.993,52.993,52.993,52.993,0,0
1650859200,2022-04-25 04:00:00,MLN/USDT,53.097,53.097,52.993,52.993,5.08273345,269.40812889465
1650855600,2022-04-25 03:00:00,MLN/USDT,52.84,53.171,52.84,53.002,26.3695,1397.7696782
1650852000,2022-04-25 02:00:00,MLN/USDT,52.821,53.009,52.809,52.809,16.6342,880.7088618
1650848400,2022-04-25 01:00:00,MLN/USDT,52.781,52.781,52.392,52.76,102.996,5404.7235333
1650844800,2022-04-25 00:00:00,MLN/USDT,53.905,53.913,52.658,52.658,33.3129,1774.1244081
1650841200,2022-04-24 23:00:00,MLN/USDT,54.17,54.205,54,54,0.3738,20.233949
1650837600,2022-04-24 22:00:00,MLN/USDT,54.15,54.15,53.935,54.139,121.5493,6560.0573742
1650834000,2022-04-24 21:00:00,MLN/USDT,54.204,54.204,54.15,54.15,19.2988,1045.5893445
1650830400,2022-04-24 20:00:00,MLN/USDT,54.888,54.888,53.927,54.205,25.84991081,1403.42233455605
1650826800,2022-04-24 19:00:00,MLN/USDT,54.874,55.125,54.874,54.875,26.7107,1469.0500472
1650823200,2022-04-24 18:00:00,MLN/USDT,54.724,54.999,54.608,54.65,16.5379,905.9388825
1650819600,2022-04-24 17:00:00,MLN/USDT,55.243,55.377,54.7,54.742,23.7279,1304.209615
1650816000,2022-04-24 16:00:00,MLN/USDT,57.519,57.519,54.9,55.243,162.2326,9129.0989276
1650812400,2022-04-24 15:00:00,MLN/USDT,57.51,66.042,56.636,57.625,1980.70405088,121666.15811339789
1650808800,2022-04-24 14:00:00,MLN/USDT,56.454,57.58,56.454,57.492,10.7446,616.8210517
1650805200,2022-04-24 13:00:00,MLN/USDT,56.5,56.5,56.074,56.375,10.1102,569.4339442
1650801600,2022-04-24 12:00:00,MLN/USDT,56.627,56.627,56.601,56.601,0.4659,26.3725937
1650798000,2022-04-24 11:00:00,MLN/USDT,56.919,56.919,56.75,56.75,3.0711,174.7911714
1650794400,2022-04-24 10:00:00,MLN/USDT,56.888,56.888,56.888,56.888,0.1698,9.6595824
1650790800,2022-04-24 09:00:00,MLN/USDT,56.981,56.981,56.875,56.875,0.0184,1.0471808
1650787200,2022-04-24 08:00:00,MLN/USDT,57.033,57.033,57.033,57.033,0.1363,7.7735979
1650783600,2022-04-24 07:00:00,MLN/USDT,57.032,57.113,56.8,57.113,39.7618,2262.3339462
1650780000,2022-04-24 06:00:00,MLN/USDT,56.908,56.908,56.908,56.908,0.0944,5.3721152
1650776400,2022-04-24 05:00:00,MLN/USDT,57,57.028,56.973,56.973,0.2591,14.773393
1650772800,2022-04-24 04:00:00,MLN/USDT,57.146,57.146,57.125,57.125,0.0865,4.9424864
1650769200,2022-04-24 03:00:00,MLN/USDT,57.125,57.319,57.124,57.319,0.6205,35.508554
1650765600,2022-04-24 02:00:00,MLN/USDT,56.861,57.146,56.861,56.973,9.4766,539.4495328
1650762000,2022-04-24 01:00:00,MLN/USDT,56.588,56.898,56.588,56.898,1.49391004,84.68290615592
1650758400,2022-04-24 00:00:00,MLN/USDT,56.191,56.5,56.191,56.5,0.1274,7.1885209
1650754800,2022-04-23 23:00:00,MLN/USDT,56.5,56.5,56.25,56.25,0.9654,54.3629396
1650751200,2022-04-23 22:00:00,MLN/USDT,56.625,56.625,56.619,56.619,19.8231,1122.4830261
1650747600,2022-04-23 21:00:00,MLN/USDT,56.517,56.625,56.517,56.625,11.7454,663.8159814
1650744000,2022-04-23 20:00:00,MLN/USDT,56.88,56.88,56.5,56.5,1.34206336,75.86485580336
1650740400,2022-04-23 19:00:00,MLN/USDT,57.286,59.499,56.5,56.887,171.01072326,9888.96762625797
1650736800,2022-04-23 18:00:00,MLN/USDT,57.213,57.319,57.157,57.157,2.77706367,159.13785295171
1650733200,2022-04-23 17:00:00,MLN/USDT,56.923,57.213,56.923,57.096,2.35713633,134.53922854829
1650729600,2022-04-23 16:00:00,MLN/USDT,56.629,56.907,56.629,56.907,1.69729817,96.24256036893
1650726000,2022-04-23 15:00:00,MLN/USDT,56.416,56.697,56.416,56.697,8.46585882,478.13243971754
1650722400,2022-04-23 14:00:00,MLN/USDT,56.5,56.5,56.258,56.345,103.8364,5846.0703601
1650718800,2022-04-23 13:00:00,MLN/USDT,56.75,56.75,56.5,56.5,1.2176,68.8815095
1650715200,2022-04-23 12:00:00,MLN/USDT,56.496,57.401,56.496,56.75,31.1468,1779.4114504
1650711600,2022-04-23 11:00:00,MLN/USDT,56.108,56.495,56.108,56.495,94.0025,5297.4522714
1650708000,2022-04-23 10:00:00,MLN/USDT,55.948,56,55.948,56,0.4447,24.8972223
1650704400,2022-04-23 09:00:00,MLN/USDT,55.817,55.949,55.817,55.949,20.1717,1128.5708643
1650700800,2022-04-23 08:00:00,MLN/USDT,55.821,55.938,55.821,55.822,0.3882,21.6955344
1650697200,2022-04-23 07:00:00,MLN/USDT,55.416,55.875,55.416,55.875,0.7037,39.1682945
1650693600,2022-04-23 06:00:00,MLN/USDT,55.272,55.377,55.272,55.377,0.4119,22.8095256
1650690000,2022-04-23 05:00:00,MLN/USDT,54.835,55.359,54.835,55.359,0.8977,49.502807
1650686400,2022-04-23 04:00:00,MLN/USDT,54.766,54.904,54.766,54.904,0.7132,39.059677
1650682800,2022-04-23 03:00:00,MLN/USDT,55,55,54.777,54.891,3.8988,214.0075745
1650679200,2022-04-23 02:00:00,MLN/USDT,55.205,55.205,55.095,55.095,1.0541,58.1911565
1650675600,2022-04-23 01:00:00,MLN/USDT,55.021,55.137,54.908,55.103,11.8929,655.2540619
1650672000,2022-04-23 00:00:00,MLN/USDT,55.136,55.136,55.033,55.103,21.6576,1193.4112498
1650668400,2022-04-22 23:00:00,MLN/USDT,55.137,55.137,55.137,55.137,0.0056,0.3087672
1650664800,2022-04-22 22:00:00,MLN/USDT,55.136,55.136,55.07,55.136,0.292,16.0958906
1650661200,2022-04-22 21:00:00,MLN/USDT,55.137,55.137,55.137,55.137,1.6196,89.2998852
1650657600,2022-04-22 20:00:00,MLN/USDT,55.367,55.367,55.071,55.137,4.1216,227.6635448
1650654000,2022-04-22 19:00:00,MLN/USDT,55.34,55.5,55.34,55.375,2.0202,111.9738262
1650650400,2022-04-22 18:00:00,MLN/USDT,55.416,55.416,55.375,55.375,0.48,26.583093
1650646800,2022-04-22 17:00:00,MLN/USDT,55.375,55.898,55.375,55.5,56.51656138,3138.65108371924
1650643200,2022-04-22 16:00:00,MLN/USDT,55.25,55.375,54.89,55.375,43.2368,2374.7881971
1650639600,2022-04-22 15:00:00,MLN/USDT,55.762,55.899,55.375,55.375,2.0262,112.6242258
1650636000,2022-04-22 14:00:00,MLN/USDT,56.125,56.125,55.839,55.997,11.52843127,645.16974982619
1650632400,2022-04-22 13:00:00,MLN/USDT,56.145,56.259,56.145,56.175,4.0958,230.2225347
1650628800,2022-04-22 12:00:00,MLN/USDT,56.125,56.125,56.102,56.102,0.3139,17.6111216
1650625200,2022-04-22 11:00:00,MLN/USDT,56,56.108,56,56.108,3.7779,211.6949034
1650621600,2022-04-22 10:00:00,MLN/USDT,55.989,56,55.935,56,0.1668,9.337143
1650618000,2022-04-22 09:00:00,MLN/USDT,56.454,56.454,55.989,56,4.4416,249.9986093
1650614400,2022-04-22 08:00:00,MLN/USDT,56.874,56.874,56.5,56.5,107.99403142,6129.64677607926
1650610800,2022-04-22 07:00:00,MLN/USDT,57.173,57.173,56.5,56.8,5.5565,314.541186
1650607200,2022-04-22 06:00:00,MLN/USDT,57.25,57.319,57.211,57.211,0.2614,14.9621752
1650603600,2022-04-22 05:00:00,MLN/USDT,57.174,57.174,57.065,57.065,5.6136,320.7732909
1650600000,2022-04-22 04:00:00,MLN/USDT,57,57,57,57,0,0
1650596400,2022-04-22 03:00:00,MLN/USDT,57.125,57.178,57,57,14.0511,802.5690056
1650592800,2022-04-22 02:00:00,MLN/USDT,57.213,57.319,57.13,57.13,4.1008,234.3760722
1650589200,2022-04-22 01:00:00,MLN/USDT,57.125,57.171,57,57.125,1.4301,81.5598943
1650585600,2022-04-22 00:00:00,MLN/USDT,57.016,57.125,56.875,56.875,6.1741,351.8131344
1650582000,2022-04-21 23:00:00,MLN/USDT,57.423,57.423,57.125,57.125,1.5951,91.3508868
1650578400,2022-04-21 22:00:00,MLN/USDT,57.213,58.155,56.77,57.441,45.21987553,2587.50827852828
1650574800,2022-04-21 21:00:00,MLN/USDT,56.907,57.213,56.875,57.213,0.586,33.379739
1650571200,2022-04-21 20:00:00,MLN/USDT,57.625,57.75,56.973,56.973,18.1365,1040.9013194
1650567600,2022-04-21 19:00:00,MLN/USDT,58.011,58.25,57.651,57.651,7.9506,459.2933628
1650564000,2022-04-21 18:00:00,MLN/USDT,58.437,58.437,58.125,58.125,1.4025,81.7115228
1650560400,2022-04-21 17:00:00,MLN/USDT,58.463,58.876,58.463,58.5,27.4827,1608.8473326
1650556800,2022-04-21 16:00:00,MLN/USDT,58.412,58.446,58.131,58.375,17.29537731,1007.489935642
1650553200,2022-04-21 15:00:00,MLN/USDT,58.753,60.5,58.4,58.412,177.14003862,10511.37978157875
