https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume WAVES
1660694400000,2022-08-17 00:00:00,WAVES/ETH,0.00313068,0.00314193,0.00300732,0.00305261,140.7196551213385,46098.14392318
1660608000000,2022-08-16 00:00:00,WAVES/ETH,0.00313515,0.00316032,0.00309729,0.00312786,136.71247740472137,43707.99121595
1660521600000,2022-08-15 00:00:00,WAVES/ETH,0.00313182,0.00318178,0.00310179,0.00313469,133.10140556829452,42460.78737237
1660435200000,2022-08-14 00:00:00,WAVES/ETH,0.00307807,0.00318569,0.00304991,0.00313311,136.92520748973385,43702.6492813
1660348800000,2022-08-13 00:00:00,WAVES/ETH,0.00312939,0.00317557,0.00305884,0.00307066,131.9771894754504,42980.07251713
1660262400000,2022-08-12 00:00:00,WAVES/ETH,0.00322437,0.00323349,0.00312692,0.00312731,139.6499753237723,44654.98314007
1660176000000,2022-08-11 00:00:00,WAVES/ETH,0.00329686,0.00336195,0.00319717,0.00323339,127.19264000519803,39337.24048296
1660089600000,2022-08-10 00:00:00,WAVES/ETH,0.00343237,0.00344604,0.00324257,0.00329422,121.11515845638046,36765.95930338
1660003200000,2022-08-09 00:00:00,WAVES/ETH,0.00344504,0.00346793,0.00342755,0.00344567,8.293582933613063,2406.9579889
1659916800000,2022-08-08 00:00:00,WAVES/ETH,0.00356745,0.00367871,0.00340972,0.00344751,155.89369579353675,45219.21496777
1659830400000,2022-08-07 00:00:00,WAVES/ETH,0.00359908,0.0036025,0.00352844,0.00356572,159.70289092607197,44788.39923664
1659744000000,2022-08-06 00:00:00,WAVES/ETH,0.00358813,0.00366403,0.00353353,0.00360715,155.6856298114829,43160.28715509
1659657600000,2022-08-05 00:00:00,WAVES/ETH,0.00364976,0.004,0.0035637,0.00358676,155.7841808637228,43433.12094027
1659571200000,2022-08-04 00:00:00,WAVES/ETH,0.00349165,0.00366723,0.00343972,0.00366164,160.15915780655385,43739.73350918
1659484800000,2022-08-03 00:00:00,WAVES/ETH,0.00350602,0.003522,0.00346054,0.00348156,151.72090389366048,43578.42573262
1659398400000,2022-08-02 00:00:00,WAVES/ETH,0.00374385,0.00386181,0.003485,0.00351399,159.2747419403189,45325.89504817
1659312000000,2022-08-01 00:00:00,WAVES/ETH,0.003391,0.00395199,0.00336232,0.00374546,170.5317464378626,45530.25434469
1659225600000,2022-07-31 00:00:00,WAVES/ETH,0.00332305,0.00348228,0.00330769,0.00338512,147.47468005392398,43565.56933105
1659139200000,2022-07-30 00:00:00,WAVES/ETH,0.00327194,0.0034861,0.00325591,0.00331974,143.87343029059085,43338.76456909
1659052800000,2022-07-29 00:00:00,WAVES/ETH,0.00332222,0.00342524,0.00324061,0.00326784,139.52354828875647,42695.95460266
1658966400000,2022-07-28 00:00:00,WAVES/ETH,0.00329282,0.00352503,0.0032365,0.00332341,150.56551879346426,45304.52721556
1658880000000,2022-07-27 00:00:00,WAVES/ETH,0.00345007,0.00345501,0.00327688,0.0032922,143.79903715977517,43678.70638472
1658793600000,2022-07-26 00:00:00,WAVES/ETH,0.00342536,0.00355062,0.00338474,0.00345128,149.44908346245353,43302.50905822
1658707200000,2022-07-25 00:00:00,WAVES/ETH,0.00342601,0.00345433,0.00335976,0.0034263,157.42209699510795,45945.2169965
1658620800000,2022-07-24 00:00:00,WAVES/ETH,0.00357092,0.00357092,0.00336562,0.0034228,147.35576817905547,43051.23529831
