https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FRM,Volume USDT
1659225600,2022-07-31 00:00:00,FRM/USDT,0.0301,0.0319,0.02728,0.02771,5093967.9575,154242.159917174
1659139200,2022-07-30 00:00:00,FRM/USDT,0.0315,0.03302,0.02884,0.03028,4132662.353,125419.324340558
1659052800,2022-07-29 00:00:00,FRM/USDT,0.0355,0.0391,0.02697,0.0315,8895770.5644,287683.365372112
1658966400,2022-07-28 00:00:00,FRM/USDT,0.0233,0.0768,0.02304,0.03596,13312581.50287756,457845.4852543566142
1658880000,2022-07-27 00:00:00,FRM/USDT,0.0215,0.02347,0.0212,0.0233,5816112.4234,131257.133623382
1658793600,2022-07-26 00:00:00,FRM/USDT,0.02301,0.02314,0.0207,0.02143,6131446.6065,136494.096800576
1658707200,2022-07-25 00:00:00,FRM/USDT,0.02409,0.02427,0.02301,0.02302,4980660.9502,117287.450042397
1658620800,2022-07-24 00:00:00,FRM/USDT,0.0249,0.02524,0.02353,0.02409,5101916.0442,125206.999292342
1658534400,2022-07-23 00:00:00,FRM/USDT,0.02548,0.02789,0.02429,0.02488,3886160.5736,98784.65117782
1658448000,2022-07-22 00:00:00,FRM/USDT,0.02528,0.026,0.0245,0.02546,5676985.535,142093.928016874
1658361600,2022-07-21 00:00:00,FRM/USDT,0.025,0.02575,0.02293,0.02528,4392883.2826,105849.92159951
1658275200,2022-07-20 00:00:00,FRM/USDT,0.02615,0.02844,0.02498,0.025,5627099.1088,144911.306737437
1658188800,2022-07-19 00:00:00,FRM/USDT,0.02498,0.027,0.02404,0.02614,5652833.62215572,144308.5322559316946
1658102400,2022-07-18 00:00:00,FRM/USDT,0.02385,0.02611,0.02326,0.02497,3796463.67025765,94446.7102402365448
1658016000,2022-07-17 00:00:00,FRM/USDT,0.02531,0.02622,0.02251,0.02378,2900565.85690537,68715.2645537901182
1657929600,2022-07-16 00:00:00,FRM/USDT,0.02166,0.03027,0.02087,0.02537,4877895.26956504,115278.5302170705971
1657843200,2022-07-15 00:00:00,FRM/USDT,0.0201,0.02168,0.01924,0.02166,4499635.70156408,90162.4000124119108
1657756800,2022-07-14 00:00:00,FRM/USDT,0.01925,0.02016,0.01856,0.0201,4156024.53956881,80541.2090036077661
1657670400,2022-07-13 00:00:00,FRM/USDT,0.01876,0.0193,0.01841,0.01925,3179370.7867,59712.305243453
1657584000,2022-07-12 00:00:00,FRM/USDT,0.01983,0.01998,0.01879,0.01879,3855663.92592703,75428.6326529271673
1657497600,2022-07-11 00:00:00,FRM/USDT,0.02064,0.0209,0.01955,0.01984,4435976.01779393,88917.5515534458747
1657411200,2022-07-10 00:00:00,FRM/USDT,0.02101,0.0212,0.0205,0.02082,3419296.05987219,71261.4823228324858
1657324800,2022-07-09 00:00:00,FRM/USDT,0.0215,0.0225,0.02073,0.02101,4647333.34128066,99941.2573788845417
1657238400,2022-07-08 00:00:00,FRM/USDT,0.02238,0.02425,0.021,0.0215,2989160.22821537,66818.7737060419653
1657152000,2022-07-07 00:00:00,FRM/USDT,0.02066,0.02237,0.02002,0.02237,2100696.92925104,42982.1241584756828
1657065600,2022-07-06 00:00:00,FRM/USDT,0.0202,0.02144,0.01965,0.02067,2219593.86171224,44642.3526675694801
1656979200,2022-07-05 00:00:00,FRM/USDT,0.02067,0.02158,0.02001,0.02019,2274486.2969176,46816.6593405719948
1656892800,2022-07-04 00:00:00,FRM/USDT,0.02004,0.0334,0.0197,0.02054,5676817.19975113,129120.6165992246868
1656806400,2022-07-03 00:00:00,FRM/USDT,0.01908,0.0204,0.0182,0.02004,2208432.46066705,42857.6558082511146
1656720000,2022-07-02 00:00:00,FRM/USDT,0.01967,0.01971,0.01733,0.01908,2062126.96638755,38218.8334821218022
1656633600,2022-07-01 00:00:00,FRM/USDT,0.01829,0.02138,0.01826,0.01966,2281155.33812479,44700.1369003858597
1656547200,2022-06-30 00:00:00,FRM/USDT,0.01934,0.0196,0.01666,0.01828,2192761.42443584,41326.6701458348364
1656460800,2022-06-29 00:00:00,FRM/USDT,0.0221,0.0221,0.01872,0.01944,1861925.41987937,37556.1000121524004
1656374400,2022-06-28 00:00:00,FRM/USDT,0.02326,0.0233,0.02151,0.0221,1800624.17649005,40401.4582682474368
1656288000,2022-06-27 00:00:00,FRM/USDT,0.02454,0.02489,0.02281,0.02325,1747770.35430379,41468.4581825882794
1656201600,2022-06-26 00:00:00,FRM/USDT,0.02433,0.02669,0.024,0.02454,2793581.0724928,69274.7514350638515
1656115200,2022-06-25 00:00:00,FRM/USDT,0.02522,0.02569,0.0239,0.02414,1749175.16732174,43138.1510889914179
1656028800,2022-06-24 00:00:00,FRM/USDT,0.02304,0.02639,0.02304,0.02522,2416384.59847844,60394.4813101213649
1655942400,2022-06-23 00:00:00,FRM/USDT,0.0228,0.02438,0.02194,0.02306,2012261.36908638,46109.9558600977317
1655856000,2022-06-22 00:00:00,FRM/USDT,0.02292,0.02323,0.02082,0.02282,1909902.94522367,42427.8994796868033
1655769600,2022-06-21 00:00:00,FRM/USDT,0.02338,0.02469,0.0225,0.0227,1584854.174087,37772.6662676591188
