https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AOA,Volume USDT
1654783200,2022-06-09 14:00:00,AOA/USDT,0.0003525,0.0003525,0.0003472,0.0003472,1135332.2082,394.38266939752
1654779600,2022-06-09 13:00:00,AOA/USDT,0.00035,0.0003574,0.0003472,0.0003525,2640318.304,922.25014228076
1654776000,2022-06-09 12:00:00,AOA/USDT,0.0003591,0.00036,0.0003504,0.0003504,3314549.5946,1185.67540264611
1654772400,2022-06-09 11:00:00,AOA/USDT,0.0003591,0.0003662,0.0003591,0.0003591,2014102.12087889,731.838337095907878
1654768800,2022-06-09 10:00:00,AOA/USDT,0.0003605,0.0003669,0.0003591,0.0003591,2327724.24033687,840.821235190987603
1654765200,2022-06-09 09:00:00,AOA/USDT,0.0003608,0.0003617,0.0003565,0.0003595,5513190.1221,1980.45967263747
1654761600,2022-06-09 08:00:00,AOA/USDT,0.0003478,0.00036,0.0003478,0.00036,1446121.47317118,515.739058512299732
1654758000,2022-06-09 07:00:00,AOA/USDT,0.000348,0.000348,0.0003446,0.0003478,584311.2738,202.582713042409595
1654754400,2022-06-09 06:00:00,AOA/USDT,0.0003541,0.0003574,0.0003483,0.0003483,1287109.29829394,451.039392622284156
1654750800,2022-06-09 05:00:00,AOA/USDT,0.0003515,0.0003574,0.000348,0.0003565,241872.15833488,85.330890607006112
1654747200,2022-06-09 04:00:00,AOA/USDT,0.0003557,0.0003557,0.0003496,0.0003539,1540652.4707,541.03436112492
1654743600,2022-06-09 03:00:00,AOA/USDT,0.0003696,0.0003696,0.0003208,0.0003574,55266991.75202332,18654.901613258861344
1654740000,2022-06-09 02:00:00,AOA/USDT,0.000366,0.000378,0.000366,0.00037,4405722.7173,1654.44125287647
1654736400,2022-06-09 01:00:00,AOA/USDT,0.0003539,0.0003659,0.0003539,0.0003659,1640065.6879,596.71631135358
1654732800,2022-06-09 00:00:00,AOA/USDT,0.0003624,0.0003624,0.0003516,0.0003539,2991808.3854,1057.65841645824
1654729200,2022-06-08 23:00:00,AOA/USDT,0.000374,0.0003746,0.0003601,0.0003601,2941106.81512423,1080.049224537586558
1654725600,2022-06-08 22:00:00,AOA/USDT,0.0003659,0.0003752,0.0003659,0.000374,2377418.494084,888.4483271606368
1654722000,2022-06-08 21:00:00,AOA/USDT,0.0003653,0.000366,0.000364,0.0003659,4141076.1773,1511.78136174859
1654718400,2022-06-08 20:00:00,AOA/USDT,0.000372,0.000372,0.0003656,0.0003656,309388.4318,113.78308754738
1654714800,2022-06-08 19:00:00,AOA/USDT,0.0003701,0.0003767,0.0003671,0.000372,3914031.40461941,1457.185547952465667
1654711200,2022-06-08 18:00:00,AOA/USDT,0.0003667,0.0003703,0.0003642,0.0003684,2175183.08304487,803.881709748668119
