https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDC,Volume USDT
1653868800,2022-05-30 00:00:00,USDC/USDT,1.00160,1.12741,1.00003,1.00003,34104.12673,34105.1498538019
1653782400,2022-05-29 00:00:00,USDC/USDT,1.00172,1.00213,1.00172,1.00213,819.65941,821.4052845432999
1653696000,2022-05-28 00:00:00,USDC/USDT,1.00001,1.00175,1.00001,1.00175,1674.69467,1677.6253856725
1653609600,2022-05-27 00:00:00,USDC/USDT,1.00230,1.00230,1.00036,1.00036,56333.53069,56353.81076104839
1653523200,2022-05-26 00:00:00,USDC/USDT,1.00031,1.00770,1.00031,1.00230,272022.97910,272648.63195193
1653436800,2022-05-25 00:00:00,USDC/USDT,1.00032,1.00138,1.00032,1.00138,539.90041,540.6454725657999
1653350400,2022-05-24 00:00:00,USDC/USDT,1.00210,1.00210,1.00000,1.00000,5880.96370,5880.9637
1653264000,2022-05-23 00:00:00,USDC/USDT,1.00202,1.00203,1.00197,1.00197,6425.89569,6438.554704509301
1653177600,2022-05-22 00:00:00,USDC/USDT,1.00243,1.00243,1.00243,1.00243,0.00000,0.0
1653091200,2022-05-21 00:00:00,USDC/USDT,1.00041,1.00243,1.00040,1.00243,2114.33693,2119.4747687399
1653004800,2022-05-20 00:00:00,USDC/USDT,1.00127,1.00235,1.00000,1.00235,2306.61284,2312.033380174
1652918400,2022-05-19 00:00:00,USDC/USDT,1.00245,1.04262,1.00011,1.00132,143311.79328,143500.96484712962
1652832000,2022-05-18 00:00:00,USDC/USDT,1.00189,1.00221,1.00002,1.00035,1627.66531,1628.2349928585002
1652745600,2022-05-17 00:00:00,USDC/USDT,1.00179,1.00229,1.00033,1.00229,18966.63183,19010.065416890695
1652659200,2022-05-16 00:00:00,USDC/USDT,1.00114,1.00244,1.00114,1.00243,19408.11977,19455.2815010411
1652572800,2022-05-15 00:00:00,USDC/USDT,1.00133,1.00133,1.00133,1.00133,20.37037,20.397462592100002
1652486400,2022-05-14 00:00:00,USDC/USDT,1.00101,1.00200,1.00101,1.00101,20253.57501,20274.0311207601
1652400000,2022-05-13 00:00:00,USDC/USDT,1.00282,1.00386,0.99993,1.00200,164462.04181,164790.96589361998
1652313600,2022-05-12 00:00:00,USDC/USDT,1.00046,1.35866,1.00000,1.00282,613928.63554,615659.9142922228
1652227200,2022-05-11 00:00:00,USDC/USDT,1.00090,1.00297,0.99839,0.99921,113111.52440,113022.166295724
1652140800,2022-05-10 00:00:00,USDC/USDT,0.96907,1.00044,0.96890,1.00039,22628.55791,22637.383047584895
1652054400,2022-05-09 00:00:00,USDC/USDT,1.00099,1.00149,0.97450,1.00080,65543.59398,65596.028855184
1651968000,2022-05-08 00:00:00,USDC/USDT,1.00021,1.00076,0.99963,0.99965,4428.03697,4426.4871570605
1651881600,2022-05-07 00:00:00,USDC/USDT,1.00134,1.00135,0.99915,1.00090,2421.86671,2424.0463900389996
1651795200,2022-05-06 00:00:00,USDC/USDT,0.99971,1.00139,0.99965,1.00139,33844.99816,33892.0427074424
1651708800,2022-05-05 00:00:00,USDC/USDT,1.00003,1.00129,0.99911,1.00129,31397.63067,31438.1336135643
1651622400,2022-05-04 00:00:00,USDC/USDT,0.99910,1.00089,0.99890,1.00066,42094.25448,42122.03668795681
1651536000,2022-05-03 00:00:00,USDC/USDT,0.99999,1.00000,0.99999,1.00000,827.97230,827.9723
1651449600,2022-05-02 00:00:00,USDC/USDT,1.00126,1.00127,1.00126,1.00127,259.54244,259.87205889880005
