https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume XEM
1660089600000,2022-08-10 00:00:00,XEM/EUR,0.04890633,0.05198771,0.04656743,0.05053735,15837.23035608986,313376.74721943
1660003200000,2022-08-09 00:00:00,XEM/EUR,0.05203603,0.05203603,0.05111991,0.05134712,1094.7205984,21320.0
1659916800000,2022-08-08 00:00:00,XEM/EUR,0.05189867,0.05352211,0.04996675,0.05139444,20345.035934658812,395860.64046342
1659830400000,2022-08-07 00:00:00,XEM/EUR,0.0526178,0.05321053,0.04983944,0.05056826,19439.307251569706,384417.1670445
1659744000000,2022-08-06 00:00:00,XEM/EUR,0.05219291,0.05670888,0.04930349,0.05124268,19506.47272246318,380668.47250111
1659657600000,2022-08-05 00:00:00,XEM/EUR,0.05173256,0.05309753,0.04841488,0.05220654,20067.49757514067,384386.66065862
1659571200000,2022-08-04 00:00:00,XEM/EUR,0.04899447,0.05449999,0.04720803,0.05051219,19022.59881546308,376594.22043398
1659484800000,2022-08-03 00:00:00,XEM/EUR,0.04774164,0.05072297,0.0466858,0.04758158,17909.683656606157,376399.51545548
1659398400000,2022-08-02 00:00:00,XEM/EUR,0.05020595,0.05204372,0.04597101,0.04858035,18220.8160907794,375065.55820984
1659312000000,2022-08-01 00:00:00,XEM/EUR,0.04861342,0.0524912,0.04829307,0.05056948,19446.341904858004,384547.0015681
1659225600000,2022-07-31 00:00:00,XEM/EUR,0.04821698,0.054,0.04773283,0.04857494,18436.476313569277,379547.07331742
1659139200000,2022-07-30 00:00:00,XEM/EUR,0.0483051,0.05292655,0.04706928,0.04971714,18836.671818855295,378876.81831367
1659052800000,2022-07-29 00:00:00,XEM/EUR,0.04720899,0.05268031,0.04672274,0.04836298,18344.15051056558,379301.49280639
1658966400000,2022-07-28 00:00:00,XEM/EUR,0.04690522,0.05223587,0.0464417,0.04845501,18396.765326256966,379666.93900707
1658880000000,2022-07-27 00:00:00,XEM/EUR,0.04296389,0.04741707,0.04294267,0.04668207,17646.89260850176,378022.92418699
1658793600000,2022-07-26 00:00:00,XEM/EUR,0.04445881,0.04472047,0.04204959,0.04306078,16351.463771795845,379729.85560865
1658707200000,2022-07-25 00:00:00,XEM/EUR,0.04797658,0.04812366,0.04412059,0.04482933,17759.97498946646,396168.64649698
1658620800000,2022-07-24 00:00:00,XEM/EUR,0.04888338,0.05049064,0.04659995,0.04803699,18425.37074102229,383566.30465444
1658534400000,2022-07-23 00:00:00,XEM/EUR,0.04651876,0.05449999,0.0463499,0.04923115,18776.465681906255,381394.00931943
1658448000000,2022-07-22 00:00:00,XEM/EUR,0.04830614,0.05283101,0.04479104,0.04659408,17811.867880492115,382277.4884812
1658361600000,2022-07-21 00:00:00,XEM/EUR,0.04813118,0.04986289,0.04490844,0.04853274,17908.17906156643,368991.71696398
1658275200000,2022-07-20 00:00:00,XEM/EUR,0.05117941,0.0544681,0.04430003,0.048213,18118.88695518165,375809.15842577
1658188800000,2022-07-19 00:00:00,XEM/EUR,0.04387516,0.06,0.04242176,0.0511848,19383.637436924757,378699.09498376
1658102400000,2022-07-18 00:00:00,XEM/EUR,0.040333,0.04472344,0.0399052,0.04396975,16468.013564106157,374530.525284
1658016000000,2022-07-17 00:00:00,XEM/EUR,0.04141668,0.04314979,0.0396809,0.04025267,15798.615035141394,392486.13905963
1657929600000,2022-07-16 00:00:00,XEM/EUR,0.04039923,0.04302825,0.0399783,0.0414702,16114.281665083818,388574.96865421
1657843200000,2022-07-15 00:00:00,XEM/EUR,0.03943255,0.04304153,0.03914451,0.04009091,15775.524053061294,393493.78831913
1657756800000,2022-07-14 00:00:00,XEM/EUR,0.037012,0.04010021,0.03684782,0.03972869,15341.840458348994,386165.27397075
1657670400000,2022-07-13 00:00:00,XEM/EUR,0.03786313,0.04247386,0.0361618,0.03854538,15257.029209810098,395819.91952888
1657584000000,2022-07-12 00:00:00,XEM/EUR,0.0378689,0.04204796,0.03652109,0.03794924,14797.306160405127,389923.64960155
1657497600000,2022-07-11 00:00:00,XEM/EUR,0.03991955,0.04056479,0.03654554,0.03790057,14960.405406506658,394727.71534852
1657411200000,2022-07-10 00:00:00,XEM/EUR,0.04116644,0.04189167,0.04067061,0.04134644,923.1080669679184,22326.18012501
1657324800000,2022-07-09 00:00:00,XEM/EUR,0.04184844,0.04542902,0.04071481,0.04119847,14604.272444687991,354485.79630962
1657238400000,2022-07-08 00:00:00,XEM/EUR,0.03966051,0.0475,0.03565161,0.0435294,17143.54547895441,393838.31339174
1657152000000,2022-07-07 00:00:00,XEM/EUR,0.04002117,0.04155379,0.03896481,0.0411195,16048.915856162437,390299.39216582
1657065600000,2022-07-06 00:00:00,XEM/EUR,0.03870181,0.04110426,0.03706866,0.040199,14617.79824972637,363635.86780085
1656979200000,2022-07-05 00:00:00,XEM/EUR,0.04071348,0.04240097,0.03670769,0.03908756,15199.548645832912,388858.97829982
1656892800000,2022-07-04 00:00:00,XEM/EUR,0.04112776,0.04272152,0.03698264,0.04037646,15769.837011944177,390570.07503739
1656806400000,2022-07-03 00:00:00,XEM/EUR,0.04998546,0.05088783,0.04027938,0.04127007,16485.632047776795,399457.33185761
1656720000000,2022-07-02 00:00:00,XEM/EUR,0.03650094,0.055,0.03530263,0.04621846,18783.31556393865,406402.88672402
1656633600000,2022-07-01 00:00:00,XEM/EUR,0.03674178,0.03748078,0.03506613,0.03656274,14257.541141215137,389947.28352457
1656547200000,2022-06-30 00:00:00,XEM/EUR,0.03786158,0.03867036,0.03320411,0.03682058,14400.29729798436,391093.71166843
1656460800000,2022-06-29 00:00:00,XEM/EUR,0.03828599,0.03960195,0.03415764,0.03785561,15100.301712403108,398892.04565461
1656374400000,2022-06-28 00:00:00,XEM/EUR,0.04006874,0.04017308,0.03868946,0.03986676,588.4333776,14760.0
1656288000000,2022-06-27 00:00:00,XEM/EUR,0.04321382,0.04444307,0.03756667,0.03933672,15709.941796041196,399370.91338681
1656201600000,2022-06-26 00:00:00,XEM/EUR,0.04084837,0.05068718,0.0336716,0.04297153,17254.943284538844,401543.61002596
1656115200000,2022-06-25 00:00:00,XEM/EUR,0.04076936,0.04345033,0.03836453,0.0407814,16366.363918512669,401319.32494992
1656028800000,2022-06-24 00:00:00,XEM/EUR,0.03971749,0.04157733,0.03813325,0.04065713,16088.533031993038,395712.46253715
1655942400000,2022-06-23 00:00:00,XEM/EUR,0.03806126,0.03990197,0.03785816,0.03981982,15126.979754724269,379885.688954
1655856000000,2022-06-22 00:00:00,XEM/EUR,0.03924454,0.03971298,0.03498423,0.03848322,14871.833811067938,386449.82958983
1655769600000,2022-06-21 00:00:00,XEM/EUR,0.03957077,0.04436922,0.03799866,0.03963369,15892.959218385666,400996.20344171
1655683200000,2022-06-20 00:00:00,XEM/EUR,0.03832256,0.04254894,0.03626764,0.03917304,15891.591275440229,405676.74286806
1655596800000,2022-06-19 00:00:00,XEM/EUR,0.03601729,0.03849986,0.03398383,0.03818707,15119.730309364095,395938.47627912
1655510400000,2022-06-18 00:00:00,XEM/EUR,0.03786343,0.03856303,0.03362483,0.03587252,14332.139179088817,399529.75645672
1655424000000,2022-06-17 00:00:00,XEM/EUR,0.0362144,0.0407188,0.0351566,0.03810993,14978.093812590892,393023.38819806
1655337600000,2022-06-16 00:00:00,XEM/EUR,0.04001738,0.04071881,0.0351922,0.03615899,13024.558315870909,360202.49226737
1655251200000,2022-06-15 00:00:00,XEM/EUR,0.03854887,0.04134092,0.03316536,0.03971461,15419.18669821896,388249.73223252
1655164800000,2022-06-14 00:00:00,XEM/EUR,0.03802918,0.04436921,0.03388432,0.03859169,15360.939352917418,398037.48819804
1655078400000,2022-06-13 00:00:00,XEM/EUR,0.0406373,0.04187863,0.03500005,0.03746734,14554.598752564576,388460.95699787
1654992000000,2022-06-12 00:00:00,XEM/EUR,0.04315276,0.04794578,0.03810057,0.03972768,15840.188714950602,398719.19817494
1654905600000,2022-06-11 00:00:00,XEM/EUR,0.04475124,0.04794577,0.04100008,0.04205153,16938.078884416766,402793.40334149
1654819200000,2022-06-10 00:00:00,XEM/EUR,0.04728215,0.04794578,0.04395381,0.04529584,17972.988220344898,396791.14506641
1654732800000,2022-06-09 00:00:00,XEM/EUR,0.04727214,0.0495537,0.04510003,0.04714753,18593.170695114764,394361.50091245
1654646400000,2022-06-08 00:00:00,XEM/EUR,0.04856208,0.04955366,0.04655156,0.04711487,18294.931674258594,388304.83187704
1654560000000,2022-06-07 00:00:00,XEM/EUR,0.04898266,0.05031536,0.04622785,0.04909881,20063.07473832092,408626.49702347
1654473600000,2022-06-06 00:00:00,XEM/EUR,0.04774334,0.0574,0.04725992,0.04981223,19798.733639023707,397467.32155986
1654387200000,2022-06-05 00:00:00,XEM/EUR,0.04705666,0.05142068,0.04610815,0.0479652,18911.59913341847,394277.49980024
1654300800000,2022-06-04 00:00:00,XEM/EUR,0.04640004,0.06229998,0.04333586,0.04709757,18638.128798797217,395734.40410614
1654214400000,2022-06-03 00:00:00,XEM/EUR,0.04934704,0.05006052,0.04490013,0.04640781,18331.53848177992,395009.77274687
1654128000000,2022-06-02 00:00:00,XEM/EUR,0.04946594,0.06229995,0.04653777,0.04812898,18974.271686036667,394237.97649642
1654041600000,2022-06-01 00:00:00,XEM/EUR,0.04974342,0.06499998,0.04602637,0.04915732,19550.941987309863,397721.8853125
1653955200000,2022-05-31 00:00:00,XEM/EUR,0.04888123,0.05603838,0.04602637,0.04967624,18669.75166882427,375828.59871891
1653868800000,2022-05-30 00:00:00,XEM/EUR,0.04580812,0.0560383,0.04481549,0.04959189,19304.064893188315,389258.50362203
1653782400000,2022-05-29 00:00:00,XEM/EUR,0.04496658,0.04694877,0.04374646,0.04571935,17821.3349177549,389798.51895871
1653696000000,2022-05-28 00:00:00,XEM/EUR,0.04501924,0.04744918,0.0426545,0.0450103,17558.776952049167,390105.75250663
1653609600000,2022-05-27 00:00:00,XEM/EUR,0.04589383,0.04744907,0.04177365,0.04467417,17605.809789482777,394093.7187973
1653523200000,2022-05-26 00:00:00,XEM/EUR,0.05023254,0.05166572,0.04302518,0.04562408,17624.49879398052,386298.17399015
1653436800000,2022-05-25 00:00:00,XEM/EUR,0.05072689,0.05603839,0.04177417,0.05005772,19893.73806328361,397415.98425345
1653350400000,2022-05-24 00:00:00,XEM/EUR,0.05115304,0.05603695,0.04661124,0.04973122,17523.800486023698,352370.21102687
1653264000000,2022-05-23 00:00:00,XEM/EUR,0.05729202,0.057675,0.04868219,0.05173078,20964.06341248687,405253.18606228
1653177600000,2022-05-22 00:00:00,XEM/EUR,0.05062863,0.06457866,0.04992481,0.05705127,21984.63990275478,385348.82576242
1653091200000,2022-05-21 00:00:00,XEM/EUR,0.05036975,0.0518684,0.04912548,0.05050385,20444.55031112881,404811.7185349
1653004800000,2022-05-20 00:00:00,XEM/EUR,0.05293401,0.05489061,0.04912521,0.05093465,19871.954641890803,390146.09194116
1652918400000,2022-05-19 00:00:00,XEM/EUR,0.0515499,0.0548909,0.0491252,0.05241403,20738.616922003253,395669.19242812
1652832000000,2022-05-18 00:00:00,XEM/EUR,0.05845299,0.06041635,0.0511383,0.05219847,20301.163713460384,388922.58170518
1652745600000,2022-05-17 00:00:00,XEM/EUR,0.0554776,0.07224423,0.05261136,0.05823378,23487.416027695035,403329.75169558
