https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume BTC
1651615200,2022-05-03 22:00:00,LINK/BTC,0.00029277,0.00029277,0.00029277,0.00029277,0.00000000,0.0
1651611600,2022-05-03 21:00:00,LINK/BTC,0.00029277,0.00029277,0.00029277,0.00029277,0.00000000,0.0
1651608000,2022-05-03 20:00:00,LINK/BTC,0.00029277,0.00029277,0.00029277,0.00029277,0.00000000,0.0
1651604400,2022-05-03 19:00:00,LINK/BTC,0.00029277,0.00029277,0.00029277,0.00029277,0.00000000,0.0
1651600800,2022-05-03 18:00:00,LINK/BTC,0.00029277,0.00029277,0.00029277,0.00029277,0.00000000,0.0
1651597200,2022-05-03 17:00:00,LINK/BTC,0.00029277,0.00029277,0.00029277,0.00029277,0.00000000,0.0
1651593600,2022-05-03 16:00:00,LINK/BTC,0.00029277,0.00029277,0.00029277,0.00029277,89.49236000,0.0262006782372
1651590000,2022-05-03 15:00:00,LINK/BTC,0.00029217,0.00029217,0.00029217,0.00029217,0.00000000,0.0
1651586400,2022-05-03 14:00:00,LINK/BTC,0.00029217,0.00029217,0.00029217,0.00029217,1.44365257,0.0004217919713769
1651582800,2022-05-03 13:00:00,LINK/BTC,0.00029441,0.00029441,0.00029272,0.00029272,758.29688380,0.22196866382593602
1651579200,2022-05-03 12:00:00,LINK/BTC,0.00029412,0.00029571,0.00029403,0.00029571,197.37771250,0.05836656336337501
1651575600,2022-05-03 11:00:00,LINK/BTC,0.00029345,0.00029500,0.00029345,0.00029500,304.79733977,0.08991521523215
1651572000,2022-05-03 10:00:00,LINK/BTC,0.00029150,0.00029150,0.00029150,0.00029150,416.86656760,0.1215166044554
1651568400,2022-05-03 09:00:00,LINK/BTC,0.00029315,0.00029315,0.00029280,0.00029280,782.12167580,0.22900522667424003
1651564800,2022-05-03 08:00:00,LINK/BTC,0.00029378,0.00029378,0.00029378,0.00029378,0.00000000,0.0
1651561200,2022-05-03 07:00:00,LINK/BTC,0.00029378,0.00029378,0.00029378,0.00029378,0.00000000,0.0
1651557600,2022-05-03 06:00:00,LINK/BTC,0.00029378,0.00029378,0.00029378,0.00029378,0.00000000,0.0
1651554000,2022-05-03 05:00:00,LINK/BTC,0.00029378,0.00029378,0.00029378,0.00029378,0.00000000,0.0
1651550400,2022-05-03 04:00:00,LINK/BTC,0.00029378,0.00029378,0.00029378,0.00029378,8.69962863,0.0025557768989213996
1651546800,2022-05-03 03:00:00,LINK/BTC,0.00029120,0.00029120,0.00029120,0.00029120,0.00000000,0.0
1651543200,2022-05-03 02:00:00,LINK/BTC,0.00029120,0.00029120,0.00029120,0.00029120,6.31203125,0.0018380635
1651539600,2022-05-03 01:00:00,LINK/BTC,0.00029275,0.00029275,0.00029275,0.00029275,0.00000000,0.0
1651536000,2022-05-03 00:00:00,LINK/BTC,0.00029275,0.00029275,0.00029275,0.00029275,0.00000000,0.0
1651532400,2022-05-02 23:00:00,LINK/BTC,0.00029275,0.00029275,0.00029275,0.00029275,0.00000000,0.0
1651528800,2022-05-02 22:00:00,LINK/BTC,0.00029275,0.00029275,0.00029275,0.00029275,0.00000000,0.0
1651525200,2022-05-02 21:00:00,LINK/BTC,0.00029266,0.00029275,0.00029266,0.00029275,183.40146654,0.053690779329585
1651521600,2022-05-02 20:00:00,LINK/BTC,0.00028880,0.00028984,0.00028880,0.00028984,833.10784102,0.2414679766412368
1651518000,2022-05-02 19:00:00,LINK/BTC,0.00028764,0.00028764,0.00028761,0.00028761,181.27798000,0.0521373598278
1651514400,2022-05-02 18:00:00,LINK/BTC,0.00028608,0.00028608,0.00028608,0.00028608,96.52459306,0.0276137555826048
1651510800,2022-05-02 17:00:00,LINK/BTC,0.00028803,0.00028803,0.00028803,0.00028803,0.00000000,0.0
1651507200,2022-05-02 16:00:00,LINK/BTC,0.00028803,0.00028803,0.00028803,0.00028803,0.00000000,0.0
1651503600,2022-05-02 15:00:00,LINK/BTC,0.00028803,0.00028803,0.00028803,0.00028803,0.00000000,0.0
1651500000,2022-05-02 14:00:00,LINK/BTC,0.00028803,0.00028803,0.00028803,0.00028803,12.00000000,0.00345636
1651496400,2022-05-02 13:00:00,LINK/BTC,0.00028696,0.00028696,0.00028696,0.00028696,1.00000000,0.00028696
1651492800,2022-05-02 12:00:00,LINK/BTC,0.00029023,0.00029023,0.00029023,0.00029023,0.00000000,0.0
