https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume JPY,Volume ETH
1578229200,2020-01-05 13:00:00,ETH/JPY,14678.0,14683.0,14678.0,14683.0,1553.98,0.1058
1578225600,2020-01-05 12:00:00,ETH/JPY,14654.0,14678.0,14654.0,14678.0,626.1,0.04266
1578222000,2020-01-05 11:00:00,ETH/JPY,14617.0,14654.0,14611.0,14654.0,4474.46,0.3055
1578218400,2020-01-05 10:00:00,ETH/JPY,14659.58,14659.58,14617.0,14617.0,914.94,0.06259
1578214800,2020-01-05 09:00:00,ETH/JPY,14670.0,14677.0,14659.58,14659.58,27271.11,1.86
1578211200,2020-01-05 08:00:00,ETH/JPY,14746.0,14746.0,14670.0,14670.0,23850.79,1.62
1578207600,2020-01-05 07:00:00,ETH/JPY,14764.0,14764.0,14746.0,14746.0,35076.13,2.378
1578204000,2020-01-05 06:00:00,ETH/JPY,14765.0,14797.0,14764.0,14764.0,1409.71,0.09536
1578200400,2020-01-05 05:00:00,ETH/JPY,14775.0,14775.0,14726.0,14765.0,85784.13,5.812
1578196800,2020-01-05 04:00:00,ETH/JPY,14755.0,14809.0,14715.0,14775.0,422427.66,28.59
1578193200,2020-01-05 03:00:00,ETH/JPY,14700.0,14755.0,14700.0,14755.0,629.13,0.04264
1578189600,2020-01-05 02:00:00,ETH/JPY,14709.3,14709.3,14685.0,14700.0,73726.44,5.02
1578186000,2020-01-05 01:00:00,ETH/JPY,14568.0,14717.0,14568.0,14709.3,89191.14,6.066
1578182400,2020-01-05 00:00:00,ETH/JPY,14521.0,14607.0,14521.0,14568.0,29840.15,2.043
1578178800,2020-01-04 23:00:00,ETH/JPY,14521.0,14521.0,14521.0,14521.0,0.0,0.0
1578175200,2020-01-04 22:00:00,ETH/JPY,14558.0,14558.0,14521.0,14521.0,29339.87,2.017
1578171600,2020-01-04 21:00:00,ETH/JPY,14498.0,14558.0,14498.0,14558.0,6660.52,0.4582
1578168000,2020-01-04 20:00:00,ETH/JPY,14487.0,14517.0,14487.0,14498.0,8283.1,0.5708
1578164400,2020-01-04 19:00:00,ETH/JPY,14486.0,14502.0,14430.0,14487.0,34658.24,2.4
1578160800,2020-01-04 18:00:00,ETH/JPY,14580.0,14689.0,14486.0,14486.0,4447.0,0.3049
1578157200,2020-01-04 17:00:00,ETH/JPY,14475.0,14605.0,14461.0,14580.0,9533.41,0.6557
1578153600,2020-01-04 16:00:00,ETH/JPY,14475.0,14475.0,14475.0,14475.0,0.0,0.0
1578150000,2020-01-04 15:00:00,ETH/JPY,14433.68,14475.0,14433.68,14475.0,45876.14,3.173
1578146400,2020-01-04 14:00:00,ETH/JPY,14421.79,14433.68,14421.79,14433.68,7457.12,0.5166
1578142800,2020-01-04 13:00:00,ETH/JPY,14453.0,14453.0,14390.0,14421.79,66153.6,4.59
1578139200,2020-01-04 12:00:00,ETH/JPY,14515.0,14515.0,14453.0,14453.0,7799.95,0.5392
1578135600,2020-01-04 11:00:00,ETH/JPY,14527.0,14527.0,14494.06,14515.0,28722.8,1.98
1578132000,2020-01-04 10:00:00,ETH/JPY,14535.0,14535.0,14527.0,14527.0,1678.35,0.1155
1578128400,2020-01-04 09:00:00,ETH/JPY,14535.0,14535.0,14535.0,14535.0,0.0,0.0
1578124800,2020-01-04 08:00:00,ETH/JPY,14535.0,14535.0,14535.0,14535.0,0.0,0.0
1578121200,2020-01-04 07:00:00,ETH/JPY,14526.0,14535.0,14511.0,14535.0,2495.61,0.1718
1578117600,2020-01-04 06:00:00,ETH/JPY,14512.58,14526.0,14512.58,14526.0,2111.2,0.1453
1578114000,2020-01-04 05:00:00,ETH/JPY,14510.0,14529.58,14510.0,14512.58,6013.62,0.4141
1578110400,2020-01-04 04:00:00,ETH/JPY,14464.45,14510.0,14450.98,14510.0,4017.87,0.2776
1578106800,2020-01-04 03:00:00,ETH/JPY,14431.0,14464.45,14431.0,14464.45,7782.89,0.5381
1578103200,2020-01-04 02:00:00,ETH/JPY,14560.0,14560.0,14431.0,14431.0,123.1,0.00853
1578099600,2020-01-04 01:00:00,ETH/JPY,14560.0,14560.0,14560.0,14560.0,0.0,0.0
1578096000,2020-01-04 00:00:00,ETH/JPY,14536.0,14560.0,14536.0,14560.0,1700.46,0.1168
1578092400,2020-01-03 23:00:00,ETH/JPY,14448.0,14605.0,14448.0,14536.0,9041.46,0.6208
1578088800,2020-01-03 22:00:00,ETH/JPY,14358.0,14448.0,14358.0,14448.0,89231.78,6.21
1578085200,2020-01-03 21:00:00,ETH/JPY,14482.0,14513.0,14358.0,14358.0,20800.22,1.447
1578081600,2020-01-03 20:00:00,ETH/JPY,14464.0,14555.0,14464.0,14482.0,51635.18,3.551
