https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HYVE,Volume USDT
1661990400,2022-09-01 00:00:00,HYVE/USDT,0.05118,0.05169,0.04541,0.04719,1063104.5227,51074.377554026
1661904000,2022-08-31 00:00:00,HYVE/USDT,0.05793,0.05793,0.0505,0.05088,988815.3546,53619.517510545
1661817600,2022-08-30 00:00:00,HYVE/USDT,0.0572,0.0689,0.05591,0.05792,3051944.308,191239.909436818
1661731200,2022-08-29 00:00:00,HYVE/USDT,0.04894,0.065,0.04696,0.0572,1932817.4329,110768.073171835
1661644800,2022-08-28 00:00:00,HYVE/USDT,0.05367,0.05594,0.04844,0.04859,884031.0868,46457.175163048
1661558400,2022-08-27 00:00:00,HYVE/USDT,0.0577,0.0601,0.05312,0.05372,1225456.9508,69421.114742669
1661472000,2022-08-26 00:00:00,HYVE/USDT,0.07874,0.08,0.0569,0.0577,3376262.6317,227871.360143654
1661385600,2022-08-25 00:00:00,HYVE/USDT,0.05819,0.33597,0.05819,0.07876,19940557.75898324,2357516.3733300818225
1661299200,2022-08-24 00:00:00,HYVE/USDT,0.05494,0.0601,0.05241,0.05746,404137.9175,22914.416758377
1661212800,2022-08-23 00:00:00,HYVE/USDT,0.0583,0.06096,0.05353,0.05497,348908.8968,19635.758574412
1661126400,2022-08-22 00:00:00,HYVE/USDT,0.05022,0.06589,0.0502,0.05869,1789505.7618,104982.355260729
1661040000,2022-08-21 00:00:00,HYVE/USDT,0.04715,0.05046,0.04661,0.05022,169849.1877,8392.391839025
1660953600,2022-08-20 00:00:00,HYVE/USDT,0.04735,0.04863,0.04638,0.04661,82626.7913,3909.738454027
1660867200,2022-08-19 00:00:00,HYVE/USDT,0.0482,0.0575,0.0465,0.04791,615009.1534,30861.284390803
1660780800,2022-08-18 00:00:00,HYVE/USDT,0.0487,0.05007,0.0476,0.04878,36363.8769,1770.377359944
1660694400,2022-08-17 00:00:00,HYVE/USDT,0.04912,0.05114,0.04782,0.04886,58803.4688,2927.522540089
1660608000,2022-08-16 00:00:00,HYVE/USDT,0.05116,0.05124,0.04861,0.04861,122004.717,6119.74154055
1660521600,2022-08-15 00:00:00,HYVE/USDT,0.05168,0.05436,0.05046,0.05117,128859.2103,6705.871631851
1660435200,2022-08-14 00:00:00,HYVE/USDT,0.0492,0.05568,0.0484,0.05093,587327.9009,30924.493840189
1660348800,2022-08-13 00:00:00,HYVE/USDT,0.04781,0.05023,0.0476,0.0492,72226.7179,3550.451547605
1660262400,2022-08-12 00:00:00,HYVE/USDT,0.0462,0.0527,0.04615,0.04856,403811.9733,19839.953637016
1660176000,2022-08-11 00:00:00,HYVE/USDT,0.04614,0.04759,0.04432,0.04687,49108.4665,2253.84352826
1660089600,2022-08-10 00:00:00,HYVE/USDT,0.0431,0.04799,0.04223,0.04614,102304.057,4678.832335427
1660003200,2022-08-09 00:00:00,HYVE/USDT,0.04531,0.0466,0.0427,0.0431,112161.2002,4945.747211619
1659916800,2022-08-08 00:00:00,HYVE/USDT,0.04381,0.0468,0.04381,0.04558,51256.2297,2345.07908093
1659830400,2022-08-07 00:00:00,HYVE/USDT,0.04349,0.04519,0.04282,0.04381,110102.5133,4840.405294485
1659744000,2022-08-06 00:00:00,HYVE/USDT,0.04307,0.04471,0.0421,0.04352,147282.1287,6388.065858259
1659657600,2022-08-05 00:00:00,HYVE/USDT,0.04154,0.0479,0.0405,0.0432,599634.2928,26579.825028872
1659571200,2022-08-04 00:00:00,HYVE/USDT,0.0415,0.04239,0.04021,0.0404,43032.5344,1774.626190702
