https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NFTB,Volume USDT
1659830400,2022-08-07 00:00:00,NFTB/USDT,0.0224,0.0233,0.02188,0.02272,323521.5164,7252.256872067
1659744000,2022-08-06 00:00:00,NFTB/USDT,0.02262,0.02344,0.0224,0.02242,507882.4457,11582.308063435
1659657600,2022-08-05 00:00:00,NFTB/USDT,0.0223,0.02477,0.0223,0.02267,753841.656,17578.891793216
1659571200,2022-08-04 00:00:00,NFTB/USDT,0.02226,0.02252,0.02141,0.02237,599325.9615,13292.292784076
1659484800,2022-08-03 00:00:00,NFTB/USDT,0.02184,0.0225,0.0213,0.02226,631496.6987,13826.125841514
1659398400,2022-08-02 00:00:00,NFTB/USDT,0.02255,0.02262,0.02149,0.02189,948875.9252,20839.209150944
1659312000,2022-08-01 00:00:00,NFTB/USDT,0.02252,0.0233,0.02156,0.0225,1111213.294,25205.681807995
1659225600,2022-07-31 00:00:00,NFTB/USDT,0.02217,0.0241,0.02216,0.0225,951015.0791,21967.329613788
1659139200,2022-07-30 00:00:00,NFTB/USDT,0.02411,0.02495,0.022,0.02215,1847511.3693,43198.880015962
1659052800,2022-07-29 00:00:00,NFTB/USDT,0.02265,0.02495,0.02262,0.02404,2367273.7273,56248.469386339
1658966400,2022-07-28 00:00:00,NFTB/USDT,0.02252,0.02518,0.022,0.0227,1289585.3975,29381.299439185
1658880000,2022-07-27 00:00:00,NFTB/USDT,0.02132,0.0226,0.02058,0.0226,1169171.4141,25171.115671024
1658793600,2022-07-26 00:00:00,NFTB/USDT,0.02043,0.02158,0.0203,0.0214,826069.1669,17043.600494402
1658707200,2022-07-25 00:00:00,NFTB/USDT,0.02276,0.02283,0.0203,0.02031,1679633.5009,35797.330566715
1658620800,2022-07-24 00:00:00,NFTB/USDT,0.02256,0.02319,0.0218,0.02283,687982.0751,15521.370146466
1658534400,2022-07-23 00:00:00,NFTB/USDT,0.02305,0.025,0.02144,0.02266,2221258.7798,51709.768092101
1658448000,2022-07-22 00:00:00,NFTB/USDT,0.0219,0.02646,0.0214,0.02306,1084497.07993461,24898.9846251156101
1658361600,2022-07-21 00:00:00,NFTB/USDT,0.02197,0.02229,0.02073,0.022,702676.9155,15085.690120499
1658275200,2022-07-20 00:00:00,NFTB/USDT,0.0216,0.0239,0.0211,0.02192,1201942.17414151,27277.5033418614416
1658188800,2022-07-19 00:00:00,NFTB/USDT,0.0206,0.02206,0.0199,0.02159,1166311.44907986,24358.2222839839218
1658102400,2022-07-18 00:00:00,NFTB/USDT,0.01979,0.02137,0.01949,0.02058,2286507.86419112,46545.2556936905885
1658016000,2022-07-17 00:00:00,NFTB/USDT,0.02019,0.0217,0.0195,0.01983,2844518.3729975,58832.3174507154952
1657929600,2022-07-16 00:00:00,NFTB/USDT,0.01918,0.02099,0.01866,0.0202,3294103.65508677,64865.6410915689605
1657843200,2022-07-15 00:00:00,NFTB/USDT,0.01858,0.01956,0.01834,0.0192,1369485.88357526,25950.382136246461
1657756800,2022-07-14 00:00:00,NFTB/USDT,0.01876,0.01913,0.01791,0.0185,1982317.75622886,36648.664812426808
1657670400,2022-07-13 00:00:00,NFTB/USDT,0.01836,0.01891,0.01791,0.01865,1601480.337188,29412.7543991372999
1657584000,2022-07-12 00:00:00,NFTB/USDT,0.01885,0.0191,0.0183,0.0183,1863193.02652717,34739.0831587928224
1657497600,2022-07-11 00:00:00,NFTB/USDT,0.01999,0.02,0.0185,0.01884,1151814.26756478,22455.7522639242618
1657411200,2022-07-10 00:00:00,NFTB/USDT,0.02019,0.02066,0.0194,0.01997,1436953.89072959,28509.78296204573
1657324800,2022-07-09 00:00:00,NFTB/USDT,0.02007,0.0205,0.01951,0.02026,619160.17805794,12439.9335925628494
1657238400,2022-07-08 00:00:00,NFTB/USDT,0.0215,0.0221,0.01938,0.02007,1778415.18328261,36306.4765106454336
1657152000,2022-07-07 00:00:00,NFTB/USDT,0.01988,0.02256,0.01953,0.0215,3062569.9074087,63551.0257499116683
1657065600,2022-07-06 00:00:00,NFTB/USDT,0.01962,0.02048,0.01953,0.01978,961131.4453963,19091.6560543461424
1656979200,2022-07-05 00:00:00,NFTB/USDT,0.02026,0.0206,0.01931,0.01962,747732.12022882,14880.3197961102011
1656892800,2022-07-04 00:00:00,NFTB/USDT,0.01859,0.02069,0.0185,0.02029,725397.65565873,14331.3676512542938
1656806400,2022-07-03 00:00:00,NFTB/USDT,0.01942,0.01957,0.01836,0.0186,208156.54862682,3905.1921285445004
1656720000,2022-07-02 00:00:00,NFTB/USDT,0.01999,0.02021,0.01887,0.01955,299434.77784911,5844.2814926542074
1656633600,2022-07-01 00:00:00,NFTB/USDT,0.0198,0.02097,0.0198,0.01998,765345.47163568,15627.1171852821698
1656547200,2022-06-30 00:00:00,NFTB/USDT,0.01953,0.02026,0.0181,0.0197,12343581.72894929,238989.4409992648524
1656460800,2022-06-29 00:00:00,NFTB/USDT,0.0202,0.02055,0.01932,0.01944,18031232.55810246,358399.849622426192
1656374400,2022-06-28 00:00:00,NFTB/USDT,0.02088,0.02175,0.0195,0.02015,9405787.08461791,195980.3103476090943
1656288000,2022-06-27 00:00:00,NFTB/USDT,0.021,0.02169,0.0204,0.02097,1422094.97170563,29937.4797451819019
1656201600,2022-06-26 00:00:00,NFTB/USDT,0.02224,0.045,0.0208,0.021,6419727.59490846,152912.9387755076171
1656115200,2022-06-25 00:00:00,NFTB/USDT,0.02158,0.02229,0.02072,0.02219,5497724.87703037,118397.4687201419151
1656028800,2022-06-24 00:00:00,NFTB/USDT,0.02056,0.02209,0.02009,0.0216,2564467.11912234,53840.7712466005527
1655942400,2022-06-23 00:00:00,NFTB/USDT,0.01988,0.0214,0.01988,0.02054,1154641.16783601,23835.1054805459537
1655856000,2022-06-22 00:00:00,NFTB/USDT,0.0202,0.0214,0.01951,0.01988,1028093.17846849,20749.4438317361754
1655769600,2022-06-21 00:00:00,NFTB/USDT,0.02027,0.0224,0.0199,0.0202,570520.73742599,11906.4589680008301
1655683200,2022-06-20 00:00:00,NFTB/USDT,0.0205,0.0228,0.01964,0.02027,1530176.8048029,31603.9879334795582
1655596800,2022-06-19 00:00:00,NFTB/USDT,0.0195,0.0216,0.0189,0.02062,1583381.87967893,31974.5201555376104
1655510400,2022-06-18 00:00:00,NFTB/USDT,0.02259,0.0227,0.0184,0.01962,3548034.80246163,70335.9272725468434
1655424000,2022-06-17 00:00:00,NFTB/USDT,0.02215,0.02343,0.022,0.0225,230410.04391734,5273.0495468942086
1655337600,2022-06-16 00:00:00,NFTB/USDT,0.02474,0.025,0.02212,0.02213,397826.84431685,9211.994147828295
1655251200,2022-06-15 00:00:00,NFTB/USDT,0.0222,0.025,0.02051,0.02471,1228312.49746948,27412.4709595456868
1655164800,2022-06-14 00:00:00,NFTB/USDT,0.0224,0.0241,0.0216,0.0223,1286658.00324741,29265.862700659728
1655078400,2022-06-13 00:00:00,NFTB/USDT,0.0243,0.0244,0.0216,0.0225,1100140.34102726,25224.629122225537
1654992000,2022-06-12 00:00:00,NFTB/USDT,0.0272,0.0272,0.0241,0.0244,1438605.52179761,36659.581916810279
1654905600,2022-06-11 00:00:00,NFTB/USDT,0.03,0.0305,0.0266,0.0271,1547671.72747687,43708.081543926846
1654819200,2022-06-10 00:00:00,NFTB/USDT,0.0318,0.0324,0.0293,0.03,1268638.62591244,39201.082996769406
1654732800,2022-06-09 00:00:00,NFTB/USDT,0.0283,0.0384,0.027,0.0317,7289429.35882573,242580.000591595671
1654646400,2022-06-08 00:00:00,NFTB/USDT,0.0286,0.03,0.0275,0.0283,1040595.70097753,29789.657701799659
1654560000,2022-06-07 00:00:00,NFTB/USDT,0.0287,0.0311,0.0279,0.0286,1302531.72581048,37221.72617451811
1654473600,2022-06-06 00:00:00,NFTB/USDT,0.0295,0.0321,0.0282,0.0287,822162.31397452,24792.651205485969
1654387200,2022-06-05 00:00:00,NFTB/USDT,0.0334,0.0341,0.0288,0.0294,3129049.95359926,95609.420972194447
1654300800,2022-06-04 00:00:00,NFTB/USDT,0.0366,0.0454,0.0311,0.0332,12313005.35820347,458515.033119598089
1654214400,2022-06-03 00:00:00,NFTB/USDT,0.0266,0.079,0.0257,0.037,14980684.28138216,539650.868413843289
1654128000,2022-06-02 00:00:00,NFTB/USDT,0.0259,0.0272,0.0253,0.0267,353814.9997849,9184.159008669265
1654041600,2022-06-01 00:00:00,NFTB/USDT,0.0278,0.0286,0.0253,0.0259,772680.18252001,20535.926108256433
1653955200,2022-05-31 00:00:00,NFTB/USDT,0.0289,0.0335,0.0269,0.0279,1971636.08508217,58131.57855397386
1653868800,2022-05-30 00:00:00,NFTB/USDT,0.0274,0.0298,0.0269,0.0288,600310.66406045,17250.834059454371
1653782400,2022-05-29 00:00:00,NFTB/USDT,0.0279,0.028,0.0266,0.0275,192240.612954,5201.602486875247
1653696000,2022-05-28 00:00:00,NFTB/USDT,0.028,0.0287,0.0266,0.028,397342.24510201,10898.698010407592
1653609600,2022-05-27 00:00:00,NFTB/USDT,0.0285,0.0293,0.0267,0.028,232922.54760496,6516.222718198354
1653523200,2022-05-26 00:00:00,NFTB/USDT,0.0308,0.032,0.0279,0.0285,958586.86294746,28363.510354088734
1653436800,2022-05-25 00:00:00,NFTB/USDT,0.0324,0.0332,0.0294,0.0308,423578.5033967,13327.482093832795
1653350400,2022-05-24 00:00:00,NFTB/USDT,0.0318,0.0331,0.0299,0.0325,1130015.01756507,35770.250897616382
1653264000,2022-05-23 00:00:00,NFTB/USDT,0.0313,0.0369,0.0305,0.0316,2554302.94865356,85787.715649330314
1653177600,2022-05-22 00:00:00,NFTB/USDT,0.0324,0.0332,0.0307,0.0313,546137.30361026,17382.59298372041
1653091200,2022-05-21 00:00:00,NFTB/USDT,0.0305,0.034,0.0292,0.0324,2072398.26343985,66198.122854832226
1653004800,2022-05-20 00:00:00,NFTB/USDT,0.0283,0.0357,0.0275,0.0304,4328463.48727333,134633.647452530663
1652918400,2022-05-19 00:00:00,NFTB/USDT,0.027,0.03,0.0262,0.0283,506717.28617622,14211.491466538168
1652832000,2022-05-18 00:00:00,NFTB/USDT,0.0288,0.0294,0.0265,0.0269,362949.90231751,10234.786349317195
1652745600,2022-05-17 00:00:00,NFTB/USDT,0.0273,0.0299,0.027,0.0291,567731.14034315,16188.282097077565
1652659200,2022-05-16 00:00:00,NFTB/USDT,0.0284,0.0299,0.0268,0.0275,451170.83000027,12478.142320717727
1652572800,2022-05-15 00:00:00,NFTB/USDT,0.0262,0.0293,0.0249,0.0285,861156.29548039,23553.079715197651
1652486400,2022-05-14 00:00:00,NFTB/USDT,0.0277,0.0299,0.0241,0.0259,962576.50133285,24932.359661962855
1652400000,2022-05-13 00:00:00,NFTB/USDT,0.0269,0.0328,0.0262,0.0281,781402.23327337,22587.464328207889
1652313600,2022-05-12 00:00:00,NFTB/USDT,0.0307,0.0323,0.0255,0.0271,1584624.09031173,44318.929285613162
1652227200,2022-05-11 00:00:00,NFTB/USDT,0.0395,0.0406,0.03,0.0308,1235962.44395292,43185.505294549526
1652140800,2022-05-10 00:00:00,NFTB/USDT,0.0384,0.0431,0.038,0.0395,526894.9826318,21209.603002417416
1652054400,2022-05-09 00:00:00,NFTB/USDT,0.0435,0.0442,0.0366,0.0388,476359.6528173,19463.736398796235
1651968000,2022-05-08 00:00:00,NFTB/USDT,0.0455,0.0463,0.0427,0.0432,623964.3281128,27486.469784147564
1651881600,2022-05-07 00:00:00,NFTB/USDT,0.0475,0.0483,0.045,0.0455,141129.422269,6489.818680908449
1651795200,2022-05-06 00:00:00,NFTB/USDT,0.049,0.0491,0.0465,0.0483,252363.13435074,12029.677090393798
1651708800,2022-05-05 00:00:00,NFTB/USDT,0.0532,0.0568,0.0474,0.0491,313464.31011211,16256.312392834746
1651622400,2022-05-04 00:00:00,NFTB/USDT,0.0489,0.0552,0.0481,0.0532,517185.85503125,26598.411553297614
1651536000,2022-05-03 00:00:00,NFTB/USDT,0.0544,0.0549,0.048,0.0495,470137.27081897,24156.57239089589
1651449600,2022-05-02 00:00:00,NFTB/USDT,0.0569,0.0569,0.0527,0.0544,266194.62730879,14640.288949687797
1651363200,2022-05-01 00:00:00,NFTB/USDT,0.0572,0.06,0.0552,0.0554,338003.16169222,19462.431170024398
1651276800,2022-04-30 00:00:00,NFTB/USDT,0.0602,0.0622,0.0565,0.0566,282206.23218447,17011.778147547024
1651190400,2022-04-29 00:00:00,NFTB/USDT,0.0672,0.0678,0.06,0.06,401255.88465431,25088.994602884617
1651104000,2022-04-28 00:00:00,NFTB/USDT,0.0606,0.07,0.06,0.0673,927213.96724274,60803.860151298572
1651017600,2022-04-27 00:00:00,NFTB/USDT,0.0614,0.0637,0.0601,0.0612,245082.54314597,15044.583360526376
1650931200,2022-04-26 00:00:00,NFTB/USDT,0.0667,0.0671,0.0606,0.0618,328503.27928543,21010.889212810879
1650844800,2022-04-25 00:00:00,NFTB/USDT,0.0702,0.0703,0.0631,0.0671,1001478.08581716,66653.074919433758
1650758400,2022-04-24 00:00:00,NFTB/USDT,0.0724,0.074,0.07,0.071,323420.31600611,22901.343521167536
1650672000,2022-04-23 00:00:00,NFTB/USDT,0.0736,0.0801,0.07,0.0722,495018.78883453,36201.025431087399
1650585600,2022-04-22 00:00:00,NFTB/USDT,0.078,0.0826,0.0736,0.0736,453799.20850569,34599.053037962733
1650499200,2022-04-21 00:00:00,NFTB/USDT,0.0813,0.084,0.0766,0.0782,163083.2073598,13158.402368525715
1650412800,2022-04-20 00:00:00,NFTB/USDT,0.0811,0.0855,0.0784,0.0813,290251.0397624,23654.799465788087
1650326400,2022-04-19 00:00:00,NFTB/USDT,0.0788,0.0813,0.0765,0.0811,206819.65321887,16395.318467786523
1650240000,2022-04-18 00:00:00,NFTB/USDT,0.076,0.0847,0.075,0.0788,508907.47918846,38883.629446617683
1650153600,2022-04-17 00:00:00,NFTB/USDT,0.0813,0.0815,0.0751,0.0766,336545.16086412,26596.371692698829
1650067200,2022-04-16 00:00:00,NFTB/USDT,0.082,0.0825,0.08,0.0807,215993.74867874,17457.533630113353
1649980800,2022-04-15 00:00:00,NFTB/USDT,0.081,0.0835,0.0801,0.082,254006.41775632,20784.68720271939
1649894400,2022-04-14 00:00:00,NFTB/USDT,0.0846,0.086,0.0801,0.0812,373890.25749508,31040.575677730398
1649808000,2022-04-13 00:00:00,NFTB/USDT,0.0849,0.0866,0.0811,0.0843,425683.80560581,35633.300649507628
1649721600,2022-04-12 00:00:00,NFTB/USDT,0.0807,0.087,0.08,0.0854,1070003.78020387,87203.630270504627
1649635200,2022-04-11 00:00:00,NFTB/USDT,0.09,0.0911,0.0799,0.0804,955842.26556199,81748.253930232275
1649548800,2022-04-10 00:00:00,NFTB/USDT,0.09,0.0929,0.0892,0.09,445250.14913271,40242.203173991221
1649462400,2022-04-09 00:00:00,NFTB/USDT,0.0892,0.0917,0.0892,0.0903,309451.16885196,27791.582737676051
1649376000,2022-04-08 00:00:00,NFTB/USDT,0.0921,0.0946,0.0892,0.0892,445466.03798855,40473.295072246521
1649289600,2022-04-07 00:00:00,NFTB/USDT,0.094,0.0951,0.0893,0.0924,501133.50021186,46080.793507901655
1649203200,2022-04-06 00:00:00,NFTB/USDT,0.0957,0.098,0.0929,0.0942,718734.3234665,67979.594738690267
1649116800,2022-04-05 00:00:00,NFTB/USDT,0.1017,0.1047,0.0957,0.0958,602537.33045806,60313.612565655025
1649030400,2022-04-04 00:00:00,NFTB/USDT,0.1089,0.11,0.0939,0.1017,1034673.49605066,103698.567701573045
1648944000,2022-04-03 00:00:00,NFTB/USDT,0.1065,0.1103,0.1037,0.1086,423218.63926359,45271.742768925206
1648857600,2022-04-02 00:00:00,NFTB/USDT,0.1014,0.1098,0.101,0.1065,761413.70109452,80729.003978521216
1648771200,2022-04-01 00:00:00,NFTB/USDT,0.1011,0.1066,0.0955,0.101,977111.36431721,98928.552873208422
1648684800,2022-03-31 00:00:00,NFTB/USDT,0.108,0.1156,0.0972,0.1013,1976655.97806112,210066.510285789809
1648598400,2022-03-30 00:00:00,NFTB/USDT,0.11,0.114,0.095,0.1084,1622744.1133094,173673.398410287413
1648512000,2022-03-29 00:00:00,NFTB/USDT,0.12,0.1223,0.0988,0.1102,3426255.60254966,375148.51206218588
1648425600,2022-03-28 00:00:00,NFTB/USDT,0.113,0.1302,0.1107,0.1203,2269524.84827311,277306.408640829577
1648339200,2022-03-27 00:00:00,NFTB/USDT,0.109,0.1168,0.104,0.1125,1482196.30707135,161538.310616726362
1648252800,2022-03-26 00:00:00,NFTB/USDT,0.1086,0.1141,0.1044,0.1096,707132.11391139,76652.877841873817
1648166400,2022-03-25 00:00:00,NFTB/USDT,0.1229,0.1233,0.1051,0.1086,1660767.44425446,187772.030764679082
1648080000,2022-03-24 00:00:00,NFTB/USDT,0.1005,0.1442,0.1005,0.123,7289569.67583227,880757.62090750787
1647993600,2022-03-23 00:00:00,NFTB/USDT,0.0906,0.1066,0.0872,0.1,2322411.30387172,227033.482456035379
1647907200,2022-03-22 00:00:00,NFTB/USDT,0.0913,0.0947,0.0889,0.0908,333318.02543053,30727.732670345846
1647820800,2022-03-21 00:00:00,NFTB/USDT,0.0889,0.094,0.0879,0.0912,390012.52558453,35607.672293071974
1647734400,2022-03-20 00:00:00,NFTB/USDT,0.0935,0.0945,0.085,0.0889,767775.57498557,67778.544766534329
1647648000,2022-03-19 00:00:00,NFTB/USDT,0.0969,0.1003,0.092,0.094,745014.29517265,71366.860157816673
1647561600,2022-03-18 00:00:00,NFTB/USDT,0.0859,0.1071,0.085,0.0968,2496468.84407999,236086.846153058054
1647475200,2022-03-17 00:00:00,NFTB/USDT,0.0885,0.0929,0.083,0.0855,491173.0575632,43292.332297314954
1647388800,2022-03-16 00:00:00,NFTB/USDT,0.0875,0.0929,0.0852,0.089,470606.30305002,41867.516427965909
1647302400,2022-03-15 00:00:00,NFTB/USDT,0.0919,0.092,0.0872,0.0878,205541.39791481,18207.76489157579
1647216000,2022-03-14 00:00:00,NFTB/USDT,0.09,0.0947,0.09,0.0919,157148.35109787,14602.117919053456
1647129600,2022-03-13 00:00:00,NFTB/USDT,0.0925,0.0997,0.09,0.0904,398817.38528906,36894.486125090642
1647043200,2022-03-12 00:00:00,NFTB/USDT,0.0951,0.0971,0.0913,0.093,281117.35400648,26586.746038592906
1646956800,2022-03-11 00:00:00,NFTB/USDT,0.0963,0.1002,0.095,0.095,415821.49794444,40104.31449481336
1646870400,2022-03-10 00:00:00,NFTB/USDT,0.1012,0.1039,0.095,0.0963,428804.77993229,41514.547248289849
