https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CIRUS,Volume USDT
1651539600,2022-05-03 01:00:00,CIRUS/USDT,0.13894,0.13931,0.13831,0.13931,22992.59804732,3192.547581690676
1651536000,2022-05-03 00:00:00,CIRUS/USDT,0.13891,0.1393,0.13882,0.13891,25340.46395268,3520.944742028324
1651532400,2022-05-02 23:00:00,CIRUS/USDT,0.14066,0.14107,0.1375,0.13888,21870.8161,3036.410267217
1651528800,2022-05-02 22:00:00,CIRUS/USDT,0.14127,0.14139,0.13951,0.14066,44750.55547786,6309.4611218086254
1651525200,2022-05-02 21:00:00,CIRUS/USDT,0.14081,0.14139,0.14019,0.14126,50150.0063,7066.129804297
1651521600,2022-05-02 20:00:00,CIRUS/USDT,0.13877,0.14209,0.13832,0.1408,35457.8409,4944.301816277
1651518000,2022-05-02 19:00:00,CIRUS/USDT,0.13727,0.13889,0.13707,0.13878,34648.0081,4774.456952455
1651514400,2022-05-02 18:00:00,CIRUS/USDT,0.13772,0.13868,0.13727,0.13733,67782.6749,9372.134325628
1651510800,2022-05-02 17:00:00,CIRUS/USDT,0.1364,0.1379,0.1364,0.13769,40435.8604,5559.024726342
1651507200,2022-05-02 16:00:00,CIRUS/USDT,0.13701,0.13739,0.13536,0.13694,31126.3263,4255.754282833
1651503600,2022-05-02 15:00:00,CIRUS/USDT,0.14129,0.14208,0.1354,0.13701,69441.13115583,9693.3846487229804
1651500000,2022-05-02 14:00:00,CIRUS/USDT,0.14068,0.1414,0.1403,0.14129,24886.50707961,3508.429627829854
1651496400,2022-05-02 13:00:00,CIRUS/USDT,0.14154,0.14207,0.13976,0.14065,28756.6671,4054.189919304
1651492800,2022-05-02 12:00:00,CIRUS/USDT,0.14138,0.14199,0.14119,0.14155,25839.01457331,3657.9614261452869
1651489200,2022-05-02 11:00:00,CIRUS/USDT,0.14183,0.14209,0.14019,0.14135,43498.572,6143.086996267
1651485600,2022-05-02 10:00:00,CIRUS/USDT,0.13921,0.14209,0.13921,0.14184,44035.9571,6209.462575565
1651482000,2022-05-02 09:00:00,CIRUS/USDT,0.14176,0.14209,0.13921,0.13981,34588.3538,4892.621301434
1651478400,2022-05-02 08:00:00,CIRUS/USDT,0.14158,0.14197,0.14153,0.14179,36874.3664,5225.124111958
1651474800,2022-05-02 07:00:00,CIRUS/USDT,0.14185,0.14209,0.14154,0.14155,35647.7217,5055.009290412
1651471200,2022-05-02 06:00:00,CIRUS/USDT,0.14173,0.14209,0.14165,0.14182,27006.86641011,3832.8604919115299
1651467600,2022-05-02 05:00:00,CIRUS/USDT,0.14184,0.14209,0.14163,0.14187,17712.2123,2512.492812646
1651464000,2022-05-02 04:00:00,CIRUS/USDT,0.14194,0.14209,0.14162,0.14187,42518.7026,6035.205842426
1651460400,2022-05-02 03:00:00,CIRUS/USDT,0.14203,0.14208,0.14162,0.14162,44047.99072164,6250.6859250463948
1651456800,2022-05-02 02:00:00,CIRUS/USDT,0.14236,0.14308,0.14162,0.14183,50905.1288,7236.106148769
1651453200,2022-05-02 01:00:00,CIRUS/USDT,0.14514,0.14638,0.14158,0.14237,86121.03481364,12344.6129076818484
