https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RFUEL,Volume USDT
1651363200,2022-05-01 00:00:00,RFUEL/USDT,0.019584,0.019614,0.019038,0.019412,5671197.5322878,109581.9593591933252
1651276800,2022-04-30 00:00:00,RFUEL/USDT,0.019759,0.019762,0.019583,0.019584,4809856.99083921,94444.40344619078864
1651190400,2022-04-29 00:00:00,RFUEL/USDT,0.020167,0.020167,0.019627,0.01976,4901223.00890556,97887.21160276887204
1651104000,2022-04-28 00:00:00,RFUEL/USDT,0.020134,0.02039,0.019861,0.020165,5110258.62765326,103054.05017941051814
1651017600,2022-04-27 00:00:00,RFUEL/USDT,0.02033,0.020462,0.02,0.020133,4818215.17278751,97643.37612344146613
1650931200,2022-04-26 00:00:00,RFUEL/USDT,0.020568,0.020628,0.020327,0.020328,5243763.0667,107235.9572472849
1650844800,2022-04-25 00:00:00,RFUEL/USDT,0.02101,0.021095,0.020327,0.020569,4684994.73657628,96460.37660582949746
1650758400,2022-04-24 00:00:00,RFUEL/USDT,0.021363,0.021489,0.021,0.021007,4665638.9217,99012.9493643164
1650672000,2022-04-23 00:00:00,RFUEL/USDT,0.021362,0.021479,0.021362,0.021363,4213434.92038585,90030.18896369505885
1650585600,2022-04-22 00:00:00,RFUEL/USDT,0.021678,0.021698,0.021362,0.021377,4102110.87737634,88290.72565116046664
1650499200,2022-04-21 00:00:00,RFUEL/USDT,0.02191,0.022721,0.021587,0.02168,5367039.8487268,117981.43485578257045
1650412800,2022-04-20 00:00:00,RFUEL/USDT,0.022848,0.022971,0.02191,0.022052,4332029.8671,96782.5094210229
1650326400,2022-04-19 00:00:00,RFUEL/USDT,0.021407,0.023071,0.021407,0.022844,7156916.54097355,160435.4914550715098
1650240000,2022-04-18 00:00:00,RFUEL/USDT,0.021948,0.021963,0.020947,0.02141,4121785.49324716,87475.95944534824011
1650153600,2022-04-17 00:00:00,RFUEL/USDT,0.021949,0.022334,0.0219,0.02196,1108887.35035066,24427.22113997618016
1650067200,2022-04-16 00:00:00,RFUEL/USDT,0.022113,0.022278,0.021948,0.021948,673721.09888955,14890.0355007138216
1649980800,2022-04-15 00:00:00,RFUEL/USDT,0.022479,0.02251,0.0219,0.022113,1236597.2237,27559.5021918868
1649894400,2022-04-14 00:00:00,RFUEL/USDT,0.022731,0.022766,0.022323,0.022474,939768.7808,21195.0800121306
1649808000,2022-04-13 00:00:00,RFUEL/USDT,0.022521,0.023596,0.022345,0.022729,1714150.89641845,38940.10308723463104
1649721600,2022-04-12 00:00:00,RFUEL/USDT,0.023072,0.023244,0.022264,0.022524,1525315.44434985,34629.14452729245512
1649635200,2022-04-11 00:00:00,RFUEL/USDT,0.024497,0.024497,0.022991,0.023104,772471.96097283,18261.63091299854171
1649548800,2022-04-10 00:00:00,RFUEL/USDT,0.024867,0.025051,0.024376,0.024497,547671.66362106,13491.66340555082773
1649462400,2022-04-09 00:00:00,RFUEL/USDT,0.025053,0.025054,0.024576,0.024885,369376.27953113,9173.65035479337078
1649376000,2022-04-08 00:00:00,RFUEL/USDT,0.025751,0.026074,0.025053,0.025053,387867.74307131,9878.81548788662757
1649289600,2022-04-07 00:00:00,RFUEL/USDT,0.027154,0.027154,0.025751,0.025751,775951.99372095,20581.49437364467472
