https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ATOM3S,Volume USDT
1660867200,2022-08-19 00:00:00,ATOM3S/USDT,0.1318,0.1781,0.1318,0.1573,1993077.19027024,312633.981691992487
1660780800,2022-08-18 00:00:00,ATOM3S/USDT,0.1234,0.1338,0.1084,0.133,2378271.51921191,284728.790120026798
1660694400,2022-08-17 00:00:00,ATOM3S/USDT,0.1352,0.1438,0.118,0.1243,1901172.40552234,244264.554198883407
1660608000,2022-08-16 00:00:00,ATOM3S/USDT,0.1355,0.145,0.1278,0.1359,826120.02660065,111615.268226262276
1660521600,2022-08-15 00:00:00,ATOM3S/USDT,0.1314,0.1444,0.1186,0.1356,831196.05972688,111328.208735605742
1660435200,2022-08-14 00:00:00,ATOM3S/USDT,0.1215,0.1344,0.112,0.1302,716581.21294388,87289.014011024248
1660348800,2022-08-13 00:00:00,ATOM3S/USDT,0.1163,0.1229,0.1062,0.1212,1024357.79570464,118339.390369662593
1660262400,2022-08-12 00:00:00,ATOM3S/USDT,0.1261,0.1368,0.1158,0.1159,896466.40477188,113321.396096327093
1660176000,2022-08-11 00:00:00,ATOM3S/USDT,0.1191,0.1295,0.1091,0.1262,1242404.83326393,146839.376923570155
1660089600,2022-08-10 00:00:00,ATOM3S/USDT,0.1404,0.1684,0.1164,0.1193,1710807.76022635,243012.746763786084
1660003200,2022-08-09 00:00:00,ATOM3S/USDT,0.126,0.1508,0.1122,0.1402,1646092.21163443,221373.971744214046
1659916800,2022-08-08 00:00:00,ATOM3S/USDT,0.1436,0.1488,0.1146,0.1264,1345393.99386347,176090.989251080748
1659830400,2022-08-07 00:00:00,ATOM3S/USDT,0.1815,0.1887,0.1334,0.1435,1230565.66606401,182304.037063729597
1659744000,2022-08-06 00:00:00,ATOM3S/USDT,0.1654,0.1838,0.1639,0.1807,295094.52743617,51168.903889606764
1659657600,2022-08-05 00:00:00,ATOM3S/USDT,0.1998,0.2023,0.1646,0.165,707944.06763599,129322.691189158842
1659571200,2022-08-04 00:00:00,ATOM3S/USDT,0.2154,0.2154,0.1843,0.2007,704790.66239432,142076.67259811862
1659484800,2022-08-03 00:00:00,ATOM3S/USDT,0.231,0.2496,0.1912,0.2126,834519.19343884,177218.558847915695
1659398400,2022-08-02 00:00:00,ATOM3S/USDT,0.2017,0.2409,0.1989,0.2318,1574015.1159341,354711.957188161431
1659312000,2022-08-01 00:00:00,ATOM3S/USDT,0.2064,0.2246,0.1817,0.2017,948734.64664556,199918.912514556768
1659225600,2022-07-31 00:00:00,ATOM3S/USDT,0.1883,0.2107,0.1694,0.2063,619923.27467106,116544.435870978864
1659139200,2022-07-30 00:00:00,ATOM3S/USDT,0.1666,0.1975,0.1588,0.1888,692152.80722425,125931.022604378751
1659052800,2022-07-29 00:00:00,ATOM3S/USDT,0.1845,0.2138,0.1553,0.1682,1107886.47582216,210045.800911929148
1658966400,2022-07-28 00:00:00,ATOM3S/USDT,0.2201,0.2367,0.17,0.1849,1756841.76047073,363020.441979399938
1658880000,2022-07-27 00:00:00,ATOM3S/USDT,0.3454,0.3667,0.2201,0.2206,1797136.77377591,552866.58226244146
1658793600,2022-07-26 00:00:00,ATOM3S/USDT,0.3658,0.4145,0.2916,0.3434,1662078.29675373,583222.663065861932
1658707200,2022-07-25 00:00:00,ATOM3S/USDT,0.278,0.3694,0.277,0.3667,1001955.03285976,333008.380450884938
1658620800,2022-07-24 00:00:00,ATOM3S/USDT,0.2679,0.2881,0.2517,0.28,433807.81935064,116916.276585448083
1658534400,2022-07-23 00:00:00,ATOM3S/USDT,0.2355,0.294,0.198,0.2679,818592.81723019,207688.217583561967
1658448000,2022-07-22 00:00:00,ATOM3S/USDT,0.2151,0.2545,0.1944,0.2349,1691477.15900112,382341.023900139569
1658361600,2022-07-21 00:00:00,ATOM3S/USDT,0.3693,0.3756,0.204,0.2133,2761781.14889832,728786.643381530228
1658275200,2022-07-20 00:00:00,ATOM3S/USDT,0.2963,0.3767,0.2875,0.3706,731341.26899313,240216.616439228966
1658188800,2022-07-19 00:00:00,ATOM3S/USDT,0.4239,0.4714,0.2657,0.2968,862377.58316076,286145.409747334324
1658102400,2022-07-18 00:00:00,ATOM3S/USDT,0.5435,0.5522,0.3689,0.4235,507107.31824178,222560.084017304263
1658016000,2022-07-17 00:00:00,ATOM3S/USDT,0.4893,0.5522,0.4725,0.5494,469125.68001338,241914.060232317242
1657929600,2022-07-16 00:00:00,ATOM3S/USDT,0.5249,0.5723,0.4717,0.4948,658942.42330106,349137.184319753911
1657843200,2022-07-15 00:00:00,ATOM3S/USDT,0.5337,0.5588,0.4536,0.5263,461899.78591246,233031.824059546805
1657756800,2022-07-14 00:00:00,ATOM3S/USDT,0.7689,0.8054,0.5242,0.5391,558740.93905478,389492.619475207938
1657670400,2022-07-13 00:00:00,ATOM3S/USDT,0.9004,1.0412,0.757,0.7689,318541.05460929,287388.357087083336
1657584000,2022-07-12 00:00:00,ATOM3S/USDT,0.7948,0.9239,0.7316,0.9013,501666.61464521,414494.10835720929
1657497600,2022-07-11 00:00:00,ATOM3S/USDT,0.6603,0.8053,0.5968,0.7997,578650.73421,389312.312745467188
1657411200,2022-07-10 00:00:00,ATOM3S/USDT,0.6252,0.7235,0.6203,0.6627,277605.32028339,187332.043884240807
1657324800,2022-07-09 00:00:00,ATOM3S/USDT,0.6272,0.6315,0.5557,0.6209,240177.53335705,142501.569406254225
1657238400,2022-07-08 00:00:00,ATOM3S/USDT,0.56,0.6414,0.5004,0.6295,274685.84323464,162345.41357889513
1657152000,2022-07-07 00:00:00,ATOM3S/USDT,0.6696,0.7158,0.5212,0.5606,385817.11117296,239579.692769124142
1657065600,2022-07-06 00:00:00,ATOM3S/USDT,0.6596,0.6985,0.56,0.6642,600365.68961313,382413.621105178461
1656979200,2022-07-05 00:00:00,ATOM3S/USDT,0.7077,0.8081,0.5768,0.663,590020.51724406,404393.843773482852
1656892800,2022-07-04 00:00:00,ATOM3S/USDT,0.9421,1.0132,0.6621,0.706,303375.86915186,253202.824125404925
1656806400,2022-07-03 00:00:00,ATOM3S/USDT,0.9538,1.0479,0.8672,0.9355,336863.36553347,322237.884795047557
1656720000,2022-07-02 00:00:00,ATOM3S/USDT,0.9535,1.0084,0.857,0.9554,393448.90401836,368209.115040501651
1656633600,2022-07-01 00:00:00,ATOM3S/USDT,1.3575,1.5861,0.8586,0.9611,527271.95371016,586706.862905780866
1656547200,2022-06-30 00:00:00,ATOM3S/USDT,1.4631,1.7809,1.3213,1.3442,270515.21042366,421314.51724866844
