https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT
1655715600,2022-06-20 09:00:00,XRP/USDT,0.32079,0.32564,0.32061,0.32357,4369650.89936962,1411297.9783758373738
1655712000,2022-06-20 08:00:00,XRP/USDT,0.31805,0.32184,0.31668,0.32076,4009008.49525204,1282301.6211375676506
1655708400,2022-06-20 07:00:00,XRP/USDT,0.31839,0.31852,0.31506,0.31808,2411270.16978008,762985.4455064833098
1655704800,2022-06-20 06:00:00,XRP/USDT,0.31805,0.319,0.31556,0.31839,2134682.47267899,677495.284164479251
1655701200,2022-06-20 05:00:00,XRP/USDT,0.31575,0.3181,0.31351,0.31801,2747562.51760967,867269.0353953204648
1655697600,2022-06-20 04:00:00,XRP/USDT,0.31809,0.31932,0.31542,0.31586,2165324.71318811,687791.8576395658418
1655694000,2022-06-20 03:00:00,XRP/USDT,0.31935,0.3217,0.31774,0.31808,2983983.46185924,953830.5790729990486
1655690400,2022-06-20 02:00:00,XRP/USDT,0.31893,0.32255,0.31601,0.3194,4686393.51816466,1492141.863876497121
1655686800,2022-06-20 01:00:00,XRP/USDT,0.32121,0.32279,0.31745,0.31897,3819962.91075088,1222390.5396828072176
1655683200,2022-06-20 00:00:00,XRP/USDT,0.32631,0.32837,0.32037,0.32116,4566584.70488349,1479041.9837743050274
1655679600,2022-06-19 23:00:00,XRP/USDT,0.32649,0.32676,0.32388,0.32626,2603450.96242174,846736.5842237722995
1655676000,2022-06-19 22:00:00,XRP/USDT,0.32594,0.32944,0.3247,0.32637,3085715.74617203,1008566.4710876502457
1655672400,2022-06-19 21:00:00,XRP/USDT,0.32944,0.32955,0.32501,0.32591,2121017.22118494,693357.9405884853889
1655668800,2022-06-19 20:00:00,XRP/USDT,0.32075,0.333,0.32057,0.32951,4993038.60761237,1633571.7010196281072
1655665200,2022-06-19 19:00:00,XRP/USDT,0.32182,0.32387,0.31808,0.32073,3470265.75791646,1112603.896535768176
1655661600,2022-06-19 18:00:00,XRP/USDT,0.31543,0.32194,0.31531,0.32194,2488525.10815928,791684.4637344485076
1655658000,2022-06-19 17:00:00,XRP/USDT,0.31618,0.31719,0.31416,0.31549,1724960.41951844,544019.7629487384423
1655654400,2022-06-19 16:00:00,XRP/USDT,0.31796,0.31835,0.315,0.31618,2080298.12781902,658358.6307550397663
1655650800,2022-06-19 15:00:00,XRP/USDT,0.31507,0.3225,0.31207,0.31797,4410024.23058523,1395995.3269185727958
1655647200,2022-06-19 14:00:00,XRP/USDT,0.31101,0.31548,0.31084,0.31502,2026775.49441431,635574.5170831952684
1655643600,2022-06-19 13:00:00,XRP/USDT,0.31251,0.31468,0.31052,0.31096,1695857.70828742,530844.2124540531362
1655640000,2022-06-19 12:00:00,XRP/USDT,0.31319,0.3161,0.31038,0.31247,2939912.05400792,920117.5242849403652
1655636400,2022-06-19 11:00:00,XRP/USDT,0.3158,0.31688,0.3129,0.31318,3909780.65521741,1230669.4687242698598
1655632800,2022-06-19 10:00:00,XRP/USDT,0.30747,0.31796,0.30696,0.3158,4774152.6764057,1497568.3375470803876
1655629200,2022-06-19 09:00:00,XRP/USDT,0.30766,0.31129,0.30602,0.30751,2795366.48910024,863516.0603084547699
1655625600,2022-06-19 08:00:00,XRP/USDT,0.30321,0.3077,0.30206,0.30766,1811215.76783308,552705.1809480395953
1655622000,2022-06-19 07:00:00,XRP/USDT,0.30286,0.30736,0.30221,0.30301,1752303.06505033,533833.2890116263839
1655618400,2022-06-19 06:00:00,XRP/USDT,0.30132,0.30528,0.29957,0.30289,3089631.46485618,936269.0334095978548
1655614800,2022-06-19 05:00:00,XRP/USDT,0.3034,0.30589,0.29816,0.30144,3949849.93114813,1186367.1970720222672
1655611200,2022-06-19 04:00:00,XRP/USDT,0.30091,0.30516,0.30049,0.30351,2093423.39479842,634061.9520274059379
1655607600,2022-06-19 03:00:00,XRP/USDT,0.3031,0.30633,0.3003,0.30088,2576194.8984166,781813.4299112047624
1655604000,2022-06-19 02:00:00,XRP/USDT,0.3035,0.30434,0.30084,0.30309,2444589.46284227,739413.0707509233625
