https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume PAX
1652400000,2022-05-13 00:00:00,BTC/PAX,28920.1,30842.8,28920.1,29266,1.04610053,31656.62799078
1652313600,2022-05-12 00:00:00,BTC/PAX,28980.6,29976.7,25500,28933.4,15.83238699,439698.925307638
1652227200,2022-05-11 00:00:00,BTC/PAX,30942.7,31954,28050.3,28564.7,5.73173936,171246.84819325
1652140800,2022-05-10 00:00:00,BTC/PAX,30091.6,32554.6,29829.7,30930.3,2.79263238,86587.764107434
1652054400,2022-05-09 00:00:00,BTC/PAX,34030,34185.4,30058.5,30058.5,1.59163961,51153.581368377
1651968000,2022-05-08 00:00:00,BTC/PAX,35412.4,35412.4,33903.2,34131.3,0.86714422,29762.058584591
1651881600,2022-05-07 00:00:00,BTC/PAX,35893.2,36058.4,34954.1,35460.4,0.24907682,8876.836908955
1651795200,2022-05-06 00:00:00,BTC/PAX,36479.7,36541.2,35341.2,36059.4,1.78135977,64424.945319858
1651708800,2022-05-05 00:00:00,BTC/PAX,39680.3,39715.4,35742.6,36364,0.75020799,28241.290237422
1651622400,2022-05-04 00:00:00,BTC/PAX,37996.3,39882.1,37984,39700.7,0.53434286,21044.83626891
1651536000,2022-05-03 00:00:00,BTC/PAX,38325.1,38561.2,37563.3,37721.5,0.49580995,18853.379982075
1651449600,2022-05-02 00:00:00,BTC/PAX,38476.7,39016,38112,38430.1,0.38199566,14721.805034192
1651363200,2022-05-01 00:00:00,BTC/PAX,37705,38526.1,37464,38337.9,0.11816596,4505.475491524
1651276800,2022-04-30 00:00:00,BTC/PAX,38702.4,38702.4,37650,37671.5,0.12187653,4657.594586645
1651190400,2022-04-29 00:00:00,BTC/PAX,39860.3,39860.3,38399.3,38535.2,0.6250699,24425.241134549
1651104000,2022-04-28 00:00:00,BTC/PAX,39244.1,40329.4,38983.1,39786.2,0.25088211,9938.933293753
1651017600,2022-04-27 00:00:00,BTC/PAX,38219.5,39304.8,38007.5,39040.4,1.17723969,45468.555743926
1650931200,2022-04-26 00:00:00,BTC/PAX,40409.4,40720.8,37777,38149.2,2.15890052,84018.80196356
1650844800,2022-04-25 00:00:00,BTC/PAX,39548.4,40598.5,38363.6,40468.5,5.56319389,218544.166108262
1650758400,2022-04-24 00:00:00,BTC/PAX,39570.2,39975.6,39228.8,39463.7,1.68902543,66984.43479296
1650672000,2022-04-23 00:00:00,BTC/PAX,39702.1,39980.6,39374,39602.4,0.97364636,38561.167757795
1650585600,2022-04-22 00:00:00,BTC/PAX,40431.6,40793.8,39275.8,39706.1,0.51273129,20537.739586583
1650499200,2022-04-21 00:00:00,BTC/PAX,41678.5,42808.9,39954,40427.1,0.953706,39147.413676268
1650412800,2022-04-20 00:00:00,BTC/PAX,41433.4,42183.2,40981.8,41373.8,0.86501744,35892.794213129
1650326400,2022-04-19 00:00:00,BTC/PAX,40941.7,41653.1,40592.2,41480.3,0.37613022,15471.703732974
1650240000,2022-04-18 00:00:00,BTC/PAX,39625.7,40928.5,38727.5,40888.6,0.49699195,19894.485800627
1650153600,2022-04-17 00:00:00,BTC/PAX,40336.5,40509.7,39607,39738.1,0.12716397,5103.618854934
1650067200,2022-04-16 00:00:00,BTC/PAX,40593.6,40600,40032.5,40407.2,0.8290986,33373.695192513
1649980800,2022-04-15 00:00:00,BTC/PAX,39959,40785.3,39959,40517.8,6.87708934,276363.573386465
1649894400,2022-04-14 00:00:00,BTC/PAX,41124.7,41360.6,39712.7,39850.7,10.96663887,448931.075949419
1649808000,2022-04-13 00:00:00,BTC/PAX,40078.6,41504.2,39625.7,41188.6,0.32686449,13315.980676244
1649721600,2022-04-12 00:00:00,BTC/PAX,39460.1,40696.4,39314.1,40008,5.72580446,230342.035041371
1649635200,2022-04-11 00:00:00,BTC/PAX,42084.6,42394.6,39293.8,39462.1,6.40958625,263113.846649919
1649548800,2022-04-10 00:00:00,BTC/PAX,42624.9,43291.1,41978.6,42165.3,0.5623595,23954.479914009
1649462400,2022-04-09 00:00:00,BTC/PAX,42271.7,42644,42168.8,42633.5,0.16573209,7014.492863731
1649376000,2022-04-08 00:00:00,BTC/PAX,43429.6,43963.6,42195.4,42259.7,0.94067537,40908.930608768
1649289600,2022-04-07 00:00:00,BTC/PAX,43285.7,43871.6,42820,43560.2,7.31744641,317650.422752739
1649203200,2022-04-06 00:00:00,BTC/PAX,45530.8,45530.8,43196.6,43208.2,6.58105673,293688.825991235
1649116800,2022-04-05 00:00:00,BTC/PAX,46679.1,47139.5,45551.9,45551.9,4.64408583,216417.654524657
1649030400,2022-04-04 00:00:00,BTC/PAX,46409,46974.1,45120.6,46801.6,2.25500758,103858.049441366
1648944000,2022-04-03 00:00:00,BTC/PAX,45935,47290.4,45746.3,46494.7,1.37561426,63947.546733092
1648857600,2022-04-02 00:00:00,BTC/PAX,46432.7,47122,45699.9,45954,1.50579274,69847.643672808
1648771200,2022-04-01 00:00:00,BTC/PAX,45612.4,46781.1,44170,46254.5,3.4607603,157828.945620622
1648684800,2022-03-31 00:00:00,BTC/PAX,47168.1,47582.1,45505.6,45531.6,5.31271126,243921.99625087
1648598400,2022-03-30 00:00:00,BTC/PAX,47515.4,47822.5,46822.5,47185,1.75215743,82751.651392759
1648512000,2022-03-29 00:00:00,BTC/PAX,47246.6,48124.9,47093.3,47550.1,2.91089303,138961.878495849
1648425600,2022-03-28 00:00:00,BTC/PAX,46804.4,48316.4,46800.2,47086.3,3.25812838,154912.392668645
1648339200,2022-03-27 00:00:00,BTC/PAX,44664.2,46898.9,44486,46762.1,4.6636349,209245.201653991
1648252800,2022-03-26 00:00:00,BTC/PAX,44488.2,44835.5,44141.6,44587.4,0.7363805,32724.730293091
1648166400,2022-03-25 00:00:00,BTC/PAX,43982,45162.8,43798.6,44400.9,2.84973768,126669.638414378
1648080000,2022-03-24 00:00:00,BTC/PAX,43005,44278.8,42806.6,44045.6,2.04795654,89053.54344243
1647993600,2022-03-23 00:00:00,BTC/PAX,42497.6,42808.9,41835,42808.9,2.61334037,110536.343740269
1647907200,2022-03-22 00:00:00,BTC/PAX,41027.6,43099,41027.6,42385.6,1.88522037,79786.537228761
1647820800,2022-03-21 00:00:00,BTC/PAX,41364.8,41538.9,40698.5,41089.1,2.11223478,86939.973333761
1647734400,2022-03-20 00:00:00,BTC/PAX,42350.6,42355.2,40929.5,41268.9,1.89405886,78847.613216052
1647648000,2022-03-19 00:00:00,BTC/PAX,41953.7,42399.2,41557.4,42200.9,1.36032129,57053.531403773
1647561600,2022-03-18 00:00:00,BTC/PAX,40845.3,42399.4,40264.3,41845,2.6669689,109725.559461371
1647475200,2022-03-17 00:00:00,BTC/PAX,41164.4,41512.7,40557.6,40993.4,1.33915883,54895.12261614
1647388800,2022-03-16 00:00:00,BTC/PAX,39349.7,41576.6,39046.3,41158.8,15.96614136,647921.614167616
1647302400,2022-03-15 00:00:00,BTC/PAX,39650.5,39835.6,38128.5,39835.6,1.08674403,42064.983157816
1647216000,2022-03-14 00:00:00,BTC/PAX,37735.6,39786.9,37649.1,39669.6,0.51446261,20190.846676638
1647129600,2022-03-13 00:00:00,BTC/PAX,38725.5,39165.4,37698.8,37830.5,0.5257201,20105.825765303
1647043200,2022-03-12 00:00:00,BTC/PAX,38662.4,39313.6,38662.4,39155.5,0.45174874,17513.8754408
1646956800,2022-03-11 00:00:00,BTC/PAX,39344,40209.2,38345.1,38910,1.1830017,46056.873009714
1646870400,2022-03-10 00:00:00,BTC/PAX,41858.7,41927.8,38859.3,39429.1,3.90472347,154218.285030381
1646784000,2022-03-09 00:00:00,BTC/PAX,38971.9,42519.6,38968.7,41910,0.77502605,31540.806646954
1646697600,2022-03-08 00:00:00,BTC/PAX,37960.3,39286,37960.3,38678,1.04260357,40320.784155028
1646611200,2022-03-07 00:00:00,BTC/PAX,38388.4,39538.4,37234.2,38015.6,1.1476859,44159.809973807
1646524800,2022-03-06 00:00:00,BTC/PAX,39537.3,39549,38098.3,38439.9,0.32747165,12806.87415629
1646438400,2022-03-05 00:00:00,BTC/PAX,39102.9,39568.3,38771.2,39375.5,0.20960947,8184.273556968
1646352000,2022-03-04 00:00:00,BTC/PAX,42323.1,42323.1,38664.1,39139.9,2.2610212,91385.971840915
1646265600,2022-03-03 00:00:00,BTC/PAX,43794.8,43930.1,41913,42513.7,0.95957593,40692.011933203
1646179200,2022-03-02 00:00:00,BTC/PAX,44719.4,45211,43431.3,44046.8,1.29791254,57511.558552801
1646092800,2022-03-01 00:00:00,BTC/PAX,43425,44920.3,42983.8,44409.1,2.04019982,89416.185238607
1646006400,2022-02-28 00:00:00,BTC/PAX,37692.5,43854.5,37440.4,43204.5,1.07936593,43590.978855105
1645920000,2022-02-27 00:00:00,BTC/PAX,39098.9,39843,37098.5,37534.6,2.10659401,82026.019570912
