https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XAVA,Volume USDT
1661472000,2022-08-26 00:00:00,XAVA/USDT,0.4111,0.42,0.3667,0.3728,71022.8483,27865.61738235
1661385600,2022-08-25 00:00:00,XAVA/USDT,0.4174,0.4259,0.3762,0.4108,76321.4439,31218.7543282
1661299200,2022-08-24 00:00:00,XAVA/USDT,0.4274,0.4582,0.4094,0.4172,91464.6954,38614.20040328
1661212800,2022-08-23 00:00:00,XAVA/USDT,0.4178,0.4355,0.41,0.4271,57796.8805,24369.87596744
1661126400,2022-08-22 00:00:00,XAVA/USDT,0.4284,0.4325,0.4089,0.4181,45606.0269,19077.26385696
1661040000,2022-08-21 00:00:00,XAVA/USDT,0.4173,0.4374,0.4166,0.4287,69325.4375,29605.99845497
1660953600,2022-08-20 00:00:00,XAVA/USDT,0.4305,0.4387,0.4114,0.4176,76694.0175,32759.53836302
1660867200,2022-08-19 00:00:00,XAVA/USDT,0.4579,0.458,0.4001,0.4308,85938.1954,37084.5418607
1660780800,2022-08-18 00:00:00,XAVA/USDT,0.4979,0.4982,0.4534,0.4577,48646.536,23436.00385133
1660694400,2022-08-17 00:00:00,XAVA/USDT,0.5248,0.5325,0.494,0.498,64821.1356,33063.72140484
1660608000,2022-08-16 00:00:00,XAVA/USDT,0.5312,0.5457,0.5101,0.5247,66006.7145,34742.05463118
1660521600,2022-08-15 00:00:00,XAVA/USDT,0.5441,0.5609,0.5175,0.5311,49289.7988,26419.79620241
1660435200,2022-08-14 00:00:00,XAVA/USDT,0.5554,0.5649,0.5243,0.5442,92153.5316,50583.83161514
1660348800,2022-08-13 00:00:00,XAVA/USDT,0.5847,0.6036,0.5436,0.5555,94763.8392,55440.55306144
1660262400,2022-08-12 00:00:00,XAVA/USDT,0.5846,0.6093,0.5618,0.5844,80596.5871,47206.84964107
1660176000,2022-08-11 00:00:00,XAVA/USDT,0.599,0.6486,0.5602,0.5843,97081.3265,57673.06128412
1660089600,2022-08-10 00:00:00,XAVA/USDT,0.5602,0.6386,0.5542,0.5987,68355.4994,40398.152058
1660003200,2022-08-09 00:00:00,XAVA/USDT,0.5926,0.6072,0.5444,0.5601,64046.236,36753.58499522
1659916800,2022-08-08 00:00:00,XAVA/USDT,0.5736,0.65,0.568,0.5923,89265.1813,53813.35613828
1659830400,2022-08-07 00:00:00,XAVA/USDT,0.554,0.5898,0.5366,0.5738,44405.8067,24765.43650658
1659744000,2022-08-06 00:00:00,XAVA/USDT,0.5213,0.59,0.5115,0.5543,74053.9925,40460.20892723
1659657600,2022-08-05 00:00:00,XAVA/USDT,0.5072,0.5288,0.4995,0.5216,53878.2047,27666.12189031
1659571200,2022-08-04 00:00:00,XAVA/USDT,0.5039,0.5276,0.4993,0.5072,46167.0376,23464.33892277
1659484800,2022-08-03 00:00:00,XAVA/USDT,0.5076,0.55,0.4884,0.504,56779.397,28888.16054874
1659398400,2022-08-02 00:00:00,XAVA/USDT,0.4993,0.5098,0.4698,0.5077,61564.85960416,30091.663586799664
1659312000,2022-08-01 00:00:00,XAVA/USDT,0.5203,0.5254,0.4934,0.4996,40544.9826,20619.43629693
1659225600,2022-07-31 00:00:00,XAVA/USDT,0.5157,0.545,0.5121,0.5206,44056.7856,23014.36451295
1659139200,2022-07-30 00:00:00,XAVA/USDT,0.5263,0.5499,0.5071,0.5154,50887.4601,26719.47408231
1659052800,2022-07-29 00:00:00,XAVA/USDT,0.5198,0.534,0.5,0.5261,67062.3768,34997.51215857
1658966400,2022-07-28 00:00:00,XAVA/USDT,0.5127,0.64,0.4936,0.52,180979.03235732,95545.679705852
