https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNB,Volume USDT
1660867200,2022-08-19 00:00:00,UNB/USDT,0.001686,0.00169,0.001501,0.001555,20017147.9112,31762.8030439432
1660780800,2022-08-18 00:00:00,UNB/USDT,0.001893,0.00191,0.001666,0.001688,20427800.8011,35629.4499480885
1660694400,2022-08-17 00:00:00,UNB/USDT,0.001768,0.002141,0.001666,0.001893,57623876.975,106088.6274194659
1660608000,2022-08-16 00:00:00,UNB/USDT,0.001855,0.0019,0.001744,0.001768,22610370.5932,41146.9302485035
1660521600,2022-08-15 00:00:00,UNB/USDT,0.001916,0.001968,0.001621,0.001855,96299505.6401,169963.2875847106
1660435200,2022-08-14 00:00:00,UNB/USDT,0.001772,0.0025,0.001658,0.001916,396088640.7437,816364.69261981
1660348800,2022-08-13 00:00:00,UNB/USDT,0.00174,0.001775,0.00164,0.001775,23380494.4328,39967.6987216898
1660262400,2022-08-12 00:00:00,UNB/USDT,0.001634,0.001751,0.001613,0.001746,14135107.5395,23552.072019874
1660176000,2022-08-11 00:00:00,UNB/USDT,0.001664,0.00173,0.001615,0.00163,18705263.1472,31191.0515486844
1660089600,2022-08-10 00:00:00,UNB/USDT,0.001558,0.001698,0.001525,0.00168,9722264.3523,15810.8094426763
1660003200,2022-08-09 00:00:00,UNB/USDT,0.001641,0.001725,0.001521,0.001553,18780225.0863,30704.0343738548
1659916800,2022-08-08 00:00:00,UNB/USDT,0.001669,0.00177,0.001611,0.001637,22771158.2121,38060.5902399535
1659830400,2022-08-07 00:00:00,UNB/USDT,0.001667,0.001748,0.00157,0.001669,21553402.0905,35250.7743081072
1659744000,2022-08-06 00:00:00,UNB/USDT,0.001592,0.001707,0.001478,0.001658,47993394.6612,76266.5072898446
1659657600,2022-08-05 00:00:00,UNB/USDT,0.001595,0.001718,0.001561,0.001591,30974567.2571,50295.5779698292
1659571200,2022-08-04 00:00:00,UNB/USDT,0.001645,0.00205,0.001551,0.0016,114239751.7817,202094.0910184158
1659484800,2022-08-03 00:00:00,UNB/USDT,0.001636,0.001769,0.001562,0.001647,49643625.8092,82464.0097341632
1659398400,2022-08-02 00:00:00,UNB/USDT,0.001675,0.001707,0.001574,0.001639,22277231.8617,36885.9865484803
1659312000,2022-08-01 00:00:00,UNB/USDT,0.001756,0.001792,0.001552,0.001679,19627237.5779,32824.0238168906
1659225600,2022-07-31 00:00:00,UNB/USDT,0.001923,0.002036,0.001739,0.001759,28202894.9528,53195.6548900764
1659139200,2022-07-30 00:00:00,UNB/USDT,0.0017,0.002081,0.001648,0.001917,40157502.7795,73128.6205683351
1659052800,2022-07-29 00:00:00,UNB/USDT,0.001925,0.002,0.001671,0.00171,47947287.0746,89180.506836727
1658966400,2022-07-28 00:00:00,UNB/USDT,0.002266,0.002312,0.001747,0.001908,94549650.7077128,189406.9960937046672
1658880000,2022-07-27 00:00:00,UNB/USDT,0.002383,0.002475,0.002195,0.002286,12169239.3882,27959.8213048786
1658793600,2022-07-26 00:00:00,UNB/USDT,0.002503,0.002503,0.002343,0.002387,1923971.3205,4657.6685146777
1658707200,2022-07-25 00:00:00,UNB/USDT,0.002562,0.002614,0.002476,0.002503,2424389.4372,6200.9794058542
1658620800,2022-07-24 00:00:00,UNB/USDT,0.002481,0.002591,0.002461,0.002562,1865535.5186,4756.6963046692
1658534400,2022-07-23 00:00:00,UNB/USDT,0.002525,0.002613,0.002425,0.002482,3760940.8527,9391.7954707983
