https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GRT,Volume USDT
1656882000,2022-07-03 21:00:00,GRT/USDT,0.09444,0.09456,0.09425,0.09446,16913.99409472,1597.0717919370957
1656878400,2022-07-03 20:00:00,GRT/USDT,0.09473,0.09517,0.09431,0.09432,222611.32386531,21064.0478667770747
1656874800,2022-07-03 19:00:00,GRT/USDT,0.09283,0.09487,0.09272,0.09487,204020.94138343,19178.5260993841693
1656871200,2022-07-03 18:00:00,GRT/USDT,0.09255,0.09273,0.09234,0.0927,27270.06677658,2523.3250364897764
1656867600,2022-07-03 17:00:00,GRT/USDT,0.09226,0.09284,0.09189,0.09262,44816.86044379,4129.6847608155146
1656864000,2022-07-03 16:00:00,GRT/USDT,0.09123,0.09227,0.0911,0.09211,135659.27709307,12483.7904806213919
1656860400,2022-07-03 15:00:00,GRT/USDT,0.09172,0.09184,0.09115,0.09129,74379.92348345,6799.8998957271449
1656856800,2022-07-03 14:00:00,GRT/USDT,0.09106,0.09197,0.0907,0.09172,42748.91236019,3914.8995343857559
1656853200,2022-07-03 13:00:00,GRT/USDT,0.09208,0.09214,0.09098,0.09119,130682.95008551,11936.8323112011167
1656849600,2022-07-03 12:00:00,GRT/USDT,0.09203,0.0925,0.09144,0.09208,17851.91273276,1645.3961574593336
1656846000,2022-07-03 11:00:00,GRT/USDT,0.09186,0.0924,0.09186,0.09209,17732.59069431,1635.6765958482692
1656842400,2022-07-03 10:00:00,GRT/USDT,0.09194,0.09235,0.0918,0.09189,116059.23152583,10687.7465683382951
1656838800,2022-07-03 09:00:00,GRT/USDT,0.09214,0.09214,0.09161,0.0919,27130.00197512,2492.6141062042575
1656835200,2022-07-03 08:00:00,GRT/USDT,0.0923,0.0923,0.09137,0.09202,37704.05590343,3460.0094847924228
1656831600,2022-07-03 07:00:00,GRT/USDT,0.09269,0.09288,0.09158,0.0921,88995.6251,8192.407079181
1656828000,2022-07-03 06:00:00,GRT/USDT,0.09195,0.09294,0.09175,0.09283,53533.5338162,4950.8697806718166
1656824400,2022-07-03 05:00:00,GRT/USDT,0.09329,0.09462,0.0918,0.0918,131353.975,12224.450639373
1656820800,2022-07-03 04:00:00,GRT/USDT,0.09292,0.09364,0.09058,0.09327,139143.49523874,12780.6210566525945
1656817200,2022-07-03 03:00:00,GRT/USDT,0.09272,0.0932,0.0924,0.0931,18843.84974779,1747.3661247821011
1656813600,2022-07-03 02:00:00,GRT/USDT,0.09238,0.09319,0.09235,0.09265,22250.95317433,2065.3260200253261
1656810000,2022-07-03 01:00:00,GRT/USDT,0.09342,0.09343,0.09184,0.09244,36675.64286292,3391.3999288291246
1656806400,2022-07-03 00:00:00,GRT/USDT,0.09443,0.09443,0.09255,0.09333,178173.88169766,16623.0184446788848
1656802800,2022-07-02 23:00:00,GRT/USDT,0.09508,0.09536,0.09385,0.09446,354605.84838632,33678.9469440693655
1656799200,2022-07-02 22:00:00,GRT/USDT,0.09488,0.09604,0.09463,0.095,895208.43724095,85115.576366334326
1656795600,2022-07-02 21:00:00,GRT/USDT,0.09374,0.09485,0.09359,0.09485,124076.71629183,11675.6479937303165
1656792000,2022-07-02 20:00:00,GRT/USDT,0.09428,0.09428,0.09302,0.09362,131173.44501951,12281.4705576384675
1656788400,2022-07-02 19:00:00,GRT/USDT,0.09418,0.0945,0.09342,0.09426,131496.38452353,12356.8018512734629
1656784800,2022-07-02 18:00:00,GRT/USDT,0.09375,0.09447,0.09356,0.09411,129972.69195626,12218.8727424256379
