https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI3L,Volume USDT
1660435200,2022-08-14 00:00:00,UNI3L/USDT,0.003766,0.004509,0.003476,0.003612,71190384.15101614,282817.8233226843922
1660348800,2022-08-13 00:00:00,UNI3L/USDT,0.004057,0.0042,0.003669,0.003749,44910530.55791849,174743.03084030113532
1660262400,2022-08-12 00:00:00,UNI3L/USDT,0.003727,0.0041,0.003487,0.004035,43275612.92773714,164893.39453768234931
1660176000,2022-08-11 00:00:00,UNI3L/USDT,0.004088,0.004599,0.003627,0.003717,50953869.6164253,210258.67512660654549
1660089600,2022-08-10 00:00:00,UNI3L/USDT,0.003238,0.004357,0.002957,0.004084,105160045.16582567,382799.40540889244764
1660003200,2022-08-09 00:00:00,UNI3L/USDT,0.003707,0.003782,0.002788,0.003241,69105343.95263662,222364.90380437300681
1659916800,2022-08-08 00:00:00,UNI3L/USDT,0.003666,0.00429,0.003613,0.003682,56745820.96581151,223468.53760157265264
1659830400,2022-08-07 00:00:00,UNI3L/USDT,0.003669,0.003929,0.003569,0.003662,24647883.98334638,92400.81751966930373
1659744000,2022-08-06 00:00:00,UNI3L/USDT,0.003902,0.004144,0.003616,0.003666,44147407.77195058,172422.07412691465108
1659657600,2022-08-05 00:00:00,UNI3L/USDT,0.003713,0.0043,0.003701,0.003924,88453289.19564192,352252.0360751406762
1659571200,2022-08-04 00:00:00,UNI3L/USDT,0.003841,0.004138,0.003408,0.003721,95255885.86208321,356246.18570777928744
1659484800,2022-08-03 00:00:00,UNI3L/USDT,0.003139,0.004433,0.002867,0.003841,148936544.90173075,569246.03207787549098
1659398400,2022-08-02 00:00:00,UNI3L/USDT,0.003252,0.003624,0.002632,0.003122,115680573.53958881,365262.72539815973829
1659312000,2022-08-01 00:00:00,UNI3L/USDT,0.003201,0.003506,0.002923,0.003252,107872453.36247193,342801.58685816716648
1659225600,2022-07-31 00:00:00,UNI3L/USDT,0.003756,0.00422,0.003207,0.003207,73648626.3736921,279377.82198260380206
1659139200,2022-07-30 00:00:00,UNI3L/USDT,0.004221,0.004343,0.003437,0.003774,60223067.92599685,231227.52343295790778
1659052800,2022-07-29 00:00:00,UNI3L/USDT,0.004532,0.004707,0.003534,0.004192,63139914.6469839,262425.72278848099477
1658966400,2022-07-28 00:00:00,UNI3L/USDT,0.003105,0.005149,0.002976,0.004528,140894863.8232473,548532.60038018370264
1658880000,2022-07-27 00:00:00,UNI3L/USDT,0.001919,0.00324,0.001788,0.003085,181029272.96116608,437746.61943641050714
1658793600,2022-07-26 00:00:00,UNI3L/USDT,0.00235,0.00235,0.001495,0.001909,134070884.10122923,240671.23782833261231
1658707200,2022-07-25 00:00:00,UNI3L/USDT,0.002555,0.002837,0.002099,0.00236,101034255.87615801,250737.31744937586669
1658620800,2022-07-24 00:00:00,UNI3L/USDT,0.002331,0.002655,0.002207,0.002547,40666017.71804497,95957.54689081256722
1658534400,2022-07-23 00:00:00,UNI3L/USDT,0.002201,0.00251,0.00198,0.002297,41622099.35985198,93047.16269425780115
1658448000,2022-07-22 00:00:00,UNI3L/USDT,0.002578,0.002805,0.002143,0.002218,33525610.46786115,81303.872942773453
1658361600,2022-07-21 00:00:00,UNI3L/USDT,0.002217,0.002647,0.002033,0.002565,57871658.98182903,136983.52023246619298
1658275200,2022-07-20 00:00:00,UNI3L/USDT,0.002758,0.003052,0.002134,0.002226,66425370.61554275,180170.84646928652048
1658188800,2022-07-19 00:00:00,UNI3L/USDT,0.002747,0.003177,0.0026,0.002749,64431950.49614165,186762.31331796137534
1658102400,2022-07-18 00:00:00,UNI3L/USDT,0.002358,0.002849,0.002325,0.00272,42749211.62315459,111303.07080082397538
1658016000,2022-07-17 00:00:00,UNI3L/USDT,0.002812,0.002899,0.002288,0.002346,45906406.69202827,114312.98145228365261
1657929600,2022-07-16 00:00:00,UNI3L/USDT,0.002265,0.003172,0.002111,0.00283,71333786.28765275,182736.1452725029865
1657843200,2022-07-15 00:00:00,UNI3L/USDT,0.002474,0.00271,0.002172,0.002233,70968037.45608861,171824.4147237608023
1657756800,2022-07-14 00:00:00,UNI3L/USDT,0.001729,0.00255,0.001665,0.00248,145639546.37162332,289940.61701145982036
1657670400,2022-07-13 00:00:00,UNI3L/USDT,0.001301,0.00181,0.001094,0.001711,93764972.64991963,134750.24138087667473
1657584000,2022-07-12 00:00:00,UNI3L/USDT,0.001309,0.00155,0.00125,0.00129,115842081.40889881,160893.56127363359505
1657497600,2022-07-11 00:00:00,UNI3L/USDT,0.002021,0.002078,0.001115,0.001325,127855806.16098897,194572.95033644725995
1657411200,2022-07-10 00:00:00,UNI3L/USDT,0.002273,0.002273,0.001783,0.002046,41934285.31930963,85997.74178180924116
1657324800,2022-07-09 00:00:00,UNI3L/USDT,0.001664,0.002419,0.001664,0.002276,53391669.33778802,111466.67427507515733
1657238400,2022-07-08 00:00:00,UNI3L/USDT,0.00165,0.001823,0.001455,0.001682,23461931.78682597,37821.42669894185204
1657152000,2022-07-07 00:00:00,UNI3L/USDT,0.001346,0.001737,0.00131,0.00163,33304961.28759872,51246.86557177173648
1657065600,2022-07-06 00:00:00,UNI3L/USDT,0.001329,0.001465,0.00124,0.001349,40152893.72828952,54176.18360973420609
1656979200,2022-07-05 00:00:00,UNI3L/USDT,0.001342,0.001425,0.001109,0.001319,41447175.87729387,52393.46503986054599
1656892800,2022-07-04 00:00:00,UNI3L/USDT,0.001072,0.001356,0.000948,0.001356,34553483.80197933,38243.85281117711032
1656806400,2022-07-03 00:00:00,UNI3L/USDT,0.001078,0.001096,0.000938,0.001069,59556746.08088114,60291.1593265888534
1656720000,2022-07-02 00:00:00,UNI3L/USDT,0.001027,0.001172,0.000943,0.001062,32229545.26784126,34414.76704542658694
1656633600,2022-07-01 00:00:00,UNI3L/USDT,0.001114,0.001193,0.000967,0.001026,44995639.88917306,48040.11720984961133
1656547200,2022-06-30 00:00:00,UNI3L/USDT,0.001205,0.001234,0.00086,0.001122,63817788.41552785,64620.41756960117909
1656460800,2022-06-29 00:00:00,UNI3L/USDT,0.001085,0.001302,0.000996,0.001197,50330410.26197186,57482.16661069512373
1656374400,2022-06-28 00:00:00,UNI3L/USDT,0.001434,0.001541,0.001026,0.001078,65261890.40696398,85977.28567416986197
1656288000,2022-06-27 00:00:00,UNI3L/USDT,0.001647,0.001924,0.001359,0.001399,38134578.31945586,59832.44652929041706
1656201600,2022-06-26 00:00:00,UNI3L/USDT,0.001674,0.002058,0.001544,0.001635,44906104.01138039,77611.74991263403448
1656115200,2022-06-25 00:00:00,UNI3L/USDT,0.001562,0.001796,0.001347,0.001661,53241307.78572552,81952.08576216892417
1656028800,2022-06-24 00:00:00,UNI3L/USDT,0.001703,0.00183,0.001435,0.001559,65570503.0950803,105554.08896551039596
1655942400,2022-06-23 00:00:00,UNI3L/USDT,0.001201,0.001703,0.001187,0.001697,67129542.01192664,97404.29226316258673
1655856000,2022-06-22 00:00:00,UNI3L/USDT,0.001057,0.001482,0.000944,0.001205,146916250.87040483,174895.59601698448977
1655769600,2022-06-21 00:00:00,UNI3L/USDT,0.000797,0.001318,0.000771,0.001061,111924095.42012039,114857.808687533399
1655683200,2022-06-20 00:00:00,UNI3L/USDT,0.000755,0.000897,0.00065,0.000814,145957467.92009398,109054.64839121707965
1655596800,2022-06-19 00:00:00,UNI3L/USDT,0.000521,0.000774,0.000457,0.000758,140977569.40724702,86769.97109421789244
1655510400,2022-06-18 00:00:00,UNI3L/USDT,0.000749,0.000802,0.000402,0.00052,187984617.32696208,110684.05267587365052
