https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume USDT
1657670400000,2022-07-13 00:00:00,USDT/EUR,0.99611948,1.00052941,0.98800451,0.99546821,220155.93294641294,221158.1753539
1657584000000,2022-07-12 00:00:00,USDT/EUR,0.99535784,1.00663518,0.9898478,0.99611948,360264.5015286613,361667.96128579
1657497600000,2022-07-11 00:00:00,USDT/EUR,0.98207799,0.99733234,0.9772761,0.99538843,522348.7711626571,524768.77912139
1657411200000,2022-07-10 00:00:00,USDT/EUR,0.98168152,0.98177968,0.98168151,0.98177967,375.4192011249202,382.38640766
1657324800000,2022-07-09 00:00:00,USDT/EUR,0.98168366,0.98187274,0.98127485,0.98168151,12812.389151918922,13051.47241891
1657238400000,2022-07-08 00:00:00,USDT/EUR,0.98343198,0.99092063,0.98043945,0.98168366,333768.39943124255,339995.87955986
1657152000000,2022-07-07 00:00:00,USDT/EUR,0.97993361,0.98447986,0.97737382,0.98343198,228300.83041183243,232147.04733502
1657065600000,2022-07-06 00:00:00,USDT/EUR,0.97206304,0.982378,0.97125625,0.97991285,318201.5202740179,324724.30611969
1656979200000,2022-07-05 00:00:00,USDT/EUR,0.95664236,0.97713855,0.95206287,0.97200957,349019.1073027499,359069.62037704
1656892800000,2022-07-04 00:00:00,USDT/EUR,0.9568194,0.95808469,0.95192123,0.95664236,312654.5950300903,326824.95371634
1656806400000,2022-07-03 00:00:00,USDT/EUR,0.95824169,0.9583375,0.95682991,0.95685082,68582.49460924504,71675.22164975
1656720000000,2022-07-02 00:00:00,USDT/EUR,0.95820682,0.96249999,0.95786334,0.95824169,27058.91253415804,28238.08733907
1656633600000,2022-07-01 00:00:00,USDT/EUR,0.95369813,0.96698899,0.95369813,0.95815398,312380.45095657284,326023.22536569
1656547200000,2022-06-30 00:00:00,USDT/EUR,0.95535906,0.96157358,0.95323357,0.95369758,500400.41323741246,524695.06448513
1656460800000,2022-06-29 00:00:00,USDT/EUR,0.94952774,0.95866749,0.94821862,0.95535906,648406.3336736877,678704.33308466
1656374400000,2022-06-28 00:00:00,USDT/EUR,0.94413491,0.94413491,0.94404053,0.94404053,449.07668416176307,475.69640274
1656288000000,2022-06-27 00:00:00,USDT/EUR,0.9460615,0.94692454,0.94239354,0.94413492,172772.45753034586,182995.51671105
1656201600000,2022-06-26 00:00:00,USDT/EUR,0.94710101,0.94767915,0.94440145,0.94606152,193683.14105615384,204725.73607703
1656115200000,2022-06-25 00:00:00,USDT/EUR,0.9469033,0.94735138,0.9469033,0.94710101,26431.82438575942,27908.13662606
1656028800000,2022-06-24 00:00:00,USDT/EUR,0.95039089,0.9503909,0.94600283,0.9469033,158893.46316339768,167803.26265987
1655942400000,2022-06-23 00:00:00,USDT/EUR,0.94531203,0.95411865,0.94531202,0.9504553,340145.3806562758,357876.2522091
1655856000000,2022-06-22 00:00:00,USDT/EUR,0.95002626,0.9735706,0.94265113,0.94531203,329693.1523535982,348766.48333101
1655769600000,2022-06-21 00:00:00,USDT/EUR,0.95010639,0.96735349,0.9449147,0.950072,274546.0107885598,288973.8996503
1655683200000,2022-06-20 00:00:00,USDT/EUR,0.95489512,0.96130966,0.94768979,0.9501064,266043.04075128393,280013.9444922
1655596800000,2022-06-19 00:00:00,USDT/EUR,0.95328553,0.95512691,0.95120036,0.95489512,84917.73198597506,88928.85742884
1655510400000,2022-06-18 00:00:00,USDT/EUR,0.95253519,0.9557818,0.95199363,0.95328553,466348.57935231336,489201.36168679
1655424000000,2022-06-17 00:00:00,USDT/EUR,0.94760628,0.95577172,0.92484135,0.9525352,367135.6926074588,385430.05298645
1655337600000,2022-06-16 00:00:00,USDT/EUR,0.95577362,0.96173081,0.94305052,0.94760628,596974.8895103622,629981.98947179
1655251200000,2022-06-15 00:00:00,USDT/EUR,0.95738044,0.9710504,0.95081336,0.95576226,618524.9421565778,647153.55276382
1655164800000,2022-06-14 00:00:00,USDT/EUR,0.95985489,0.96011302,0.95399999,0.95762897,491257.27090406715,512993.32653237
1655078400000,2022-06-13 00:00:00,USDT/EUR,0.95199699,0.96047032,0.95076752,0.95985489,669949.9342628921,697970.01738762
1654992000000,2022-06-12 00:00:00,USDT/EUR,0.9510407,0.95199699,0.94969418,0.95199699,280825.2499298086,294985.43890334
1654905600000,2022-06-11 00:00:00,USDT/EUR,0.95037982,0.95180142,0.95007719,0.95104281,226364.66345277597,238017.32274573
1654819200000,2022-06-10 00:00:00,USDT/EUR,0.94236208,0.954,0.93945037,0.95038857,504909.58775464614,531266.47741002
1654732800000,2022-06-09 00:00:00,USDT/EUR,0.93376189,0.94249695,0.9280109,0.94234696,313479.7825139396,332658.5597665
1654646400000,2022-06-08 00:00:00,USDT/EUR,0.93328613,0.94077914,0.92991242,0.93376188,241356.77437559862,258477.86201724
1654560000000,2022-06-07 00:00:00,USDT/EUR,0.93543342,0.93963311,0.93091191,0.93328612,260572.67614513024,279199.1336431
1654473600000,2022-06-06 00:00:00,USDT/EUR,0.93199999,0.93546148,0.92969503,0.93544209,221967.96949955216,237286.70312403
1654387200000,2022-06-05 00:00:00,USDT/EUR,0.93205963,0.93241522,0.93112229,0.93199999,59410.046831882624,63744.68612589
1654300800000,2022-06-04 00:00:00,USDT/EUR,0.93314159,0.93314264,0.93120433,0.93209433,119876.76469760262,128610.12114257
1654214400000,2022-06-03 00:00:00,USDT/EUR,0.93157256,0.93882214,0.92981403,0.93314159,136958.9467868347,146771.88141066
1654128000000,2022-06-02 00:00:00,USDT/EUR,0.93982074,0.9398561,0.92990701,0.93157256,131323.0275542828,140969.18822328
1654041600000,2022-06-01 00:00:00,USDT/EUR,0.9295741,2.70791852,0.92953552,0.93982066,259267.6549493008,275869.28653952
1653955200000,2022-05-31 00:00:00,USDT/EUR,0.92796079,0.9372143,0.92791451,0.92958782,248135.02401754903,266930.15837659
1653868800000,2022-05-30 00:00:00,USDT/EUR,0.93047923,0.93251222,0.92610861,0.9279463,199035.17344890715,214489.96935373
1653782400000,2022-05-29 00:00:00,USDT/EUR,0.93259817,0.93259817,0.92584896,0.93047923,45775.00071430792,49195.08059767
1653696000000,2022-05-28 00:00:00,USDT/EUR,0.93138394,0.93765682,0.93134892,0.93259817,36621.68560119814,39268.45106419
1653609600000,2022-05-27 00:00:00,USDT/EUR,0.93294152,0.94003185,0.92859124,0.93138394,271216.1883665294,291196.97765728
1653523200000,2022-05-26 00:00:00,USDT/EUR,0.93520754,0.94616302,0.93294152,0.93294152,227762.50879564523,244133.7467708
1653436800000,2022-05-25 00:00:00,USDT/EUR,0.93182833,0.93969953,0.93172719,0.93520757,254094.84708167068,271698.87758893
1653350400000,2022-05-24 00:00:00,USDT/EUR,0.93571104,0.9394459,0.93078543,0.93182833,218501.90658595477,234487.29723205
1653264000000,2022-05-23 00:00:00,USDT/EUR,0.94615213,0.94618191,0.93475379,0.93568919,195351.82715239612,208778.54445705
1653177600000,2022-05-22 00:00:00,USDT/EUR,0.94614266,0.94999999,0.94613219,0.94615159,22121.245007211102,23380.2334013
1653091200000,2022-05-21 00:00:00,USDT/EUR,0.94503746,0.9466665,0.94503453,0.94614659,28487.890838105715,30109.38383037
1653004800000,2022-05-20 00:00:00,USDT/EUR,0.94441552,0.951,0.944,0.94503746,230396.0464823158,243795.67608073
1652918400000,2022-05-19 00:00:00,USDT/EUR,0.95317331,0.9543285,0.9419181,0.94441511,278808.68637663504,295218.36682244
1652832000000,2022-05-18 00:00:00,USDT/EUR,0.94773698,0.95329245,0.94636854,0.9531733,312384.3457406712,327730.9023875
1652745600000,2022-05-17 00:00:00,USDT/EUR,0.95812664,0.95816165,0.94726029,0.9477591,163673.54369194424,172695.30167734
1652659200000,2022-05-16 00:00:00,USDT/EUR,0.96038766,0.9625,0.958,0.95814122,187686.6629600811,195886.22119825
1652572800000,2022-05-15 00:00:00,USDT/EUR,0.96064342,0.961,0.95968971,0.96039189,38020.65393927839,39588.68700909
1652486400000,2022-05-14 00:00:00,USDT/EUR,0.96076598,0.96084208,0.95800001,0.96064386,66203.21132607874,68915.45772861
1652400000000,2022-05-13 00:00:00,USDT/EUR,0.96094849,0.97008777,0.9570083,0.96077332,234574.6949704817,244151.96601263
1652313600000,2022-05-12 00:00:00,USDT/EUR,0.94901748,0.96899794,0.89,0.96089613,722568.9196736913,751974.01375078
1652227200000,2022-05-11 00:00:00,USDT/EUR,0.95080408,0.95511502,0.94400098,0.94901748,427849.3219881667,450833.97408883
1652140800000,2022-05-10 00:00:00,USDT/EUR,0.94809173,0.95299997,0.94550001,0.95080817,287632.8963961077,302514.11953697
1652054400000,2022-05-09 00:00:00,USDT/EUR,0.94913812,0.952,0.9455,0.94808254,252965.29848114107,266817.8009914
1651968000000,2022-05-08 00:00:00,USDT/EUR,0.94924566,0.94954179,0.94838306,0.94912756,26608.211682710556,28034.38947944
1651881600000,2022-05-07 00:00:00,USDT/EUR,0.94707441,0.9494537,0.94707441,0.94924566,57162.84174281315,60219.2289642
1651795200000,2022-05-06 00:00:00,USDT/EUR,0.95,0.9528,0.94480422,0.94707441,184965.55167645885,195302.02666595
1651708800000,2022-05-05 00:00:00,USDT/EUR,0.94278222,0.95928704,0.9426379,0.94999999,257356.27261801157,270901.3424495
1651622400000,2022-05-04 00:00:00,USDT/EUR,0.95107557,0.95709002,0.94,0.94278859,331985.10586911574,352131.01790839
1651536000000,2022-05-03 00:00:00,USDT/EUR,0.95200855,0.95739428,0.94790641,0.95107552,126842.93104906625,133367.88549564
1651449600000,2022-05-02 00:00:00,USDT/EUR,0.94866651,0.961,0.94766936,0.95200856,161088.6014495712,169209.19434755
1651363200000,2022-05-01 00:00:00,USDT/EUR,0.95031666,0.95327167,0.9486665,0.9486665,33286.7617591937,35087.9489886
1651276800000,2022-04-30 00:00:00,USDT/EUR,0.94875955,0.95217474,0.9466075,0.95031665,45482.50704001455,47860.37058281
1651190400000,2022-04-29 00:00:00,USDT/EUR,0.95307579,0.97272257,0.94639393,0.94875955,159497.0524808907,168111.14310353
1651104000000,2022-04-28 00:00:00,USDT/EUR,0.94772006,0.95899997,0.94762529,0.9530758,129996.31601582697,136396.61820794
1651017600000,2022-04-27 00:00:00,USDT/EUR,0.93999999,0.95,0.93990601,0.94772006,99540.19339196928,105031.21923152
1650931200000,2022-04-26 00:00:00,USDT/EUR,0.93339763,0.94,0.93261431,0.94,127875.29161417598,136037.5442704
1650844800000,2022-04-25 00:00:00,USDT/EUR,0.92627831,0.93799799,0.92452624,0.93339763,150682.50666545468,161434.42175384
1650758400000,2022-04-24 00:00:00,USDT/EUR,0.92685121,0.92685121,0.92685121,0.92685121,15.629555545491518,16.86306861
1650672000000,2022-04-23 00:00:00,USDT/EUR,0.92668204,0.92775261,0.92668204,0.92685121,13989.024895280527,15093.06428513
1650585600000,2022-04-22 00:00:00,USDT/EUR,0.92502888,0.92829881,0.92235064,0.92668205,102084.32259992872,110161.10930381
1650412800000,2022-04-20 00:00:00,USDT/EUR,0.92688258,0.92843291,0.92688258,0.92843291,1428.0480330074206,1538.12733007
1650326400000,2022-04-19 00:00:00,USDT/EUR,0.9289608,0.93390093,0.92572254,0.92688258,157598.36833501098,170030.56453495
1650240000000,2022-04-18 00:00:00,USDT/EUR,0.92647134,0.92966715,0.92628108,0.92896081,50189.43769006248,54027.50810345
1650153600000,2022-04-17 00:00:00,USDT/EUR,0.92702352,0.92702352,0.92647133,0.92647134,7415.495059344239,8004.01991857
1650067200000,2022-04-16 00:00:00,USDT/EUR,0.92588692,0.92702352,0.92588691,0.92702352,6042.619555900695,6518.30231438
1649980800000,2022-04-15 00:00:00,USDT/EUR,0.92533405,0.939,0.925103,0.92588692,60495.3723458107,65337.75457786
1649894400000,2022-04-14 00:00:00,USDT/EUR,0.91908283,0.93899999,0.9169993,0.92528443,96874.80047943593,104697.32045468
1649808000000,2022-04-13 00:00:00,USDT/EUR,0.92451116,0.935,0.91895975,0.91918049,62853.17910908206,68379.58354521
1649721600000,2022-04-12 00:00:00,USDT/EUR,0.91980687,0.92566279,0.91895294,0.92399912,61435.40677844258,66488.59879698
1649635200000,2022-04-11 00:00:00,USDT/EUR,0.91868082,0.9212668,0.91483585,0.91969697,92454.83458911414,100527.49721369
1649548800000,2022-04-10 00:00:00,USDT/EUR,0.92126699,0.92126699,0.92117488,0.92117488,40.81431011383289,44.30679885
1649462400000,2022-04-09 00:00:00,USDT/EUR,0.92219366,0.92219366,0.92033653,0.92126699,14819.331347030204,16085.81606406
1649376000000,2022-04-08 00:00:00,USDT/EUR,0.92219201,0.92699039,0.91683673,0.92219366,56200.21200579616,60941.87635794
1649289600000,2022-04-07 00:00:00,USDT/EUR,0.9190013,0.92607961,0.91358563,0.92264214,60796.97017796348,65894.42162046
1649203200000,2022-04-06 00:00:00,USDT/EUR,0.91978987,0.9245592,0.91384951,0.91881756,108069.12323147827,117617.60760371
1649116800000,2022-04-05 00:00:00,USDT/EUR,0.91254145,0.92375232,0.90965522,0.91980404,132859.08682335695,144442.81721502
