https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ANT,Volume USDT
1658966400,2022-07-28 00:00:00,ANT/USDT,1.7221,1.9351,1.6605,1.8907,89797.1253739,163564.589390742565
1658880000,2022-07-27 00:00:00,ANT/USDT,1.615,1.7221,1.583,1.7221,48185.72444983,78483.950211287303
1658793600,2022-07-26 00:00:00,ANT/USDT,1.5842,1.616,1.5498,1.614,33431.04507578,52667.560698764223
1658707200,2022-07-25 00:00:00,ANT/USDT,1.71,1.7141,1.5836,1.5868,82529.23266476,135963.306032582906
1658620800,2022-07-24 00:00:00,ANT/USDT,1.7305,1.7635,1.7067,1.7117,44510.41885391,77151.104184969509
1658534400,2022-07-23 00:00:00,ANT/USDT,1.6871,1.816,1.6727,1.7284,59830.26866326,104068.0233345315
1658448000,2022-07-22 00:00:00,ANT/USDT,1.779,1.83,1.6756,1.69,41241.86466825,72559.44277572532
1658361600,2022-07-21 00:00:00,ANT/USDT,1.7562,1.8107,1.6995,1.7772,60837.62780541,106161.891227573822
1658275200,2022-07-20 00:00:00,ANT/USDT,1.8915,1.9625,1.7409,1.7575,95961.68032573,177210.904703955835
1658188800,2022-07-19 00:00:00,ANT/USDT,1.9127,1.9696,1.8161,1.89,72006.37130362,137336.101796132589
1658102400,2022-07-18 00:00:00,ANT/USDT,1.714,1.9254,1.7138,1.9138,44191.25155212,80530.046297740772
1658016000,2022-07-17 00:00:00,ANT/USDT,1.7726,1.7956,1.682,1.7129,83237.2198947,144238.500182842227
1657929600,2022-07-16 00:00:00,ANT/USDT,1.752,1.832,1.6952,1.7732,77980.97335033,137341.07367128127
1657843200,2022-07-15 00:00:00,ANT/USDT,1.6452,1.7828,1.6147,1.7461,81620.70043503,138456.337801888009
1657756800,2022-07-14 00:00:00,ANT/USDT,1.6017,1.6607,1.5315,1.644,45122.65461509,71817.460656445107
1657670400,2022-07-13 00:00:00,ANT/USDT,1.5203,1.6068,1.4607,1.6053,71227.60480416,109050.280401085293
1657584000,2022-07-12 00:00:00,ANT/USDT,1.5501,1.5944,1.5144,1.5144,44758.68051752,69906.249501645995
1657497600,2022-07-11 00:00:00,ANT/USDT,1.6948,1.6976,1.5411,1.5525,45423.40662314,74202.961220741315
1657411200,2022-07-10 00:00:00,ANT/USDT,1.7527,1.7527,1.6582,1.6931,36748.82104116,62561.60414642417
1657324800,2022-07-09 00:00:00,ANT/USDT,1.7616,1.8274,1.7404,1.7499,40332.23998596,71819.530334789503
1657238400,2022-07-08 00:00:00,ANT/USDT,1.7041,1.8212,1.6564,1.7601,53850.75463068,93557.654408357908
1657152000,2022-07-07 00:00:00,ANT/USDT,1.6854,1.7489,1.6802,1.7023,40831.67945675,70019.717205777735
1657065600,2022-07-06 00:00:00,ANT/USDT,1.6821,1.8317,1.6528,1.6849,225305.47144495,388551.737467695886
1656979200,2022-07-05 00:00:00,ANT/USDT,1.6359,1.701,1.5626,1.6827,136884.17844712,224949.533636618336
1656892800,2022-07-04 00:00:00,ANT/USDT,1.5566,1.6449,1.5378,1.6338,38940.21084355,62289.973431429094
1656806400,2022-07-03 00:00:00,ANT/USDT,1.5565,1.5757,1.484,1.5583,60928.52295736,93070.131348132386
1656720000,2022-07-02 00:00:00,ANT/USDT,1.5188,1.567,1.4603,1.5565,52037.72925158,78686.792934159643
1656633600,2022-07-01 00:00:00,ANT/USDT,1.5371,1.5815,1.4684,1.5166,53158.42393776,80913.341236310505
1656547200,2022-06-30 00:00:00,ANT/USDT,1.5989,1.6015,1.4194,1.5386,123702.05787997,185287.154834382124
1656460800,2022-06-29 00:00:00,ANT/USDT,1.5693,1.6328,1.5292,1.5984,150478.8834849,238783.29315042652
1656374400,2022-06-28 00:00:00,ANT/USDT,1.6753,1.712,1.5579,1.5685,176566.99705661,286546.931687510127
1656288000,2022-06-27 00:00:00,ANT/USDT,1.6863,1.7649,1.6405,1.6801,123548.20945069,210861.626423123106
1656201600,2022-06-26 00:00:00,ANT/USDT,1.8786,1.9192,1.6768,1.6876,173854.88897468,316001.177254486839
1656115200,2022-06-25 00:00:00,ANT/USDT,1.9234,1.9495,1.7929,1.8726,175218.08951233,329682.293997990958
1656028800,2022-06-24 00:00:00,ANT/USDT,1.7291,2.0016,1.7265,1.92,352291.66437278,651450.912751799349
1655942400,2022-06-23 00:00:00,ANT/USDT,1.6648,1.7887,1.6358,1.7284,306445.20576095,525814.07486138895
1655856000,2022-06-22 00:00:00,ANT/USDT,1.6733,1.7285,1.576,1.6645,347432.20907136,571707.21430256972
1655769600,2022-06-21 00:00:00,ANT/USDT,1.6026,1.79,1.5768,1.6724,423329.61998404,718685.332742483992
1655683200,2022-06-20 00:00:00,ANT/USDT,1.6922,1.7156,1.5544,1.605,332504.22916454,544065.212879033454
1655596800,2022-06-19 00:00:00,ANT/USDT,1.5725,1.7555,1.4789,1.694,490065.58393228,797529.471969347036
1655510400,2022-06-18 00:00:00,ANT/USDT,1.5729,1.6254,1.4016,1.5684,362422.09967971,533713.208450616224
1655424000,2022-06-17 00:00:00,ANT/USDT,1.6018,1.754,1.5359,1.5716,483482.55361604,790811.395982122822
1655337600,2022-06-16 00:00:00,ANT/USDT,2.0305,2.3703,1.5705,1.6018,1276348.46803653,2506112.217135470288
1655251200,2022-06-15 00:00:00,ANT/USDT,1.3376,2.5654,1.1971,2.0309,1428237.03713655,2534679.205465233191
1655164800,2022-06-14 00:00:00,ANT/USDT,1.32,1.4204,1.1954,1.3404,174969.68926763,231303.423253038221
1655078400,2022-06-13 00:00:00,ANT/USDT,1.3903,1.415,1.2088,1.3271,247508.50806745,317599.049705881278
1654992000,2022-06-12 00:00:00,ANT/USDT,1.4967,1.5284,1.3653,1.3905,185164.75944425,268888.703693442511
1654905600,2022-06-11 00:00:00,ANT/USDT,1.7035,1.7699,1.4643,1.492,75386.92457043,119585.419688411818
1654819200,2022-06-10 00:00:00,ANT/USDT,1.8127,1.8576,1.6704,1.7072,98685.90311915,172902.311216945427
1654732800,2022-06-09 00:00:00,ANT/USDT,1.8383,1.8925,1.7798,1.8145,39971.79787398,73348.398643061879
1654646400,2022-06-08 00:00:00,ANT/USDT,1.8991,1.9825,1.8214,1.8322,145285.81894991,277283.919711940671
1654560000,2022-06-07 00:00:00,ANT/USDT,1.8599,1.9733,1.7237,1.8964,215452.17889473,395543.911511104466
1654473600,2022-06-06 00:00:00,ANT/USDT,1.8062,1.92,1.8051,1.8577,177384.14926533,332015.658489465949
1654387200,2022-06-05 00:00:00,ANT/USDT,1.7983,1.8523,1.7276,1.813,108935.24353996,195203.943500751429
1654300800,2022-06-04 00:00:00,ANT/USDT,1.8144,1.8217,1.725,1.7976,123263.06712503,218642.360903026151
1654214400,2022-06-03 00:00:00,ANT/USDT,1.9215,2.1021,1.7809,1.8127,298488.41731984,571383.433294300822
1654128000,2022-06-02 00:00:00,ANT/USDT,1.8143,1.9354,1.7697,1.9196,265100.82507022,490087.952064475545
1654041600,2022-06-01 00:00:00,ANT/USDT,2.0317,2.1811,1.7553,1.8164,394814.5022298,795512.056915924208
1653955200,2022-05-31 00:00:00,ANT/USDT,2.087,2.1101,1.9023,2.0327,266947.41957947,533814.601527002574
1653868800,2022-05-30 00:00:00,ANT/USDT,1.8563,2.1786,1.8362,2.0916,370829.92526511,754722.399380435739
1653782400,2022-05-29 00:00:00,ANT/USDT,1.6674,1.8587,1.6576,1.8557,362640.56505515,638102.004648515741
1653696000,2022-05-28 00:00:00,ANT/USDT,1.5992,1.8379,1.5676,1.6683,221656.08610053,371691.594854618401
1653609600,2022-05-27 00:00:00,ANT/USDT,1.6401,1.6774,1.5173,1.5961,305702.07017645,488952.253416395287
1653523200,2022-05-26 00:00:00,ANT/USDT,1.8418,1.9025,1.5937,1.6349,352456.38779087,604333.117202887603
1653436800,2022-05-25 00:00:00,ANT/USDT,2.0038,2.0191,1.8241,1.8419,294764.51888773,559615.512241047936
1653350400,2022-05-24 00:00:00,ANT/USDT,1.8485,2.1081,1.8358,2.0041,346502.60389647,686129.29677113599
1653264000,2022-05-23 00:00:00,ANT/USDT,2.0458,2.2743,1.8101,1.851,412073.13878915,824733.874699887053
1653177600,2022-05-22 00:00:00,ANT/USDT,2.0932,2.2248,1.9627,2.0488,467236.38168694,966546.219760413473
1653091200,2022-05-21 00:00:00,ANT/USDT,1.736,2.3555,1.71,2.0889,958616.55408898,1986199.673038926958
1653004800,2022-05-20 00:00:00,ANT/USDT,1.7033,1.7699,1.554,1.7349,359197.27056765,598975.436159848607
1652918400,2022-05-19 00:00:00,ANT/USDT,1.5989,1.72,1.5033,1.7008,356456.61383066,573248.664962343749
1652832000,2022-05-18 00:00:00,ANT/USDT,1.6398,1.8544,1.5685,1.6027,580653.03815752,993122.007456045817
1652745600,2022-05-17 00:00:00,ANT/USDT,1.5249,1.68,1.4961,1.6445,163080.91643741,259538.85598611244
1652659200,2022-05-16 00:00:00,ANT/USDT,1.6505,1.6505,1.4321,1.5243,133117.22427694,200777.487643856522
1652572800,2022-05-15 00:00:00,ANT/USDT,1.6182,1.6564,1.467,1.6554,76218.17013362,118477.611538957052
1652486400,2022-05-14 00:00:00,ANT/USDT,1.4298,1.6629,1.3517,1.6311,63679.04696428,95392.331529901634
1652400000,2022-05-13 00:00:00,ANT/USDT,1.2348,1.637,1.2026,1.4314,130489.01401298,190691.850009800696
1652313600,2022-05-12 00:00:00,ANT/USDT,1.556,1.6658,1.0998,1.2304,283683.09690352,372436.29782337807
1652227200,2022-05-11 00:00:00,ANT/USDT,2.4156,2.4851,1.4687,1.5445,297389.43039084,563290.806769579681
1652140800,2022-05-10 00:00:00,ANT/USDT,2.3919,2.6996,2.3049,2.4122,286455.07960544,722305.846043608389
1652054400,2022-05-09 00:00:00,ANT/USDT,2.994,3.0766,2.3811,2.3956,269537.21151428,742351.096530933831
