https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SFP,Volume USDT
1659484800,2022-08-03 00:00:00,SFP/USDT,0.3802,0.4101,0.3702,0.3911,80759.2707844,31817.2853487472
1659398400,2022-08-02 00:00:00,SFP/USDT,0.4152,0.4233,0.3704,0.3815,128909.19017659,49330.085824062581
1659312000,2022-08-01 00:00:00,SFP/USDT,0.3839,0.4256,0.3824,0.4173,198279.39862137,80587.02996479279
1659225600,2022-07-31 00:00:00,SFP/USDT,0.3919,0.4098,0.3788,0.3839,94540.82621781,37662.417567261024
1659139200,2022-07-30 00:00:00,SFP/USDT,0.4175,0.4232,0.3837,0.3924,129351.74750416,51608.872750111438
1659052800,2022-07-29 00:00:00,SFP/USDT,0.3807,0.4246,0.377,0.4152,210301.24660748,84056.926697739211
1658966400,2022-07-28 00:00:00,SFP/USDT,0.3599,0.3834,0.354,0.3779,52252.17121963,19433.906728283215
1658880000,2022-07-27 00:00:00,SFP/USDT,0.3352,0.3587,0.329,0.3587,16261.57194683,5597.714895657734
1658793600,2022-07-26 00:00:00,SFP/USDT,0.3332,0.3436,0.3255,0.3347,46608.15008611,15542.980169065565
1658707200,2022-07-25 00:00:00,SFP/USDT,0.3663,0.3677,0.3335,0.3335,63119.27626939,21798.414156937077
1658620800,2022-07-24 00:00:00,SFP/USDT,0.3706,0.3769,0.3643,0.3643,32180.51752989,11957.592541596581
1658534400,2022-07-23 00:00:00,SFP/USDT,0.3623,0.379,0.3587,0.3686,68572.87149584,25256.401376900325
1658448000,2022-07-22 00:00:00,SFP/USDT,0.372,0.4326,0.3553,0.3625,89070.26730693,33705.668864841805
1658361600,2022-07-21 00:00:00,SFP/USDT,0.3544,0.3831,0.3432,0.3739,124300.78887992,44312.874037483461
1658275200,2022-07-20 00:00:00,SFP/USDT,0.3652,0.379,0.3435,0.3541,131150.51778864,47603.882302085188
1658188800,2022-07-19 00:00:00,SFP/USDT,0.3412,0.4759,0.3347,0.3632,221910.00489229,82054.894907155398
1658102400,2022-07-18 00:00:00,SFP/USDT,0.315,0.3579,0.3131,0.3422,33835.21557809,11383.987139131719
1658016000,2022-07-17 00:00:00,SFP/USDT,0.3151,0.3259,0.3106,0.3131,39523.23328668,12547.450735751469
1657929600,2022-07-16 00:00:00,SFP/USDT,0.3083,0.3247,0.2997,0.3169,78963.20569239,24690.568076781382
1657843200,2022-07-15 00:00:00,SFP/USDT,0.309,0.3331,0.2999,0.3102,94468.78227751,29365.073859607495
1657756800,2022-07-14 00:00:00,SFP/USDT,0.2984,0.3164,0.2844,0.3075,73669.65496997,22066.27857503423
1657670400,2022-07-13 00:00:00,SFP/USDT,0.289,0.3006,0.2705,0.2988,73035.19853795,21043.919187266295
1657584000,2022-07-12 00:00:00,SFP/USDT,0.3055,0.3125,0.2872,0.2904,57625.02477591,17616.582232410911
1657497600,2022-07-11 00:00:00,SFP/USDT,0.332,0.3336,0.3045,0.3066,29055.75537135,9242.288561440298
1657411200,2022-07-10 00:00:00,SFP/USDT,0.3521,0.3523,0.3307,0.3336,21281.43507555,7276.035707298654
1657324800,2022-07-09 00:00:00,SFP/USDT,0.3508,0.3604,0.3505,0.351,25939.90158457,9228.811796553008
1657238400,2022-07-08 00:00:00,SFP/USDT,0.359,0.3672,0.3447,0.3509,18694.76383609,6666.388283460267
1657152000,2022-07-07 00:00:00,SFP/USDT,0.3513,0.3627,0.3464,0.359,44641.95471696,15780.148681584546
1657065600,2022-07-06 00:00:00,SFP/USDT,0.3416,0.3526,0.3354,0.349,26324.57841386,9145.604485213984
1656979200,2022-07-05 00:00:00,SFP/USDT,0.3514,0.3583,0.3298,0.3399,84577.94316583,29070.21430207348
1656892800,2022-07-04 00:00:00,SFP/USDT,0.34,0.3548,0.333,0.3509,61992.398287,21321.821177052917
1656806400,2022-07-03 00:00:00,SFP/USDT,0.3384,0.3441,0.3291,0.3394,24739.21130771,8398.752485922522
1656720000,2022-07-02 00:00:00,SFP/USDT,0.3285,0.351,0.3232,0.3367,71951.90809528,24094.199699871021
1656633600,2022-07-01 00:00:00,SFP/USDT,0.326,0.3488,0.3195,0.3284,44536.42193997,14817.471202676189
1656547200,2022-06-30 00:00:00,SFP/USDT,0.3416,0.3416,0.3113,0.3272,90282.58343296,29118.782248287823
1656460800,2022-06-29 00:00:00,SFP/USDT,0.3473,0.3592,0.3361,0.3445,83100.46764682,28870.871576145817
1656374400,2022-06-28 00:00:00,SFP/USDT,0.3679,0.3763,0.3445,0.3473,64777.8856802,23427.943598070357
1656288000,2022-06-27 00:00:00,SFP/USDT,0.373,0.3929,0.3608,0.3698,74990.4816775,28418.251338173826
1656201600,2022-06-26 00:00:00,SFP/USDT,0.4043,0.4121,0.3726,0.3741,60887.98405962,24062.620441597035
1656115200,2022-06-25 00:00:00,SFP/USDT,0.3817,0.4176,0.3701,0.4048,134244.99697453,52679.764911004479
1656028800,2022-06-24 00:00:00,SFP/USDT,0.369,0.3909,0.3633,0.382,124199.83480294,46969.732030503022
1655942400,2022-06-23 00:00:00,SFP/USDT,0.3584,0.3859,0.3567,0.3688,183672.3777973,67902.580680793111
1655856000,2022-06-22 00:00:00,SFP/USDT,0.3567,0.4,0.3381,0.3584,369424.87522276,135775.176107011141
1655769600,2022-06-21 00:00:00,SFP/USDT,0.3445,0.374,0.3408,0.3545,310025.49603768,111606.099411379809
1655683200,2022-06-20 00:00:00,SFP/USDT,0.3297,0.3494,0.3169,0.3461,365503.61226984,122839.253239129218
1655596800,2022-06-19 00:00:00,SFP/USDT,0.2973,0.3477,0.2797,0.3307,185713.18955496,58112.273087279052
1655510400,2022-06-18 00:00:00,SFP/USDT,0.3301,0.3351,0.276,0.2973,409218.19835096,123316.205056174998
1655424000,2022-06-17 00:00:00,SFP/USDT,0.3117,0.3697,0.3108,0.3304,727602.00359926,250378.072900254447
1655337600,2022-06-16 00:00:00,SFP/USDT,0.3431,0.3486,0.3044,0.3125,235675.40898049,76833.330721905625
1655251200,2022-06-15 00:00:00,SFP/USDT,0.312,0.3426,0.2777,0.3426,318690.12117987,95858.799751574137
1655164800,2022-06-14 00:00:00,SFP/USDT,0.2918,0.3232,0.2664,0.3122,274380.31867159,82405.840629145368
1655078400,2022-06-13 00:00:00,SFP/USDT,0.3112,0.3307,0.2663,0.2938,341135.48335689,97864.20751783542
1654992000,2022-06-12 00:00:00,SFP/USDT,0.3408,0.3443,0.307,0.3101,320989.79070966,104824.084108824542
1654905600,2022-06-11 00:00:00,SFP/USDT,0.3839,0.3964,0.3363,0.3418,185553.3339614,68440.418329689359
1654819200,2022-06-10 00:00:00,SFP/USDT,0.4001,0.4089,0.379,0.3848,210901.72103626,83241.624278688088
1654732800,2022-06-09 00:00:00,SFP/USDT,0.4002,0.4183,0.394,0.4012,173091.37545271,70420.596179543448
1654646400,2022-06-08 00:00:00,SFP/USDT,0.4085,0.4474,0.3985,0.4007,399008.23664985,166600.798304825829
1654560000,2022-06-07 00:00:00,SFP/USDT,0.4059,0.4345,0.3756,0.4085,484556.55714952,191605.922413206139
1654473600,2022-06-06 00:00:00,SFP/USDT,0.3982,0.4206,0.3965,0.4078,233529.74999344,95637.384404261058
1654387200,2022-06-05 00:00:00,SFP/USDT,0.4046,0.4074,0.3909,0.3957,135881.96398123,54264.332346390866
1654300800,2022-06-04 00:00:00,SFP/USDT,0.3949,0.4094,0.39,0.4023,167374.80699739,66828.210204153999
1654214400,2022-06-03 00:00:00,SFP/USDT,0.4124,0.4136,0.3833,0.3964,223248.53726771,87929.058808111396
1654128000,2022-06-02 00:00:00,SFP/USDT,0.3964,0.438,0.3854,0.4126,246708.52892745,98734.593063313002
1654041600,2022-06-01 00:00:00,SFP/USDT,0.436,0.4518,0.3907,0.3979,322745.61179827,135745.37471347961
1653955200,2022-05-31 00:00:00,SFP/USDT,0.4504,0.4799,0.4092,0.4345,492761.75199213,213854.912121976911
1653868800,2022-05-30 00:00:00,SFP/USDT,0.4889,0.4997,0.4314,0.4485,585968.97649916,269937.37172682925
1653782400,2022-05-29 00:00:00,SFP/USDT,0.3784,0.4952,0.3606,0.4887,802484.51886966,351883.266093952726
1653696000,2022-05-28 00:00:00,SFP/USDT,0.3714,0.3877,0.3633,0.3803,209677.42684589,78978.04815992237
1653609600,2022-05-27 00:00:00,SFP/USDT,0.3795,0.3919,0.3626,0.3694,281689.71428369,106150.922018407813
