https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GMT,Volume USDT
1651287600,2022-04-30 03:00:00,GMT/USDT,4.0416,4.2021,3.9653,4.1864,948277.82945225,3873017.844361772171
1651284000,2022-04-30 02:00:00,GMT/USDT,4.0389,4.0807,3.9176,4.0333,1076067.70577458,4312115.492934397804
1651280400,2022-04-30 01:00:00,GMT/USDT,4.0085,4.1046,3.9373,4.0435,606910.19708871,2430748.392267609013
1651276800,2022-04-30 00:00:00,GMT/USDT,3.9771,4.016,3.851,4.0047,909537.83307346,3578182.333650123615
1651273200,2022-04-29 23:00:00,GMT/USDT,3.9341,4.0255,3.8728,3.977,813446.91214183,3229600.767136314443
1651269600,2022-04-29 22:00:00,GMT/USDT,3.82,3.98,3.805,3.9341,1134851.73074653,4419183.487871214334
1651266000,2022-04-29 21:00:00,GMT/USDT,3.9465,3.9469,3.7802,3.8215,1162332.80004323,4444305.990418492301
1651262400,2022-04-29 20:00:00,GMT/USDT,3.8668,3.9688,3.81,3.9468,1349335.02547308,5238597.639538414711
1651258800,2022-04-29 19:00:00,GMT/USDT,3.8073,3.97,3.7701,3.8685,1751067.28679271,6750258.833920661584
1651255200,2022-04-29 18:00:00,GMT/USDT,3.7264,3.83,3.7152,3.8073,1063368.86999445,4003240.771839471097
1651251600,2022-04-29 17:00:00,GMT/USDT,3.8323,4,3.66,3.7264,1861657.86482166,7108606.336637391169
1651248000,2022-04-29 16:00:00,GMT/USDT,3.8775,4.1,3.7755,3.831,2238017.84051901,8732175.830713735695
1651244400,2022-04-29 15:00:00,GMT/USDT,3.9481,3.97,3.7439,3.8741,1653966.702546,6390054.295589411384
1651240800,2022-04-29 14:00:00,GMT/USDT,3.9718,4.337,3.7864,3.9485,4001191.89072183,16071132.125082990171
1651237200,2022-04-29 13:00:00,GMT/USDT,3.8418,3.9787,3.7864,3.9713,3131695.97977866,12157417.092177368908
1651233600,2022-04-29 12:00:00,GMT/USDT,3.4806,3.849,3.4729,3.8418,2779980.67272873,10290870.896253415302
1651230000,2022-04-29 11:00:00,GMT/USDT,3.5052,3.5266,3.4186,3.4828,792825.64330175,2754647.955859555601
1651226400,2022-04-29 10:00:00,GMT/USDT,3.6278,3.647,3.45,3.5057,862863.64661923,3059819.496225059132
1651222800,2022-04-29 09:00:00,GMT/USDT,3.5954,3.6652,3.5637,3.633,588514.26231319,2129177.881298001409
1651219200,2022-04-29 08:00:00,GMT/USDT,3.5665,3.6114,3.5472,3.5936,392824.85653658,1403169.921079986529
1651215600,2022-04-29 07:00:00,GMT/USDT,3.58,3.586,3.5257,3.5685,310610.04335315,1104286.813751639229
1651212000,2022-04-29 06:00:00,GMT/USDT,3.6073,3.6123,3.5512,3.5816,366017.3501491,1310433.440571877772
1651208400,2022-04-29 05:00:00,GMT/USDT,3.6076,3.6347,3.5915,3.604,314278.66280742,1135811.474005058749
1651204800,2022-04-29 04:00:00,GMT/USDT,3.5543,3.6238,3.5114,3.6084,719115.5355713,2568946.297697968393
1651201200,2022-04-29 03:00:00,GMT/USDT,3.6295,3.6709,3.5512,3.5549,784607.07397233,2834099.849113846992
1651197600,2022-04-29 02:00:00,GMT/USDT,3.7702,3.7767,3.566,3.6273,1095976.31738979,3979316.859697556316
1651194000,2022-04-29 01:00:00,GMT/USDT,3.74,3.7992,3.7322,3.7715,510464.52666536,1921017.973886637167
1651190400,2022-04-29 00:00:00,GMT/USDT,3.7621,3.8,3.7108,3.74,591370.54068565,2218864.509449907012
1651186800,2022-04-28 23:00:00,GMT/USDT,3.7172,3.8027,3.698,3.7617,809879.60159284,3039148.032708106764
1651183200,2022-04-28 22:00:00,GMT/USDT,3.7016,3.7458,3.637,3.7166,726379.97877632,2685781.881298468698
1651179600,2022-04-28 21:00:00,GMT/USDT,3.6798,3.7192,3.612,3.6991,713218.08508717,2622590.649373140647
1651176000,2022-04-28 20:00:00,GMT/USDT,3.6694,3.7504,3.5699,3.6819,1294284.82032944,4728550.491587795245
1651172400,2022-04-28 19:00:00,GMT/USDT,3.8383,3.881,3.6023,3.668,1971546.46653008,7386578.029543750968
1651168800,2022-04-28 18:00:00,GMT/USDT,3.8016,3.8549,3.7826,3.8396,839644.50009026,3204645.248432739339
1651165200,2022-04-28 17:00:00,GMT/USDT,3.8016,3.831,3.7143,3.8016,1566398.55499885,5913295.635994819121
1651161600,2022-04-28 16:00:00,GMT/USDT,3.9779,3.9989,3.6855,3.8025,2524207.58959298,9673853.825322570368
1651158000,2022-04-28 15:00:00,GMT/USDT,3.9853,4.0627,3.8737,3.9764,1871369.29148319,7407777.885611412949
1651154400,2022-04-28 14:00:00,GMT/USDT,4.0173,4.0485,3.9527,3.9822,1403395.49264211,5617160.968505236967
1651150800,2022-04-28 13:00:00,GMT/USDT,4.0232,4.1492,3.94,4.0172,1892172.49430473,7625764.683647759281
1651147200,2022-04-28 12:00:00,GMT/USDT,4.0523,4.0619,3.9736,4.0234,982537.09686257,3955244.257200683838
1651143600,2022-04-28 11:00:00,GMT/USDT,4.0342,4.1048,4.0054,4.0523,1026214.94392922,4158910.380325074052
1651140000,2022-04-28 10:00:00,GMT/USDT,4.0692,4.08,3.9947,4.0343,466442.12350697,1878523.90298889119
1651136400,2022-04-28 09:00:00,GMT/USDT,3.9402,4.0724,3.9296,4.071,661483.15569115,2644666.917490432652
1651132800,2022-04-28 08:00:00,GMT/USDT,4.0049,4.012,3.9237,3.9396,970758.0030148,3856869.420240514966
1651129200,2022-04-28 07:00:00,GMT/USDT,4.0124,4.05,3.9746,4.0026,1048344.33100306,4200354.877682938255
1651125600,2022-04-28 06:00:00,GMT/USDT,3.9577,4.0697,3.9121,4.0123,2070242.63270513,8275563.977214650194
1651122000,2022-04-28 05:00:00,GMT/USDT,3.8601,4.0137,3.844,3.9584,2088531.4609842,8160815.848325395215
1651118400,2022-04-28 04:00:00,GMT/USDT,3.8781,3.901,3.81,3.8562,1658417.0401818,6394045.323783630468
1651114800,2022-04-28 03:00:00,GMT/USDT,3.8349,4.18,3.8199,3.8796,3192031.46492664,12789124.256364434629
1651111200,2022-04-28 02:00:00,GMT/USDT,3.78,3.8439,3.7577,3.8358,492032.09926772,1871869.738317858156
1651107600,2022-04-28 01:00:00,GMT/USDT,3.8598,3.87,3.7743,3.7766,573037.8548265,2196919.153084321049
1651104000,2022-04-28 00:00:00,GMT/USDT,3.8057,3.8694,3.7765,3.8595,611328.70804163,2329958.45911266818
1651100400,2022-04-27 23:00:00,GMT/USDT,3.7435,3.8319,3.7386,3.8057,588990.98575065,2234568.499148131992
1651096800,2022-04-27 22:00:00,GMT/USDT,3.7969,3.7985,3.6897,3.741,1085235.95739775,4061124.437933077509
1651093200,2022-04-27 21:00:00,GMT/USDT,3.7919,3.8326,3.7782,3.7954,609340.51599549,2319730.299023206487
1651089600,2022-04-27 20:00:00,GMT/USDT,3.8948,3.919,3.7577,3.7943,1532349.96695314,5846966.835686375871
1651086000,2022-04-27 19:00:00,GMT/USDT,3.8749,3.9521,3.8284,3.8904,1451770.51992583,5644428.857357296037
1651082400,2022-04-27 18:00:00,GMT/USDT,3.8554,3.9164,3.776,3.8769,1298221.64481771,4990866.644626364758
1651078800,2022-04-27 17:00:00,GMT/USDT,3.7721,3.9241,3.719,3.8573,2422482.41408783,9236627.718860731132
1651075200,2022-04-27 16:00:00,GMT/USDT,3.3176,3.79,3.3134,3.7725,3951836.95518277,14136657.862542992548
1651071600,2022-04-27 15:00:00,GMT/USDT,3.2957,3.323,3.2896,3.315,155469.56007747,514242.731972926124
1651068000,2022-04-27 14:00:00,GMT/USDT,3.3444,3.3508,3.2586,3.2938,439000.7751893,1445308.35932141471
1651064400,2022-04-27 13:00:00,GMT/USDT,3.2963,3.3525,3.2776,3.343,174866.13401701,580347.583710901067
1651060800,2022-04-27 12:00:00,GMT/USDT,3.3222,3.3383,3.279,3.2965,202144.7555425,668662.658050642019
1651057200,2022-04-27 11:00:00,GMT/USDT,3.3515,3.3555,3.2891,3.3206,188020.38160914,623412.886916213921
1651053600,2022-04-27 10:00:00,GMT/USDT,3.3386,3.3515,3.3266,3.3515,126782.09246743,423396.703601210489
1651050000,2022-04-27 09:00:00,GMT/USDT,3.3567,3.3726,3.3044,3.3354,218736.4505173,730572.563410178268
1651046400,2022-04-27 08:00:00,GMT/USDT,3.3621,3.3996,3.3387,3.3608,338198.3178544,1135988.494497929317
1651042800,2022-04-27 07:00:00,GMT/USDT,3.3771,3.3781,3.3386,3.362,238819.71218527,802446.221541954259
1651039200,2022-04-27 06:00:00,GMT/USDT,3.3597,3.3849,3.34,3.3755,340600.73634418,1144013.051596506376
1651035600,2022-04-27 05:00:00,GMT/USDT,3.3455,3.3671,3.33,3.3546,388051.12918817,1299843.805858601891
1651032000,2022-04-27 04:00:00,GMT/USDT,3.3369,3.38,3.3257,3.3444,260529.18876245,873231.510867264882
1651028400,2022-04-27 03:00:00,GMT/USDT,3.3132,3.3525,3.2862,3.3371,443410.07240368,1469951.394127266722
1651024800,2022-04-27 02:00:00,GMT/USDT,3.296,3.3337,3.2845,3.3132,189570.83336993,628514.684795640783
1651021200,2022-04-27 01:00:00,GMT/USDT,3.2685,3.3015,3.2489,3.2927,160273.74570666,525451.501903701493
1651017600,2022-04-27 00:00:00,GMT/USDT,3.3371,3.3639,3.2411,3.2745,845308.25840292,2789955.988964620779
1651014000,2022-04-26 23:00:00,GMT/USDT,3.2912,3.3517,3.23,3.3402,849414.48265732,2794566.743565906816
1651010400,2022-04-26 22:00:00,GMT/USDT,3.3038,3.3291,3.2704,3.2959,306135.60649609,1009862.069125079653
1651006800,2022-04-26 21:00:00,GMT/USDT,3.2472,3.3289,3.2346,3.3041,432382.00282569,1421311.826189215101
1651003200,2022-04-26 20:00:00,GMT/USDT,3.2303,3.2475,3.194,3.2475,218531.36960178,705007.903080722153
1650999600,2022-04-26 19:00:00,GMT/USDT,3.2289,3.2455,3.1704,3.2271,290029.46811706,931342.406160395517
1650996000,2022-04-26 18:00:00,GMT/USDT,3.2339,3.2429,3.18,3.2265,259941.81545783,835142.897448349722
1650992400,2022-04-26 17:00:00,GMT/USDT,3.251,3.264,3.2076,3.2347,454207.54294106,1469065.039398747874
1650988800,2022-04-26 16:00:00,GMT/USDT,3.3152,3.3565,3.2242,3.2525,553613.36826023,1816623.895361257125
1650985200,2022-04-26 15:00:00,GMT/USDT,3.3253,3.3789,3.3066,3.3146,450608.08171679,1503307.550677260641
1650981600,2022-04-26 14:00:00,GMT/USDT,3.325,3.3412,3.287,3.3283,527000.52521757,1745182.988896772868
1650978000,2022-04-26 13:00:00,GMT/USDT,3.3883,3.427,3.3108,3.3281,401107.63522127,1350710.268131119422
1650974400,2022-04-26 12:00:00,GMT/USDT,3.4321,3.4405,3.3552,3.3927,372517.61914559,1265289.2992280497
1650970800,2022-04-26 11:00:00,GMT/USDT,3.4338,3.446,3.3902,3.4342,245715.0009802,840144.593232077398
1650967200,2022-04-26 10:00:00,GMT/USDT,3.3737,3.4515,3.3729,3.4329,339839.06430147,1160381.467523509986
1650963600,2022-04-26 09:00:00,GMT/USDT,3.39,3.3988,3.3425,3.3738,329959.20440613,1113254.969646210091
1650960000,2022-04-26 08:00:00,GMT/USDT,3.394,3.4082,3.353,3.3899,290341.81175233,980673.924031909254
1650956400,2022-04-26 07:00:00,GMT/USDT,3.4266,3.4888,3.38,3.3947,1032126.86639208,3542726.209619545864
1650952800,2022-04-26 06:00:00,GMT/USDT,3.3013,3.4434,3.3007,3.428,653688.10582752,2218435.579631954567
1650949200,2022-04-26 05:00:00,GMT/USDT,3.2977,3.3327,3.2965,3.3044,159297.75612738,527518.463369201381
1650945600,2022-04-26 04:00:00,GMT/USDT,3.2854,3.3074,3.2736,3.2977,143049.27891322,470324.22095687668
1650942000,2022-04-26 03:00:00,GMT/USDT,3.3046,3.3074,3.2788,3.2855,154186.02992612,507395.75578990154
1650938400,2022-04-26 02:00:00,GMT/USDT,3.2897,3.3078,3.2661,3.3041,146322.83760827,481770.341318658195
1650934800,2022-04-26 01:00:00,GMT/USDT,3.2974,3.3569,3.2699,3.288,352986.16520806,1172109.694890491973
1650931200,2022-04-26 00:00:00,GMT/USDT,3.3159,3.3336,3.2864,3.2955,330041.92465356,1091044.663749293053
1650927600,2022-04-25 23:00:00,GMT/USDT,3.2742,3.3204,3.2529,3.316,228338.12533764,747641.642615437066
1650924000,2022-04-25 22:00:00,GMT/USDT,3.2456,3.2764,3.2438,3.2725,182886.63422156,596752.050818280642
1650920400,2022-04-25 21:00:00,GMT/USDT,3.237,3.2554,3.2277,3.245,119286.03892402,386726.974245504518
1650916800,2022-04-25 20:00:00,GMT/USDT,3.2234,3.2528,3.2109,3.2354,198996.20823605,642649.493239743069
1650913200,2022-04-25 19:00:00,GMT/USDT,3.2543,3.2589,3.2062,3.2258,209329.64197448,676422.826255167519
1650909600,2022-04-25 18:00:00,GMT/USDT,3.2623,3.2774,3.2129,3.2543,317721.71821087,1031282.401035684472
1650906000,2022-04-25 17:00:00,GMT/USDT,3.282,3.2999,3.2395,3.2639,263301.55497355,860580.045585424182
1650902400,2022-04-25 16:00:00,GMT/USDT,3.2387,3.3107,3.2325,3.2821,373862.52183745,1224591.879700840112
1650898800,2022-04-25 15:00:00,GMT/USDT,3.2455,3.2704,3.2236,3.2394,256343.5173242,832638.550851393964
1650895200,2022-04-25 14:00:00,GMT/USDT,3.2447,3.2808,3.2238,3.2455,292116.56067284,949648.305039637073
1650891600,2022-04-25 13:00:00,GMT/USDT,3.2225,3.2555,3.2097,3.2467,217949.87288777,704692.106426110108
1650888000,2022-04-25 12:00:00,GMT/USDT,3.2302,3.258,3.21,3.2259,215492.04568599,695954.01541801265
1650884400,2022-04-25 11:00:00,GMT/USDT,3.184,3.2447,3.175,3.2305,324540.21053792,1043291.293707430631
1650880800,2022-04-25 10:00:00,GMT/USDT,3.1991,3.2051,3.1564,3.1802,119333.38357719,379762.672274256215
1650877200,2022-04-25 09:00:00,GMT/USDT,3.1997,3.2183,3.1311,3.2006,488654.43691202,1549080.579337057785
1650873600,2022-04-25 08:00:00,GMT/USDT,3.2238,3.2594,3.1857,3.201,334256.22498237,1078771.147512528404
1650870000,2022-04-25 07:00:00,GMT/USDT,3.2139,3.2537,3.18,3.2247,594061.74569746,1911742.087535553186
1650866400,2022-04-25 06:00:00,GMT/USDT,3.3197,3.3273,3.2054,3.2181,503055.66521695,1647214.594836729465
1650862800,2022-04-25 05:00:00,GMT/USDT,3.3376,3.3586,3.316,3.3197,127653.71468366,425710.459400755989
1650859200,2022-04-25 04:00:00,GMT/USDT,3.3449,3.3675,3.3207,3.3375,238130.87985138,797934.196560475731
1650855600,2022-04-25 03:00:00,GMT/USDT,3.3649,3.3868,3.3445,3.3445,223381.57184827,751269.111575181444
1650852000,2022-04-25 02:00:00,GMT/USDT,3.3295,3.3855,3.2935,3.3628,429674.76721902,1440447.62742256217
1650848400,2022-04-25 01:00:00,GMT/USDT,3.3681,3.405,3.315,3.3294,894360.87292761,3011612.868599880131
1650844800,2022-04-25 00:00:00,GMT/USDT,3.3721,3.3933,3.2359,3.3685,1059374.24156963,3504370.443426552499
1650841200,2022-04-24 23:00:00,GMT/USDT,3.3276,3.4076,3.3066,3.372,625751.25043552,2094893.007878068566
1650837600,2022-04-24 22:00:00,GMT/USDT,3.28,3.3372,3.2715,3.3248,310269.25506729,1027689.297906509652
1650834000,2022-04-24 21:00:00,GMT/USDT,3.2944,3.3209,3.2627,3.2803,283234.57268351,933191.053014209307
1650830400,2022-04-24 20:00:00,GMT/USDT,3.2654,3.3353,3.2533,3.2954,381023.26206644,1256310.354457465283
1650826800,2022-04-24 19:00:00,GMT/USDT,3.2451,3.286,3.2451,3.2647,195261.37212549,637445.925016666586
1650823200,2022-04-24 18:00:00,GMT/USDT,3.2338,3.2563,3.224,3.244,311822.5277287,1010593.363300104749
1650819600,2022-04-24 17:00:00,GMT/USDT,3.2681,3.276,3.2222,3.2327,574331.16049856,1862579.933889480836
1650816000,2022-04-24 16:00:00,GMT/USDT,3.3519,3.376,3.2004,3.2702,934916.87903965,3068174.929570596826
