https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1559419200,2019-06-01 20:00:00,BTC/USDT,8532.2,8565.4,8527.7,8545.3,7.16959577,61252.915170546
1559415600,2019-06-01 19:00:00,BTC/USDT,8494.7,8545.7,8477.4,8534.3,15.26233864,129941.379613107
1559412000,2019-06-01 18:00:00,BTC/USDT,8515.4,8541,8486.9,8496.8,10.51818032,89522.212724717
1559408400,2019-06-01 17:00:00,BTC/USDT,8557.7,8558.2,8504.5,8514.6,12.36452584,105468.849194996
1559404800,2019-06-01 16:00:00,BTC/USDT,8528.6,8578.6,8524.1,8556.5,16.76743314,143432.159351173
1559401200,2019-06-01 15:00:00,BTC/USDT,8482.2,8532.8,8475.8,8525.1,13.28196747,112979.463154234
1559397600,2019-06-01 14:00:00,BTC/USDT,8507.6,8538,8445.7,8482.3,18.92787363,160794.691963644
1559394000,2019-06-01 13:00:00,BTC/USDT,8539.3,8548.3,8503.8,8509,9.65511246,82337.133585452
1559390400,2019-06-01 12:00:00,BTC/USDT,8562.9,8573.1,8530.1,8538.2,8.53156601,72934.138251137
1559386800,2019-06-01 11:00:00,BTC/USDT,8552.7,8576.2,8519.2,8560.8,9.00213017,76993.297519502
1559383200,2019-06-01 10:00:00,BTC/USDT,8583.6,8600.2,8544,8551.2,8.65386415,74204.859617795
1559379600,2019-06-01 09:00:00,BTC/USDT,8552,8624,8550,8579.7,11.41363522,97997.857882325
1559376000,2019-06-01 08:00:00,BTC/USDT,8539.3,8562.9,8502.4,8556.8,10.72347862,91511.054912962
1559372400,2019-06-01 07:00:00,BTC/USDT,8525.6,8547.2,8490.2,8540,7.79288524,66474.880769737
1559368800,2019-06-01 06:00:00,BTC/USDT,8479.9,8534.4,8452.2,8522,13.8164391,117468.247976905
1559365200,2019-06-01 05:00:00,BTC/USDT,8564.4,8564.4,8456.9,8472.5,14.61543397,124382.438830777
1559361600,2019-06-01 04:00:00,BTC/USDT,8554.4,8579.2,8532.7,8561.4,9.14288414,78168.988237123
1559358000,2019-06-01 03:00:00,BTC/USDT,8553.9,8571.1,8533.6,8554.4,13.65188465,116714.503817934
1559354400,2019-06-01 02:00:00,BTC/USDT,8571,8571,8526.1,8552.6,9.48934088,81075.337809025
1559350800,2019-06-01 01:00:00,BTC/USDT,8584.7,8587.6,8536.9,8570,9.81796731,84097.246365789
1559347200,2019-06-01 00:00:00,BTC/USDT,8555.6,8585,8497.4,8584.6,15.48892684,132255.104056766
1559343600,2019-05-31 23:00:00,BTC/USDT,8513.1,8578,8513.1,8555.6,12.88634666,110193.881587739
1559340000,2019-05-31 22:00:00,BTC/USDT,8537.5,8537.5,8478.7,8510.2,17.84370787,151703.333895798
1559336400,2019-05-31 21:00:00,BTC/USDT,8511,8555.2,8496.5,8532.9,13.01112571,111011.782212933
1559332800,2019-05-31 20:00:00,BTC/USDT,8449.1,8515,8416.4,8501.7,19.17948272,162579.580442446
1559329200,2019-05-31 19:00:00,BTC/USDT,8407.4,8445.9,8397.6,8445.9,10.54773172,88782.492249146
1559325600,2019-05-31 18:00:00,BTC/USDT,8402.4,8471.5,8388.2,8409.5,26.8270379,226101.135004876
1559322000,2019-05-31 17:00:00,BTC/USDT,8392.5,8433.1,8359.1,8399.6,12.09210208,101682.550552681
1559318400,2019-05-31 16:00:00,BTC/USDT,8345.7,8446.7,8299.3,8386.2,20.54649151,172309.008665381
1559314800,2019-05-31 15:00:00,BTC/USDT,8416.8,8436.8,8299.2,8344.9,19.54672898,163586.689491607
1559311200,2019-05-31 14:00:00,BTC/USDT,8416.7,8458.5,8369.6,8413.3,14.42881072,121309.15604634
1559307600,2019-05-31 13:00:00,BTC/USDT,8333.9,8444,8333.9,8415.2,26.84147219,225355.965406586
1559304000,2019-05-31 12:00:00,BTC/USDT,8281.5,8336.7,8270.4,8332.7,13.12809967,109030.9644199
1559300400,2019-05-31 11:00:00,BTC/USDT,8309.7,8309.7,8234.5,8281.5,13.67677324,113090.687629442
1559296800,2019-05-31 10:00:00,BTC/USDT,8310.9,8360.9,8292,8309.4,18.01995435,150200.237963649
1559293200,2019-05-31 09:00:00,BTC/USDT,8293.6,8339.2,8291.1,8307.5,15.56478528,129436.856345664
1559289600,2019-05-31 08:00:00,BTC/USDT,8306.9,8334.2,8281.2,8291.1,14.83563773,123159.681254414
1559286000,2019-05-31 07:00:00,BTC/USDT,8299,8313.9,8234.7,8300.4,14.28502515,118178.634575336
1559282400,2019-05-31 06:00:00,BTC/USDT,8250.2,8309,8246.3,8299,13.73911756,113770.354693533
1559278800,2019-05-31 05:00:00,BTC/USDT,8152.3,8259.8,8111.5,8239.6,16.27486382,133241.133966659
1559275200,2019-05-31 04:00:00,BTC/USDT,8263.3,8285.7,8141.5,8150.9,24.67417602,202495.075488521
1559271600,2019-05-31 03:00:00,BTC/USDT,8296.7,8296.7,8214.4,8263.9,27.05387172,223455.705943781
1559268000,2019-05-31 02:00:00,BTC/USDT,8342.7,8354.2,8284,8290.1,13.4700953,112082.041528879
1559264400,2019-05-31 01:00:00,BTC/USDT,8303.9,8385,8303.9,8346,9.84798126,82252.790000941
1559260800,2019-05-31 00:00:00,BTC/USDT,8262.4,8334.2,8262.4,8304.4,17.82615645,148140.51836436
1559257200,2019-05-30 23:00:00,BTC/USDT,8262.4,8308.1,8216.3,8262.2,18.06344196,149158.682406864
1559253600,2019-05-30 22:00:00,BTC/USDT,8206.3,8348.8,8178.6,8270.6,43.77261832,362309.988474187
1559250000,2019-05-30 21:00:00,BTC/USDT,8471.2,8509.2,8032.8,8214.8,102.85724659,847973.186980807
1559246400,2019-05-30 20:00:00,BTC/USDT,8616.6,8616.6,8424.2,8467.7,45.69710538,388839.610923397
1559242800,2019-05-30 19:00:00,BTC/USDT,8651.3,8660.6,8575,8617,18.27380576,157425.811159461
