https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DPI,Volume USDT
1655557200,2022-06-18 13:00:00,DPI/USDT,57,57,54.29,56.25,0.1276,7.041846
1655553600,2022-06-18 12:00:00,DPI/USDT,54.29,58.48,54.29,58.48,2.3197,126.725426
1655550000,2022-06-18 11:00:00,DPI/USDT,59,59,54.8,54.84,0.5095,28.964364
1655546400,2022-06-18 10:00:00,DPI/USDT,57.1,58.98,55.11,57.74,8.1911683,481.3696985852
1655542800,2022-06-18 09:00:00,DPI/USDT,56.29,58.5,56.29,57.72,1.16685119,67.4018308893
1655539200,2022-06-18 08:00:00,DPI/USDT,59,59,56.29,56.29,13.80344504,809.9446759608
1655535600,2022-06-18 07:00:00,DPI/USDT,60.4,60.4,59,59,1.9146,113.478796
1655532000,2022-06-18 06:00:00,DPI/USDT,61.18,61.22,60.84,60.84,0.9792,59.831081
1655528400,2022-06-18 05:00:00,DPI/USDT,61.14,61.94,61.03,61.76,0.13728239,8.4873392366
1655524800,2022-06-18 04:00:00,DPI/USDT,61.03,61.03,61.03,61.03,0.0035,0.213605
1655521200,2022-06-18 03:00:00,DPI/USDT,60.88,61.68,60.84,61.68,0.4283,26.40831
1655517600,2022-06-18 02:00:00,DPI/USDT,61.73,61.84,61.64,61.64,0.0774,4.781125
1655514000,2022-06-18 01:00:00,DPI/USDT,63.52,63.52,61.94,62.05,0.33312814,20.754307402
1655510400,2022-06-18 00:00:00,DPI/USDT,61.74,70.28,61.74,62.97,51.4576,3280.820826
1655506800,2022-06-17 23:00:00,DPI/USDT,61.74,63.27,61.74,63.27,0.0099,0.615936
1655503200,2022-06-17 22:00:00,DPI/USDT,62.45,62.54,61.81,61.93,0.3988,24.917226
1655499600,2022-06-17 21:00:00,DPI/USDT,63.38,63.4,62.53,62.75,1.1996,75.295553
1655496000,2022-06-17 20:00:00,DPI/USDT,59.27,64.85,58.5,64.85,4.34784816,275.539968176
1655492400,2022-06-17 19:00:00,DPI/USDT,59.35,59.38,59.33,59.33,0.0766,4.547963
1655488800,2022-06-17 18:00:00,DPI/USDT,60.05,60.84,59.27,59.3,0.118,7.132513
1655485200,2022-06-17 17:00:00,DPI/USDT,60.16,62.71,58.5,59.9,24.92141688,1547.8964985448
1655481600,2022-06-17 16:00:00,DPI/USDT,60.84,61.64,60.84,61.64,0.0479,2.944416
1655478000,2022-06-17 15:00:00,DPI/USDT,62.45,62.45,62.3,62.45,0.0411,2.561895
1655474400,2022-06-17 14:00:00,DPI/USDT,60.95,60.95,60.84,60.84,0.0284,1.730661
1655470800,2022-06-17 13:00:00,DPI/USDT,61.01,61.01,61.01,61.01,0.0192,1.171392
1655467200,2022-06-17 12:00:00,DPI/USDT,61.64,62.3,60.84,61.94,0.0212,1.3104
1655463600,2022-06-17 11:00:00,DPI/USDT,63.27,63.27,61.67,61.68,0.0278,1.741443
1655460000,2022-06-17 10:00:00,DPI/USDT,61.75,61.75,61.64,61.64,0.1828,11.287009
1655456400,2022-06-17 09:00:00,DPI/USDT,61.64,62.98,59.29,62.52,0.1888,11.754606
1655452800,2022-06-17 08:00:00,DPI/USDT,60.79,63.5,60.79,61.75,12.6266,778.823028
1655449200,2022-06-17 07:00:00,DPI/USDT,58.5,60.05,58.5,59.66,0.1918,11.485217
1655445600,2022-06-17 06:00:00,DPI/USDT,59.35,59.35,57.37,57.37,3.2334,188.640778
1655442000,2022-06-17 05:00:00,DPI/USDT,60.05,60.82,59.27,60.82,0.0242,1.464015
1655438400,2022-06-17 04:00:00,DPI/USDT,60.05,60.85,60.05,60.08,0.1826,11.042943
1655434800,2022-06-17 03:00:00,DPI/USDT,60.84,60.84,58.53,60.05,0.0992,5.866116
1655431200,2022-06-17 02:00:00,DPI/USDT,59.35,61.65,59.35,61.65,0.0807,4.951179
1655427600,2022-06-17 01:00:00,DPI/USDT,60.05,60.8,59.3,60.8,0.0476,2.83393
1655424000,2022-06-17 00:00:00,DPI/USDT,60.78,60.99,59.27,60.99,4.12756109,251.6365678791
1655420400,2022-06-16 23:00:00,DPI/USDT,59.27,60.36,58.5,59.31,0.36271194,21.3292066984
1655416800,2022-06-16 22:00:00,DPI/USDT,61.64,61.64,59.38,59.38,0.1015,6.074164
1655413200,2022-06-16 21:00:00,DPI/USDT,60.84,62.45,60.07,62.45,1.05863849,66.0331857005
1655409600,2022-06-16 20:00:00,DPI/USDT,60.84,60.84,59.45,59.45,0.0985,5.913626
1655406000,2022-06-16 19:00:00,DPI/USDT,60.84,62.72,59.35,60.84,0.1455,9.004593
1655402400,2022-06-16 18:00:00,DPI/USDT,60.82,61.64,60.82,60.84,19.064,1160.010056
1655398800,2022-06-16 17:00:00,DPI/USDT,59.35,60.29,59.33,59.77,0.4209,24.992477
1655395200,2022-06-16 16:00:00,DPI/USDT,60.05,60.78,59.31,60.78,2.0811,126.2452
1655391600,2022-06-16 15:00:00,DPI/USDT,59,61.54,59,60.05,0.3733,22.656402
1655388000,2022-06-16 14:00:00,DPI/USDT,61.6,61.6,59,60.01,0.1361,8.071971
1655384400,2022-06-16 13:00:00,DPI/USDT,60.05,61.62,60.05,60.06,0.3428,20.754952
1655380800,2022-06-16 12:00:00,DPI/USDT,62.34,62.34,59.01,59.01,16.3758,968.308642
1655377200,2022-06-16 11:00:00,DPI/USDT,61.33,62.44,61.25,61.25,0.0242,1.50667
1655373600,2022-06-16 10:00:00,DPI/USDT,61.64,61.64,61.25,61.25,0.0464,2.844964
1655370000,2022-06-16 09:00:00,DPI/USDT,63.94,63.94,61.64,61.67,1.0545,65.831985
1655366400,2022-06-16 08:00:00,DPI/USDT,63.41,63.41,62.85,62.85,0.0493,3.099625
1655362800,2022-06-16 07:00:00,DPI/USDT,63.27,63.94,63.27,63.41,3.42858104,219.1648546976
1655359200,2022-06-16 06:00:00,DPI/USDT,62,63.27,62,62,0.0494,3.072452
1655355600,2022-06-16 05:00:00,DPI/USDT,63.27,63.27,62,62,0.0563,3.505993
1655352000,2022-06-16 04:00:00,DPI/USDT,64.96,64.96,62.01,63.27,4.006,253.269127
1655348400,2022-06-16 03:00:00,DPI/USDT,64.11,66.68,63.27,66.68,0.2471,16.141028
1655344800,2022-06-16 02:00:00,DPI/USDT,63.27,65.07,62.49,65.07,0.0982,6.199042
1655341200,2022-06-16 01:00:00,DPI/USDT,64.11,67.56,63.27,63.27,0.217,14.457721
1655337600,2022-06-16 00:00:00,DPI/USDT,63.27,69.52,59.6,62.46,45.11757762,2852.3008351424
1655334000,2022-06-15 23:00:00,DPI/USDT,60.16,66.69,59.29,64,2.95577865,189.4869353
1655330400,2022-06-15 22:00:00,DPI/USDT,60.05,62,60.05,61.64,0.0884,5.427603
1655326800,2022-06-15 21:00:00,DPI/USDT,58.5,64.96,57.1,58.51,6.78678807,413.3289322152
