https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT
1659243600,2022-07-31 05:00:00,XLM/USDT,0.120413,0.1206,0.118899,0.118913,394364.75327894,47216.53944490837998
1659240000,2022-07-31 04:00:00,XLM/USDT,0.119639,0.120484,0.1194,0.120412,771284.10511795,92556.27116046625477
1659236400,2022-07-31 03:00:00,XLM/USDT,0.11966,0.11993,0.11892,0.119639,680272.12418274,81185.63074300546492
1659232800,2022-07-31 02:00:00,XLM/USDT,0.119452,0.1203,0.11921,0.119656,464083.91834335,55601.08777186240533
1659229200,2022-07-31 01:00:00,XLM/USDT,0.120399,0.120451,0.119333,0.119451,873266.53935875,104819.65880111717747
1659225600,2022-07-31 00:00:00,XLM/USDT,0.11958,0.12062,0.1188,0.120399,772255.90696668,92696.58826880286105
1659222000,2022-07-30 23:00:00,XLM/USDT,0.120857,0.120983,0.11875,0.11957,739771.05550673,88303.99549979690942
1659218400,2022-07-30 22:00:00,XLM/USDT,0.120923,0.12098,0.119198,0.120856,1007145.00561435,120855.74404626192119
1659214800,2022-07-30 21:00:00,XLM/USDT,0.121779,0.121784,0.1207,0.120936,421186.86528241,51088.37380452314225
1659211200,2022-07-30 20:00:00,XLM/USDT,0.12137,0.12251,0.120804,0.121781,1635798.1228587,199063.49379851085452
1659207600,2022-07-30 19:00:00,XLM/USDT,0.123658,0.123677,0.12113,0.121366,2110263.90412446,258602.79205739959847
1659204000,2022-07-30 18:00:00,XLM/USDT,0.124357,0.12442,0.12343,0.123662,1352952.83963485,167927.04954413105704
1659200400,2022-07-30 17:00:00,XLM/USDT,0.124626,0.125097,0.12352,0.124358,772098.97345333,96084.19791048962333
1659196800,2022-07-30 16:00:00,XLM/USDT,0.123518,0.1252,0.122557,0.124665,1637022.74092459,202715.78862562780387
1659193200,2022-07-30 15:00:00,XLM/USDT,0.122302,0.12412,0.122278,0.123502,1464913.49654595,180564.54382242520343
1659189600,2022-07-30 14:00:00,XLM/USDT,0.122955,0.12416,0.121937,0.122301,2913584.05050368,359076.49146897132597
1659186000,2022-07-30 13:00:00,XLM/USDT,0.11929,0.123234,0.118898,0.122933,3740036.58377264,452079.74801531508316
1659182400,2022-07-30 12:00:00,XLM/USDT,0.118536,0.11929,0.118048,0.119264,845467.42109173,100369.397860918372
1659178800,2022-07-30 11:00:00,XLM/USDT,0.117773,0.119092,0.117723,0.118549,960252.29356104,113799.54139511495518
1659175200,2022-07-30 10:00:00,XLM/USDT,0.118842,0.118853,0.11726,0.1178,777611.51473211,91661.41976942622356
1659171600,2022-07-30 09:00:00,XLM/USDT,0.118819,0.119588,0.118638,0.118827,1106070.55182779,131640.05084312610454
1659168000,2022-07-30 08:00:00,XLM/USDT,0.117858,0.119087,0.117795,0.118807,657730.0391079,78007.17933235995457
1659164400,2022-07-30 07:00:00,XLM/USDT,0.11781,0.118409,0.117607,0.117823,321922.65430078,37976.79963923883165
1659160800,2022-07-30 06:00:00,XLM/USDT,0.117312,0.11782,0.11681,0.117809,691943.78914366,81198.30755101095014
1659157200,2022-07-30 05:00:00,XLM/USDT,0.116645,0.11746,0.116577,0.117312,519174.42854641,60817.31782477841768
1659153600,2022-07-30 04:00:00,XLM/USDT,0.117397,0.117595,0.11614,0.116644,903717.69515278,105549.87540662445277
1659150000,2022-07-30 03:00:00,XLM/USDT,0.117998,0.118019,0.11678,0.117377,878453.36912338,103206.58597553192104
1659146400,2022-07-30 02:00:00,XLM/USDT,0.118386,0.118386,0.117,0.118035,909710.96943639,107138.99168460228698
1659142800,2022-07-30 01:00:00,XLM/USDT,0.118767,0.11906,0.1166,0.118362,1136589.74027976,134005.27871210931213
1659139200,2022-07-30 00:00:00,XLM/USDT,0.117679,0.118869,0.11749,0.118748,1063865.87658966,125883.54775380851153
1659135600,2022-07-29 23:00:00,XLM/USDT,0.118977,0.11969,0.11722,0.11767,1589572.72928193,188861.60020043110845
1659132000,2022-07-29 22:00:00,XLM/USDT,0.117312,0.119065,0.116946,0.118977,1176037.30705901,138836.91306987713155
1659128400,2022-07-29 21:00:00,XLM/USDT,0.117703,0.118056,0.1166,0.117212,703968.63314598,82486.79951639477642
1659124800,2022-07-29 20:00:00,XLM/USDT,0.11682,0.117894,0.11649,0.117741,821532.68492464,96345.74677590296173
1659121200,2022-07-29 19:00:00,XLM/USDT,0.1167,0.117319,0.116102,0.116799,1293339.1642957,150874.73559922627558
1659117600,2022-07-29 18:00:00,XLM/USDT,0.116216,0.11732,0.116034,0.116705,886927.77200582,103485.35797340150334
1659114000,2022-07-29 17:00:00,XLM/USDT,0.116253,0.11643,0.11483,0.116201,1232681.60236628,142701.36851107411317
1659110400,2022-07-29 16:00:00,XLM/USDT,0.117079,0.117087,0.1151,0.116277,1172353.02737311,135812.58876157179868
1659106800,2022-07-29 15:00:00,XLM/USDT,0.117301,0.11745,0.116574,0.117064,1118697.41269854,130910.25193998115577
1659103200,2022-07-29 14:00:00,XLM/USDT,0.116409,0.118074,0.116392,0.117318,1981917.86778168,233006.27959722673377
1659099600,2022-07-29 13:00:00,XLM/USDT,0.114726,0.116704,0.114521,0.116439,920959.40377394,106344.18399251643672
1659096000,2022-07-29 12:00:00,XLM/USDT,0.115953,0.116168,0.11422,0.114726,1278647.13756668,147188.84741633444418
1659092400,2022-07-29 11:00:00,XLM/USDT,0.117906,0.118281,0.115337,0.115956,1954820.66671923,227637.70653958360667
1659088800,2022-07-29 10:00:00,XLM/USDT,0.118249,0.11848,0.11758,0.117888,454836.2414301,53711.55263231795794
1659085200,2022-07-29 09:00:00,XLM/USDT,0.116938,0.118316,0.116532,0.118228,433757.21611618,50954.85780907700732
1659081600,2022-07-29 08:00:00,XLM/USDT,0.116674,0.117105,0.115575,0.116945,923583.94945323,107745.36903582346738
1659078000,2022-07-29 07:00:00,XLM/USDT,0.117206,0.11731,0.11633,0.116663,695515.24132598,81278.51637743580905
1659074400,2022-07-29 06:00:00,XLM/USDT,0.118527,0.119206,0.116845,0.11724,1232221.90421806,145437.9466280724669
1659070800,2022-07-29 05:00:00,XLM/USDT,0.11859,0.11926,0.11735,0.118528,910655.63213203,107941.92244449296749
1659067200,2022-07-29 04:00:00,XLM/USDT,0.118056,0.118648,0.117821,0.118581,932396.75380018,110202.40737608528474
1659063600,2022-07-29 03:00:00,XLM/USDT,0.116914,0.118133,0.11667,0.118093,478227.07676073,56130.93781261746772
1659060000,2022-07-29 02:00:00,XLM/USDT,0.117235,0.11785,0.1167,0.116914,810795.47576086,95016.96749909384124
1659056400,2022-07-29 01:00:00,XLM/USDT,0.118085,0.11818,0.116829,0.117259,842773.94365835,98972.19061502359741
1659052800,2022-07-29 00:00:00,XLM/USDT,0.116719,0.118097,0.11572,0.118089,1549774.30808535,181571.69420741296676
1659049200,2022-07-28 23:00:00,XLM/USDT,0.11694,0.116989,0.116075,0.116701,1059936.89358039,123433.84589880625522
1659045600,2022-07-28 22:00:00,XLM/USDT,0.116438,0.117225,0.11599,0.116954,715471.27946578,83447.86618837691295
1659042000,2022-07-28 21:00:00,XLM/USDT,0.117242,0.117607,0.116116,0.116441,829514.73450871,96902.37169945272703
1659038400,2022-07-28 20:00:00,XLM/USDT,0.11554,0.11804,0.115516,0.117202,1960777.26925446,229334.20926945876226
1659034800,2022-07-28 19:00:00,XLM/USDT,0.115139,0.115601,0.114725,0.115532,1153219.89193147,132744.42511334993235
1659031200,2022-07-28 18:00:00,XLM/USDT,0.117052,0.117088,0.11467,0.115143,1411204.52213436,163247.75263860635654
1659027600,2022-07-28 17:00:00,XLM/USDT,0.115618,0.117248,0.115595,0.117054,1666449.43793344,194492.98529530893429
1659024000,2022-07-28 16:00:00,XLM/USDT,0.114755,0.116642,0.114528,0.115608,1915988.0191398,221844.98974111320174
1659020400,2022-07-28 15:00:00,XLM/USDT,0.112844,0.11532,0.112658,0.114808,2338062.33062934,266920.38629455996573
1659016800,2022-07-28 14:00:00,XLM/USDT,0.111228,0.112905,0.111024,0.112841,1088278.64389512,121867.37299473946117
1659013200,2022-07-28 13:00:00,XLM/USDT,0.11149,0.113055,0.1108,0.111184,1594399.24142276,178463.76836277396982
1659009600,2022-07-28 12:00:00,XLM/USDT,0.112721,0.112817,0.109827,0.111478,1975292.94270043,220349.17947809582122
1659006000,2022-07-28 11:00:00,XLM/USDT,0.112049,0.11286,0.112049,0.11269,592631.15826757,66717.19607881011833
1659002400,2022-07-28 10:00:00,XLM/USDT,0.111369,0.112555,0.111267,0.112022,636690.63861243,71259.68718337695679
1658998800,2022-07-28 09:00:00,XLM/USDT,0.111402,0.111734,0.110899,0.11136,513947.47906838,57172.36054916294204
1658995200,2022-07-28 08:00:00,XLM/USDT,0.11098,0.111492,0.110729,0.111413,789164.67122187,87665.11069891965209
1658991600,2022-07-28 07:00:00,XLM/USDT,0.112068,0.11209,0.110831,0.110988,886460.07416812,98734.36310373075251
1658988000,2022-07-28 06:00:00,XLM/USDT,0.112403,0.112543,0.11156,0.112069,542934.1913761,60796.70469402004284
1658984400,2022-07-28 05:00:00,XLM/USDT,0.111984,0.11256,0.1118,0.112425,485968.20419026,54551.14601341718267
1658980800,2022-07-28 04:00:00,XLM/USDT,0.112025,0.112552,0.111808,0.11199,660779.59852756,74142.7118388358838
1658977200,2022-07-28 03:00:00,XLM/USDT,0.11265,0.113231,0.111986,0.112009,678064.50684271,76376.85035570244522
1658973600,2022-07-28 02:00:00,XLM/USDT,0.111421,0.11319,0.111104,0.112628,1102674.16592657,123862.5487254238802
1658970000,2022-07-28 01:00:00,XLM/USDT,0.111578,0.111705,0.110771,0.111402,879368.7390422,97833.74201287748002
1658966400,2022-07-28 00:00:00,XLM/USDT,0.11256,0.11274,0.11122,0.111544,989884.48325774,110692.04939367460104
1658962800,2022-07-27 23:00:00,XLM/USDT,0.111939,0.11262,0.11163,0.112556,1011260.99126548,113229.23100521975108
1658959200,2022-07-27 22:00:00,XLM/USDT,0.110282,0.11273,0.110149,0.111928,1892603.21611851,211263.76425711767405
1658955600,2022-07-27 21:00:00,XLM/USDT,0.110344,0.11059,0.10966,0.110348,603304.24805083,66448.316493548225
1658952000,2022-07-27 20:00:00,XLM/USDT,0.109822,0.11084,0.109822,0.110344,1760114.38549256,194487.45686626090172
1658948400,2022-07-27 19:00:00,XLM/USDT,0.109454,0.11061,0.10942,0.109798,2550551.36021907,280357.28214362604544
1658944800,2022-07-27 18:00:00,XLM/USDT,0.106147,0.10962,0.106147,0.109394,4868169.61496858,526098.34857677168167
1658941200,2022-07-27 17:00:00,XLM/USDT,0.105802,0.10667,0.105546,0.106168,1607174.88308392,170488.24224372359158
1658937600,2022-07-27 16:00:00,XLM/USDT,0.106817,0.107,0.105451,0.105844,4019558.10237739,429392.71596154608714
