https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUA,Volume USDT
1660867200000.0,2022-08-19 00:00:00,LUA/USDT,0.01425,0.01425,0.013,0.01325,133207.3283018868,1764.9971
1660780800000.0,2022-08-18 00:00:00,LUA/USDT,0.01475,0.01475,0.014,0.01425,57654.57192982455,821.57765
1660694400000.0,2022-08-17 00:00:00,LUA/USDT,0.015,0.015,0.0145,0.01475,5425.428813559322,80.025075
1660608000000.0,2022-08-16 00:00:00,LUA/USDT,0.01475,0.015,0.0145,0.015,3062.24,45.9336
1660521600000.0,2022-08-15 00:00:00,LUA/USDT,0.01475,0.01525,0.0145,0.01475,93077.83389830509,1372.89805
1660435200000.0,2022-08-14 00:00:00,LUA/USDT,0.01525,0.01525,0.01475,0.01475,12241.7,180.565075
1660348800000.0,2022-08-13 00:00:00,LUA/USDT,0.01525,0.01625,0.015,0.01525,34954.42131147541,533.054925
1660262400000.0,2022-08-12 00:00:00,LUA/USDT,0.0155,0.01625,0.01475,0.01525,134043.9786885246,2044.170675
1660176000000.0,2022-08-11 00:00:00,LUA/USDT,0.015,0.0165,0.01425,0.0155,377832.0725806452,5856.397125
1660089600000.0,2022-08-10 00:00:00,LUA/USDT,0.0155,0.0155,0.014,0.015,193409.085,2901.136275
1660003200000.0,2022-08-09 00:00:00,LUA/USDT,0.01525,0.01575,0.01425,0.0155,276001.05967741937,4278.016425
1659916800000.0,2022-08-08 00:00:00,LUA/USDT,0.01525,0.01525,0.01525,0.01525,21.0,0.32025
1659830400000.0,2022-08-07 00:00:00,LUA/USDT,0.0155,0.0155,0.015,0.01525,8503.203278688525,129.67385
1659744000000.0,2022-08-06 00:00:00,LUA/USDT,0.015,0.0155,0.01475,0.0155,56198.506451612906,871.07685
1659657600000.0,2022-08-05 00:00:00,LUA/USDT,0.01475,0.015,0.01475,0.015,12421.138333333332,186.317075
1659571200000.0,2022-08-04 00:00:00,LUA/USDT,0.01525,0.0155,0.01425,0.01475,182808.68305084747,2696.428075
1659484800000.0,2022-08-03 00:00:00,LUA/USDT,0.01425,0.0155,0.014,0.01525,93119.92786885246,1420.0789
1659398400000.0,2022-08-02 00:00:00,LUA/USDT,0.01525,0.01525,0.014,0.01425,333340.60701754387,4750.10365
1659312000000.0,2022-08-01 00:00:00,LUA/USDT,0.015,0.01525,0.015,0.01525,914.0344262295083,13.939025
1659225600000.0,2022-07-31 00:00:00,LUA/USDT,0.01475,0.01525,0.0145,0.015,25449.591666666667,381.743875
1659139200000.0,2022-07-30 00:00:00,LUA/USDT,0.01525,0.01575,0.01475,0.01475,223457.1406779661,3295.992825
1659052800000.0,2022-07-29 00:00:00,LUA/USDT,0.015,0.01525,0.01475,0.01525,11779.449180327869,179.6366
1658966400000.0,2022-07-28 00:00:00,LUA/USDT,0.01475,0.015,0.0145,0.015,13863.975,207.959625
1658880000000.0,2022-07-27 00:00:00,LUA/USDT,0.01425,0.01475,0.01375,0.01475,31348.16271186441,462.3854
1658793600000.0,2022-07-26 00:00:00,LUA/USDT,0.0145,0.0145,0.01375,0.01425,93684.3298245614,1335.0017
1658707200000.0,2022-07-25 00:00:00,LUA/USDT,0.01525,0.01525,0.0145,0.0145,128854.32931034481,1868.387775
1658620800000.0,2022-07-24 00:00:00,LUA/USDT,0.015,0.01525,0.015,0.01525,852.6295081967213,13.0026
1658534400000.0,2022-07-23 00:00:00,LUA/USDT,0.015,0.0155,0.015,0.015,8487.931666666667,127.318975
1658448000000.0,2022-07-22 00:00:00,LUA/USDT,0.01525,0.01525,0.015,0.015,19472.40166666667,292.086025
1658361600000.0,2022-07-21 00:00:00,LUA/USDT,0.016,0.016,0.0145,0.01525,249370.24918032787,3802.8963
1658275200000.0,2022-07-20 00:00:00,LUA/USDT,0.0155,0.016,0.01525,0.016,28273.58125,452.3773
1658188800000.0,2022-07-19 00:00:00,LUA/USDT,0.0155,0.016,0.01525,0.0155,27871.300000000003,432.00515
1658102400000.0,2022-07-18 00:00:00,LUA/USDT,0.01475,0.0155,0.01475,0.0155,33343.63870967742,516.8264
1658016000000.0,2022-07-17 00:00:00,LUA/USDT,0.01425,0.015,0.014,0.01475,167996.96101694918,2477.955175
1657929600000.0,2022-07-16 00:00:00,LUA/USDT,0.01425,0.0145,0.013,0.01425,459953.5333333333,6554.33785
1657843200000.0,2022-07-15 00:00:00,LUA/USDT,0.01375,0.0145,0.01375,0.01425,29495.02456140351,420.3041
1657756800000.0,2022-07-14 00:00:00,LUA/USDT,0.013,0.01425,0.01275,0.01375,229135.93090909088,3150.61905
1657670400000.0,2022-07-13 00:00:00,LUA/USDT,0.0135,0.01375,0.01275,0.013,20176.940384615387,262.300225
1657584000000.0,2022-07-12 00:00:00,LUA/USDT,0.01375,0.01425,0.0135,0.0135,1721.651851851852,23.2423
1657497600000.0,2022-07-11 00:00:00,LUA/USDT,0.0145,0.0145,0.0135,0.01375,9567.174545454545,131.54865
1657411200000.0,2022-07-10 00:00:00,LUA/USDT,0.01425,0.0145,0.01425,0.0145,32.0551724137931,0.4648
1657324800000.0,2022-07-09 00:00:00,LUA/USDT,0.01425,0.0145,0.01425,0.01425,1492.6614035087719,21.270425
1657238400000.0,2022-07-08 00:00:00,LUA/USDT,0.0135,0.01425,0.0135,0.01425,55242.51228070175,787.2058
1657152000000.0,2022-07-07 00:00:00,LUA/USDT,0.014,0.014,0.0135,0.0135,26.14074074074074,0.3529
1657065600000.0,2022-07-06 00:00:00,LUA/USDT,0.014,0.014,0.0135,0.014,59.59285714285714,0.8343
1656979200000.0,2022-07-05 00:00:00,LUA/USDT,0.01375,0.014,0.0135,0.014,7908.9625,110.725475
1656892800000.0,2022-07-04 00:00:00,LUA/USDT,0.01425,0.01425,0.0135,0.01375,140204.84727272726,1927.81665
1656806400000.0,2022-07-03 00:00:00,LUA/USDT,0.01475,0.01475,0.01425,0.01425,74926.41403508771,1067.7014
1656720000000.0,2022-07-02 00:00:00,LUA/USDT,0.01425,0.01475,0.01375,0.01475,84300.64237288137,1243.434475
