https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUT,Volume BTC
1660521600000,2022-08-15 00:00:00,BTC/EUT,23734,24609,23413,23755,48929.44082925001,2.0597533500000003
1660435200000,2022-08-14 00:00:00,BTC/EUT,23834,24398,23589,23762,53808.97961496,2.26449708
1660348800000,2022-08-13 00:00:00,BTC/EUT,23804,24256,23715,23851,59870.26167926,2.51017826
1660262400000,2022-08-12 00:00:00,BTC/EUT,23240,23900,23003,23804,35214.06272736,1.47933384
1660176000000,2022-08-11 00:00:00,BTC/EUT,23284,24080,23162,23221,202502.54826461,8.72066441
1660089600000,2022-08-10 00:00:00,BTC/EUT,22669,23537,22279,23275,933228.25423625,40.09573595
1660003200000,2022-08-09 00:00:00,BTC/EUT,23352,23454,22383,22678,71638.03606414,3.15892213
1659916800000,2022-08-08 00:00:00,BTC/EUT,22813,23768,22809,23351,49372.700572,2.114372
1659830400000,2022-08-07 00:00:00,BTC/EUT,22541,23010,22463,22783,21630.35585693,0.94940771
1659744000000,2022-08-06 00:00:00,BTC/EUT,22877,22921,22529,22541,14419.06722839,0.63968179
1659657600000,2022-08-05 00:00:00,BTC/EUT,22094,22947,22078,22889,123095.58236847002,5.37793623
1659571200000,2022-08-04 00:00:00,BTC/EUT,22481,22821,21918,22104,107993.78755272,4.88571243
1659484800000,2022-08-03 00:00:00,BTC/EUT,22645,23216,22360,22493,62725.766643920004,2.78867944
1659398400000,2022-08-02 00:00:00,BTC/EUT,22729,23016,22181,22645,58894.137283100004,2.60075678
1659312000000,2022-08-01 00:00:00,BTC/EUT,22865,22934,22352,22729,59299.61711023,2.60898487
1659225600000,2022-07-31 00:00:00,BTC/EUT,23147,23664,22794,22865,72789.20606289999,3.18343346
1659139200000,2022-07-30 00:00:00,BTC/EUT,23260,24135,23058,23124,93649.286376,4.049874
1659052800000,2022-07-29 00:00:00,BTC/EUT,23400,23842,23057,23287,364391.11198809,15.64783407
1658966400000,2022-07-28 00:00:00,BTC/EUT,22520,23718,22300,23407,189503.81025678,8.09603154
1658880000000,2022-07-27 00:00:00,BTC/EUT,20989,22621,20767,22495,243501.76484425002,10.82470615
1658793600000,2022-07-26 00:00:00,BTC/EUT,20869,21037,20420,21001,58595.5999338,2.7901338
1658707200000,2022-07-25 00:00:00,BTC/EUT,22175,22234,20813,20869,107971.25023857,5.17376253
