https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUNA3L,Volume USDT
1650585600,2022-04-22 00:00:00,LUNA3L/USDT,1.8671,2.226,1.8557,2.0376,1431689.74657185,2918222.540319143023
1650499200,2022-04-21 00:00:00,LUNA3L/USDT,2.112,2.4219,1.8,1.872,1265372.2609415,2729621.585391345728
1650412800,2022-04-20 00:00:00,LUNA3L/USDT,2.1772,2.2885,2.014,2.1041,1301222.28981704,2791838.078096822857
1650326400,2022-04-19 00:00:00,LUNA3L/USDT,1.9063,2.2,1.7379,2.1772,1586381.13740611,3091492.280039582148
1650240000,2022-04-18 00:00:00,LUNA3L/USDT,1.2367,1.9183,1.15,1.9046,1971058.83418791,3010044.269653672679
1650153600,2022-04-17 00:00:00,LUNA3L/USDT,1.4336,1.515,1.2129,1.2392,767346.81243246,1080072.882448985184
1650067200,2022-04-16 00:00:00,LUNA3L/USDT,1.4006,1.47,1.3634,1.4278,527497.62895932,747603.275671625218
1649980800,2022-04-15 00:00:00,LUNA3L/USDT,1.4587,1.5297,1.3309,1.4007,833110.16548283,1200042.948524933374
1649894400,2022-04-14 00:00:00,LUNA3L/USDT,1.8714,1.9999,1.35,1.4589,1177227.48882009,1916475.323736346832
1649808000,2022-04-13 00:00:00,LUNA3L/USDT,1.6823,1.89,1.5736,1.877,960203.67480275,1687440.711589040543
1649721600,2022-04-12 00:00:00,LUNA3L/USDT,1.563,1.9194,1.48,1.6792,1128534.38555909,1890874.712244047721
1649635200,2022-04-11 00:00:00,LUNA3L/USDT,2.2476,2.2921,1.4371,1.5481,1461237.21744026,2672637.857515569672
1649548800,2022-04-10 00:00:00,LUNA3L/USDT,2.7465,2.7515,2.2198,2.2623,701589.246718,1758837.676880242159
1649462400,2022-04-09 00:00:00,LUNA3L/USDT,2.5074,2.7515,2.3238,2.7465,694072.58234613,1735053.789466496444
1649376000,2022-04-08 00:00:00,LUNA3L/USDT,3.4156,3.6842,2.397,2.5027,948125.16381988,2848602.988316417093
1649289600,2022-04-07 00:00:00,LUNA3L/USDT,3.8812,4.0338,3.098,3.4262,654103.55670574,2334186.487784966643
1649203200,2022-04-06 00:00:00,LUNA3L/USDT,4.8617,5.1,3.58,3.8992,854740.49193729,3662518.840570774938
1649116800,2022-04-05 00:00:00,LUNA3L/USDT,4.8861,5.2179,4.6022,4.8743,548329.17575253,2699774.797566285366
1649030400,2022-04-04 00:00:00,LUNA3L/USDT,4.5112,5,4.1,4.878,665128.81729268,3021819.815750262403
1648944000,2022-04-03 00:00:00,LUNA3L/USDT,4.7398,5.0928,4.4,4.5118,612521.00166489,2883067.392959585647
1648857600,2022-04-02 00:00:00,LUNA3L/USDT,3.8057,4.98,3.7798,4.7423,759825.79625267,3356338.136460544808
1648771200,2022-04-01 00:00:00,LUNA3L/USDT,3.5323,4,3.1132,3.8033,795554.11744363,2862199.862210001536
1648684800,2022-03-31 00:00:00,LUNA3L/USDT,3.845,4.1386,3.4134,3.5319,798430.58505139,3029926.233716899237
1648598400,2022-03-30 00:00:00,LUNA3L/USDT,4.177,4.4245,3.6099,3.8563,944467.36810774,3739478.27020935
1648512000,2022-03-29 00:00:00,LUNA3L/USDT,3.0421,4.2358,3.0381,4.1774,1379212.44446928,5203849.990469010047
1648425600,2022-03-28 00:00:00,LUNA3L/USDT,2.7958,3.4254,2.6602,3.0471,1167317.06180533,3517614.071466711183
1648339200,2022-03-27 00:00:00,LUNA3L/USDT,2.57,2.8251,2.4155,2.796,605851.08998125,1548226.852600662379
1648252800,2022-03-26 00:00:00,LUNA3L/USDT,2.4821,2.5979,2.4001,2.5665,591380.17465677,1474961.076699954364
1648166400,2022-03-25 00:00:00,LUNA3L/USDT,2.7693,2.8715,2.372,2.4843,834358.45147292,2218063.829677818725
1648080000,2022-03-24 00:00:00,LUNA3L/USDT,2.8992,2.9567,2.6117,2.7693,1023584.88732134,2876365.520960369986
1647993600,2022-03-23 00:00:00,LUNA3L/USDT,2.756,3.0478,2.6814,2.8988,1138074.48363476,3228926.531264116087
1647907200,2022-03-22 00:00:00,LUNA3L/USDT,2.9782,3.0686,2.66,2.7478,1104404.67967336,3113770.732790083373
1647820800,2022-03-21 00:00:00,LUNA3L/USDT,2.5424,3.1405,2.5232,2.9784,1638032.85291406,4741626.032266499561
1647734400,2022-03-20 00:00:00,LUNA3L/USDT,2.6627,2.8647,2.4757,2.5424,1357498.71650898,3576434.919566256336
1647648000,2022-03-19 00:00:00,LUNA3L/USDT,2.3788,2.771,2.2819,2.6707,1723748.28775629,4361120.700868126595
1647561600,2022-03-18 00:00:00,LUNA3L/USDT,2.2808,2.3935,1.9579,2.3788,1915088.45321092,4143009.465308958321
1647475200,2022-03-17 00:00:00,LUNA3L/USDT,2.4556,2.5368,2.25,2.2807,1510348.29214664,3592806.944387901336
1647388800,2022-03-16 00:00:00,LUNA3L/USDT,2.4122,2.5953,2.2203,2.4606,2210506.38922225,5340771.273190617513
1647302400,2022-03-15 00:00:00,LUNA3L/USDT,2.9699,3.0471,2.3568,2.405,2077218.25604227,5598690.16949456726
1647216000,2022-03-14 00:00:00,LUNA3L/USDT,2.3918,2.9723,2.33,2.963,2487159.43246465,6692131.779017269747
1647129600,2022-03-13 00:00:00,LUNA3L/USDT,2.2672,2.81,2.2,2.3989,1840441.08109445,4523268.554516498303
1647043200,2022-03-12 00:00:00,LUNA3L/USDT,2.4581,2.8327,2.22,2.2744,1389532.81885158,3582469.404431765198
1646956800,2022-03-11 00:00:00,LUNA3L/USDT,3.8116,3.8666,2.4117,2.4546,2631612.4260328,8320660.329621414783
1646870400,2022-03-10 00:00:00,LUNA3L/USDT,3.58,4.1164,2.8641,3.8,2313413.34690188,8030638.876964183016
1646784000,2022-03-09 00:00:00,LUNA3L/USDT,2.4017,4.1,2.3551,3.58,2667084.76043396,8976777.701020873553
1646697600,2022-03-08 00:00:00,LUNA3L/USDT,1.8719,2.5381,1.8395,2.4022,2070624.61852239,4490853.920078320207
1646611200,2022-03-07 00:00:00,LUNA3L/USDT,1.975,2.3449,1.7,1.8686,2215401.46715796,4489004.272059228618
1646524800,2022-03-06 00:00:00,LUNA3L/USDT,2.7516,2.8121,1.9228,1.9847,1822486.93088371,4300564.388984622017
1646438400,2022-03-05 00:00:00,LUNA3L/USDT,2.404,2.8565,2.1411,2.7516,1624103.14267024,4078137.604410593807
1646352000,2022-03-04 00:00:00,LUNA3L/USDT,3.1161,3.3671,2.3657,2.404,1701572.97408153,5042738.909248235697
1646265600,2022-03-03 00:00:00,LUNA3L/USDT,3.3009,3.5018,2.7016,3.1161,1462045.81650032,4615789.31969616511
1646179200,2022-03-02 00:00:00,LUNA3L/USDT,3.0413,3.72,2.8597,3.3115,1968717.18310855,6540365.367624541794
1646092800,2022-03-01 00:00:00,LUNA3L/USDT,3.1979,3.5912,2.6582,3.0408,2708728.23494195,8320143.532822344209
1646006400,2022-02-28 00:00:00,LUNA3L/USDT,1.8033,3.46,1.6526,3.1976,3176887.4614212,7306264.099114556444
1645920000,2022-02-27 00:00:00,LUNA3L/USDT,2.2461,2.3393,1.684,1.7928,3270192.69236024,6660919.355325223783
1645833600,2022-02-26 00:00:00,LUNA3L/USDT,1.8617,2.3754,1.8,2.2476,2830968.67211309,5789593.597925551083
1645747200,2022-02-25 00:00:00,LUNA3L/USDT,1.3762,1.89,1.2749,1.8618,4885023.78407801,7239237.334427697469
1645660800,2022-02-24 00:00:00,LUNA3L/USDT,1.2715,1.4028,0.7081,1.3764,8411868.70103636,8788167.493025137217
1645574400,2022-02-23 00:00:00,LUNA3L/USDT,1.0079,1.5539,0.9975,1.2679,4717952.8841661,5838732.900760300581
1645488000,2022-02-22 00:00:00,LUNA3L/USDT,0.7842,1.0527,0.7086,1.005,3486245.65509593,3039939.059872078358
1645401600,2022-02-21 00:00:00,LUNA3L/USDT,0.7576,0.9574,0.74,0.7866,3699769.86915388,3189900.815190007148
1645315200,2022-02-20 00:00:00,LUNA3L/USDT,0.8084,0.8219,0.6701,0.7577,2224164.68065116,1653484.431744577682
1645228800,2022-02-19 00:00:00,LUNA3L/USDT,0.8212,0.9236,0.7925,0.8103,2028610.72528593,1718910.296268570971
1645142400,2022-02-18 00:00:00,LUNA3L/USDT,0.807,0.89,0.7486,0.8226,2579331.40097415,2127429.906485701388
1645056000,2022-02-17 00:00:00,LUNA3L/USDT,1.1737,1.2267,0.8001,0.8063,2257885.89787972,2374050.91604471912
1644969600,2022-02-16 00:00:00,LUNA3L/USDT,1.2214,1.3077,1.1156,1.1741,2144767.93576581,2566699.255511815101
1644883200,2022-02-15 00:00:00,LUNA3L/USDT,1.0442,1.224,1.042,1.2197,2331819.47073813,2686747.529111577313
1644796800,2022-02-14 00:00:00,LUNA3L/USDT,0.931,1.0797,0.919,1.0428,2363951.18310055,2374586.465605811059
1644710400,2022-02-13 00:00:00,LUNA3L/USDT,0.953,1.0404,0.8879,0.9281,2001684.04579865,1957775.80052209523
1644624000,2022-02-12 00:00:00,LUNA3L/USDT,0.8633,1.0274,0.8163,0.9558,2508159.56055804,2324572.935139048802
1644537600,2022-02-11 00:00:00,LUNA3L/USDT,0.9693,1.1127,0.8367,0.8657,2928729.76146923,2964174.07492800868
1644451200,2022-02-10 00:00:00,LUNA3L/USDT,1.33,1.3349,0.9569,0.9693,3016402.49756006,3542717.97562042626
1644364800,2022-02-09 00:00:00,LUNA3L/USDT,1.3149,1.36,1.1161,1.3339,2297168.33988072,2897252.497394162443
1644278400,2022-02-08 00:00:00,LUNA3L/USDT,1.4699,1.514,1.1296,1.3143,2960224.08438805,3871183.814651405104
1644192000,2022-02-07 00:00:00,LUNA3L/USDT,1.264,1.5619,1.1535,1.467,3154993.49163535,4319426.857932814328
1644105600,2022-02-06 00:00:00,LUNA3L/USDT,1.2114,1.3372,1.0596,1.2637,1962330.11293969,2342207.419906580746
1644019200,2022-02-05 00:00:00,LUNA3L/USDT,1.1366,1.3853,1.1028,1.2117,3097245.20442855,3868911.787175485243
1643932800,2022-02-04 00:00:00,LUNA3L/USDT,0.9688,1.15,0.8605,1.1389,3521611.46999764,3484436.07704416997
1643846400,2022-02-03 00:00:00,LUNA3L/USDT,0.7972,0.9807,0.7417,0.9697,3255089.75110599,2765447.390572874114
1643760000,2022-02-02 00:00:00,LUNA3L/USDT,1.063,1.14,0.7813,0.7972,3037515.53652842,2936469.511623091034
1643673600,2022-02-01 00:00:00,LUNA3L/USDT,1.0614,1.189,0.9676,1.0631,2628548.2471766,2810816.471086175314
1643587200,2022-01-31 00:00:00,LUNA3L/USDT,0.768,1.0796,0.6373,1.0552,3637130.55272577,3118434.94714318543
1643500800,2022-01-30 00:00:00,LUNA3L/USDT,1.0418,1.0725,0.72,0.7657,2350470.99110132,2124671.846928952948
1643414400,2022-01-29 00:00:00,LUNA3L/USDT,1.0145,1.223,0.9954,1.0462,2600425.68860038,2856485.302426618347
1643328000,2022-01-28 00:00:00,LUNA3L/USDT,1.2882,1.3827,0.8222,1.0152,4014874.16412919,4133407.315040017158
1643241600,2022-01-27 00:00:00,LUNA3L/USDT,1.802,2.0508,1.056,1.2835,1782910.59685674,2840612.163125603174
1643155200,2022-01-26 00:00:00,LUNA3L/USDT,2.2434,2.6,1.7,1.8174,1357961.99808775,2989968.76614714297
1643068800,2022-01-25 00:00:00,LUNA3L/USDT,2.619,2.7333,2.11,2.2451,991479.77195914,2408455.656721037137
1642982400,2022-01-24 00:00:00,LUNA3L/USDT,3.4599,3.4599,1.95,2.619,1493435.51236009,3756872.60984802524
1642896000,2022-01-23 00:00:00,LUNA3L/USDT,2.6107,3.5275,2.6072,3.46,1314453.9062511,4105598.280450064536
1642809600,2022-01-22 00:00:00,LUNA3L/USDT,3.2219,3.4044,1.7,2.6098,1583115.97939485,3922931.108575267916
1642723200,2022-01-21 00:00:00,LUNA3L/USDT,6.025,6.8614,2.7082,3.2236,814769.48463993,3926719.307394767233
1642636800,2022-01-20 00:00:00,LUNA3L/USDT,7.0006,7.9174,5.7462,6.0257,326719.77370944,2288536.369240135079
1642550400,2022-01-19 00:00:00,LUNA3L/USDT,6.9012,7.1494,5.58,7.0016,367618.25134159,2404018.470719529797
1642464000,2022-01-18 00:00:00,LUNA3L/USDT,6.1163,7.1107,5.3,6.9002,329058.06514256,2021981.375305268373
1642377600,2022-01-17 00:00:00,LUNA3L/USDT,9.1408,9.199,5.758,6.0903,332845.43948037,2431441.875245629225
1642291200,2022-01-16 00:00:00,LUNA3L/USDT,9.2557,9.3058,8.2711,9.1442,227634.5340059,2003729.476300819933
1642204800,2022-01-15 00:00:00,LUNA3L/USDT,7.5912,9.433,7.3115,9.2387,271704.25018505,2276346.683296514152
1642118400,2022-01-14 00:00:00,LUNA3L/USDT,6.7655,7.99,6.3262,7.5735,270593.79599727,1951537.740458402563
1642032000,2022-01-13 00:00:00,LUNA3L/USDT,7.8495,8.46,6.67,6.7655,396417.04550281,3002083.409408082193
1641945600,2022-01-12 00:00:00,LUNA3L/USDT,5.8819,8.1808,5.6467,7.85,409293.62229447,2793620.704246704469
1641859200,2022-01-11 00:00:00,LUNA3L/USDT,4.9964,6.245,4.7589,5.9003,365505.04759745,2045932.836091272588
1641772800,2022-01-10 00:00:00,LUNA3L/USDT,6.2585,6.2586,4,4.994,560765.56375441,2880501.118009419845
1641686400,2022-01-09 00:00:00,LUNA3L/USDT,4.6818,6.6031,4.44,6.2782,467761.07673018,2686626.83716360446
1641600000,2022-01-08 00:00:00,LUNA3L/USDT,5.1189,5.834,3.6594,4.6807,399326.71986996,1913873.530038826106
1641513600,2022-01-07 00:00:00,LUNA3L/USDT,8.2493,8.3339,4.9062,5.1155,383590.55177465,2234822.078646208741
1641427200,2022-01-06 00:00:00,LUNA3L/USDT,8.2864,9.0087,6.9671,8.2786,243380.40071251,1943499.749325928836
1641340800,2022-01-05 00:00:00,LUNA3L/USDT,10.6508,11.5955,6.3072,8.3112,269371.88300395,2531632.740004117676
1641254400,2022-01-04 00:00:00,LUNA3L/USDT,12.438,12.7021,10.604,10.6524,203489.32388426,2410912.685262203327
1641168000,2022-01-03 00:00:00,LUNA3L/USDT,12.6292,14.5,12.347,12.426,189318.86934846,2562834.283566123943
1641081600,2022-01-02 00:00:00,LUNA3L/USDT,13.6089,13.8917,11.9864,12.5948,161861.1131132,2094148.178325884166
1640995200,2022-01-01 00:00:00,LUNA3L/USDT,11.2215,13.6293,11.1919,13.6293,219015.22147475,2740394.95897339525
1640908800,2021-12-31 00:00:00,LUNA3L/USDT,10.9293,13.3328,10.7255,11.2221,294718.20929005,3515726.893264393741
1640822400,2021-12-30 00:00:00,LUNA3L/USDT,10.7192,12.1651,9.623,10.9308,301275.61244597,3297003.377955990079
1640736000,2021-12-29 00:00:00,LUNA3L/USDT,11.2244,12.2402,10.1246,10.719,319151.14342875,3630846.228694817226
1640649600,2021-12-28 00:00:00,LUNA3L/USDT,13.7548,15.1009,10.4184,11.2351,369495.29556953,4771303.648157893546
