https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FORESTPLUS,Volume USDT
1657670400,2022-07-13 00:00:00,FORESTPLUS/USDT,0.0066371,0.0069531,0.006116,0.0064408,55690001.89679626,365238.37452150995385
1657584000,2022-07-12 00:00:00,FORESTPLUS/USDT,0.0066154,0.0067996,0.0065,0.0066369,51591051.64194188,341335.022325695688457
1657497600,2022-07-11 00:00:00,FORESTPLUS/USDT,0.0065841,0.007405,0.0064859,0.0066147,52165201.25847151,347181.117610942524765
1657411200,2022-07-10 00:00:00,FORESTPLUS/USDT,0.0068921,0.007017,0.0065274,0.0065892,52290084.95011239,352944.118118458223777
1657324800,2022-07-09 00:00:00,FORESTPLUS/USDT,0.0066641,0.0077007,0.0065,0.0068917,64511264.16581647,436606.109494575687176
1657238400,2022-07-08 00:00:00,FORESTPLUS/USDT,0.0072718,0.0092006,0.0064192,0.0066647,99189354.48301192,730444.015701387532759
1657152000,2022-07-07 00:00:00,FORESTPLUS/USDT,0.0068101,0.0075787,0.0064791,0.007247,69011032.63362338,470680.316629080021502
1657065600,2022-07-06 00:00:00,FORESTPLUS/USDT,0.0065444,0.0068869,0.0063362,0.0068105,54443310.09273545,356913.097224895341322
1656979200,2022-07-05 00:00:00,FORESTPLUS/USDT,0.0066014,0.00699,0.0063146,0.006544,56116954.49486051,367315.956090053305684
1656892800,2022-07-04 00:00:00,FORESTPLUS/USDT,0.0063523,0.0067425,0.0062272,0.0065992,60380034.16541275,387840.985834572345831
1656806400,2022-07-03 00:00:00,FORESTPLUS/USDT,0.006537,0.0066603,0.006294,0.0063521,56100955.16107829,363937.020406858581008
1656720000,2022-07-02 00:00:00,FORESTPLUS/USDT,0.0065817,0.0065835,0.0061928,0.0065374,68431330.30942736,436608.380493127995482
1656633600,2022-07-01 00:00:00,FORESTPLUS/USDT,0.0062235,0.0066406,0.0062234,0.0065821,62231367.6051047,403038.159345814330163
1656547200,2022-06-30 00:00:00,FORESTPLUS/USDT,0.0062531,0.0065701,0.0060894,0.0062374,70045024.28993494,439067.872644897863456
1656460800,2022-06-29 00:00:00,FORESTPLUS/USDT,0.0063652,0.007073,0.00577,0.0062527,82807793.0662508,518730.723748323675929
1656374400,2022-06-28 00:00:00,FORESTPLUS/USDT,0.0068232,0.0070991,0.0059883,0.0063648,82955261.15014653,550635.924980493435668
1656288000,2022-06-27 00:00:00,FORESTPLUS/USDT,0.0077551,0.0079999,0.0067968,0.0068174,110036632.75881229,826951.85948678188286
1656201600,2022-06-26 00:00:00,FORESTPLUS/USDT,0.0078113,0.0082,0.0075501,0.0077719,143945640.53761932,1119672.490517631651445
1656115200,2022-06-25 00:00:00,FORESTPLUS/USDT,0.007121,0.0079742,0.0070933,0.0078119,135992101.26260042,1030192.99498849251981
1656028800,2022-06-24 00:00:00,FORESTPLUS/USDT,0.0072693,0.0075,0.0068917,0.0071105,148323854.61740486,1052612.336117661572701
1655942400,2022-06-23 00:00:00,FORESTPLUS/USDT,0.0080382,0.0085584,0.00666,0.0072687,217301580.34953304,1538734.576366252435418
1655856000,2022-06-22 00:00:00,FORESTPLUS/USDT,0.0061774,0.0087005,0.006,0.0080793,252261590.82740552,1674702.356781141625896
1655769600,2022-06-21 00:00:00,FORESTPLUS/USDT,0.0062236,0.0066216,0.00602,0.006178,106497263.75494188,667118.060420631930829
1655683200,2022-06-20 00:00:00,FORESTPLUS/USDT,0.0062031,0.0068,0.0059874,0.0062205,84548251.02528597,525499.206548760545054
1655596800,2022-06-19 00:00:00,FORESTPLUS/USDT,0.0052247,0.0095338,0.0052002,0.0062025,144074400.67106676,949513.616277169461925
1655510400,2022-06-18 00:00:00,FORESTPLUS/USDT,0.0056337,0.00596,0.0052007,0.0052249,76980974.42170995,428747.476778642411878
1655424000,2022-06-17 00:00:00,FORESTPLUS/USDT,0.0057768,0.0063499,0.0055,0.0056334,72121955.83517685,423209.324245336040235
1655337600,2022-06-16 00:00:00,FORESTPLUS/USDT,0.0057864,0.00715,0.0054748,0.005771,80844643.60133497,472047.672681330991871
