https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GAL,Volume USDT
1657238400,2022-07-08 00:00:00,GAL/USDT,2.942,3.134,2.85,2.906,272741.82799893,810067.82000458534
1657152000,2022-07-07 00:00:00,GAL/USDT,2.877,3.028,2.824,2.937,146879.41077711,428603.8981941838
1657065600,2022-07-06 00:00:00,GAL/USDT,2.796,2.892,2.751,2.871,164736.61647772,464619.95998585361
1656979200,2022-07-05 00:00:00,GAL/USDT,2.921,2.974,2.715,2.794,195879.67105711,553902.97446329579
1656892800,2022-07-04 00:00:00,GAL/USDT,2.75,2.95,2.724,2.929,156261.96546411,441990.08462573485
1656806400,2022-07-03 00:00:00,GAL/USDT,2.732,2.779,2.68,2.745,187632.15811057,511674.62757571145
1656720000,2022-07-02 00:00:00,GAL/USDT,2.735,2.79,2.677,2.72,127211.21185647,347307.92341480933
1656633600,2022-07-01 00:00:00,GAL/USDT,2.789,2.906,2.672,2.731,261091.69541147,725795.93261031041
1656547200,2022-06-30 00:00:00,GAL/USDT,2.996,3.123,2.654,2.783,623403.51048989,1782997.15758126249
1656460800,2022-06-29 00:00:00,GAL/USDT,2.84,3.089,2.75,2.994,638111.71160623,1845069.21062933811
1656374400,2022-06-28 00:00:00,GAL/USDT,2.887,3.269,2.777,2.843,874378.56359841,2671383.67995817783
1656288000,2022-06-27 00:00:00,GAL/USDT,2.834,2.991,2.742,2.888,480682.40648888,1378374.89683260387
1656201600,2022-06-26 00:00:00,GAL/USDT,3.056,3.332,2.817,2.841,877657.45922425,2705751.477159682
1656115200,2022-06-25 00:00:00,GAL/USDT,2.963,3.096,2.791,3.054,713258.90833666,2106878.41424900357
1656028800,2022-06-24 00:00:00,GAL/USDT,2.812,3.084,2.76,2.961,462923.15288896,1357749.77609984589
1655942400,2022-06-23 00:00:00,GAL/USDT,2.581,2.886,2.558,2.806,517104.3566014,1426847.47120831698
1655856000,2022-06-22 00:00:00,GAL/USDT,2.756,2.788,2.563,2.57,631642.10758866,1687709.6118587478
1655769600,2022-06-21 00:00:00,GAL/USDT,2.72,3.02,2.649,2.748,670519.84890033,1903934.18545206575
1655683200,2022-06-20 00:00:00,GAL/USDT,2.77,2.95,2.592,2.723,304980.75529428,848403.32411588499
1655596800,2022-06-19 00:00:00,GAL/USDT,2.455,2.903,2.303,2.772,302606.22171256,781458.64002829641
1655510400,2022-06-18 00:00:00,GAL/USDT,2.722,2.766,2.228,2.462,576319.10756714,1394506.67496701422
1655424000,2022-06-17 00:00:00,GAL/USDT,2.671,2.816,2.642,2.716,139215.87420533,380504.34531340399
1655337600,2022-06-16 00:00:00,GAL/USDT,3.077,3.166,2.618,2.674,231740.06318596,657876.57334367923
1655251200,2022-06-15 00:00:00,GAL/USDT,2.978,3.116,2.623,3.074,522307.49817611,1471203.26353437498
1655164800,2022-06-14 00:00:00,GAL/USDT,3.112,3.209,2.807,2.976,713313.90311014,2174374.02403431387
1655078400,2022-06-13 00:00:00,GAL/USDT,2.942,3.38,2.59,3.119,2546220.90873455,7762840.38050023247
1654992000,2022-06-12 00:00:00,GAL/USDT,3.152,3.398,2.665,2.937,1005050.22645532,2995342.60162585014
1654905600,2022-06-11 00:00:00,GAL/USDT,3.456,3.646,3.016,3.152,499781.43574091,1649941.5157107322
1654819200,2022-06-10 00:00:00,GAL/USDT,3.914,3.995,3.4,3.445,753931.09275847,2758149.25592225778
1654732800,2022-06-09 00:00:00,GAL/USDT,4.039,4.099,3.807,3.915,312172.99458943,1223408.62804589873
1654646400,2022-06-08 00:00:00,GAL/USDT,4.173,4.33,4.029,4.036,312348.57348346,1307634.92279392984
1654560000,2022-06-07 00:00:00,GAL/USDT,4.478,4.484,4.033,4.16,365123.30487453,1527567.04667069322
1654473600,2022-06-06 00:00:00,GAL/USDT,4.36,4.702,4.32,4.495,129883.48208639,586251.84336399334
1654387200,2022-06-05 00:00:00,GAL/USDT,4.385,4.44,4.247,4.351,56810.56033285,247339.702105576
1654300800,2022-06-04 00:00:00,GAL/USDT,4.34,4.413,4.171,4.396,47107.5387532,202549.23953628858
1654214400,2022-06-03 00:00:00,GAL/USDT,4.61,4.644,4.238,4.366,92802.90413076,409733.37766335112
1654128000,2022-06-02 00:00:00,GAL/USDT,4.545,4.655,4.252,4.605,205542.62827431,922433.9071167679
1654041600,2022-06-01 00:00:00,GAL/USDT,4.914,5.086,4.293,4.545,407927.78923669,1917492.46580608908
1653955200,2022-05-31 00:00:00,GAL/USDT,5.199,5.626,4.699,4.912,364366.70753896,1846309.29655202907
1653868800,2022-05-30 00:00:00,GAL/USDT,4.687,5.4,4.548,5.191,335250.84981683,1700465.61816062886
1653782400,2022-05-29 00:00:00,GAL/USDT,4.639,4.895,4.255,4.703,275213.2222255,1271559.10523775843
1653696000,2022-05-28 00:00:00,GAL/USDT,4.493,4.834,4.462,4.637,172615.41421041,802090.79213641866
1653609600,2022-05-27 00:00:00,GAL/USDT,4.501,5.002,4.121,4.487,651634.43775677,2912667.70344810197
1653523200,2022-05-26 00:00:00,GAL/USDT,5.684,5.746,4.392,4.494,786916.28342065,3888011.0180741097
1653436800,2022-05-25 00:00:00,GAL/USDT,5.945,6.026,5.61,5.68,110419.15438732,635948.52187943747
1653350400,2022-05-24 00:00:00,GAL/USDT,5.815,6.072,5.449,5.934,229434.06207896,1326449.37092018847
1653264000,2022-05-23 00:00:00,GAL/USDT,7.041,7.145,5.642,5.814,521981.5811958,3321315.21538021632
1653177600,2022-05-22 00:00:00,GAL/USDT,5.942,7.18,5.813,7.023,519528.79094129,3429680.28103894243
1653091200,2022-05-21 00:00:00,GAL/USDT,5.69,6.318,5.459,5.944,431513.54892305,2589355.2414332099
1653004800,2022-05-20 00:00:00,GAL/USDT,6.271,6.392,5.381,5.667,436976.78951792,2542383.11133740537
1652918400,2022-05-19 00:00:00,GAL/USDT,5.32,6.447,4.98,6.267,506687.62024262,2913911.89445808149
1652832000,2022-05-18 00:00:00,GAL/USDT,6.4,6.758,5.201,5.296,449319.10048065,2683060.82938411175
1652745600,2022-05-17 00:00:00,GAL/USDT,5.905,6.865,5.83,6.402,536256.80548835,3432562.64483630474
1652659200,2022-05-16 00:00:00,GAL/USDT,7.19,7.427,5.763,5.888,587759.47893489,3736032.12374803781
1652572800,2022-05-15 00:00:00,GAL/USDT,6.866,7.44,6.108,7.213,700846.64395831,4743298.70599969969
1652486400,2022-05-14 00:00:00,GAL/USDT,6.905,7.564,5.082,6.856,919193.47040575,5660623.11088423086
1652400000,2022-05-13 00:00:00,GAL/USDT,4.848,8.134,4.595,6.926,1834345.61796195,12401822.79896122451
1652313600,2022-05-12 00:00:00,GAL/USDT,3.646,5.757,2.417,4.875,1410743.87017715,5840585.05514844411
1652227200,2022-05-11 00:00:00,GAL/USDT,6.201,6.54,2.177,3.661,2313861.72407887,9932762.77033437944
1652140800,2022-05-10 00:00:00,GAL/USDT,6.926,8.403,5.288,6.186,1786393.16734601,12456167.86392766498
1652054400,2022-05-09 00:00:00,GAL/USDT,9.995,12.074,6.784,6.926,1512650.32636636,13881384.02558916279
1651968000,2022-05-08 00:00:00,GAL/USDT,10.292,11.095,8.607,9.975,466463.01554583,4518684.81227979185
1651881600,2022-05-07 00:00:00,GAL/USDT,13.109,13.696,10.227,10.374,480479.46131214,5748225.30541518368
1651795200,2022-05-06 00:00:00,GAL/USDT,17.405,18.46,12.235,13.104,598350.17420623,8960180.30745377205
1651708800,2022-05-05 00:00:00,GAL/USDT,10,18.8,10,17.367,522868.05779855,8152118.3774314637
