https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETH
1561507200,2019-06-26 00:00:00,ETH/USD,307.0,351.91,305.09,329.57,1333478.99,4051.38
1561420800,2019-06-25 00:00:00,ETH/USD,304.43,307.01,302.48,307.0,796428.8,2610.22
1561334400,2019-06-24 00:00:00,ETH/USD,299.67,307.0,292.0,304.43,686360.28,2269.61
1561248000,2019-06-23 00:00:00,ETH/USD,299.99,310.0,297.57,299.67,920592.77,3043.84
1561161600,2019-06-22 00:00:00,ETH/USD,289.1,307.99,287.5,299.99,1238933.26,4155.91
1561075200,2019-06-21 00:00:00,ETH/USD,269.79,291.0,269.0,289.1,1117970.52,3950.99
1560988800,2019-06-20 00:00:00,ETH/USD,266.45,271.9,265.0,269.79,509434.22,1902.72
1560902400,2019-06-19 00:00:00,ETH/USD,262.24,267.81,262.15,266.45,470797.68,1772.35
1560816000,2019-06-18 00:00:00,ETH/USD,268.0,268.0,260.69,262.24,511259.72,1938.71
1560729600,2019-06-17 00:00:00,ETH/USD,263.92,268.5,262.5,268.0,514837.26,1937.64
1560643200,2019-06-16 00:00:00,ETH/USD,266.56,272.78,261.0,263.92,617193.45,2314.99
1560556800,2019-06-15 00:00:00,ETH/USD,263.15,270.0,260.0,266.56,578014.91,2184.32
1560470400,2019-06-14 00:00:00,ETH/USD,253.56,263.75,251.96,263.15,588772.1,2297.62
1560384000,2019-06-13 00:00:00,ETH/USD,261.5,262.14,253.5,253.56,465876.74,1803.75
1560297600,2019-06-12 00:00:00,ETH/USD,245.14,261.5,243.77,261.5,715860.8,2848.68
1560211200,2019-06-11 00:00:00,ETH/USD,246.23,247.54,238.0,245.14,575284.53,2367.61
1560124800,2019-06-10 00:00:00,ETH/USD,232.42,246.59,229.22,246.23,598099.92,2493.87
1560038400,2019-06-09 00:00:00,ETH/USD,245.29,246.0,229.45,232.42,618157.12,2588.8
1559952000,2019-06-08 00:00:00,ETH/USD,251.4,251.4,243.44,245.29,506543.13,2049.95
1559865600,2019-06-07 00:00:00,ETH/USD,249.23,253.77,244.01,251.4,641147.62,2575.59
