https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ADA
1595980800,2020-07-29 00:00:00,ADA/BTC,1.363e-05,1.374e-05,1.23e-05,1.26e-05,6.298,486941.28
1595894400,2020-07-28 00:00:00,ADA/BTC,1.257e-05,1.381e-05,1.212e-05,1.363e-05,6.16,477030.86
1595808000,2020-07-27 00:00:00,ADA/BTC,1.494e-05,1.507e-05,1.204e-05,1.257e-05,13.37,1007202.4
1595721600,2020-07-26 00:00:00,ADA/BTC,1.478e-05,1.597e-05,1.415e-05,1.494e-05,16.82,1121002.96
1595635200,2020-07-25 00:00:00,ADA/BTC,1.28e-05,1.493e-05,1.28e-05,1.478e-05,10.69,770902.04
1595548800,2020-07-24 00:00:00,ADA/BTC,1.294e-05,1.299e-05,1.261e-05,1.28e-05,4.636,361135.79
1595462400,2020-07-23 00:00:00,ADA/BTC,1.302e-05,1.322e-05,1.292e-05,1.294e-05,4.223,322737.64
1595376000,2020-07-22 00:00:00,ADA/BTC,1.312e-05,1.314e-05,1.291e-05,1.302e-05,4.801,369192.79
1595289600,2020-07-21 00:00:00,ADA/BTC,1.288e-05,1.329e-05,1.279e-05,1.312e-05,6.209,474034.14
1595203200,2020-07-20 00:00:00,ADA/BTC,1.346e-05,1.35e-05,1.266e-05,1.288e-05,4.561,344163.85
1595116800,2020-07-19 00:00:00,ADA/BTC,1.339e-05,1.363e-05,1.329e-05,1.346e-05,4.628,344488.44
1595030400,2020-07-18 00:00:00,ADA/BTC,1.34e-05,1.355e-05,1.306e-05,1.339e-05,4.543,340825.81
1594944000,2020-07-17 00:00:00,ADA/BTC,1.38e-05,1.387e-05,1.338e-05,1.34e-05,5.187,381827.51
1594857600,2020-07-16 00:00:00,ADA/BTC,1.422e-05,1.44e-05,1.32e-05,1.38e-05,7.397,537801.13
1594771200,2020-07-15 00:00:00,ADA/BTC,1.426e-05,1.442e-05,1.384e-05,1.422e-05,5.809,411264.96
1594684800,2020-07-14 00:00:00,ADA/BTC,1.346e-05,1.461e-05,1.326e-05,1.426e-05,8.501,614189.3
1594598400,2020-07-13 00:00:00,ADA/BTC,1.367e-05,1.455e-05,1.319e-05,1.346e-05,8.136,577525.14
1594512000,2020-07-12 00:00:00,ADA/BTC,1.355e-05,1.379e-05,1.313e-05,1.367e-05,6.596,492378.47
1594425600,2020-07-11 00:00:00,ADA/BTC,1.278e-05,1.381e-05,1.272e-05,1.355e-05,6.658,503591.25
1594339200,2020-07-10 00:00:00,ADA/BTC,1.341e-05,1.345e-05,1.206e-05,1.278e-05,7.432,585234.64
1594252800,2020-07-09 00:00:00,ADA/BTC,1.386e-05,1.386e-05,1.268e-05,1.341e-05,7.717,584317.66
1594166400,2020-07-08 00:00:00,ADA/BTC,1.275e-05,1.485e-05,1.249e-05,1.386e-05,15.87,1139122.43
