https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SDN,Volume USDT
1659916800,2022-08-08 00:00:00,SDN/USDT,0.3728,0.3921,0.3669,0.3747,60047.1299,22566.28283263
1659830400,2022-08-07 00:00:00,SDN/USDT,0.3685,0.379,0.3591,0.3708,86512.6624,32038.5420222
1659744000,2022-08-06 00:00:00,SDN/USDT,0.3512,0.3857,0.346,0.3681,173554.873,64087.44955443
1659657600,2022-08-05 00:00:00,SDN/USDT,0.3409,0.3632,0.3405,0.3518,45927.7493,16075.32259744
1659571200,2022-08-04 00:00:00,SDN/USDT,0.33,0.3476,0.3233,0.3383,82128.4787,27592.08060333
1659484800,2022-08-03 00:00:00,SDN/USDT,0.33,0.3485,0.3181,0.33,39878.7269,13373.49975942
1659398400,2022-08-02 00:00:00,SDN/USDT,0.3426,0.3426,0.317,0.3314,37030.1151,12083.78271282
1659312000,2022-08-01 00:00:00,SDN/USDT,0.3435,0.3719,0.3329,0.3404,61408.6017,21116.54164022
1659225600,2022-07-31 00:00:00,SDN/USDT,0.3288,0.364,0.3273,0.3441,71445.6537,24772.78602433
1659139200,2022-07-30 00:00:00,SDN/USDT,0.3389,0.3542,0.3273,0.3286,104681.8974,35962.186089
1659052800,2022-07-29 00:00:00,SDN/USDT,0.3367,0.351,0.3155,0.3389,119301.0396,39317.06891766
1658966400,2022-07-28 00:00:00,SDN/USDT,0.3312,0.3429,0.322,0.3359,94240.8977,31288.05536018
1658880000,2022-07-27 00:00:00,SDN/USDT,0.313,0.3573,0.3041,0.3314,97777.5513,31459.55370766
1658793600,2022-07-26 00:00:00,SDN/USDT,0.3014,0.3154,0.2932,0.3154,95461.3532,28787.51754453
1658707200,2022-07-25 00:00:00,SDN/USDT,0.3201,0.3261,0.3009,0.3028,46040.8701,14356.7175527
1658620800,2022-07-24 00:00:00,SDN/USDT,0.315,0.3299,0.312,0.3184,42401.05,13633.67798345
1658534400,2022-07-23 00:00:00,SDN/USDT,0.32,0.3281,0.3081,0.317,31279.0331167,9896.92576058205
1658448000,2022-07-22 00:00:00,SDN/USDT,0.3338,0.3498,0.312,0.3211,122873.6623,41064.89762315
1658361600,2022-07-21 00:00:00,SDN/USDT,0.33,0.3439,0.3132,0.3329,152123.236,49824.5488851
1658275200,2022-07-20 00:00:00,SDN/USDT,0.358,0.39,0.328,0.33,221073.51981396,78711.016915567408
1658188800,2022-07-19 00:00:00,SDN/USDT,0.316,0.3929,0.3088,0.3561,446061.17622308,155860.744621964672
1658102400,2022-07-18 00:00:00,SDN/USDT,0.2997,0.3448,0.2974,0.3166,96476.85227145,30397.548560595773
1658016000,2022-07-17 00:00:00,SDN/USDT,0.3107,0.3176,0.2911,0.2974,60691.55833197,18544.666366569377
1657929600,2022-07-16 00:00:00,SDN/USDT,0.301,0.3128,0.2922,0.3117,86099.40539573,26067.927210741469
1657843200,2022-07-15 00:00:00,SDN/USDT,0.3072,0.3218,0.297,0.302,40066.79076655,12370.726016893985
1657756800,2022-07-14 00:00:00,SDN/USDT,0.3093,0.3106,0.2887,0.307,46178.37286044,13714.301313354369
1657670400,2022-07-13 00:00:00,SDN/USDT,0.2886,0.3108,0.2816,0.3085,137728.6719575,41400.657082211194
1657584000,2022-07-12 00:00:00,SDN/USDT,0.286,0.2988,0.2814,0.2888,56795.97582912,16476.169465701418
1657497600,2022-07-11 00:00:00,SDN/USDT,0.31,0.3165,0.2861,0.2861,48115.93701924,14284.956844329368
1657411200,2022-07-10 00:00:00,SDN/USDT,0.3257,0.3257,0.3001,0.3105,41708.23886012,12970.703423900038
1657324800,2022-07-09 00:00:00,SDN/USDT,0.3173,0.3291,0.317,0.3237,37940.99830158,12305.075737448662
1657238400,2022-07-08 00:00:00,SDN/USDT,0.3249,0.3343,0.314,0.3195,52061.54412658,16741.008179653983
1657152000,2022-07-07 00:00:00,SDN/USDT,0.3151,0.335,0.3125,0.3248,87901.78818247,28225.874030844609
1657065600,2022-07-06 00:00:00,SDN/USDT,0.3052,0.3208,0.2992,0.3151,54968.10818187,16944.814093703518
