https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume EUR,tradecount
1643414400000,2022-01-29 00:00:00,ETH/EUR,2288.10000000,2372.50000000,2265.65000000,2341.18000000,18832.72340000,43563774.74731200,59847
1643328000000,2022-01-28 00:00:00,ETH/EUR,2177.29000000,2298.93000000,2119.86000000,2288.32000000,28400.66240000,62053026.26772800,84151
1643241600000,2022-01-27 00:00:00,ETH/EUR,2194.84000000,2262.26000000,2081.51000000,2176.33000000,32964.44540000,71450305.64829500,91861
1643155200000,2022-01-26 00:00:00,ETH/EUR,2178.30000000,2414.00000000,2139.98000000,2195.26000000,41430.19430000,93666721.52209300,109685
1643068800000,2022-01-25 00:00:00,ETH/EUR,2159.20000000,2222.83000000,2080.76000000,2178.38000000,26889.82020000,57895077.01538100,75235
1642982400000,2022-01-24 00:00:00,ETH/EUR,2244.81000000,2244.81000000,1911.17000000,2158.37000000,66099.92550000,135196013.69501570,153053
1642896000000,2022-01-23 00:00:00,ETH/EUR,2134.35000000,2258.69000000,2097.67000000,2244.53000000,38240.17250000,83310602.40545800,99992
1642809600000,2022-01-22 00:00:00,ETH/EUR,2270.15000000,2319.70000000,2030.40000000,2134.32000000,60406.36626000,130484877.22408960,138919
1642723200000,2022-01-21 00:00:00,ETH/EUR,2656.76000000,2683.58000000,2178.40000000,2271.21000000,50633.23350000,124069416.17239980,132927
1642636800000,2022-01-20 00:00:00,ETH/EUR,2723.50000000,2885.82000000,2645.30000000,2658.00000000,20358.96850000,56688259.47154100,68630
1642550400000,2022-01-19 00:00:00,ETH/EUR,2792.86000000,2806.47000000,2691.00000000,2723.19000000,23018.67900000,63199895.94709500,62976
1642464000000,2022-01-18 00:00:00,ETH/EUR,2818.84000000,2845.70000000,2724.27000000,2793.03000000,22269.47960000,61807458.01193900,64023
1642377600000,2022-01-17 00:00:00,ETH/EUR,2936.70000000,2945.50000000,2762.33000000,2819.32000000,17510.94810000,49921152.50258200,55809
1642291200000,2022-01-16 00:00:00,ETH/EUR,2919.35000000,2976.43000000,2874.39000000,2935.93000000,8868.56010000,25924942.74814400,36683
1642204800000,2022-01-15 00:00:00,ETH/EUR,2902.84000000,2961.37000000,2864.67000000,2919.75000000,9515.86770000,27762736.39843900,36010
1642118400000,2022-01-14 00:00:00,ETH/EUR,2832.13000000,2932.15000000,2785.83000000,2903.44000000,16283.43600000,46475985.12628900,59014
1642032000000,2022-01-13 00:00:00,ETH/EUR,2953.55000000,2974.52000000,2823.26000000,2832.00000000,18157.07390000,52692502.21671500,62410
1641945600000,2022-01-12 00:00:00,ETH/EUR,2854.31000000,2985.95000000,2823.00000000,2954.59000000,22259.73140000,64735304.46970600,67480
1641859200000,2022-01-11 00:00:00,ETH/EUR,2723.58000000,2875.00000000,2695.81000000,2854.80000000,17244.60340000,47950830.44491600,55937
1641772800000,2022-01-10 00:00:00,ETH/EUR,2780.67000000,2805.59000000,2596.48000000,2724.00000000,30525.54920000,82536567.13951100,78753
1641686400000,2022-01-09 00:00:00,ETH/EUR,2717.88000000,2834.45000000,2697.30000000,2780.66000000,17481.77700000,48354320.20162600,54967
1641600000000,2022-01-08 00:00:00,ETH/EUR,2819.05000000,2865.36000000,2646.00000000,2717.66000000,25682.66730000,70949593.23950400,88676
1641513600000,2022-01-07 00:00:00,ETH/EUR,3018.93000000,3027.67000000,2705.97000000,2818.97000000,40856.20310000,115953036.45296400,128373
1641427200000,2022-01-06 00:00:00,ETH/EUR,3135.65000000,3145.85000000,2922.00000000,3019.23000000,28640.94810000,86645255.68016900,92012
1641340800000,2022-01-05 00:00:00,ETH/EUR,3356.89000000,3405.00000000,3028.88000000,3135.67000000,24881.36430000,81089092.02935500,79095
1641254400000,2022-01-04 00:00:00,ETH/EUR,3332.46000000,3447.86000000,3286.64000000,3356.89000000,15329.84760000,51723295.09698600,51863
1641168000000,2022-01-03 00:00:00,ETH/EUR,3370.45000000,3398.13000000,3261.51000000,3332.50000000,13218.55740000,44143931.72346700,44650
1641081600000,2022-01-02 00:00:00,ETH/EUR,3318.20000000,3394.11000000,3276.75000000,3370.05000000,8893.22190000,29637640.79053800,33579
1640995200000,2022-01-01 00:00:00,ETH/EUR,3232.65000000,3327.40000000,3232.65000000,3318.37000000,9722.47630000,31931902.19331100,32537
1640908800000,2021-12-31 00:00:00,ETH/EUR,3278.86000000,3372.15000000,3184.31000000,3232.65000000,16174.26210000,53346401.36528900,52603
1640822400000,2021-12-30 00:00:00,ETH/EUR,3199.25000000,3331.38000000,3161.22000000,3278.97000000,18262.02640000,59697626.13584700,105835
1640736000000,2021-12-29 00:00:00,ETH/EUR,3358.31000000,3389.50000000,3178.71000000,3199.31000000,20081.18000000,66455004.72110700,83198
1640649600000,2021-12-28 00:00:00,ETH/EUR,3566.91000000,3566.91000000,3327.73000000,3358.08000000,21720.31330000,74692345.73087000,72638
1640563200000,2021-12-27 00:00:00,ETH/EUR,3594.71000000,3646.67000000,3562.01000000,3568.17000000,10040.00820000,36174718.45572300,43961
1640476800000,2021-12-26 00:00:00,ETH/EUR,3628.00000000,3634.79000000,3549.00000000,3594.61000000,10806.81060000,38773602.11620800,35930
1640390400000,2021-12-25 00:00:00,ETH/EUR,3582.26000000,3665.17000000,3558.30000000,3627.62000000,10747.55660000,38772675.59919000,37824
