https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ARRR,Volume BTC
1654473600,2022-06-06 00:00:00,ARRR/BTC,0.00002299,0.00002321,0.0000206,0.00002078,74660.05118571,1.634548893085115
1654387200,2022-06-05 00:00:00,ARRR/BTC,0.00002193,0.00002363,0.00002178,0.00002297,52655.08242282,1.1985053816607767
1654300800,2022-06-04 00:00:00,ARRR/BTC,0.00002196,0.00002226,0.00002176,0.0000219,20509.2802,0.451415805658
1654214400,2022-06-03 00:00:00,ARRR/BTC,0.00002085,0.00002214,0.00002084,0.00002202,33891.72398315,0.732697386328903
1654128000,2022-06-02 00:00:00,ARRR/BTC,0.00002133,0.000022,0.00002069,0.00002085,41578.84158385,0.8806762385260747
1654041600,2022-06-01 00:00:00,ARRR/BTC,0.00002124,0.000022,0.00002072,0.00002136,73035.5525582,1.548864278189263
1653955200,2022-05-31 00:00:00,ARRR/BTC,0.00002201,0.00002214,0.000021,0.00002139,47543.60809863,1.0208608254475099
1653868800,2022-05-30 00:00:00,ARRR/BTC,0.00002227,0.00002322,0.00002162,0.0000219,65744.0218518,1.465053134195167
1653782400,2022-05-29 00:00:00,ARRR/BTC,0.00002183,0.00002264,0.00002171,0.00002229,35828.67797866,0.794372323196077
1653696000,2022-05-28 00:00:00,ARRR/BTC,0.00002129,0.00002194,0.00002092,0.00002183,39381.80515347,0.8415382360357962
1653609600,2022-05-27 00:00:00,ARRR/BTC,0.00002224,0.00002303,0.00002011,0.00002144,102628.43665627,2.1784057129470131
1653523200,2022-05-26 00:00:00,ARRR/BTC,0.00002227,0.000025,0.00002136,0.00002237,129598.71892276,2.9151865346584887
1653436800,2022-05-25 00:00:00,ARRR/BTC,0.00002225,0.00002302,0.00002192,0.00002214,43698.09885328,0.9726493680876538
1653350400,2022-05-24 00:00:00,ARRR/BTC,0.00002349,0.00002357,0.00002172,0.00002236,74532.4667791,1.691030202922313
1653264000,2022-05-23 00:00:00,ARRR/BTC,0.00002421,0.0000246,0.00002331,0.00002338,80543.1772082,1.9217386849254645
1653177600,2022-05-22 00:00:00,ARRR/BTC,0.00002377,0.00002656,0.00002349,0.00002425,58509.92271329,1.4167225277834149
1653091200,2022-05-21 00:00:00,ARRR/BTC,0.0000247,0.00002502,0.0000232,0.00002368,79990.0014981,1.910478264152575
1653004800,2022-05-20 00:00:00,ARRR/BTC,0.00002661,0.00002778,0.00002406,0.00002476,136162.04361248,3.516510008684308
1652918400,2022-05-19 00:00:00,ARRR/BTC,0.00002913,0.00002941,0.00002638,0.00002647,64829.66375583,1.7852460082511257
1652832000,2022-05-18 00:00:00,ARRR/BTC,0.00002978,0.0000335,0.00002874,0.00002944,59800.94372185,1.8249436606305284
1652745600,2022-05-17 00:00:00,ARRR/BTC,0.0000294,0.00003203,0.00002872,0.00002997,52517.34121594,1.5597473584107819
1652659200,2022-05-16 00:00:00,ARRR/BTC,0.00002805,0.0000319,0.00002805,0.00002966,46503.91112823,1.3794396406760872
1652572800,2022-05-15 00:00:00,ARRR/BTC,0.000028,0.00002848,0.00002701,0.000028,95380.00322199,2.6574265965607661
1652486400,2022-05-14 00:00:00,ARRR/BTC,0.00003031,0.00003037,0.00002733,0.000028,47621.51549996,1.3741237985178628
1652400000,2022-05-13 00:00:00,ARRR/BTC,0.00002732,0.00003114,0.00002693,0.00003041,87108.41592452,2.5045830928364399
1652313600,2022-05-12 00:00:00,ARRR/BTC,0.00002891,0.0000311,0.0000265,0.00002778,193671.49123424,5.5427769045852603
1652227200,2022-05-11 00:00:00,ARRR/BTC,0.00003748,0.00003794,0.000022,0.0000289,374525.35335523,11.2675264307654154
1652140800,2022-05-10 00:00:00,ARRR/BTC,0.00004046,0.000041,0.00003688,0.00003756,60485.47293418,2.3131297633459856
1652054400,2022-05-09 00:00:00,ARRR/BTC,0.00003794,0.00004068,0.00003755,0.00004068,80072.84053604,3.1549915383254351
1651968000,2022-05-08 00:00:00,ARRR/BTC,0.00003498,0.00003847,0.00003475,0.00003804,54372.9811,1.994391094136216
1651881600,2022-05-07 00:00:00,ARRR/BTC,0.00003532,0.00003625,0.0000347,0.0000347,26711.28768135,0.9446233162308036
1651795200,2022-05-06 00:00:00,ARRR/BTC,0.00003515,0.00003581,0.0000344,0.00003512,40576.51046907,1.41650489350778
1651708800,2022-05-05 00:00:00,ARRR/BTC,0.00003342,0.00003828,0.00003311,0.00003515,146315.68203756,5.2781486365505981
1651622400,2022-05-04 00:00:00,ARRR/BTC,0.00003223,0.00003464,0.00003216,0.00003336,93305.44918084,3.0809875413574509
1651536000,2022-05-03 00:00:00,ARRR/BTC,0.00003172,0.00003248,0.00003082,0.00003229,110016.23135291,3.4827123273762821
1651449600,2022-05-02 00:00:00,ARRR/BTC,0.0000346,0.0000347,0.00003131,0.00003172,184093.12807544,6.0135645769901805
1651363200,2022-05-01 00:00:00,ARRR/BTC,0.00003778,0.00003803,0.00003456,0.00003461,101449.05527032,3.6440321045679922
1651276800,2022-04-30 00:00:00,ARRR/BTC,0.00003974,0.00003998,0.00003705,0.00003778,80459.84648454,3.105159632235372
1651190400,2022-04-29 00:00:00,ARRR/BTC,0.00004,0.00004056,0.00003915,0.00003975,120530.98541891,4.8056892946780108
1651104000,2022-04-28 00:00:00,ARRR/BTC,0.00004,0.0000413,0.00003971,0.00004,125383.05678307,5.0503254382941311
1651017600,2022-04-27 00:00:00,ARRR/BTC,0.00004071,0.00004324,0.00003934,0.00004001,87299.70297432,3.5671521382247816
1650931200,2022-04-26 00:00:00,ARRR/BTC,0.00004191,0.00004241,0.00004057,0.0000406,68621.82530242,2.8496477506605767
1650844800,2022-04-25 00:00:00,ARRR/BTC,0.00004231,0.00004366,0.00004086,0.0000417,45559.75384769,1.9229533860026213
1650758400,2022-04-24 00:00:00,ARRR/BTC,0.00004304,0.00004346,0.00004177,0.00004258,25216.15233878,1.071681193686325
1650672000,2022-04-23 00:00:00,ARRR/BTC,0.00004315,0.00004413,0.00004257,0.00004305,25452.61578365,1.1036387275261579
1650585600,2022-04-22 00:00:00,ARRR/BTC,0.00004423,0.00004617,0.00004268,0.00004326,63579.29399697,2.8090977905808967
1650499200,2022-04-21 00:00:00,ARRR/BTC,0.00004261,0.000049,0.00004184,0.000044,98070.74956376,4.3501266811150073
1650412800,2022-04-20 00:00:00,ARRR/BTC,0.00004161,0.00004291,0.00004024,0.00004262,51521.33295364,2.1224596009470425
1650326400,2022-04-19 00:00:00,ARRR/BTC,0.00004155,0.00004435,0.00004115,0.00004161,76504.4172744,3.2505505188935983
1650240000,2022-04-18 00:00:00,ARRR/BTC,0.00004321,0.00004424,0.00004117,0.00004158,81730.44630706,3.4768800514499186
1650153600,2022-04-17 00:00:00,ARRR/BTC,0.00004433,0.00004462,0.00004304,0.00004321,28773.94717308,1.2624928189787563
1650067200,2022-04-16 00:00:00,ARRR/BTC,0.0000438,0.0000447,0.00004308,0.0000447,48129.81412064,2.1008471139404586
1649980800,2022-04-15 00:00:00,ARRR/BTC,0.00004516,0.00004551,0.00004375,0.0000439,25697.59728858,1.1432347226758939
1649894400,2022-04-14 00:00:00,ARRR/BTC,0.00004774,0.00004784,0.0000447,0.00004551,36131.80545011,1.6719400147729199
1649808000,2022-04-13 00:00:00,ARRR/BTC,0.00004609,0.00004779,0.00004511,0.00004751,54426.76568169,2.5200632085028956
1649721600,2022-04-12 00:00:00,ARRR/BTC,0.00004382,0.00004922,0.0000425,0.0000462,132794.14009865,6.1077423800673991
1649635200,2022-04-11 00:00:00,ARRR/BTC,0.00004393,0.00004449,0.00004153,0.00004397,124167.08991718,5.3398039084450599
