https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HNT,Volume USDT
1657371600000.0,2022-07-09 13:00:00,HNT/USDT,9.4207,9.4207,9.3696,9.3696,0.0,0.0
1657368000000.0,2022-07-09 12:00:00,HNT/USDT,9.3193,9.4207,9.3193,9.4207,5.192635366798645,48.91826
1657364400000.0,2022-07-09 11:00:00,HNT/USDT,9.3768,9.4333,9.3193,9.3193,1.7116725505134505,15.95159
1657360800000.0,2022-07-09 10:00:00,HNT/USDT,9.3412,9.3768,9.3006,9.3768,0.0,0.0
1657357200000.0,2022-07-09 09:00:00,HNT/USDT,9.3451,9.3542,9.2934,9.3412,0.0,0.0
1657353600000.0,2022-07-09 08:00:00,HNT/USDT,9.2901,9.3451,9.2901,9.3451,0.0,0.0
1657350000000.0,2022-07-09 07:00:00,HNT/USDT,9.3019,9.3019,9.2901,9.2901,1.1,10.21911
1657346400000.0,2022-07-09 06:00:00,HNT/USDT,9.3019,9.3019,9.2929,9.3019,0.0,0.0
1657342800000.0,2022-07-09 05:00:00,HNT/USDT,9.3031,9.3229,9.3019,9.3019,1.8005611756737874,16.74864
1657339200000.0,2022-07-09 04:00:00,HNT/USDT,9.3007,9.3031,9.2906,9.3031,0.0,0.0
1657335600000.0,2022-07-09 03:00:00,HNT/USDT,9.2361,9.3031,9.2361,9.3007,0.100025804509338,0.93031
1657332000000.0,2022-07-09 02:00:00,HNT/USDT,9.2361,9.261,9.2361,9.2361,0.0,0.0
1657328400000.0,2022-07-09 01:00:00,HNT/USDT,9.3193,9.3193,9.2361,9.2361,0.4,3.69444
1657324800000.0,2022-07-09 00:00:00,HNT/USDT,9.2044,9.3259,9.2044,9.3193,0.30000000000000004,2.79579
1657321200000.0,2022-07-08 23:00:00,HNT/USDT,9.3193,9.3596,9.2044,9.2044,5.306324149319891,48.84153
1657317600000.0,2022-07-08 22:00:00,HNT/USDT,9.3466,9.3678,9.295,9.3193,0.30000000000000004,2.79579
1657314000000.0,2022-07-08 21:00:00,HNT/USDT,9.4025,9.4025,9.3466,9.3466,0.0,0.0
1657310400000.0,2022-07-08 20:00:00,HNT/USDT,9.4025,9.4025,9.3939,9.4025,0.0,0.0
1657306800000.0,2022-07-08 19:00:00,HNT/USDT,9.3683,9.4025,9.3571,9.4025,0.0,0.0
1657303200000.0,2022-07-08 18:00:00,HNT/USDT,9.361,9.4056,9.361,9.3683,0.30109518269056285,2.82075
1657299600000.0,2022-07-08 17:00:00,HNT/USDT,9.361,9.361,9.3603,9.361,0.0,0.0
1657296000000.0,2022-07-08 16:00:00,HNT/USDT,9.361,9.361,9.2882,9.361,0.0,0.0
1657292400000.0,2022-07-08 15:00:00,HNT/USDT,9.2609,9.361,9.2369,9.361,5.492137592137592,51.4119
1657288800000.0,2022-07-08 14:00:00,HNT/USDT,9.2361,9.2791,9.2263,9.2609,0.0,0.0
1657285200000.0,2022-07-08 13:00:00,HNT/USDT,9.2726,9.2726,9.1317,9.2361,75.10308246987364,693.65958
1657281600000.0,2022-07-08 12:00:00,HNT/USDT,9.275,9.2847,9.2374,9.2726,0.0,0.0
1657278000000.0,2022-07-08 11:00:00,HNT/USDT,9.275,9.275,9.2462,9.275,0.0,0.0
1657274400000.0,2022-07-08 10:00:00,HNT/USDT,9.2208,9.2798,9.2,9.275,0.19999999999999998,1.855
1657270800000.0,2022-07-08 09:00:00,HNT/USDT,9.239,9.2732,9.2,9.2208,10.900679984383133,100.51299
1657267200000.0,2022-07-08 08:00:00,HNT/USDT,9.4005,9.4104,9.239,9.239,9.048448966338347,83.59862
1657263600000.0,2022-07-08 07:00:00,HNT/USDT,9.4025,9.4104,9.3771,9.4005,5.305581617999043,49.87512
1657260000000.0,2022-07-08 06:00:00,HNT/USDT,9.4025,9.4042,9.3701,9.4025,0.0,0.0
1657256400000.0,2022-07-08 05:00:00,HNT/USDT,9.5036,9.5395,9.3829,9.4025,44.671836213772934,420.02694
1657252800000.0,2022-07-08 04:00:00,HNT/USDT,9.5036,9.5306,9.5036,9.5036,0.0,0.0
1657249200000.0,2022-07-08 03:00:00,HNT/USDT,9.5403,9.5495,9.5035,9.5036,11.499999999999998,109.2914
1657245600000.0,2022-07-08 02:00:00,HNT/USDT,9.5689,9.5689,9.4824,9.5403,6.373115101202268,60.80143
1657242000000.0,2022-07-08 01:00:00,HNT/USDT,9.3663,9.6521,9.358,9.5689,31.678936972901802,303.13258
1657238400000.0,2022-07-08 00:00:00,HNT/USDT,9.42,9.4323,9.3193,9.3663,39.704698760449695,371.88612
1657234800000.0,2022-07-07 23:00:00,HNT/USDT,9.3574,9.4434,9.35,9.42,6.9839978768577495,65.78926
1657231200000.0,2022-07-07 22:00:00,HNT/USDT,9.4333,9.44,9.35,9.3574,0.1998418364075491,1.87
1657227600000.0,2022-07-07 21:00:00,HNT/USDT,9.44,9.44,9.4175,9.4333,0.0,0.0
1657224000000.0,2022-07-07 20:00:00,HNT/USDT,9.4671,9.4683,9.4265,9.44,8.496424788135593,80.20625
1657220400000.0,2022-07-07 19:00:00,HNT/USDT,9.4315,9.4671,9.4089,9.4671,6.485526718847376,61.39913
1657216800000.0,2022-07-07 18:00:00,HNT/USDT,9.35,9.4503,9.35,9.4314,14.6184415887355,137.87237
1657213200000.0,2022-07-07 17:00:00,HNT/USDT,9.4473,9.4473,9.35,9.35,0.2,1.87
1657209600000.0,2022-07-07 16:00:00,HNT/USDT,9.3309,9.4473,9.3309,9.4473,5.26741926264647,49.76289
1657206000000.0,2022-07-07 15:00:00,HNT/USDT,9.35,9.3709,9.3309,9.3309,0.3012292490542177,2.81074
1657202400000.0,2022-07-07 14:00:00,HNT/USDT,9.2617,9.35,9.2592,9.35,7.1771187165775405,67.10606
1657198800000.0,2022-07-07 13:00:00,HNT/USDT,9.2361,9.2888,9.1596,9.2617,40.53551291879461,375.42776
1657195200000.0,2022-07-07 12:00:00,HNT/USDT,9.2432,9.2792,9.2361,9.2361,0.3,2.77083
1657191600000.0,2022-07-07 11:00:00,HNT/USDT,9.2662,9.2662,9.24,9.2432,20.102022027003635,185.80701
1657188000000.0,2022-07-07 10:00:00,HNT/USDT,9.3778,9.3778,9.2643,9.2662,15.700000000000001,145.47934
1657184400000.0,2022-07-07 09:00:00,HNT/USDT,9.3737,9.3849,9.2825,9.3778,45.03865405532214,422.36349
1657180800000.0,2022-07-07 08:00:00,HNT/USDT,9.4222,9.4222,9.3693,9.3737,17.80102200838516,166.86144
1657177200000.0,2022-07-07 07:00:00,HNT/USDT,9.3567,9.4222,9.3567,9.4222,15.620259599668866,147.17721
1657173600000.0,2022-07-07 06:00:00,HNT/USDT,9.329,9.3682,9.3257,9.3567,12.7,118.83009
1657170000000.0,2022-07-07 05:00:00,HNT/USDT,9.3583,9.3682,9.329,9.329,0.10042019509057776,0.93682
1657166400000.0,2022-07-07 04:00:00,HNT/USDT,9.3583,9.3583,9.3383,9.3583,0.0,0.0
1657162800000.0,2022-07-07 03:00:00,HNT/USDT,9.35,9.3583,9.3266,9.3583,2.1999999999999997,20.58826
1657159200000.0,2022-07-07 02:00:00,HNT/USDT,9.35,9.35,9.2782,9.35,0.0,0.0
1657155600000.0,2022-07-07 01:00:00,HNT/USDT,9.3033,9.35,9.2756,9.35,17.248406417112303,161.2726
1657152000000.0,2022-07-07 00:00:00,HNT/USDT,9.2597,9.3033,9.2361,9.3033,0.49783302699042276,4.63149
1657148400000.0,2022-07-06 23:00:00,HNT/USDT,9.2879,9.3381,9.2597,9.2597,23.10419452034083,213.93791
1657144800000.0,2022-07-06 22:00:00,HNT/USDT,9.1618,9.2879,9.1618,9.2879,1.0980490746024396,10.19857
1657141200000.0,2022-07-06 21:00:00,HNT/USDT,9.1462,9.1706,9.1437,9.1618,12.9,118.18722
1657137600000.0,2022-07-06 20:00:00,HNT/USDT,9.1324,9.1889,9.1013,9.1462,37.29551507729986,341.11224
1657134000000.0,2022-07-06 19:00:00,HNT/USDT,9.1716,9.2292,9.1191,9.1324,9.793066444746179,89.4342
1657130400000.0,2022-07-06 18:00:00,HNT/USDT,9.1858,9.1858,9.1447,9.1716,15.489873086484366,142.06692
