https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FTT,Volume USDT
1658707200,2022-07-25 00:00:00,FTT/USDT,29.107,29.273,26.942,27,20418.50065188,568020.88323426077
1658620800,2022-07-24 00:00:00,FTT/USDT,28.514,29.751,28.338,29.107,10550.57999192,307264.17924683085
1658534400,2022-07-23 00:00:00,FTT/USDT,28.926,29.709,27.775,28.509,8418.50956423,240677.78541308417
1658448000,2022-07-22 00:00:00,FTT/USDT,29.491,30.528,28.613,28.909,10827.09047304,321802.40104250834
1658361600,2022-07-21 00:00:00,FTT/USDT,28.787,29.738,27.757,29.471,16991.95699152,487130.32895199624
1658275200,2022-07-20 00:00:00,FTT/USDT,29.138,30.235,28.372,28.786,22966.84115317,675683.8521989204
1658188800,2022-07-19 00:00:00,FTT/USDT,29.895,30.328,28.027,29.141,30100.88750382,877218.78516690762
1658102400,2022-07-18 00:00:00,FTT/USDT,27.626,30.076,27.626,29.887,12907.97770739,377291.87201022358
1658016000,2022-07-17 00:00:00,FTT/USDT,28.016,28.79,27.428,27.618,9869.44459988,276558.0933675516
1657929600,2022-07-16 00:00:00,FTT/USDT,26.785,28.447,26.341,28.021,10514.51120826,289365.78170124534
1657843200,2022-07-15 00:00:00,FTT/USDT,25.908,27.359,25.668,26.754,5125.85193659,135927.8638717487
1657756800,2022-07-14 00:00:00,FTT/USDT,25.019,26.254,24.446,25.88,12385.08358306,314018.43295393954
1657670400,2022-07-13 00:00:00,FTT/USDT,23.874,25.044,23.259,25.041,17742.66105137,425237.31999976751
1657584000,2022-07-12 00:00:00,FTT/USDT,25.007,25.089,23.859,23.892,16042.09586418,396924.98933176884
1657497600,2022-07-11 00:00:00,FTT/USDT,25.9,25.942,24.843,25.005,4657.64959553,118388.60007621859
1657411200,2022-07-10 00:00:00,FTT/USDT,27.114,27.139,25.653,25.863,7369.1506918,193286.81716171163
1657324800,2022-07-09 00:00:00,FTT/USDT,27.36,27.64,27.072,27.12,8509.12084974,233529.9482936798
1657238400,2022-07-08 00:00:00,FTT/USDT,27.489,28.25,26.837,27.374,10919.63519919,301092.56515039255
1657152000,2022-07-07 00:00:00,FTT/USDT,26.289,27.716,25.952,27.5,24730.53856107,657912.8940668522
1657065600,2022-07-06 00:00:00,FTT/USDT,25.163,26.466,24.793,26.246,11702.43618789,299868.79554436498
1656979200,2022-07-05 00:00:00,FTT/USDT,25.93,26.2,24.439,25.208,14607.57054815,369398.94617312188
1656892800,2022-07-04 00:00:00,FTT/USDT,24.373,25.991,23.958,25.871,7785.57841019,195453.55014645665
1656806400,2022-07-03 00:00:00,FTT/USDT,24.627,24.641,23.707,24.374,9439.43902926,227969.80253422114
1656720000,2022-07-02 00:00:00,FTT/USDT,24.593,24.787,24.073,24.593,11163.91728598,273020.99925905813
1656633600,2022-07-01 00:00:00,FTT/USDT,24.614,26.012,24.027,24.504,33717.85571498,847367.21590918095
1656547200,2022-06-30 00:00:00,FTT/USDT,24.906,24.942,23.106,24.6,21222.03350339,508034.4425558215
1656460800,2022-06-29 00:00:00,FTT/USDT,25.676,25.876,24.665,24.836,11516.49618198,291365.41938533083
1656374400,2022-06-28 00:00:00,FTT/USDT,27.21,27.778,25.589,25.637,17941.10179438,477717.66630583357
1656288000,2022-06-27 00:00:00,FTT/USDT,27.198,28.047,26.614,27.128,25271.48500877,686965.75238772259
1656201600,2022-06-26 00:00:00,FTT/USDT,27.92,28.951,27.152,27.158,16950.83010895,475810.2722841826
1656115200,2022-06-25 00:00:00,FTT/USDT,26.752,28.017,26.21,27.92,48677.62863688,1316167.43503547497
1656028800,2022-06-24 00:00:00,FTT/USDT,26.358,27.116,25.402,26.743,14000.59179145,369145.86757275601
1655942400,2022-06-23 00:00:00,FTT/USDT,25.193,26.447,25.099,26.354,16046.39896052,412649.70437303895
1655856000,2022-06-22 00:00:00,FTT/USDT,27.408,27.41,25.125,25.19,12506.88132456,327686.76411891668
1655769600,2022-06-21 00:00:00,FTT/USDT,26.711,28.181,26.398,27.362,15144.83550551,413649.10088160711
1655683200,2022-06-20 00:00:00,FTT/USDT,25.059,26.918,23.973,26.681,30041.89159495,766712.99745015671
1655596800,2022-06-19 00:00:00,FTT/USDT,22.807,25.421,21.708,25.053,12486.62118398,295196.31188935299
1655510400,2022-06-18 00:00:00,FTT/USDT,24.37,24.722,21.113,22.821,22397.04023678,503416.07237485437
1655424000,2022-06-17 00:00:00,FTT/USDT,23.299,25.072,23.151,24.354,8269.51141336,201546.15660866573
1655337600,2022-06-16 00:00:00,FTT/USDT,25.546,25.89,23.001,23.23,12678.31793352,311707.71013068618
1655251200,2022-06-15 00:00:00,FTT/USDT,23.993,25.543,21.075,25.529,52169.85847775,1212957.68247394019
1655164800,2022-06-14 00:00:00,FTT/USDT,24.555,24.76,22.367,24.008,34209.03092104,808628.01734215909
