https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume TUSD
1656684000,2022-07-01 14:00:00,BTC/TUSD,19466.1,19487.2,19311,19374.2,0.83553259,16180.146250872
1656680400,2022-07-01 13:00:00,BTC/TUSD,19243.1,19624.2,19214.7,19510.4,0.43115726,8386.131097834
1656676800,2022-07-01 12:00:00,BTC/TUSD,19179.9,19298.9,19122.1,19279.1,0.39363057,7528.953288442
1656673200,2022-07-01 11:00:00,BTC/TUSD,19023.1,19169.7,18958,19169.7,0.11023608,2108.123680714
1656669600,2022-07-01 10:00:00,BTC/TUSD,19336.9,19443.4,18998.8,19085.4,3.08129292,59316.507112536
1656666000,2022-07-01 09:00:00,BTC/TUSD,19505.4,19519.8,19357.8,19357.8,1.39963286,27269.915248188
1656662400,2022-07-01 08:00:00,BTC/TUSD,19545.2,19727.6,19465.6,19491.5,1.56894,30869.683758209
1656658800,2022-07-01 07:00:00,BTC/TUSD,19309.4,19591.5,19309.4,19566.1,3.1583477,61682.73695285
1656655200,2022-07-01 06:00:00,BTC/TUSD,19438.1,19438.1,19336.9,19367.1,0.02282125,442.243679563
1656651600,2022-07-01 05:00:00,BTC/TUSD,19378,19530.1,19323.1,19413.9,1.48154288,28773.504933519
1656648000,2022-07-01 04:00:00,BTC/TUSD,19652.3,19696.4,19378.7,19378.7,3.10555129,60569.113585358
1656644400,2022-07-01 03:00:00,BTC/TUSD,20165.6,20171.1,19668.8,19730.7,1.98025521,39536.875905364
1656640800,2022-07-01 02:00:00,BTC/TUSD,20370.8,20500,20251.5,20298.1,1.0864869,22196.177751659
1656637200,2022-07-01 01:00:00,BTC/TUSD,20294.7,20405.3,20234.2,20376.3,4.24638234,86533.846410238
1656633600,2022-07-01 00:00:00,BTC/TUSD,19909.7,20874.7,19667.6,20248.2,15.58248174,315646.477402932
1656630000,2022-06-30 23:00:00,BTC/TUSD,18896,19962.1,18896,19888.4,4.33984055,84139.6098309
1656626400,2022-06-30 22:00:00,BTC/TUSD,18800.7,18917.9,18714.5,18872.8,0.52799341,9954.353943959
1656622800,2022-06-30 21:00:00,BTC/TUSD,18738.2,18922.6,18693.5,18791.2,1.31895994,24825.730203837
1656619200,2022-06-30 20:00:00,BTC/TUSD,18926.2,19027.9,18650,18684.6,2.89716157,54704.880336448
1656615600,2022-06-30 19:00:00,BTC/TUSD,18929.1,19004.3,18858.1,18896.5,0.32341779,6119.883081257
1656612000,2022-06-30 18:00:00,BTC/TUSD,19085.5,19096.4,18946,18960.1,1.43452131,27213.628615979
1656608400,2022-06-30 17:00:00,BTC/TUSD,19104.4,19135.7,19059.9,19112.2,1.18592319,22638.687261552
1656604800,2022-06-30 16:00:00,BTC/TUSD,19128.9,19235.8,19063.1,19115.5,0.53352352,10251.028538874
1656601200,2022-06-30 15:00:00,BTC/TUSD,19107.6,19221.6,19087.4,19097.4,1.21598952,23293.696780504
1656597600,2022-06-30 14:00:00,BTC/TUSD,18877,19113.2,18855.2,19100,1.2899112,24622.527048867
1656594000,2022-06-30 13:00:00,BTC/TUSD,19215.3,19219,18760.3,18840.2,2.07282914,39505.987445295
1656590400,2022-06-30 12:00:00,BTC/TUSD,19095.3,19238.8,19057.5,19178.7,1.03822196,19918.478135893
1656586800,2022-06-30 11:00:00,BTC/TUSD,19060.6,19097.9,19001.2,19061.7,1.34756863,25694.058980376
1656583200,2022-06-30 10:00:00,BTC/TUSD,19089.9,19116.5,18990.3,19071,1.1387107,21694.461803303
1656579600,2022-06-30 09:00:00,BTC/TUSD,19224.9,19224.9,18946,19086.7,1.23078018,23416.777286842
1656576000,2022-06-30 08:00:00,BTC/TUSD,19331.7,19341.6,19156.4,19189.8,2.54088288,48945.265823357
1656572400,2022-06-30 07:00:00,BTC/TUSD,19410.1,19420,19297.8,19381,2.08593883,40330.005393577
1656568800,2022-06-30 06:00:00,BTC/TUSD,19978.3,19980.3,19337,19337,3.50052975,69126.927471629
1656565200,2022-06-30 05:00:00,BTC/TUSD,20003.5,20025,19982.6,19991.5,1.32917222,26577.133347352
1656561600,2022-06-30 04:00:00,BTC/TUSD,20028.6,20055.8,20027.3,20042,0.29961334,6003.445552314
1656558000,2022-06-30 03:00:00,BTC/TUSD,20064.2,20066.3,20014.9,20056,2.53259872,50786.199470818
1656554400,2022-06-30 02:00:00,BTC/TUSD,20037.8,20069.5,20037.8,20047.6,0.06746723,1353.350345881
1656550800,2022-06-30 01:00:00,BTC/TUSD,20004.3,20038.7,19952.1,20008.7,1.42560674,28527.513440559
1656547200,2022-06-30 00:00:00,BTC/TUSD,20099.7,20123.1,19993.2,20044.8,0.32258048,6469.167347369
1656543600,2022-06-29 23:00:00,BTC/TUSD,20122.4,20122.4,20077.2,20078.8,2.17035185,43584.537966514
1656540000,2022-06-29 22:00:00,BTC/TUSD,20259.3,20296.2,20135.5,20201.6,4.1639872,84385.98617685
1656536400,2022-06-29 21:00:00,BTC/TUSD,20192.9,20323.5,20192.9,20280.2,1.3935151,28208.24542419
1656532800,2022-06-29 20:00:00,BTC/TUSD,20280.1,20401.4,20116.2,20181.9,1.28011538,26060.031499722
1656529200,2022-06-29 19:00:00,BTC/TUSD,20032.6,20209.6,20016.7,20208.1,1.31576849,26496.68158323
1656525600,2022-06-29 18:00:00,BTC/TUSD,20030.6,20062.5,20005.3,20054.8,0.09652769,1935.651699626
1656522000,2022-06-29 17:00:00,BTC/TUSD,20007.3,20018.1,19904.8,20018.1,0.90263624,18015.614664233
1656518400,2022-06-29 16:00:00,BTC/TUSD,20040.6,20056.2,19958.8,19958.8,2.37107623,47392.407634007
1656514800,2022-06-29 15:00:00,BTC/TUSD,20068.9,20069.5,19982.5,20057.1,0.54062615,10830.793906884
1656511200,2022-06-29 14:00:00,BTC/TUSD,20123.9,20150.3,20028.1,20119.8,1.13161143,22713.497249754
1656507600,2022-06-29 13:00:00,BTC/TUSD,20018.4,20113.9,19902.8,20049.5,2.27057188,45601.827890116
1656504000,2022-06-29 12:00:00,BTC/TUSD,20111.2,20141.6,19980.3,19980.3,3.63879369,73064.016897589
1656500400,2022-06-29 11:00:00,BTC/TUSD,20021.8,20085.1,19831.9,20085.1,1.13989359,22720.517104389
1656496800,2022-06-29 10:00:00,BTC/TUSD,20048.1,20123.2,20046.8,20085.2,1.19212464,23936.352000869
1656493200,2022-06-29 09:00:00,BTC/TUSD,19971.8,20165,19971.8,20042.1,0.64337819,12901.31978173
1656489600,2022-06-29 08:00:00,BTC/TUSD,20052.8,20111.3,19986.1,19986.1,2.22162102,44484.233880359
1656486000,2022-06-29 07:00:00,BTC/TUSD,19922.9,20088.9,19921.8,20048.5,1.31061733,26220.960465574
1656482400,2022-06-29 06:00:00,BTC/TUSD,20050.2,20148.3,19887.9,19919.6,3.00453166,60224.415634977
1656478800,2022-06-29 05:00:00,BTC/TUSD,20249.3,20302.3,20051.8,20142.8,2.05689299,41625.643764812
1656475200,2022-06-29 04:00:00,BTC/TUSD,20263.7,20296.1,20244.7,20296,0.28432644,5761.572739323
1656471600,2022-06-29 03:00:00,BTC/TUSD,20293.3,20348.9,20225.6,20274.7,1.11492431,22604.638883574
1656468000,2022-06-29 02:00:00,BTC/TUSD,20305.1,20333.6,20282.7,20333.6,0.01555333,315.907493973
