https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNFI,Volume USDT
1661731200,2022-08-29 00:00:00,UNFI/USDT,7.309,7.862,7.066,7.82,52018.1701,391047.7428749
1661644800,2022-08-28 00:00:00,UNFI/USDT,7.9,8.033,7.258,7.31,57125.5081,441281.0567275
1661558400,2022-08-27 00:00:00,UNFI/USDT,7.322,8.36,7.315,7.891,85948.7133,673126.6420938
1661472000,2022-08-26 00:00:00,UNFI/USDT,8.427,8.509,7.218,7.352,117893.9811,933670.7945342
1661385600,2022-08-25 00:00:00,UNFI/USDT,8.797,8.949,8.273,8.429,44937.5213,388675.6928198
1661299200,2022-08-24 00:00:00,UNFI/USDT,8.288,9.85,7.993,8.786,103172.0222,946853.7952516
1661212800,2022-08-23 00:00:00,UNFI/USDT,8.394,8.523,7.964,8.279,47792.7396,397050.7968786
1661126400,2022-08-22 00:00:00,UNFI/USDT,8.995,8.995,7.941,8.407,65160.1916,535580.1444367
1661040000,2022-08-21 00:00:00,UNFI/USDT,8.939,9.19,8.745,8.975,40504.6842,365239.0798592
1660953600,2022-08-20 00:00:00,UNFI/USDT,8.969,10.208,8.581,8.911,84748.2438,782280.9269726
1660867200,2022-08-19 00:00:00,UNFI/USDT,10.19,10.334,8.639,8.959,81205.9458,769521.3345157
1660780800,2022-08-18 00:00:00,UNFI/USDT,11.503,11.645,9.664,10.114,41571.7642,456741.2053416
1660694400,2022-08-17 00:00:00,UNFI/USDT,13.193,13.367,11.254,11.485,92262.2298,1145537.4111289
1660608000,2022-08-16 00:00:00,UNFI/USDT,12.628,13.52,12.207,13.196,105872.4593,1362907.5927231
1660521600,2022-08-15 00:00:00,UNFI/USDT,11.36,13.241,10.915,12.671,144216.292,1779687.0340222
1660435200,2022-08-14 00:00:00,UNFI/USDT,12.248,12.787,10.968,11.348,64755.0387,756641.0093565
1660348800,2022-08-13 00:00:00,UNFI/USDT,12.555,12.555,11.75,12.213,98840.2702,1198147.5692247
1660262400,2022-08-12 00:00:00,UNFI/USDT,11.208,13.057,10.475,12.555,138816.1121,1615502.7695049
1660176000,2022-08-11 00:00:00,UNFI/USDT,8.898,11.95,8.726,11.182,177268.64321656,1875543.33506043688
1660089600,2022-08-10 00:00:00,UNFI/USDT,8.383,9.078,8.143,8.898,71395.5427,618145.1889242
1660003200,2022-08-09 00:00:00,UNFI/USDT,9.083,9.733,8.197,8.391,78625.7711,708836.1014438
1659916800,2022-08-08 00:00:00,UNFI/USDT,8.95,9.485,8.914,9.092,51321.6103,470712.429522
1659830400,2022-08-07 00:00:00,UNFI/USDT,9.189,9.414,8.773,8.935,27249.4535,248699.5295414
1659744000,2022-08-06 00:00:00,UNFI/USDT,8.432,9.911,8.252,9.207,108539.6062,1019679.291403
1659657600,2022-08-05 00:00:00,UNFI/USDT,8.116,8.666,8.112,8.452,35836.8094,302745.2453575
1659571200,2022-08-04 00:00:00,UNFI/USDT,8.017,8.43,7.85,8.111,38956.737,315814.9460649
1659484800,2022-08-03 00:00:00,UNFI/USDT,7.983,8.896,7.598,8.037,90300.8647,760950.5891713
1659398400,2022-08-02 00:00:00,UNFI/USDT,8.364,8.465,7.5,7.966,47555.3444,376965.1354661
1659312000,2022-08-01 00:00:00,UNFI/USDT,7.845,9.071,7.845,8.395,90517.07496794,763068.76915659792
1659225600,2022-07-31 00:00:00,UNFI/USDT,8.269,8.857,7.725,7.881,90744.3374,760550.3864215
1659139200,2022-07-30 00:00:00,UNFI/USDT,10.524,10.922,8.188,8.267,201014.98056851,1927718.09357371951
1659052800,2022-07-29 00:00:00,UNFI/USDT,6.484,13.5,6.32,10.534,554677.39976409,5516008.08677855696
1658966400,2022-07-28 00:00:00,UNFI/USDT,6.33,7.319,6.265,6.481,113516.58582005,754842.31364435955
1658880000,2022-07-27 00:00:00,UNFI/USDT,5.831,6.344,5.758,6.328,34773.9095,207693.9158783
1658793600,2022-07-26 00:00:00,UNFI/USDT,5.621,5.847,5.416,5.84,49063.7182,271450.1529128
1658707200,2022-07-25 00:00:00,UNFI/USDT,6.189,6.231,5.598,5.619,76588.9102,455799.8694692
1658620800,2022-07-24 00:00:00,UNFI/USDT,6.359,6.964,6.12,6.18,105562.8498,670138.436049
1658534400,2022-07-23 00:00:00,UNFI/USDT,6.17,6.487,6.092,6.366,100553.032,633684.7388791
1658448000,2022-07-22 00:00:00,UNFI/USDT,5.995,6.451,5.939,6.178,116778.269,716334.3495618
1658361600,2022-07-21 00:00:00,UNFI/USDT,5.868,6.05,5.66,6.009,122930.9522,720002.2708836
1658275200,2022-07-20 00:00:00,UNFI/USDT,6.544,6.65,5.864,5.871,87164.42042228,549032.01023047266
1658188800,2022-07-19 00:00:00,UNFI/USDT,6.6,7.383,6.467,6.547,197274.61101121,1333945.43383372565
1658102400,2022-07-18 00:00:00,UNFI/USDT,6.23,6.899,6.125,6.605,126947.32072416,823800.29256952496
1658016000,2022-07-17 00:00:00,UNFI/USDT,6.48,6.629,6.06,6.231,93626.72519475,594596.84271307803
1657929600,2022-07-16 00:00:00,UNFI/USDT,6.035,6.927,5.881,6.457,201377.97783887,1310060.01305809997
