https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZRX,Volume BTC
1654070400,2022-06-01 08:00:00,ZRX/BTC,0.00001418,0.00001419,0.00001418,0.00001419,3231.94693000,0.0458613269367
1654066800,2022-06-01 07:00:00,ZRX/BTC,0.00001384,0.00001392,0.00001379,0.00001392,139.30202310,0.0019390841615520003
1654063200,2022-06-01 06:00:00,ZRX/BTC,0.00001390,0.00001390,0.00001390,0.00001390,0.00000000,0.0
1654059600,2022-06-01 05:00:00,ZRX/BTC,0.00001390,0.00001390,0.00001390,0.00001390,0.00000000,0.0
1654056000,2022-06-01 04:00:00,ZRX/BTC,0.00001390,0.00001390,0.00001390,0.00001390,0.00000000,0.0
1654052400,2022-06-01 03:00:00,ZRX/BTC,0.00001390,0.00001390,0.00001390,0.00001390,0.00000000,0.0
1654048800,2022-06-01 02:00:00,ZRX/BTC,0.00001366,0.00001390,0.00001366,0.00001390,2248.08419420,0.031248370299380004
1654045200,2022-06-01 01:00:00,ZRX/BTC,0.00001342,0.00001342,0.00001342,0.00001342,0.00000000,0.0
1654041600,2022-06-01 00:00:00,ZRX/BTC,0.00001342,0.00001342,0.00001342,0.00001342,0.00000000,0.0
1654038000,2022-05-31 23:00:00,ZRX/BTC,0.00001342,0.00001342,0.00001342,0.00001342,0.00000000,0.0
1654034400,2022-05-31 22:00:00,ZRX/BTC,0.00001342,0.00001342,0.00001342,0.00001342,0.00000000,0.0
1654030800,2022-05-31 21:00:00,ZRX/BTC,0.00001342,0.00001342,0.00001342,0.00001342,0.00000000,0.0
1654027200,2022-05-31 20:00:00,ZRX/BTC,0.00001342,0.00001342,0.00001342,0.00001342,0.00000000,0.0
1654023600,2022-05-31 19:00:00,ZRX/BTC,0.00001342,0.00001342,0.00001342,0.00001342,0.00000000,0.0
1654020000,2022-05-31 18:00:00,ZRX/BTC,0.00001342,0.00001342,0.00001342,0.00001342,0.00000000,0.0
1654016400,2022-05-31 17:00:00,ZRX/BTC,0.00001342,0.00001342,0.00001342,0.00001342,0.00000000,0.0
1654012800,2022-05-31 16:00:00,ZRX/BTC,0.00001342,0.00001342,0.00001342,0.00001342,0.00000000,0.0
1654009200,2022-05-31 15:00:00,ZRX/BTC,0.00001342,0.00001342,0.00001342,0.00001342,0.00000000,0.0
1654005600,2022-05-31 14:00:00,ZRX/BTC,0.00001342,0.00001342,0.00001342,0.00001342,0.00000000,0.0
1654002000,2022-05-31 13:00:00,ZRX/BTC,0.00001342,0.00001342,0.00001342,0.00001342,0.00000000,0.0
1653998400,2022-05-31 12:00:00,ZRX/BTC,0.00001342,0.00001342,0.00001342,0.00001342,0.00000000,0.0
1653994800,2022-05-31 11:00:00,ZRX/BTC,0.00001333,0.00001342,0.00001333,0.00001342,2248.08419420,0.030169289886164
1653991200,2022-05-31 10:00:00,ZRX/BTC,0.00001343,0.00001343,0.00001343,0.00001343,0.00000000,0.0
1653987600,2022-05-31 09:00:00,ZRX/BTC,0.00001343,0.00001343,0.00001343,0.00001343,0.00000000,0.0
1653984000,2022-05-31 08:00:00,ZRX/BTC,0.00001343,0.00001343,0.00001343,0.00001343,0.00000000,0.0
1653980400,2022-05-31 07:00:00,ZRX/BTC,0.00001343,0.00001343,0.00001343,0.00001343,0.00000000,0.0
1653976800,2022-05-31 06:00:00,ZRX/BTC,0.00001343,0.00001343,0.00001343,0.00001343,0.00000000,0.0
1653973200,2022-05-31 05:00:00,ZRX/BTC,0.00001343,0.00001343,0.00001343,0.00001343,0.00000000,0.0
1653969600,2022-05-31 04:00:00,ZRX/BTC,0.00001343,0.00001343,0.00001343,0.00001343,0.00000000,0.0
1653966000,2022-05-31 03:00:00,ZRX/BTC,0.00001343,0.00001343,0.00001343,0.00001343,0.00000000,0.0
1653962400,2022-05-31 02:00:00,ZRX/BTC,0.00001343,0.00001343,0.00001343,0.00001343,0.00000000,0.0
1653958800,2022-05-31 01:00:00,ZRX/BTC,0.00001343,0.00001343,0.00001343,0.00001343,0.00000000,0.0
1653955200,2022-05-31 00:00:00,ZRX/BTC,0.00001343,0.00001343,0.00001343,0.00001343,0.00000000,0.0
1653951600,2022-05-30 23:00:00,ZRX/BTC,0.00001343,0.00001343,0.00001343,0.00001343,0.00000000,0.0
1653948000,2022-05-30 22:00:00,ZRX/BTC,0.00001343,0.00001343,0.00001343,0.00001343,14859.34220961,0.1995609658750623
1653944400,2022-05-30 21:00:00,ZRX/BTC,0.00001323,0.00001327,0.00001320,0.00001320,17368.64725396,0.229266143752272
1653940800,2022-05-30 20:00:00,ZRX/BTC,0.00001334,0.00001334,0.00001332,0.00001332,2030.46986629,0.027045858618982798
1653937200,2022-05-30 19:00:00,ZRX/BTC,0.00001343,0.00001343,0.00001343,0.00001343,0.00000000,0.0
1653933600,2022-05-30 18:00:00,ZRX/BTC,0.00001343,0.00001343,0.00001343,0.00001343,50.00000000,0.0006715
1653930000,2022-05-30 17:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653926400,2022-05-30 16:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
1653922800,2022-05-30 15:00:00,ZRX/BTC,0.00001315,0.00001315,0.00001315,0.00001315,0.00000000,0.0
