https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MV,Volume USDT
1661472000,2022-08-26 00:00:00,MV/USDT,0.18377,0.20003,0.18376,0.19947,2037949.4617,396933.349309714
1661385600,2022-08-25 00:00:00,MV/USDT,0.16307,0.18427,0.16229,0.18361,2309691.5806,392624.125079963
1661299200,2022-08-24 00:00:00,MV/USDT,0.16515,0.16895,0.16213,0.1638,2513597.1484,418325.021171283
1661212800,2022-08-23 00:00:00,MV/USDT,0.16987,0.17061,0.15659,0.16516,2565384.6736,416358.704259484
1661126400,2022-08-22 00:00:00,MV/USDT,0.17951,0.18271,0.16508,0.16961,2051772.5733,366488.414677646
1661040000,2022-08-21 00:00:00,MV/USDT,0.18184,0.18624,0.17424,0.17957,1050636.3131,187716.261679352
1660953600,2022-08-20 00:00:00,MV/USDT,0.20243,0.20253,0.17815,0.18183,2065976.4648,379892.913563856
1660867200,2022-08-19 00:00:00,MV/USDT,0.19639,0.20872,0.19511,0.20216,2168269.5817,432487.719294919
1660780800,2022-08-18 00:00:00,MV/USDT,0.19311,0.207,0.19275,0.19587,1424430.2509,281286.194756339
1660694400,2022-08-17 00:00:00,MV/USDT,0.19125,0.229,0.18961,0.19302,2144990.8288,438487.800765415
1660608000,2022-08-16 00:00:00,MV/USDT,0.19007,0.198,0.18646,0.19207,2167653.378,413612.451195461
1660521600,2022-08-15 00:00:00,MV/USDT,0.19026,0.19225,0.18855,0.18969,93146.9422,17742.756077289
1660435200,2022-08-14 00:00:00,MV/USDT,0.18855,0.20299,0.18601,0.18996,2367690.0419,444001.129587084
1660348800,2022-08-13 00:00:00,MV/USDT,0.19034,0.20287,0.186,0.18854,2618985.6399,497869.479507242
1660262400,2022-08-12 00:00:00,MV/USDT,0.19013,0.23242,0.1853,0.1912,2322791.5595,463319.932961923
1660176000,2022-08-11 00:00:00,MV/USDT,0.20318,0.20533,0.1787,0.19013,2256281.7717,435645.839552366
1660089600,2022-08-10 00:00:00,MV/USDT,0.22052,0.22235,0.20225,0.20316,693945.44104261,147744.4163971255261
1660003200,2022-08-09 00:00:00,MV/USDT,0.23833,0.23933,0.22,0.22108,1449447.8426,331418.809777823
1659916800,2022-08-08 00:00:00,MV/USDT,0.23342,0.28063,0.22416,0.23797,1523853.4628,367542.308463665
1659830400,2022-08-07 00:00:00,MV/USDT,0.25199,0.252,0.21638,0.23468,1457708.0508,336602.798363204
1659744000,2022-08-06 00:00:00,MV/USDT,0.27868,0.29319,0.25208,0.25208,1040899.5461,283947.182785501
1659657600,2022-08-05 00:00:00,MV/USDT,0.24787,0.40101,0.24787,0.27867,1932074.7088,628740.762398389
1659571200,2022-08-04 00:00:00,MV/USDT,0.30274,0.30413,0.22455,0.24787,1194724.343,309682.149276802
1659484800,2022-08-03 00:00:00,MV/USDT,0.31582,0.31867,0.3021,0.3021,846009.7455,260079.509319294
1659398400,2022-08-02 00:00:00,MV/USDT,0.32889,0.33034,0.31327,0.31581,1078197.3592,344851.109772518
1659312000,2022-08-01 00:00:00,MV/USDT,0.31789,0.34205,0.31738,0.33047,949515.4271,313937.095429234
1659225600,2022-07-31 00:00:00,MV/USDT,0.37906,0.38019,0.29911,0.31856,837868.0968,289060.04636147
1659139200,2022-07-30 00:00:00,MV/USDT,0.39791,0.4023,0.3782,0.37855,537235.5642,213454.857621673
1659052800,2022-07-29 00:00:00,MV/USDT,0.40123,0.40449,0.39791,0.39817,639646.1655,256311.542107703
1658966400,2022-07-28 00:00:00,MV/USDT,0.41394,0.41942,0.40076,0.40266,728192.9406,299235.226500617
1658880000,2022-07-27 00:00:00,MV/USDT,0.40256,0.41464,0.40012,0.41453,413191.7237,167075.739149011
1658793600,2022-07-26 00:00:00,MV/USDT,0.40185,0.40452,0.39994,0.40217,726627.1103,291842.317798206
1658707200,2022-07-25 00:00:00,MV/USDT,0.40012,0.40221,0.39905,0.40196,720716.7246,288352.53810465
1658620800,2022-07-24 00:00:00,MV/USDT,0.40001,0.40157,0.39854,0.40004,741077.1729,296473.393613847
1658534400,2022-07-23 00:00:00,MV/USDT,0.39735,0.40049,0.39734,0.4,778594.0643,310142.673169833
1658448000,2022-07-22 00:00:00,MV/USDT,0.41521,0.4159,0.39461,0.39888,796345.9275,323375.666797584
1658361600,2022-07-21 00:00:00,MV/USDT,0.4171,0.41941,0.41261,0.41521,717044.9618,297785.32889777
1658275200,2022-07-20 00:00:00,MV/USDT,0.41804,0.41927,0.41638,0.41689,714856.48144819,298644.0892375755244
1658188800,2022-07-19 00:00:00,MV/USDT,0.41296,0.41805,0.4117,0.41707,711478.33799893,294819.1257906913833
1658102400,2022-07-18 00:00:00,MV/USDT,0.40957,0.41561,0.40951,0.41339,742603.66204021,306652.366716520718
1658016000,2022-07-17 00:00:00,MV/USDT,0.4103,0.41277,0.40836,0.41151,701745.42328704,287866.0253641581948
1657929600,2022-07-16 00:00:00,MV/USDT,0.41031,0.41037,0.40763,0.41037,517500.47790924,211155.7487575296836
1657843200,2022-07-15 00:00:00,MV/USDT,0.40829,0.41049,0.40701,0.41041,1041975.97219484,426263.0201086905692
1657756800,2022-07-14 00:00:00,MV/USDT,0.40516,0.40842,0.40329,0.40657,175071.81075846,70822.0881557409177
1657670400,2022-07-13 00:00:00,MV/USDT,0.40444,0.40508,0.40151,0.40494,651346.0092,262962.793526628
1657584000,2022-07-12 00:00:00,MV/USDT,0.40646,0.40654,0.40437,0.40491,775446.271676,314470.98071405704
1657497600,2022-07-11 00:00:00,MV/USDT,0.40601,0.40732,0.40556,0.40556,519506.16288698,211028.0968206674116
1657411200,2022-07-10 00:00:00,MV/USDT,0.41045,0.41107,0.40465,0.40665,732629.25966328,300096.9078202635199
1657324800,2022-07-09 00:00:00,MV/USDT,0.41184,0.41264,0.41033,0.41042,706351.00115424,290318.4388235194928
1657238400,2022-07-08 00:00:00,MV/USDT,0.40912,0.41411,0.40912,0.41255,662899.81052691,272330.9466535518077
1657152000,2022-07-07 00:00:00,MV/USDT,0.40236,0.40933,0.39866,0.40933,416403.71368947,168058.8736084437551
1657065600,2022-07-06 00:00:00,MV/USDT,0.4091,0.40911,0.39848,0.40174,904677.85534557,367508.1100422714448
1656979200,2022-07-05 00:00:00,MV/USDT,0.39233,0.4065,0.3913,0.40404,724722.81336392,285409.6676865013542
1656892800,2022-07-04 00:00:00,MV/USDT,0.39141,0.39463,0.3894,0.39448,680896.60250061,267662.1260759423073
1656806400,2022-07-03 00:00:00,MV/USDT,0.39436,0.395,0.38929,0.39182,850671.95840079,332993.5712563531555
1656720000,2022-07-02 00:00:00,MV/USDT,0.39518,0.39616,0.39418,0.39419,386361.94301968,152800.737289331863
