https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DUSK,Volume USDT
1660780800,2022-08-18 00:00:00,DUSK/USDT,0.145,0.1478,0.1341,0.1349,232500.0554,33199.02226771
1660694400,2022-08-17 00:00:00,DUSK/USDT,0.1538,0.1608,0.1353,0.145,669357.7518,100174.21558393
1660608000,2022-08-16 00:00:00,DUSK/USDT,0.157,0.1605,0.1535,0.1538,300731.4074,47167.97701308
1660521600,2022-08-15 00:00:00,DUSK/USDT,0.1638,0.1742,0.1524,0.157,732710.3599,120036.77133035
1660435200,2022-08-14 00:00:00,DUSK/USDT,0.1711,0.1784,0.1636,0.1648,512694.1684,88307.74500544
1660348800,2022-08-13 00:00:00,DUSK/USDT,0.1745,0.1799,0.1681,0.1711,753385.1294,129385.75736587
1660262400,2022-08-12 00:00:00,DUSK/USDT,0.165,0.18,0.1625,0.1745,747540.1937,128629.72226475
1660176000,2022-08-11 00:00:00,DUSK/USDT,0.1707,0.1779,0.1633,0.1659,977998.8398,165258.18141698
1660089600,2022-08-10 00:00:00,DUSK/USDT,0.1745,0.1784,0.1594,0.1698,1323012.5682,223315.6197593
1660003200,2022-08-09 00:00:00,DUSK/USDT,0.1677,0.1745,0.1578,0.1745,745834.5515,125137.12777592
1659916800,2022-08-08 00:00:00,DUSK/USDT,0.1588,0.1753,0.1587,0.1677,1940944.2192,328591.25564502
1659830400,2022-08-07 00:00:00,DUSK/USDT,0.1576,0.1632,0.1548,0.1588,571387.9012,91298.17983365
1659744000,2022-08-06 00:00:00,DUSK/USDT,0.1508,0.162,0.149,0.1584,1045223.8886,165273.08759409
1659657600,2022-08-05 00:00:00,DUSK/USDT,0.1398,0.1507,0.1394,0.1507,521528.7645,76771.21741008
1659571200,2022-08-04 00:00:00,DUSK/USDT,0.1448,0.1499,0.1375,0.1395,635366.1078,90665.93973912
1659484800,2022-08-03 00:00:00,DUSK/USDT,0.1438,0.1492,0.1401,0.1448,462601.0907,67162.39933736
1659398400,2022-08-02 00:00:00,DUSK/USDT,0.1545,0.1583,0.135,0.143,1330228.8293,190613.10524631
1659312000,2022-08-01 00:00:00,DUSK/USDT,0.1438,0.1672,0.1433,0.1543,1674300.6193,253874.39797725
1659225600,2022-07-31 00:00:00,DUSK/USDT,0.1456,0.162,0.1418,0.144,2180615.804,334218.49838717
1659139200,2022-07-30 00:00:00,DUSK/USDT,0.1354,0.1544,0.1352,0.1449,1880765.8276,276316.68680744
1659052800,2022-07-29 00:00:00,DUSK/USDT,0.1365,0.1419,0.1225,0.1354,1232611.2591,168159.35172733
1658966400,2022-07-28 00:00:00,DUSK/USDT,0.1289,0.1388,0.12,0.1364,1670098.4353,214941.38688437
1658880000,2022-07-27 00:00:00,DUSK/USDT,0.1204,0.1289,0.1173,0.1289,517728.7548,62568.0218535
1658793600,2022-07-26 00:00:00,DUSK/USDT,0.1234,0.1234,0.1102,0.1203,978495.1065,116157.19652372
1658707200,2022-07-25 00:00:00,DUSK/USDT,0.1302,0.1336,0.1234,0.1234,1507830.4887,193475.50978171
1658620800,2022-07-24 00:00:00,DUSK/USDT,0.1352,0.1386,0.1295,0.1302,462837.4838,61472.06670183
1658534400,2022-07-23 00:00:00,DUSK/USDT,0.1367,0.1438,0.1299,0.1345,699482.6589,96291.02191333
1658448000,2022-07-22 00:00:00,DUSK/USDT,0.1394,0.1598,0.1341,0.1368,692799.7939,98708.91033251
1658361600,2022-07-21 00:00:00,DUSK/USDT,0.1325,0.143,0.1276,0.1394,650406.8699,88151.52054499
1658275200,2022-07-20 00:00:00,DUSK/USDT,0.1356,0.1574,0.1176,0.1324,1368691.44622716,187216.379623357571
1658188800,2022-07-19 00:00:00,DUSK/USDT,0.1324,0.16,0.129,0.1358,1325811.92996774,179879.735054503564
1658102400,2022-07-18 00:00:00,DUSK/USDT,0.117,0.136,0.117,0.1324,958495.7207935,124336.551882739212
1658016000,2022-07-17 00:00:00,DUSK/USDT,0.1202,0.1251,0.1161,0.1168,533500.1020454,64188.18269339192
1657929600,2022-07-16 00:00:00,DUSK/USDT,0.1196,0.1206,0.1142,0.1198,439625.28980189,51923.188622492276
1657843200,2022-07-15 00:00:00,DUSK/USDT,0.114,0.1232,0.1105,0.1197,888686.73050028,104141.370827789995
1657756800,2022-07-14 00:00:00,DUSK/USDT,0.1115,0.1274,0.1065,0.1142,1366106.12528082,151360.425710494162
1657670400,2022-07-13 00:00:00,DUSK/USDT,0.104,0.1122,0.1022,0.1119,419250.04769411,44948.30902297444
1657584000,2022-07-12 00:00:00,DUSK/USDT,0.1116,0.1133,0.104,0.104,408869.95039741,44646.249626831801
1657497600,2022-07-11 00:00:00,DUSK/USDT,0.1188,0.121,0.111,0.111,539249.82765315,62773.860337254821
1657411200,2022-07-10 00:00:00,DUSK/USDT,0.1258,0.1262,0.1171,0.1192,336685.79470455,40453.965967588484
1657324800,2022-07-09 00:00:00,DUSK/USDT,0.1204,0.1283,0.1204,0.1258,349676.59986548,43610.088940271835
1657238400,2022-07-08 00:00:00,DUSK/USDT,0.1257,0.1292,0.1192,0.1205,783734.6624846,96287.331581147773
1657152000,2022-07-07 00:00:00,DUSK/USDT,0.117,0.1285,0.1163,0.1257,1177769.5348543,145067.962241508104
1657065600,2022-07-06 00:00:00,DUSK/USDT,0.1152,0.1184,0.1117,0.1174,540059.33654352,62205.75088085261
1656979200,2022-07-05 00:00:00,DUSK/USDT,0.1189,0.1232,0.1112,0.1149,655708.11154904,76512.45367333698
1656892800,2022-07-04 00:00:00,DUSK/USDT,0.1134,0.1194,0.1096,0.1184,615536.35115571,70129.444300565308
1656806400,2022-07-03 00:00:00,DUSK/USDT,0.1127,0.1148,0.109,0.1133,677666.52863275,76296.671644462736
1656720000,2022-07-02 00:00:00,DUSK/USDT,0.1094,0.1204,0.1069,0.1124,1641630.02397109,184908.033948820607
1656633600,2022-07-01 00:00:00,DUSK/USDT,0.1115,0.1227,0.1027,0.1093,1628939.027122,179097.430913258549
1656547200,2022-06-30 00:00:00,DUSK/USDT,0.1209,0.1215,0.1064,0.1115,703546.52307994,77718.068641780502
1656460800,2022-06-29 00:00:00,DUSK/USDT,0.1273,0.1284,0.1204,0.121,366934.3952312,45277.900503383158
1656374400,2022-06-28 00:00:00,DUSK/USDT,0.1353,0.1381,0.1265,0.1265,438989.48169565,58697.403450414858
1656288000,2022-06-27 00:00:00,DUSK/USDT,0.1398,0.1485,0.1321,0.1352,529865.34498307,73658.021932243566
1656201600,2022-06-26 00:00:00,DUSK/USDT,0.1455,0.1535,0.1391,0.1391,733388.99449651,107873.937883282605
1656115200,2022-06-25 00:00:00,DUSK/USDT,0.1498,0.1509,0.1378,0.1449,700783.49947829,101159.813643498806
1656028800,2022-06-24 00:00:00,DUSK/USDT,0.1302,0.1519,0.1291,0.1496,1711694.97028336,245397.439089191908
1655942400,2022-06-23 00:00:00,DUSK/USDT,0.1225,0.1318,0.1224,0.1295,736749.37783938,94680.573764880754
1655856000,2022-06-22 00:00:00,DUSK/USDT,0.1276,0.1281,0.1203,0.1225,559905.71567863,69041.755822183915
1655769600,2022-06-21 00:00:00,DUSK/USDT,0.1169,0.1401,0.115,0.1272,1465244.34252844,191660.8430179982
1655683200,2022-06-20 00:00:00,DUSK/USDT,0.1165,0.1204,0.1107,0.1165,893060.07529668,103358.479886885372
1655596800,2022-06-19 00:00:00,DUSK/USDT,0.1104,0.119,0.1067,0.1165,1141394.75624438,129461.567076550435
1655510400,2022-06-18 00:00:00,DUSK/USDT,0.1215,0.1224,0.1033,0.1097,1050284.8883715,114993.456951557184
1655424000,2022-06-17 00:00:00,DUSK/USDT,0.1132,0.1286,0.1132,0.1217,1231352.77068484,149081.121811270737
1655337600,2022-06-16 00:00:00,DUSK/USDT,0.1286,0.1308,0.1114,0.1131,875731.65857059,104722.495146435882
1655251200,2022-06-15 00:00:00,DUSK/USDT,0.1256,0.1301,0.1125,0.1284,2151177.21875814,264440.199525555736
1655164800,2022-06-14 00:00:00,DUSK/USDT,0.1488,0.1559,0.121,0.1265,5749737.07522851,803765.00533067888
1655078400,2022-06-13 00:00:00,DUSK/USDT,0.1104,0.2,0.095,0.1488,20475999.08078975,3162564.982802615018
1654992000,2022-06-12 00:00:00,DUSK/USDT,0.1159,0.1246,0.1059,0.1097,1054773.56182733,121605.137908332146
1654905600,2022-06-11 00:00:00,DUSK/USDT,0.1328,0.136,0.1143,0.1159,690183.61373862,83525.192697204327
1654819200,2022-06-10 00:00:00,DUSK/USDT,0.148,0.1495,0.131,0.1328,473564.10197176,65633.982046057254
1654732800,2022-06-09 00:00:00,DUSK/USDT,0.1468,0.1729,0.143,0.1484,771952.91620376,116929.681294494106
1654646400,2022-06-08 00:00:00,DUSK/USDT,0.1567,0.1668,0.1456,0.146,1018762.96895268,155612.236203374439
1654560000,2022-06-07 00:00:00,DUSK/USDT,0.147,0.1732,0.1381,0.1567,1682399.96461982,256260.826292045882
1654473600,2022-06-06 00:00:00,DUSK/USDT,0.1408,0.1512,0.1402,0.1478,259731.18654935,38148.509198124639
1654387200,2022-06-05 00:00:00,DUSK/USDT,0.1407,0.1432,0.1364,0.1401,340774.94848324,47493.668077636802
1654300800,2022-06-04 00:00:00,DUSK/USDT,0.1371,0.1457,0.1344,0.1407,465387.72282456,65252.690373996641
1654214400,2022-06-03 00:00:00,DUSK/USDT,0.1412,0.1415,0.129,0.137,430893.14721194,57953.645405847348
1654128000,2022-06-02 00:00:00,DUSK/USDT,0.1359,0.1421,0.1335,0.1421,440158.44012482,60385.777908681521
1654041600,2022-06-01 00:00:00,DUSK/USDT,0.1505,0.1541,0.134,0.136,986394.16987581,143975.407177531668
1653955200,2022-05-31 00:00:00,DUSK/USDT,0.1463,0.1623,0.14,0.1502,1063474.7839484,158346.901693743625
1653868800,2022-05-30 00:00:00,DUSK/USDT,0.134,0.1499,0.134,0.1455,727993.13794114,101909.321083914954
1653782400,2022-05-29 00:00:00,DUSK/USDT,0.1286,0.1363,0.126,0.1339,479321.54693986,62525.230498640328
1653696000,2022-05-28 00:00:00,DUSK/USDT,0.1229,0.1295,0.122,0.1293,404082.13180824,50690.618176901935
1653609600,2022-05-27 00:00:00,DUSK/USDT,0.1295,0.1313,0.1207,0.1227,757390.33209743,94917.88047110558
1653523200,2022-05-26 00:00:00,DUSK/USDT,0.1392,0.1437,0.1242,0.1286,588416.46226934,77570.906118371598
1653436800,2022-05-25 00:00:00,DUSK/USDT,0.1534,0.1536,0.1357,0.1392,685401.37837832,98969.64726982203
1653350400,2022-05-24 00:00:00,DUSK/USDT,0.1349,0.1564,0.13,0.1534,1330606.20306172,190999.899065616742
1653264000,2022-05-23 00:00:00,DUSK/USDT,0.144,0.16,0.125,0.1348,1042410.77555816,150440.668204316046
1653177600,2022-05-22 00:00:00,DUSK/USDT,0.1361,0.1458,0.132,0.1432,728488.84324952,102041.775876146735
1653091200,2022-05-21 00:00:00,DUSK/USDT,0.1282,0.1388,0.1255,0.1361,506000.6819576,66854.102902229228
1653004800,2022-05-20 00:00:00,DUSK/USDT,0.1342,0.1365,0.1234,0.1282,568653.59702846,74003.565684124934
1652918400,2022-05-19 00:00:00,DUSK/USDT,0.125,0.135,0.119,0.135,926954.79774912,117367.25623301892
1652832000,2022-05-18 00:00:00,DUSK/USDT,0.1462,0.1487,0.1238,0.1242,768744.16457774,103359.755547163009
1652745600,2022-05-17 00:00:00,DUSK/USDT,0.1381,0.1568,0.1355,0.1452,1311975.74278573,190709.097154466101
1652659200,2022-05-16 00:00:00,DUSK/USDT,0.1512,0.1517,0.1357,0.1383,518747.03196985,72876.282800218132
1652572800,2022-05-15 00:00:00,DUSK/USDT,0.1425,0.1649,0.1256,0.1514,1272025.32063781,182693.027325937866
1652486400,2022-05-14 00:00:00,DUSK/USDT,0.143,0.1469,0.127,0.1434,1386313.86079155,188236.46021664929
1652400000,2022-05-13 00:00:00,DUSK/USDT,0.0811,0.1685,0.0811,0.142,778998.05320263,120222.395012737946
