https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CUSDTHALF,Volume USD
1640131200000.0,2021-12-22 00:00:00,CUSDTHALF/USD,5181.0,5181.25,5172.25,5177.25,0.0,0.0
1640044800000.0,2021-12-21 00:00:00,CUSDTHALF/USD,5180.0,5181.25,5171.0,5181.0,0.0,0.0
1639958400000.0,2021-12-20 00:00:00,CUSDTHALF/USD,5170.5,5181.25,5167.5,5171.75,0.0,0.0
1639872000000.0,2021-12-19 00:00:00,CUSDTHALF/USD,5171.5,5181.25,5167.75,5170.5,0.0,0.0
1639785600000.0,2021-12-18 00:00:00,CUSDTHALF/USD,5171.5,5181.25,5169.5,5171.5,0.0,0.0
1639699200000.0,2021-12-17 00:00:00,CUSDTHALF/USD,5181.25,5181.25,5165.0,5171.5,0.0,0.0
1639612800000.0,2021-12-16 00:00:00,CUSDTHALF/USD,5172.0,5181.25,5166.75,5172.5,0.0,0.0
1639526400000.0,2021-12-15 00:00:00,CUSDTHALF/USD,5131.75,5181.25,5131.75,5172.0,0.00966411252900232,49.98279
1639440000000.0,2021-12-14 00:00:00,CUSDTHALF/USD,5131.75,5131.75,5131.75,5131.75,0.0,0.0
1639353600000.0,2021-12-13 00:00:00,CUSDTHALF/USD,5131.75,5131.75,5131.75,5131.75,0.0,0.0
1639267200000.0,2021-12-12 00:00:00,CUSDTHALF/USD,5131.75,5131.75,5131.75,5131.75,0.0,0.0
1639180800000.0,2021-12-11 00:00:00,CUSDTHALF/USD,5131.75,5140.5,5131.75,5131.75,0.0,0.0
1639094400000.0,2021-12-10 00:00:00,CUSDTHALF/USD,5131.75,5131.75,5131.75,5131.75,0.0,0.0
1639008000000.0,2021-12-09 00:00:00,CUSDTHALF/USD,5131.75,5131.75,5131.75,5131.75,0.0,0.0
1638921600000.0,2021-12-08 00:00:00,CUSDTHALF/USD,5131.75,5131.75,5131.75,5131.75,0.0,0.0
1638835200000.0,2021-12-07 00:00:00,CUSDTHALF/USD,5131.75,5131.75,5131.75,5131.75,0.0,0.0
1638748800000.0,2021-12-06 00:00:00,CUSDTHALF/USD,5131.75,5131.75,5131.75,5131.75,0.0,0.0
1638662400000.0,2021-12-05 00:00:00,CUSDTHALF/USD,5131.75,5131.75,5131.75,5131.75,0.0,0.0
1638576000000.0,2021-12-04 00:00:00,CUSDTHALF/USD,5132.5,5137.0,5131.75,5131.75,0.0,0.0
1638489600000.0,2021-12-03 00:00:00,CUSDTHALF/USD,5132.0,5154.0,5131.75,5132.5,0.0,0.0
1638403200000.0,2021-12-02 00:00:00,CUSDTHALF/USD,5131.75,5155.0,5131.75,5132.0,0.0,0.0
1638316800000.0,2021-12-01 00:00:00,CUSDTHALF/USD,5131.75,5134.75,5131.75,5131.75,0.0,0.0
1638230400000.0,2021-11-30 00:00:00,CUSDTHALF/USD,5131.75,5131.75,5131.75,5131.75,0.0,0.0
1638144000000.0,2021-11-29 00:00:00,CUSDTHALF/USD,5131.75,5131.75,5131.75,5131.75,0.0,0.0
1638057600000.0,2021-11-28 00:00:00,CUSDTHALF/USD,5131.75,5131.75,5131.75,5131.75,0.0,0.0
1637971200000.0,2021-11-27 00:00:00,CUSDTHALF/USD,5131.75,5131.75,5131.75,5131.75,0.0,0.0
1637884800000.0,2021-11-26 00:00:00,CUSDTHALF/USD,5131.75,5131.75,5131.75,5131.75,0.0,0.0
1637798400000.0,2021-11-25 00:00:00,CUSDTHALF/USD,5131.75,5141.5,5131.75,5131.75,0.0,0.0
1637712000000.0,2021-11-24 00:00:00,CUSDTHALF/USD,5131.75,5131.75,5131.75,5131.75,0.0,0.0
1637625600000.0,2021-11-23 00:00:00,CUSDTHALF/USD,5131.75,5131.75,5131.75,5131.75,0.0,0.0
1637539200000.0,2021-11-22 00:00:00,CUSDTHALF/USD,5131.75,5131.75,5131.75,5131.75,0.0,0.0
1637452800000.0,2021-11-21 00:00:00,CUSDTHALF/USD,5131.75,5131.75,5131.75,5131.75,0.0,0.0
1637366400000.0,2021-11-20 00:00:00,CUSDTHALF/USD,5131.75,5131.75,5131.75,5131.75,0.0,0.0
1637280000000.0,2021-11-19 00:00:00,CUSDTHALF/USD,5131.75,5131.75,5131.75,5131.75,0.0,0.0
