https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VLX,Volume USDT
1656547200,2022-06-30 00:00:00,VLX/USDT,0.0442,0.0442,0.04052,0.04212,2378338.41627585,100343.1443088316572
1656460800,2022-06-29 00:00:00,VLX/USDT,0.04491,0.04536,0.04382,0.0441,2108222.44524929,93991.6433314181362
1656374400,2022-06-28 00:00:00,VLX/USDT,0.04617,0.04696,0.04488,0.04492,1549632.07191206,70943.3370091664031
1656288000,2022-06-27 00:00:00,VLX/USDT,0.04715,0.048,0.04503,0.04618,1837775.27719217,85565.5043607928276
1656201600,2022-06-26 00:00:00,VLX/USDT,0.04796,0.05073,0.04692,0.0472,3549867.24095279,173392.5363301285931
1656115200,2022-06-25 00:00:00,VLX/USDT,0.04727,0.04907,0.0466,0.04783,1962265.35157418,93605.4062504475464
1656028800,2022-06-24 00:00:00,VLX/USDT,0.04575,0.04782,0.04526,0.04725,1944441.43793409,90585.520024139203
1655942400,2022-06-23 00:00:00,VLX/USDT,0.04381,0.04591,0.04381,0.04575,1355731.43592735,60911.4092296715039
1655856000,2022-06-22 00:00:00,VLX/USDT,0.04366,0.04527,0.04242,0.0439,2066086.91071034,90332.9083901869818
1655769600,2022-06-21 00:00:00,VLX/USDT,0.045,0.04538,0.03991,0.04352,7157400.61820692,306074.6923143764084
1655683200,2022-06-20 00:00:00,VLX/USDT,0.04442,0.04545,0.043,0.04501,1955871.23304475,86986.8315306284171
1655596800,2022-06-19 00:00:00,VLX/USDT,0.0408,0.0447,0.04024,0.0446,1999040.99004513,85402.3859676975599
1655510400,2022-06-18 00:00:00,VLX/USDT,0.04417,0.04459,0.0401,0.04073,2512456.73188344,104922.9492498897353
1655424000,2022-06-17 00:00:00,VLX/USDT,0.04258,0.0447,0.04211,0.04436,2169360.17743138,94318.4755086670474
1655337600,2022-06-16 00:00:00,VLX/USDT,0.045,0.04615,0.0422,0.0423,3406001.23449028,149666.7525202874112
1655251200,2022-06-15 00:00:00,VLX/USDT,0.0477,0.0477,0.0399,0.04499,6751476.51266817,294453.4005430398746
1655164800,2022-06-14 00:00:00,VLX/USDT,0.0475,0.0498,0.0456,0.0477,4070368.80416495,195750.340797800627
1655078400,2022-06-13 00:00:00,VLX/USDT,0.0559,0.0561,0.0471,0.0475,6431985.64723042,322652.231262122054
1654992000,2022-06-12 00:00:00,VLX/USDT,0.0572,0.0576,0.055,0.0559,2529467.99392206,142313.765854843564
1654905600,2022-06-11 00:00:00,VLX/USDT,0.0602,0.0623,0.0571,0.0572,3164005.31647036,187030.742242015761
1654819200,2022-06-10 00:00:00,VLX/USDT,0.0608,0.0613,0.0558,0.0603,4043103.78069949,236213.886392411829
1654732800,2022-06-09 00:00:00,VLX/USDT,0.0611,0.062,0.0598,0.0608,2812762.45968997,171405.818020255593
1654646400,2022-06-08 00:00:00,VLX/USDT,0.0628,0.0658,0.0609,0.061,3427854.74913229,217145.781482698508
1654560000,2022-06-07 00:00:00,VLX/USDT,0.0612,0.0639,0.0595,0.0628,5259672.10228611,320971.525049403247
1654473600,2022-06-06 00:00:00,VLX/USDT,0.061,0.0639,0.061,0.0612,3063798.42219117,190640.934136261207
1654387200,2022-06-05 00:00:00,VLX/USDT,0.0623,0.0637,0.0591,0.0611,3829567.09338828,235674.64075240595
1654300800,2022-06-04 00:00:00,VLX/USDT,0.0629,0.063,0.0611,0.0622,3049530.66413639,188933.482750032733
1654214400,2022-06-03 00:00:00,VLX/USDT,0.0688,0.0705,0.0621,0.0629,4749594.75784395,311004.20469560062
1654128000,2022-06-02 00:00:00,VLX/USDT,0.0622,0.0729,0.0622,0.0689,4142497.02790116,273482.270469467789
1654041600,2022-06-01 00:00:00,VLX/USDT,0.0665,0.0675,0.0613,0.0624,3007863.36711503,194125.649107874754
1653955200,2022-05-31 00:00:00,VLX/USDT,0.0666,0.0689,0.0656,0.0665,3110582.42026555,208050.715248092855
1653868800,2022-05-30 00:00:00,VLX/USDT,0.0606,0.0666,0.0603,0.0666,4860946.78940292,310706.010669939337
1653782400,2022-05-29 00:00:00,VLX/USDT,0.0599,0.061,0.059,0.0606,2419974.80052606,145421.725338934434
1653696000,2022-05-28 00:00:00,VLX/USDT,0.0597,0.0617,0.0595,0.0599,2626432.77278965,158485.804580109842
1653609600,2022-05-27 00:00:00,VLX/USDT,0.0592,0.063,0.0581,0.0597,3673840.06638256,219899.851130564168
1653523200,2022-05-26 00:00:00,VLX/USDT,0.0644,0.0653,0.0588,0.0593,6306134.84199546,386825.01702610155
1653436800,2022-05-25 00:00:00,VLX/USDT,0.0659,0.0676,0.0629,0.0645,3095041.92785652,201509.372057737804
1653350400,2022-05-24 00:00:00,VLX/USDT,0.0687,0.0693,0.0612,0.0659,3778786.36056264,248635.369951678146
1653264000,2022-05-23 00:00:00,VLX/USDT,0.0732,0.0739,0.0687,0.0687,3190771.85494233,229967.03870416607
1653177600,2022-05-22 00:00:00,VLX/USDT,0.0711,0.0738,0.071,0.0733,2538526.31640072,183519.066145009937
1653091200,2022-05-21 00:00:00,VLX/USDT,0.0748,0.0753,0.07,0.0711,2269061.28349627,163545.143238692277
1653004800,2022-05-20 00:00:00,VLX/USDT,0.0828,0.0829,0.0724,0.0748,3373983.24764261,262277.283989349734
1652918400,2022-05-19 00:00:00,VLX/USDT,0.0886,0.0927,0.0806,0.0828,5549457.87104126,470604.589761547323
1652832000,2022-05-18 00:00:00,VLX/USDT,0.0918,0.099,0.0851,0.0885,9861123.63275029,906277.174274831327
1652745600,2022-05-17 00:00:00,VLX/USDT,0.0787,0.0957,0.0779,0.0915,7983872.34175241,698765.805183938087
1652659200,2022-05-16 00:00:00,VLX/USDT,0.0784,0.0981,0.0714,0.079,5929727.79405945,474972.743690761197
1652572800,2022-05-15 00:00:00,VLX/USDT,0.0737,0.081,0.0653,0.0785,4390581.75844873,321412.844398629142
1652486400,2022-05-14 00:00:00,VLX/USDT,0.0777,0.0796,0.0661,0.0738,5419401.30976005,391452.581514663145
1652400000,2022-05-13 00:00:00,VLX/USDT,0.0618,0.0855,0.057,0.0777,10244237.13158536,751397.565245165463
1652313600,2022-05-12 00:00:00,VLX/USDT,0.074,0.0788,0.051,0.062,8993490.19722654,580953.025177076274
1652227200,2022-05-11 00:00:00,VLX/USDT,0.1362,0.1374,0.068,0.0745,14424115.57909471,1361194.423731191126
1652140800,2022-05-10 00:00:00,VLX/USDT,0.1339,0.1413,0.129,0.1364,4569455.14213675,617340.865120892285
1652054400,2022-05-09 00:00:00,VLX/USDT,0.1493,0.15,0.1302,0.134,3731515.67930907,518095.743751884373
1651968000,2022-05-08 00:00:00,VLX/USDT,0.1549,0.1578,0.1486,0.1494,3035054.21693679,464189.64755218217
1651881600,2022-05-07 00:00:00,VLX/USDT,0.1585,0.1601,0.1547,0.1553,2445978.6861119,387006.918120104152
1651795200,2022-05-06 00:00:00,VLX/USDT,0.1664,0.1669,0.157,0.1587,3191159.43567321,512142.067025050123
1651708800,2022-05-05 00:00:00,VLX/USDT,0.1782,0.1817,0.1629,0.1663,3482718.32298322,601923.242016689727
1651622400,2022-05-04 00:00:00,VLX/USDT,0.1693,0.1808,0.1668,0.1783,3916563.21130557,678000.852281964902
1651536000,2022-05-03 00:00:00,VLX/USDT,0.1797,0.1801,0.1676,0.1693,3174837.42951174,550002.841696152104
1651449600,2022-05-02 00:00:00,VLX/USDT,0.1824,0.1862,0.178,0.1797,2978875.53415933,541475.063822977411
1651363200,2022-05-01 00:00:00,VLX/USDT,0.1853,0.1867,0.1767,0.1821,3542058.2076194,640678.984105052184
1651276800,2022-04-30 00:00:00,VLX/USDT,0.205,0.2051,0.1845,0.1855,5473817.00923061,1087121.501128913597
1651190400,2022-04-29 00:00:00,VLX/USDT,0.1694,0.2358,0.1656,0.2049,19346594.48323587,3910951.44837546049
1651104000,2022-04-28 00:00:00,VLX/USDT,0.1444,0.1779,0.1386,0.1694,8140263.45288088,1265108.613307825081
1651017600,2022-04-27 00:00:00,VLX/USDT,0.1361,0.1508,0.1172,0.1444,9381470.33784498,1240973.526397391337
1650931200,2022-04-26 00:00:00,VLX/USDT,0.1592,0.16,0.1319,0.1361,4327867.00474944,651902.553660874831
1650844800,2022-04-25 00:00:00,VLX/USDT,0.1615,0.1651,0.1521,0.1592,3435091.1716728,544198.908082061877
1650758400,2022-04-24 00:00:00,VLX/USDT,0.172,0.1745,0.1572,0.1611,2693403.3159543,450212.174765932271
1650672000,2022-04-23 00:00:00,VLX/USDT,0.1782,0.1835,0.1671,0.1716,3443618.56385218,602029.146035928205
1650585600,2022-04-22 00:00:00,VLX/USDT,0.1853,0.1992,0.1748,0.1785,2757473.71662823,507439.809263116679
1650499200,2022-04-21 00:00:00,VLX/USDT,0.1983,0.2027,0.1837,0.1851,2849272.09753859,555262.751856044945
1650412800,2022-04-20 00:00:00,VLX/USDT,0.2034,0.2095,0.1966,0.1986,2469357.60817417,497341.907826780586
1650326400,2022-04-19 00:00:00,VLX/USDT,0.2009,0.2087,0.1948,0.2033,3104350.8738769,623488.741200319205
1650240000,2022-04-18 00:00:00,VLX/USDT,0.204,0.2099,0.1913,0.201,2927642.25446265,579938.416156764693
1650153600,2022-04-17 00:00:00,VLX/USDT,0.2131,0.2164,0.2013,0.204,2850515.62305479,596857.962734341485
1650067200,2022-04-16 00:00:00,VLX/USDT,0.2156,0.218,0.2102,0.2132,1582409.84939028,338700.358596377348
1649980800,2022-04-15 00:00:00,VLX/USDT,0.2205,0.2234,0.2148,0.2157,1529003.71925601,334693.048229023117
1649894400,2022-04-14 00:00:00,VLX/USDT,0.2224,0.2265,0.218,0.2206,1640394.8269926,365107.215122713693
1649808000,2022-04-13 00:00:00,VLX/USDT,0.223,0.2294,0.2203,0.2222,1542987.38204804,345085.63860896135
1649721600,2022-04-12 00:00:00,VLX/USDT,0.2201,0.24,0.2184,0.2229,2410489.74358674,544549.113361985082
1649635200,2022-04-11 00:00:00,VLX/USDT,0.2431,0.2439,0.2196,0.22,2895999.69672928,669861.679508156704
1649548800,2022-04-10 00:00:00,VLX/USDT,0.2261,0.26,0.2226,0.2432,4159846.37962242,1006869.96243944921
1649462400,2022-04-09 00:00:00,VLX/USDT,0.2491,0.2505,0.2207,0.2262,3791184.53056015,874644.164418897198
1649376000,2022-04-08 00:00:00,VLX/USDT,0.2473,0.2565,0.2455,0.2491,2499978.38961321,625532.41686464216
1649289600,2022-04-07 00:00:00,VLX/USDT,0.248,0.2549,0.2414,0.2472,2352708.91099859,580290.628843871592
1649203200,2022-04-06 00:00:00,VLX/USDT,0.2265,0.2999,0.2152,0.2479,21709259.23987644,5842111.882894703718
1649116800,2022-04-05 00:00:00,VLX/USDT,0.2247,0.2387,0.213,0.2267,3605079.58368523,812582.935886659399
1649030400,2022-04-04 00:00:00,VLX/USDT,0.2275,0.2277,0.2171,0.2246,2962820.9952342,657081.103999485238
1648944000,2022-04-03 00:00:00,VLX/USDT,0.2336,0.2381,0.2233,0.2274,3352145.42540235,771603.757743371032
1648857600,2022-04-02 00:00:00,VLX/USDT,0.2393,0.2497,0.2335,0.2337,4981873.24732333,1196992.897458373405
1648771200,2022-04-01 00:00:00,VLX/USDT,0.2358,0.2516,0.2292,0.2386,4852386.93284029,1152958.034776006632
1648684800,2022-03-31 00:00:00,VLX/USDT,0.2518,0.2812,0.2327,0.2356,7096299.97248153,1844484.898823254391
1648598400,2022-03-30 00:00:00,VLX/USDT,0.2525,0.254,0.2479,0.2521,3486147.3597447,875153.936104097782
1648512000,2022-03-29 00:00:00,VLX/USDT,0.2491,0.2526,0.2489,0.2525,2459529.82946485,617699.511956938948
1648425600,2022-03-28 00:00:00,VLX/USDT,0.245,0.2506,0.2446,0.249,4231300.37513676,1048883.599981184781
1648339200,2022-03-27 00:00:00,VLX/USDT,0.2405,0.2449,0.2403,0.2449,2572760.67129952,624458.007615192386
1648252800,2022-03-26 00:00:00,VLX/USDT,0.2378,0.2417,0.2374,0.2408,1924124.57685122,460966.333526385675
1648166400,2022-03-25 00:00:00,VLX/USDT,0.234,0.239,0.2335,0.2378,3018511.58926725,712519.879406188028
1648080000,2022-03-24 00:00:00,VLX/USDT,0.2253,0.2348,0.2252,0.234,3513407.12481222,810544.004898956786
1647993600,2022-03-23 00:00:00,VLX/USDT,0.2219,0.2257,0.2216,0.2253,2162152.03566856,484032.735341833106
1647907200,2022-03-22 00:00:00,VLX/USDT,0.2215,0.2228,0.2194,0.222,2897429.41829509,640643.293682754258
1647820800,2022-03-21 00:00:00,VLX/USDT,0.2211,0.2233,0.2175,0.2218,5898716.04464548,1297852.661707072558
1647734400,2022-03-20 00:00:00,VLX/USDT,0.2206,0.223,0.2198,0.2211,2666885.16518651,589883.539581607529
1647648000,2022-03-19 00:00:00,VLX/USDT,0.2163,0.221,0.216,0.2208,3218148.62771178,703013.789181613338
1647561600,2022-03-18 00:00:00,VLX/USDT,0.2145,0.2173,0.214,0.2162,1892116.36212571,406758.932602853824
1647475200,2022-03-17 00:00:00,VLX/USDT,0.2144,0.216,0.214,0.2145,2742017.39244484,589073.449238596949
1647388800,2022-03-16 00:00:00,VLX/USDT,0.2116,0.2158,0.2116,0.2144,2998733.61858843,640977.904403179611
1647302400,2022-03-15 00:00:00,VLX/USDT,0.214,0.2144,0.2106,0.2118,1890924.10504952,401040.662132182771
1647216000,2022-03-14 00:00:00,VLX/USDT,0.218,0.2189,0.2122,0.214,2842394.18406092,613205.447524766975
1647129600,2022-03-13 00:00:00,VLX/USDT,0.2215,0.2228,0.2181,0.2182,2668985.29733989,587973.563921995785
1647043200,2022-03-12 00:00:00,VLX/USDT,0.2232,0.2266,0.2216,0.2217,2747536.83243015,612854.584302107406
1646956800,2022-03-11 00:00:00,VLX/USDT,0.2251,0.2257,0.2225,0.2233,3710428.93104494,830064.332047583083
1646870400,2022-03-10 00:00:00,VLX/USDT,0.2253,0.2262,0.2241,0.2251,2200517.63995869,494957.395239949543
1646784000,2022-03-09 00:00:00,VLX/USDT,0.2228,0.2267,0.2203,0.2254,3404301.44847823,762794.473246823091
1646697600,2022-03-08 00:00:00,VLX/USDT,0.2222,0.2245,0.2216,0.2228,2026195.0179467,451153.14166439631
1646611200,2022-03-07 00:00:00,VLX/USDT,0.2257,0.2261,0.2221,0.2222,2376314.69365718,532337.892560037491
1646524800,2022-03-06 00:00:00,VLX/USDT,0.2269,0.2275,0.2246,0.226,1974581.40493631,446636.189381032415
1646438400,2022-03-05 00:00:00,VLX/USDT,0.2284,0.2285,0.226,0.2269,1583993.73593707,359566.22638100526
1646352000,2022-03-04 00:00:00,VLX/USDT,0.2333,0.2341,0.2255,0.2284,2502612.53292273,576916.649401540252
1646265600,2022-03-03 00:00:00,VLX/USDT,0.2355,0.2368,0.2331,0.2331,1949740.8850037,457554.812555208874
1646179200,2022-03-02 00:00:00,VLX/USDT,0.2377,0.2383,0.2342,0.2352,2047862.46067383,483378.918338334768
1646092800,2022-03-01 00:00:00,VLX/USDT,0.2364,0.244,0.2337,0.2376,4948263.97163479,1180488.927212840856
1646006400,2022-02-28 00:00:00,VLX/USDT,0.2265,0.2369,0.225,0.2364,4188341.00446025,969371.216198958984
