https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DRGN,Volume BTC
1655064000,2022-06-12 20:00:00,DRGN/BTC,0.00000064,0.00000065,0.00000064,0.00000065,5979.3145,0.003864103783
1655060400,2022-06-12 19:00:00,DRGN/BTC,0.00000064,0.00000064,0.00000064,0.00000064,0,0
1655056800,2022-06-12 18:00:00,DRGN/BTC,0.00000065,0.00000066,0.00000064,0.00000064,5496.97235303,0.0035994214879998
1655053200,2022-06-12 17:00:00,DRGN/BTC,0.00000066,0.00000066,0.00000064,0.00000064,8264.4049,0.005357056069
1655049600,2022-06-12 16:00:00,DRGN/BTC,0.00000064,0.00000065,0.00000064,0.00000064,1299.1982,0.000836564534
1655046000,2022-06-12 15:00:00,DRGN/BTC,0.00000063,0.00000066,0.00000062,0.00000066,308363.353,0.200348978291
1655042400,2022-06-12 14:00:00,DRGN/BTC,0.00000062,0.00000064,0.00000061,0.00000063,34081.5768,0.0214146327022258
1655038800,2022-06-12 13:00:00,DRGN/BTC,0.00000062,0.00000062,0.00000061,0.00000062,1895.89661129,0.0011609081199998
1655035200,2022-06-12 12:00:00,DRGN/BTC,0.00000061,0.00000063,0.0000006,0.00000062,64430.3635,0.039925107269
1655031600,2022-06-12 11:00:00,DRGN/BTC,0.00000062,0.00000062,0.0000006,0.00000062,25106.91202258,0.0152911542329996
1655028000,2022-06-12 10:00:00,DRGN/BTC,0.00000061,0.00000062,0.0000006,0.00000061,12698.7866,0.007777862411
1655024400,2022-06-12 09:00:00,DRGN/BTC,0.00000061,0.00000062,0.0000006,0.0000006,110621.8809,0.066669764809
1655020800,2022-06-12 08:00:00,DRGN/BTC,0.00000061,0.00000061,0.0000006,0.00000061,28631.8104,0.017389713396
1655017200,2022-06-12 07:00:00,DRGN/BTC,0.00000061,0.00000061,0.0000006,0.00000061,41084.5419,0.024692179745
1655013600,2022-06-12 06:00:00,DRGN/BTC,0.00000061,0.00000061,0.00000061,0.00000061,2893.8678,0.001765259358
1655010000,2022-06-12 05:00:00,DRGN/BTC,0.00000063,0.00000063,0.00000061,0.00000061,61621.169,0.03824254473
1655006400,2022-06-12 04:00:00,DRGN/BTC,0.00000063,0.00000063,0.00000063,0.00000063,5279.3717,0.003326004171
1655002800,2022-06-12 03:00:00,DRGN/BTC,0.00000063,0.00000063,0.00000063,0.00000063,0,0
1654999200,2022-06-12 02:00:00,DRGN/BTC,0.00000063,0.00000065,0.00000063,0.00000063,2221.5165,0.001400965425
1654995600,2022-06-12 01:00:00,DRGN/BTC,0.00000064,0.00000064,0.00000063,0.00000063,47871.1151,0.030452892535
1654992000,2022-06-12 00:00:00,DRGN/BTC,0.00000064,0.00000064,0.00000064,0.00000064,7182.2425,0.0045966352
1654988400,2022-06-11 23:00:00,DRGN/BTC,0.00000064,0.00000064,0.00000064,0.00000064,0,0
1654984800,2022-06-11 22:00:00,DRGN/BTC,0.00000065,0.00000065,0.00000064,0.00000064,28198.4995,0.018055202138
1654981200,2022-06-11 21:00:00,DRGN/BTC,0.00000066,0.00000066,0.00000065,0.00000066,65569.34962424,0.0429955350429984
1654977600,2022-06-11 20:00:00,DRGN/BTC,0.00000066,0.00000066,0.00000064,0.00000064,50190,0.032702519573
1654974000,2022-06-11 19:00:00,DRGN/BTC,0.00000067,0.00000067,0.00000066,0.00000066,10703.6517,0.007169035778
1654970400,2022-06-11 18:00:00,DRGN/BTC,0.00000066,0.00000067,0.00000066,0.00000067,880.7289,0.000586079183
1654966800,2022-06-11 17:00:00,DRGN/BTC,0.00000067,0.00000067,0.00000066,0.00000066,6533.7611,0.004376959973
1654963200,2022-06-11 16:00:00,DRGN/BTC,0.00000066,0.00000069,0.00000065,0.00000068,59520.5739345,0.0401081777189962
1654959600,2022-06-11 15:00:00,DRGN/BTC,0.00000066,0.00000068,0.00000064,0.00000064,117953.82555147,0.0764392834159996
1654956000,2022-06-11 14:00:00,DRGN/BTC,0.00000065,0.00000066,0.00000065,0.00000066,105558.6881,0.068797172201
1654952400,2022-06-11 13:00:00,DRGN/BTC,0.00000065,0.00000065,0.00000065,0.00000065,6033.4281,0.003921728265
1654948800,2022-06-11 12:00:00,DRGN/BTC,0.00000066,0.00000066,0.00000064,0.00000064,175018.7327,0.113990230264
1654945200,2022-06-11 11:00:00,DRGN/BTC,0.00000066,0.00000068,0.00000065,0.00000067,40826.49916865,0.027025067670682
1654941600,2022-06-11 10:00:00,DRGN/BTC,0.00000068,0.00000068,0.00000065,0.00000066,80947.2982,0.053337070702
1654938000,2022-06-11 09:00:00,DRGN/BTC,0.00000067,0.00000069,0.00000067,0.00000069,5894.13600299,0.0039932538690332
1654934400,2022-06-11 08:00:00,DRGN/BTC,0.00000067,0.00000068,0.00000067,0.00000068,22284.4417,0.0150568614559701
1654930800,2022-06-11 07:00:00,DRGN/BTC,0.00000066,0.00000066,0.00000066,0.00000066,1252.0612,0.000826360392
1654927200,2022-06-11 06:00:00,DRGN/BTC,0.00000067,0.00000067,0.00000067,0.00000067,1670.2857,0.001119091419
1654923600,2022-06-11 05:00:00,DRGN/BTC,0.00000066,0.00000066,0.00000066,0.00000066,4201.6592,0.002773095072
1654920000,2022-06-11 04:00:00,DRGN/BTC,0.00000067,0.00000067,0.00000067,0.00000067,50.1136,0.000033576112
1654916400,2022-06-11 03:00:00,DRGN/BTC,0.00000067,0.00000067,0.00000067,0.00000067,1943.73,0.0013022991
1654912800,2022-06-11 02:00:00,DRGN/BTC,0.00000066,0.00000066,0.00000066,0.00000066,211.31,0.0001394646
1654909200,2022-06-11 01:00:00,DRGN/BTC,0.00000067,0.00000067,0.00000066,0.00000066,503.7208,0.000335377569
1654905600,2022-06-11 00:00:00,DRGN/BTC,0.00000066,0.00000067,0.00000066,0.00000067,2896.94599701,0.0019386568469967
1654902000,2022-06-10 23:00:00,DRGN/BTC,0.00000066,0.00000068,0.00000066,0.00000068,2332.8183,0.001563762193
1654898400,2022-06-10 22:00:00,DRGN/BTC,0.00000067,0.00000068,0.00000066,0.00000066,6092.7013,0.004086410409
1654894800,2022-06-10 21:00:00,DRGN/BTC,0.00000069,0.00000069,0.00000066,0.00000067,73398.9082,0.048837036912
1654891200,2022-06-10 20:00:00,DRGN/BTC,0.0000007,0.0000007,0.00000066,0.00000069,108247.52792792,0.0724919492929856
1654887600,2022-06-10 19:00:00,DRGN/BTC,0.00000069,0.00000071,0.00000067,0.0000007,142778.7602,0.097205754802
1654884000,2022-06-10 18:00:00,DRGN/BTC,0.00000072,0.00000072,0.00000068,0.00000071,123331.30701267,0.0850088305099957
1654880400,2022-06-10 17:00:00,DRGN/BTC,0.00000072,0.00000073,0.00000072,0.00000073,2882.11547397,0.0020859560869981
1654876800,2022-06-10 16:00:00,DRGN/BTC,0.00000072,0.00000073,0.00000072,0.00000072,662.756,0.000477492052
1654873200,2022-06-10 15:00:00,DRGN/BTC,0.00000073,0.00000074,0.00000072,0.00000074,46918.1956,0.033909997849
1654869600,2022-06-10 14:00:00,DRGN/BTC,0.00000074,0.00000074,0.00000073,0.00000073,32195.90890943,0.0236712472289782
1654866000,2022-06-10 13:00:00,DRGN/BTC,0.00000076,0.00000077,0.00000074,0.00000075,41021.7926,0.030884083495
1654862400,2022-06-10 12:00:00,DRGN/BTC,0.00000071,0.00000078,0.00000071,0.00000077,189274.46261844,0.1418833429914203
1654858800,2022-06-10 11:00:00,DRGN/BTC,0.00000071,0.00000071,0.00000069,0.0000007,5432.6708,0.003783345856
1654855200,2022-06-10 10:00:00,DRGN/BTC,0.00000068,0.00000077,0.00000067,0.00000071,498811.33150967,0.3577778965090044
1654851600,2022-06-10 09:00:00,DRGN/BTC,0.00000066,0.00000069,0.00000066,0.00000068,34842.15018706,0.023476952216996
