https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume NGN,tradecount
1610150400000,2021-01-09 00:00:00,ETH/NGN,594245.00000000,629982.00000000,574707.00000000,617500.00000000,1614.43362000,968463032.87695000,11773
1610064000000,2021-01-08 00:00:00,ETH/NGN,597286.00000000,616263.00000000,521118.00000000,594245.00000000,2296.52762000,1342963733.84449000,18755
1609977600000,2021-01-07 00:00:00,ETH/NGN,579800.00000000,626999.00000000,550644.00000000,597286.00000000,2914.39116000,1722453787.03819000,17821
1609891200000,2021-01-06 00:00:00,ETH/NGN,527000.00000000,582000.00000000,508000.00000000,578574.00000000,2757.24686000,1523221611.11547000,15297
1609804800000,2021-01-05 00:00:00,ETH/NGN,499700.00000000,543999.00000000,470000.00000000,527007.00000000,2560.80418000,1295227691.51991000,13717
1609718400000,2021-01-04 00:00:00,ETH/NGN,462449.00000000,550414.00000000,415001.00000000,499700.00000000,3006.82270000,1466608814.99824000,17408
1609632000000,2021-01-03 00:00:00,ETH/NGN,366034.00000000,479094.00000000,362420.00000000,462453.00000000,1869.40435000,792810408.71304000,12255
1609545600000,2021-01-02 00:00:00,ETH/NGN,342777.00000000,372000.00000000,339600.00000000,363492.00000000,1075.74344000,385899783.79637000,5309
1609459200000,2021-01-01 00:00:00,ETH/NGN,346700.00000000,352629.00000000,337468.00000000,344524.00000000,474.92591000,164304807.73522000,2812
1609372800000,2020-12-31 00:00:00,ETH/NGN,356995.00000000,357146.00000000,344362.00000000,347798.00000000,528.61211000,185373776.10250000,3220
1609286400000,2020-12-30 00:00:00,ETH/NGN,348019.00000000,358997.00000000,340252.00000000,356994.00000000,728.16619000,254577424.27172000,3849
1609200000000,2020-12-29 00:00:00,ETH/NGN,348203.00000000,351496.00000000,324586.00000000,346166.00000000,753.15829000,257381466.94002000,3770
1609113600000,2020-12-28 00:00:00,ETH/NGN,326456.00000000,355000.00000000,324598.00000000,348203.00000000,865.94478000,300510896.07879000,4541
1609027200000,2020-12-27 00:00:00,ETH/NGN,302286.00000000,341389.00000000,290000.00000000,326456.00000000,1217.38687000,391388098.44360000,5032
